Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.064420847633233,87.74409705971472,2
40.8,-25.71861329154473,88.62447345067926,2
41.616,-25.59485833312689,86.67287941827513,2
42.44832,-25.325465237661973,87.02499025282475,2
43.297286400000004,-25.173428167811412,86.38817897638175,2
44.163232128000004,-24.943479734626308,85.21692969822655,2
45.046496770560005,-24.83882905826962,85.90193519414373,2
45.9474267059712,-24.459997681875237,87.60853144395259,1
46.866375240090626,-24.468549225368076,88.65643414470401,2
47.80370274489244,-23.99726832583462,85.92702174653544,2
48.75977679979029,-23.989216347197242,87.24877134689393,2
49.7349723357861,-23.76974956878291,85.99241332780667,2
50.72967178250182,-23.614801373269625,86.62633424635658,1
51.74426521815185,-23.526077205468194,85.39115244694156,1
52.77915052251489,-23.172785589398632,86.17117642463609,2
53.83473353296519,-23.25945073710505,86.63792951975341,1
54.911428203624496,-22.84438743264996,85.91858833166398,1
56.00965676769699,-23.024033383458,85.50161605248383,2
57.12984990305093,-22.494229736799202,86.19042651279335,2
58.27244690111195,-22.61580958049183,84.95239412571239,1
59.437895839134185,-22.240364769766096,86.20222008791802,1
60.62665375591687,-22.213220179123816,86.02630400341124,1
61.83918683103521,-21.85300475891475,86.46543457842756,1
63.075970567655915,-21.897769653706213,85.8764477265163,1
64.33748997900904,-21.498061572161856,85.78908712459875,1
65.62423977858921,-21.473552366183135,85.24415826039112,1
66.936724574161,-21.30158825554336,84.84856530382967,1
68.27545906564423,-21.268726860805323,85.3995799516086,1
69.64096824695712,-20.832541993397776,85.03820553470139,1
71.03378761189626,-20.849607800691018,84.72883200380669,1
72.45446336413418,-20.54597459556878,85.77767241538584,1
73.90355263141687,-20.40664084163489,84.30557042976932,1
75.38162368404521,-20.208938978602472,84.50490955131053,1
76.88925615772611,-19.990950866441157,84.82214993156862,1
78.42704128088063,-19.88033824893502,83.82653894186775,1
79.99558210649825,-19.619084489818274,84.00692625326403,1
81.59549374862821,-19.479071128598083,84.7376463495479,1
83.22740362360078,-19.402300568059648,84.51010146319814,1
84.8919516960728,-19.190538679671103,84.03661206551317,1
86.58979072999425,-19.091461699194824,84.12816550133022,1
88.32158654459414,-18.84135092351608,84.16515043728802,1
90.08801827548602,-18.704953237095552,82.95149447060469,1
91.88977864099574,-18.44637585393233,83.37281301654963,1
93.72757421381566,-18.351934375586858,83.1080631478112,1
95.60212569809197,-18.272622771178657,83.2544120989744,1
97.5141682120538,-18.0301072081486,82.77884392572975,1
99.46445157629488,-17.86243826404031,82.87626201686507,1
101.45374060782078,-17.682790317490042,83.39355306325939,1
103.4828154199772,-17.57079669950818,82.3738547085775,1
105.55247172837674,-17.177184537067234,82.37932267836993,1
107.66352116294428,-17.23113966454791,82.18989226354199,1
109.81679158620317,-16.92912670816319,81.94861586388889,1
112.01312741792724,-16.951891571457907,82.02632869333266,1
114.25338996628578,-16.551938859343604,82.33374578750846,1
116.5384577656115,-16.657466077071327,81.53335000277485,1
118.86922692092372,-16.331066904625324,81.60056155618227,1
121.2466114593422,-16.246423866181413,81.49546764219099,1
123.67154368852906,-15.95203819244305,80.7465043776217,1
126.14497456229964,-15.89957649514317,81.03355944428165,1
128.66787405354563,-15.5981211086676,81.45593116119102,1
131.24123153461656,-15.608977631016002,80.24680418558836,1
133.8660561653089,-15.332653445210394,80.33598084551772,1
136.54337728861506,-15.263471480084092,80.0218849682434,1
139.27424483438736,-14.868228685960707,80.34033685309404,1
142.05972973107512,-14.91387735227994,80.247244488471,1
144.90092432569662,-14.63309084702077,79.81704767730298,1
147.79894281221056,-14.514273720562576,79.23209754187455,1
150.75492166845476,-14.371924501430119,79.01378076496788,1
153.77002010182386,-14.066020971989543,79.19406560219659,1
156.84542050386034,-14.024898132254798,78.96798727548077,1
159.98232891393755,-13.740738373453516,78.54958922028783,1
163.1819754922163,-13.663544865304212,78.1918775713275,1
166.44561500206063,-13.641998869558766,77.77705151027408,1
169.77452730210186,-13.374566581652422,77.87844651844469,1
173.17001784814389,-13.124471089430992,77.57199962677203,1
176.63341820510678,-13.119386547959841,77.00592159685131,1
180.16608656920891,-12.8798981867902,77.08298016230681,1
183.76940830059308,-12.602243355609287,77.17761752237868,1
187.44479646660494,-12.532681507875937,76.92022006127164,1
191.19369239593703,-12.409113759818398,76.41934225113114,1
195.01756624385578,-12.196703224101054,76.35306925320101,1
198.9179175687329,-11.919949997082943,76.19019075261022,1
202.89627592010754,-11.79445432502697,75.66138587661777,1
206.9542014385097,-11.670604749475764,75.35069110386141,1
211.09328546727988,-11.586571643350954,74.9323761902603,1
215.31515117662548,-11.412560784795803,74.28528395874585,1
219.62145420015798,-11.050089202972966,74.7105746031282,1
224.01388328416115,-11.113681695247019,73.91791364686568,1
228.49416094984437,-10.769599824267535,74.16620459949434,1
233.06404416884126,-10.750499092211157,73.29046336951207,1
237.7253250522181,-10.473072115651133,73.47779430153368,1
242.47983155326247,-10.420262827452715,72.83195250039526,1
247.32942818432772,-10.180621899269129,72.58770857558318,1
252.27601674801429,-10.077952834347668,72.15615007992282,1
257.3215370829746,-9.82410855841999,71.90842901348462,1
262.4679678246341,-9.804807505053489,71.51154935760954,1
267.7173271811268,-9.500775191304736,71.50838459762258,1
273.07167372474936,-9.46425501767569,70.74322301521218,1
278.53310719924434,-9.158906242744404,70.7650243026323,1
284.10376934322926,-9.177403894669856,69.90713125606325,1
289.78584473009386,-8.797957377310675,70.04827213102737,1
295.5815616246957,-8.783944090269632,69.47573785550901,1
301.4931928571896,-8.625667598029812,68.63953090074325,1
307.52305671433345,-8.358610710322987,68.8759628485235,1
313.6735178486201,-8.297270799826332,67.69344338962068,1
