Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-19.82679438779245,88.06508411533714,1
40.8,-19.91132736725755,87.2093795766475,1
41.616,-19.560747466111582,87.76866356227087,1
42.44832,-19.217206421613227,87.85877325197274,1
43.297286400000004,-19.13764239097366,87.47362084518016,1
44.163232128000004,-18.932048544927305,87.60756889302854,1
45.046496770560005,-18.73879381716218,87.45893322871912,1
45.9474267059712,-18.566224134678567,87.03132365453168,1
46.866375240090626,-18.883396484152282,87.22864288709718,1
47.80370274489244,-18.696184426724937,87.42359106978193,1
48.75977679979029,-18.044677915807988,87.7342941905298,1
49.7349723357861,-18.47710327263723,86.90481165981623,1
50.72967178250182,-18.226257455855908,87.07859246830003,1
51.74426521815185,-17.83987173923186,87.5312235244675,1
52.77915052251489,-17.27131644615154,87.95305735352184,1
53.83473353296519,-17.231082419697493,87.55620954550182,1
54.911428203624496,-16.837735353298257,86.6835769097958,1
56.00965676769699,-16.83218427190643,87.18305778042786,1
57.12984990305093,-16.506425587886728,87.24963213363066,1
58.27244690111195,-16.535344465232683,86.97337896954302,1
59.437895839134185,-16.271264866278255,87.03452287051543,1
60.62665375591687,-16.164635845465007,87.39740236233877,1
61.83918683103521,-15.934126787063665,87.13500803363655,1
63.075970567655915,-15.864628221971628,86.79164001106234,1
64.33748997900904,-15.558958617350694,86.93616670781394,1
65.62423977858921,-15.521269451981736,86.67598836765532,1
66.936724574161,-15.259299940868248,86.74408881288599,1
68.27545906564423,-15.232659304705527,86.27128515028589,1
69.64096824695712,-14.924422651871405,86.57079427225953,1
71.03378761189626,-14.952626303500605,86.43581563881509,1
72.45446336413418,-14.87396702434585,86.45194794926067,1
73.90355263141687,-14.934776409285965,86.10319002542582,1
75.38162368404521,-14.798478452386782,86.1543266175898,1
76.88925615772611,-14.371635698108998,86.06575305609806,1
78.42704128088063,-14.241678018497169,85.76757217714865,1
79.99558210649825,-13.915413461614259,86.2155976471949,1
81.59549374862821,-13.64659959412646,86.00579229481127,1
83.22740362360078,-13.598198792666594,85.89314278564733,1
84.8919516960728,-13.325893455059582,86.0440700498835,1
86.58979072999425,-13.055091905280356,85.77172831528054,1
88.32158654459414,-13.0223324233087,86.11282895318718,1
90.08801827548602,-12.785620613273668,85.78360527013899,1
91.88977864099574,-12.668443032678795,85.93233984166011,1
93.72757421381566,-12.525143021581231,85.52676214946234,1
95.60212569809197,-12.375557616926244,85.59253690975049,1
97.5141682120538,-12.120542125004103,85.66877427321339,1
99.46445157629488,-12.117521132227854,85.12350875933572,1
101.45374060782078,-11.843565103990523,85.09958782125165,1
103.4828154199772,-11.868663585427946,84.9936944014938,1
105.55247172837674,-11.60232928429561,85.04966312074862,1
107.66352116294428,-11.383893991238915,84.44323655542718,1
109.81679158620317,-10.989788986320786,84.9258746591506,1
112.01312741792724,-11.306197459758616,84.19824640074611,1
114.25338996628578,-11.05324826301586,84.3827796394803,1
116.5384577656115,-10.84881017846234,84.0675876765032,1
118.86922692092372,-10.878158597421939,83.8253339341932,1
121.2466114593422,-10.798106267389079,83.77933868336464,1
123.67154368852906,-10.221057515775977,84.03354349788725,1
126.14497456229964,-9.95205929980104,83.68303063420748,1
128.66787405354563,-9.726338401015767,83.77758800275548,1
131.24123153461656,-9.698590767816137,83.78694028969419,1
133.8660561653089,-9.342465187916948,83.80614598409989,1
136.54337728861506,-9.346640394256351,83.43695081378313,1
139.27424483438736,-8.989382177195678,83.537966073837,1
142.05972973107512,-8.952099562193954,83.32302921651443,1
144.90092432569662,-8.57617904231313,83.51131731496992,1
147.79894281221056,-8.472535421873589,83.18685487350118,1
150.75492166845476,-8.279668870742091,83.17338863493325,1
153.77002010182386,-7.97954040205736,83.11704636636,1
156.84542050386034,-7.9870484443244125,82.42627240879577,1
159.98232891393755,-7.6992605636104825,82.5525738689879,1
163.1819754922163,-7.565546408843474,82.67391289803567,1
166.44561500206063,-7.567559684365294,82.2248588098075,1
169.77452730210186,-7.248312160902543,82.16406631053914,1
173.17001784814389,-7.090522935629138,82.13493914321009,1
176.63341820510678,-7.126910249836678,81.78333286809485,1
180.16608656920891,-6.930946606427935,81.6153379294798,1
183.76940830059308,-6.6953257243210285,81.49727422729649,1
187.44479646660494,-6.493388724748726,81.18361973797896,1
191.19369239593703,-6.439319815416509,80.92765464814227,1
195.01756624385578,-6.396356925134675,80.75007573452446,1
198.9179175687329,-6.129658503996602,80.32310287682012,1
202.89627592010754,-5.945894910356386,80.3164288838471,1
206.9542014385097,-5.687958146262824,80.37610978488655,1
211.09328546727988,-5.415426815853306,80.37709269803838,1
215.31515117662548,-5.280068545252988,80.01401040200524,1
219.62145420015798,-4.911298217205497,80.33633975434152,1
224.01388328416115,-4.938531188460946,79.78806824583403,1
228.49416094984437,-4.579663128108954,79.90251112326155,1
233.06404416884126,-4.588991061922667,79.20345963983748,1
237.7253250522181,-4.296168130086891,79.4940569224088,1
242.47983155326247,-4.220821637294713,78.97245452484938,1
247.32942818432772,-4.376999466869733,77.91132003021585,1
252.27601674801429,-4.203914672763076,77.71133281441246,1
257.3215370829746,-3.809492437478237,78.10467340572681,1
262.4679678246341,-3.7247573241255028,77.76887557578486,1
267.7173271811268,-3.368550442032018,77.90959780999162,1
273.07167372474936,-3.3087242630517517,77.45567036457055,1
278.53310719924434,-2.9651577597751198,77.44846298997746,1
284.10376934322926,-2.9267080305323017,77.24962724773245,1
289.78584473009386,-2.6027150665381313,77.17558866094447,1
295.5815616246957,-2.48714418695796,76.69777383328761,1
301.4931928571896,-2.3945483634631763,76.3664743040107,1
307.52305671433345,-2.234352318929008,76.02079840697661,1
313.6735178486201,-2.332162738117637,75.00350465270245,1
319.9469882055925,-1.8010885240579178,75.90919879145383,1
326.34592796970435,-1.611592188339302,75.62948973583445,1
332.87284652909847,-1.5444246341220915,75.11018867257388,1
339.53030345968045,-1.2823691678025184,74.96266999690344,1
346.3209095288741,-1.1031651338222883,74.899290880639,1
353.24732771945156,-1.0394058457819801,74.11303900721433,1
360.3122742738406,-0.8015743116779235,74.0110692296792,1
367.5185197593174,-0.5781312908889312,73.77233089952756,1
374.8688901545038,-0.49376198882889416,73.36188578542459,1
382.3662679575939,-0.3766280284236714,72.98981853898857,1
390.01359331674576,-0.17779471533114835,72.63598084873031,1
397.8138651830807,0.0841257758870457,72.64438054342992,1
405.7701424867423,0.2140583955482015,72.2730588115785,1
413.88554533647715,0.3493149162415395,71.65703863129288,1
422.1632562432067,0.45407070246035464,71.42117115156697,1
430.60652136807084,0.647442141159466,70.93606946495386,1
439.21865179543227,0.837686135626306,70.59620640877422,1
448.0030248313409,1.0255194944451975,70.40591418227308,1
456.96308532796775,1.234441279284782,69.93465093775615,1
466.1023470345271,1.3811299072694068,69.76456362864394,1
475.42439397521764,1.5605348102304133,69.06122538301683,1
484.932881854722,1.7058367272379784,68.92319556264817,1
494.63153949181645,1.8654528747383465,68.50769228155053,1
504.5241702816528,2.0152472683807687,68.01094229581287,1
514.6146536872859,2.089597175753219,67.25850298564595,1
524.9069467610317,2.3983217489595527,67.40781640990315,1
535.4050856962523,2.3526630083373727,66.47490484373824,1
546.1131874101774,2.684053564227679,66.6199366338314,1
557.035451158381,2.7079334006662883,65.53583096621699,1
568.1761601815485,2.9765556199323546,65.43577765192276,1
579.5396833851795,3.1073880867800936,64.7693455927359,1
591.1304770528831,3.261289790227665,64.26195836615157,1
602.9530865939407,3.426132920009472,63.922612783979545,1
615.0121483258196,3.5537153900245246,63.24857922433813,1
627.312391292336,3.787724936734692,63.057851111097776,1
639.8586391181827,3.8832013067659004,62.35410196222266,1
652.6558119005464,4.093513972186431,61.951511407090365,1
665.7089281385573,4.230441509970367,61.33392297823387,1
679.0231067013285,4.396406141761957,60.76594267827302,1
692.6035688353551,4.583495918411344,60.31650924354989,1
706.4556402120622,4.6742744924376405,59.45019820985494,1
720.5847530163035,4.938451699097755,59.55568170215588,1
734.9964480766296,4.976208243719871,58.269719891702415,1
749.6963770381622,5.2414866104018545,58.18625983660547,1
764.6903045789254,5.386899916043373,57.34615624640621,1
779.9841106705039,5.474838789719433,56.54556600839342,1
795.583792883914,5.745157183794224,56.37803249608997,1
811.4954687415924,5.817663136731029,55.41073251877906,1
827.7253781164243,5.978887370482682,54.719692508894056,1
844.2798856787527,6.221092138360314,54.393725071051975,1
861.1654833923278,6.301549657085013,53.38918551076259,1
878.3887930601744,6.445698048597488,52.6671339480403,1
895.9565689213779,6.684870769630003,52.40061978026042,1
913.8757002998054,6.808755697204504,51.483592778232776,1
932.1532143058016,6.942432484766277,50.50732183630315,1
950.7962785919177,7.093478072508981,49.944461232443935,1
969.8122041637561,7.332921250515372,49.37836829887618,1
989.2084482470312,7.4692499580910905,48.57898727069099,1
1008.9926172119718,7.5936687143751325,47.712560400180166,1
1029.1724695562114,7.724057821689509,46.67748701827378,1
1049.7559189473357,7.917107255279043,46.025394542674064,1
1070.7510373262824,8.086872364412624,45.261463774064296,1
1092.166058072808,8.280842161679084,44.472834704219075,1
1114.0093792342643,8.442030735001602,43.69648954935781,1
1136.2895668189497,8.577556922706048,42.64525199831096,1
1159.0153581553286,8.72923741984616,41.630696751478155,1
1182.1956653184352,8.881860809659335,40.627001991826276,1
1205.8395786248038,9.019461259770441,39.69846950951809,1
1229.9563701973,9.200919726999842,38.64995674162918,1
1254.555497601246,9.36813200589158,37.70459627614922,1
1279.646607553271,9.524988774020779,36.67746826092254,1
1305.2395397043365,9.685695221153306,35.714956609319245,1
1331.3443304984232,9.855497954400882,34.721767740822486,1
1357.9712171083918,10.039228609631731,33.66115425832888,1
1385.1306414505596,10.184211573132732,32.5099455418771,1
1412.8332542795708,10.351626902310317,31.352126607062644,1
1441.0899193651624,10.495361133546721,30.028115498515113,1
1469.9117177524656,10.638132577736132,28.87705643647014,1
1499.3099521075148,10.797373481054866,27.5746631482467,1
1529.296151149665,10.974551005950572,26.442573488162637,1
1559.8820741726583,11.146961936344082,25.123319765344718,1
1591.0797156561116,11.27835428192668,23.66588328850265,1
1622.9013099692338,11.424240986773532,22.20067101682207,1
1655.3593361686185,11.609079696239515,20.90451548639885,1
1688.466522891991,11.745836033037598,19.447396638683664,1
1722.235853349831,11.895017381890407,17.83542575950011,1
1756.6805704168275,12.062701486853715,16.32642199240624,1
1791.814181825164,12.18862554716653,14.775451838755089,1
1827.6504654616674,12.35594981699132,13.072377782767106,1
1864.2034747709008,12.489060917055,11.348429174251564,1
1901.4875442663188,12.637910056457711,9.628473531594636,1
1939.5172951516452,12.78335456415443,7.847876547339226,1
1978.307641054678,12.921981169375202,5.9313803051115706,1
2017.8737938757715,13.052574406800389,3.9280127662728503,1
2058.231269753287,13.196450471155334,1.8282708219497152,1
2099.395895148353,13.310708918920634,-0.10431136924100315,1
2141.38381305132,13.433140889744784,-2.1468504284023027,1
2184.211489312346,13.55932408602915,-4.446165500618889,1
2227.895719098593,13.689919140344674,-6.794946775219842,1
2272.453633480565,13.781641217180626,-8.999225585417776,1
2317.902706150176,13.828680834425382,-11.25572267076496,1
2364.2607602731796,13.902133035795192,-13.610683228478425,1
2411.5459754786434,14.031778399992149,-16.28209287666012,1
2459.776894988216,14.175588300011444,-19.184065260167664,1
2508.9724328879806,14.20769770118891,-21.67342538530815,1
2559.1518815457403,14.134755216218302,-23.97066472058222,1
2610.334919176655,14.121047358344336,-26.709832351466105,1
2662.541617560188,14.271091149937165,-29.68078010518623,1
2715.792449911392,14.378646523343573,-32.526742737088796,1
2770.10829890962,14.24408302571128,-35.30817057505653,1
2825.5104648878123,14.061263876838476,-38.19382258372251,1
2882.0206741855686,14.111229179969262,-41.09119923778745,1
2939.66108766928,14.237384902939528,-43.9316529072454,1
2998.4543094226656,14.085016728966142,-46.74561151679687,1
3058.423395611119,13.769377042962146,-49.95935579650882,1
3119.591863523341,13.746343344022284,-52.82695429261007,1
3181.983700793808,13.83563368726003,-55.2721830598599,1
3245.6233748096843,13.588796818559308,-58.38916595132038,1
3310.535842305878,13.226172285201475,-61.71450714474572,1
3376.7465591519954,13.216942393582487,-64.1677052871719,1
3444.2814903350354,13.153172835457184,-66.31561989496389,1
3513.167120141736,12.752747235812718,-69.99262198942012,1
3583.430462544571,12.492686426781994,-72.98026317759513,1
3655.099071795463,12.47898608913665,-74.4369113139501,1
3728.201053231372,12.179578202597991,-77.17805336031459,1
3802.7650742959995,11.771437638800819,-80.83654918513697,1
3878.8203757819197,11.664334373813709,-81.8887595725829,1
3956.396783297558,11.396782044162022,-84.27871161112921,1
4035.5247189635093,10.98685184840559,-88.01952207311456,1
