Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.557703458764728,-89.7344939814152,2
40.8,-31.237935206070638,-90.20084066454955,2
41.616,-31.090746569586774,-89.06300924688809,2
42.44832,-31.086770799410246,-91.0489193787887,2
43.297286400000004,-30.44222644793861,-92.70008684703203,2
44.163232128000004,-30.474751089267365,-92.67378476946544,2
45.046496770560005,-30.35218220905746,-92.2400552734329,2
45.9474267059712,-29.750002456975068,-92.39803054707012,2
46.866375240090626,-29.67798510747624,-92.148836056372,2
47.80370274489244,-29.553518121505277,-94.32610366262018,2
48.75977679979029,-29.8106616252888,-93.57029374190088,2
49.7349723357861,-29.352511707837433,-90.13067272276034,2
50.72967178250182,-29.400419940936356,-92.25199933586487,2
51.74426521815185,-28.806353080186202,-91.72683217957342,2
52.77915052251489,-28.885893021689554,-92.2920757210973,2
53.83473353296519,-29.12419379343191,-92.95031919699633,2
54.911428203624496,-28.302743393322892,-93.37960562143441,2
56.00965676769699,-28.52888085159713,-95.00902375946913,2
57.12984990305093,-28.084938134601007,-92.57088957503174,2
58.27244690111195,-28.099487541951785,-92.30261148742134,2
59.437895839134185,-27.764313304239156,-92.00139656490349,2
60.62665375591687,-27.922197666360884,-91.98552484312938,2
61.83918683103521,-27.485365123089863,-93.03091580012895,2
63.075970567655915,-27.456432787799454,-92.73515986029373,2
64.33748997900904,-27.323158246365853,-92.14473692576874,2
65.62423977858921,-27.028892554684358,-92.86769144626896,2
66.936724574161,-26.894376803582105,-92.05125011638302,2
68.27545906564423,-26.569978545779875,-93.13463726167066,2
69.64096824695712,-26.54116131734761,-91.25216853087167,2
71.03378761189626,-26.503990470330987,-93.57981301711271,2
72.45446336413418,-26.05388755298132,-91.82307600466454,2
73.90355263141687,-26.03519954954083,-93.73943522335975,2
75.38162368404521,-25.913374746700104,-93.02833930816087,2
76.88925615772611,-25.517959831067323,-91.95479767168409,2
78.42704128088063,-25.60256920147395,-94.18672766591297,2
79.99558210649825,-25.296684650949935,-91.98100347453185,2
81.59549374862821,-24.971682261574923,-94.09520225167455,2
83.22740362360078,-25.085857261653338,-93.63691899280063,2
84.8919516960728,-24.968731237727987,-93.4328372671976,2
86.58979072999425,-24.624214062804572,-93.93132001843152,2
88.32158654459414,-24.374763715696755,-92.37651139523729,2
90.08801827548602,-24.175086616486187,-93.76069682407417,2
91.88977864099574,-23.892662844035474,-92.99786713960361,2
93.72757421381566,-23.884829095035407,-94.21047218791868,2
95.60212569809197,-23.76946893890034,-94.5137311801526,2
97.5141682120538,-23.600790618457225,-94.92125382611444,2
99.46445157629488,-23.377032593667156,-93.81138793792958,2
101.45374060782078,-23.145119178687498,-95.21115732928233,2
103.4828154199772,-23.148627971564803,-93.62729626575137,2
105.55247172837674,-22.757865409861225,-94.59705424735996,1
107.66352116294428,-22.745654347858366,-94.60422339911483,2
109.81679158620317,-22.376340398119666,-94.66090356615118,1
112.01312741792724,-22.54792945952753,-95.34900772794651,1
114.25338996628578,-22.19511032382739,-94.46814300476225,1
116.5384577656115,-22.129056219484518,-95.00536337317584,1
118.86922692092372,-21.725354582834946,-95.15741684607212,1
121.2466114593422,-21.62063930849921,-94.87549274693134,1
123.67154368852906,-21.402828511534906,-96.49376656687693,1
126.14497456229964,-21.463084166319497,-95.60107795744862,1
128.66787405354563,-20.98037874653355,-94.43120387762278,1
131.24123153461656,-20.929907373535794,-95.47733847201641,1
133.8660561653089,-20.71722487278965,-94.95275191833036,1
136.54337728861506,-20.598522189046115,-95.985173606928,1
139.27424483438736,-20.282839449845962,-95.71566783635643,1
142.05972973107512,-20.309443627368644,-95.93251966439709,1
144.90092432569662,-20.007907075829028,-96.38595163770003,1
147.79894281221056,-19.886981937327167,-95.5529374723316,1
150.75492166845476,-19.563813535574443,-96.15371679597524,1
153.77002010182386,-19.680719505949018,-96.74703471264323,1
156.84542050386034,-19.42864941668916,-96.09265707687442,1
159.98232891393755,-19.076769151992924,-96.57066175317057,1
163.1819754922163,-19.059530180330604,-97.12082915933263,1
166.44561500206063,-18.855004478669358,-97.09441358655313,1
169.77452730210186,-18.59518848850224,-97.0660067559738,1
173.17001784814389,-18.427812523980457,-97.3583869282758,1
176.63341820510678,-18.38098881688727,-97.61496163049927,1
180.16608656920891,-18.201202544039287,-97.36776564588604,1
183.76940830059308,-17.90743244021649,-97.36966506491086,1
187.44479646660494,-17.798877531846408,-98.4200811705428,1
191.19369239593703,-17.675125030585296,-97.63562961610273,1
195.01756624385578,-17.37366862399264,-98.07345737073094,1
198.9179175687329,-17.101391009268337,-98.08825970800805,1
202.89627592010754,-17.02882877368884,-98.07632038728333,1
206.9542014385097,-16.909214390574935,-98.6662089458383,1
211.09328546727988,-16.69691055224238,-99.06602853835409,1
215.31515117662548,-16.627385102966358,-99.33650498587235,1
219.62145420015798,-16.125993954925864,-99.09302875710422,1
224.01388328416115,-16.218956490220084,-99.36007040030916,1
228.49416094984437,-15.826887442915217,-99.01662872579236,1
233.06404416884126,-15.76695477682852,-99.79758946199917,1
237.7253250522181,-15.553821406535954,-99.65355343544675,1
242.47983155326247,-15.415321640105637,-99.87510143103049,1
247.32942818432772,-15.167229822124005,-100.23850223075013,1
252.27601674801429,-15.009824239889953,-100.8914744740128,1
257.3215370829746,-14.823604906753337,-100.64010434208485,1
262.4679678246341,-14.673668291026033,-100.64590829056345,1
267.7173271811268,-14.391128147359225,-101.05676343323017,1
273.07167372474936,-14.33018604059107,-101.97026335743999,1
278.53310719924434,-14.03072065074339,-101.2962444662119,1
284.10376934322926,-13.977751294389117,-102.27705336887709,1
289.78584473009386,-13.608719860279905,-102.0045928401985,1
295.5815616246957,-13.52312645504469,-102.3590775310249,1
301.4931928571896,-13.329738918515611,-102.64332436262669,1
307.52305671433345,-13.032979873335274,-102.6633652188232,1
313.6735178486201,-12.990234986393926,-103.2144034744188,1
319.9469882055925,-12.627892919892982,-103.29052771213085,1
326.34592796970435,-12.471535012614416,-103.58973222211813,1
332.87284652909847,-12.401656615229886,-104.01114863128878,1
339.53030345968045,-12.104402340341048,-103.99635691168234,1
346.3209095288741,-11.916826300995565,-104.45565188595386,1
353.24732771945156,-11.849760065689097,-104.9698281821747,1
360.3122742738406,-11.53616109226568,-105.42065173221647,1
367.5185197593174,-11.290819043415949,-105.27626763090535,1
374.8688901545038,-11.182405014838979,-105.75596589217552,1
382.3662679575939,-11.003018734305472,-106.45971383283143,1
390.01359331674576,-10.727375305592751,-106.56911584692543,1
397.8138651830807,-10.454174221183743,-106.67105703656523,1
405.7701424867423,-10.308988483476647,-107.39188470338809,1
413.88554533647715,-10.159863442710234,-108.06598894314207,1
422.1632562432067,-9.91836428353327,-108.25132422266415,1
430.60652136807084,-9.697619229904786,-108.48778023342629,1
439.21865179543227,-9.432024186676786,-108.91059530798412,1
