Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-32.32200743616011,-92.80528084409235,2
40.8,-31.596085757630547,-90.68347253384411,2
41.616,-31.54759155954186,-89.65218589587845,2
42.44832,-31.715631838337735,-90.28859226239337,2
43.297286400000004,-31.022522192030053,-91.92762452506953,2
44.163232128000004,-31.04159314805123,-90.97506856900111,2
45.046496770560005,-31.224851357009836,-88.51953236676651,2
45.9474267059712,-30.719908013464984,-91.15359185062037,2
46.866375240090626,-30.679574693976264,-91.17948005798964,2
47.80370274489244,-30.702011137224506,-88.36230020281195,2
48.75977679979029,-30.705710087220048,-92.0049243600779,2
49.7349723357861,-30.17497611035313,-91.01413381475857,2
50.72967178250182,-30.199929467704695,-93.3450007475089,2
51.74426521815185,-29.673224500116792,-89.7719450000057,2
52.77915052251489,-29.381526226820487,-92.0673922208658,2
53.83473353296519,-29.38481337802954,-92.8407766004543,2
54.911428203624496,-29.089943523732067,-93.55095224283549,2
56.00965676769699,-29.214736034805224,-91.78574884282062,2
57.12984990305093,-28.93295117101457,-93.02168237134143,2
58.27244690111195,-28.93269261885799,-91.64548351414506,2
59.437895839134185,-28.21178517629673,-89.87512784613736,2
60.62665375591687,-28.194481713572067,-91.33028109750063,2
61.83918683103521,-28.12688133370946,-93.55624474362715,2
63.075970567655915,-27.844173971067985,-93.03222403376833,2
64.33748997900904,-27.610472524766042,-92.24321062780858,2
65.62423977858921,-27.862803013712814,-91.59529769286587,2
66.936724574161,-27.24852908014346,-92.9645853512153,2
68.27545906564423,-27.356784300440374,-92.577761861072,2
69.64096824695712,-26.952522935102376,-92.98434578210328,2
71.03378761189626,-26.743920521317666,-92.35331951876663,2
72.45446336413418,-26.367914825341117,-90.90823876269032,2
73.90355263141687,-26.69515772293596,-93.28749358248596,2
75.38162368404521,-26.34869318373738,-94.00321595264307,2
76.88925615772611,-25.851533208966213,-92.12986791845465,2
78.42704128088063,-26.466576304668905,-92.9355295482363,2
79.99558210649825,-25.90849764385189,-91.6453528196469,2
81.59549374862821,-25.937616925990834,-93.31205566354785,2
83.22740362360078,-25.34457970764364,-92.47468949590319,2
84.8919516960728,-24.946446556571882,-91.95005283789797,2
86.58979072999425,-25.161641405287305,-93.09237948789732,2
88.32158654459414,-24.774889117905115,-93.48907826642781,2
90.08801827548602,-24.5419343621384,-92.81085011082277,2
91.88977864099574,-24.58235233740148,-94.38739199126258,2
93.72757421381566,-24.620703709379477,-93.15904811138299,2
95.60212569809197,-24.13876080758349,-93.19657266057044,1
97.5141682120538,-24.16166459170198,-92.58230447871382,2
99.46445157629488,-23.648473179406427,-92.65884073366036,2
101.45374060782078,-23.742688024951228,-93.67706322545895,2
103.4828154199772,-23.722859937513547,-93.27682291985728,2
105.55247172837674,-23.579579663656887,-94.61012311765603,2
107.66352116294428,-23.46219851821254,-94.83465006442634,1
109.81679158620317,-23.085427559452054,-94.56412347888386,1
112.01312741792724,-23.031217260467,-94.55307294965655,1
114.25338996628578,-22.490206110716272,-94.66857997096884,2
116.5384577656115,-22.638501142889197,-93.45033582809805,1
118.86922692092372,-22.408590418231164,-93.5070997762435,1
121.2466114593422,-22.45137344801536,-93.80468002121358,1
123.67154368852906,-22.068584223005328,-93.8647190434727,1
126.14497456229964,-21.81072063607595,-93.8094433597186,1
128.66787405354563,-21.65273259628632,-93.21386780006785,1
131.24123153461656,-21.66193322843271,-93.01973578532329,1
133.8660561653089,-21.223977192857824,-94.30564263291674,1
136.54337728861506,-21.431675515047626,-95.00888251540124,1
139.27424483438736,-21.050700077532333,-95.01753673972101,1
142.05972973107512,-21.12087984518298,-94.90451141960995,1
144.90092432569662,-20.805307122221894,-94.79930861520376,1
147.79894281221056,-20.631602368690242,-95.01386977259638,1
150.75492166845476,-20.335877292825316,-95.755646810325,1
153.77002010182386,-20.184905839017684,-95.32025291253606,1
156.84542050386034,-20.12450590700929,-95.26753007010322,1
159.98232891393755,-19.838451784548944,-95.92865592096123,1
163.1819754922163,-19.76049114136702,-95.54068635187129,1
166.44561500206063,-19.60234280838766,-95.98107763917068,1
169.77452730210186,-19.273713736774685,-95.87716860163727,1
173.17001784814389,-19.215561701147323,-96.27671053280791,1
176.63341820510678,-19.05736460397233,-95.17492150197805,1
180.16608656920891,-18.843126925507786,-96.65635174614941,1
183.76940830059308,-18.69787844348434,-95.90077451692741,1
187.44479646660494,-18.380077476569163,-95.57713652871428,1
191.19369239593703,-18.370217025013503,-96.47613812085206,1
195.01756624385578,-18.212627271480752,-97.60254008793534,1
198.9179175687329,-17.87176066581881,-96.65689907230069,1
202.89627592010754,-17.856335634295657,-96.77687564187082,1
206.9542014385097,-17.732936499331924,-96.92454464946353,1
211.09328546727988,-17.63106980501986,-97.05648703957979,1
215.31515117662548,-17.479925028089433,-96.80125352164569,1
219.62145420015798,-17.030141103673547,-97.55249097079648,1
224.01388328416115,-16.950192904345037,-97.05751065001732,1
228.49416094984437,-16.69525971071925,-97.09104815748985,1
233.06404416884126,-16.708924713202045,-97.51352463839841,1
237.7253250522181,-16.4066800570404,-97.4390254019607,1
242.47983155326247,-16.318608005113052,-98.0259026408155,1
247.32942818432772,-16.081633833857023,-98.31232518396034,1
252.27601674801429,-15.976692606000993,-98.79432945004257,1
257.3215370829746,-15.448337376225284,-97.66939031684838,1
262.4679678246341,-15.353529944423464,-98.1640694328828,1
267.7173271811268,-15.035877680869437,-98.31740801901687,1
273.07167372474936,-15.133959253144866,-98.90959807257232,1
278.53310719924434,-14.762035145965346,-98.48914682725652,1
284.10376934322926,-14.949385236500307,-99.57777884035676,1
289.78584473009386,-14.656142085599983,-99.1851378604571,1
295.5815616246957,-14.466426223143493,-99.28123677170313,1
301.4931928571896,-14.429029113133186,-100.03347885296114,1
307.52305671433345,-14.2417991556409,-99.95241395637021,1
313.6735178486201,-14.22322561958206,-100.75848029772108,1
319.9469882055925,-13.943564736024086,-100.03398244751186,1
326.34592796970435,-13.530370008481619,-99.56603307995789,1
332.87284652909847,-13.475552427572906,-100.34508759832411,1
339.53030345968045,-13.188364369088946,-100.43154401548173,1
346.3209095288741,-13.188920784195782,-101.21650052203846,1
353.24732771945156,-13.193920542123431,-101.29446112379395,1
360.3122742738406,-13.032537009974098,-101.42459677172246,1
367.5185197593174,-12.773475029554843,-101.98502177522738,1
374.8688901545038,-12.69507461464756,-102.53086272715817,1
382.3662679575939,-12.587673429262122,-102.34415197220511,1
