Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.548313893751533,-93.11453388839328,1
40.8,-31.38537601826622,-93.4434076470343,1
41.616,-30.936704183072923,-91.19836101275497,1
42.44832,-30.924699119405883,-90.702910024679,1
43.297286400000004,-30.975204131068118,-89.75538169076005,1
44.163232128000004,-31.003208110883037,-91.295222767511,1
45.046496770560005,-30.53681053632226,-91.98742824815645,2
45.9474267059712,-30.110695272700273,-92.55012573683848,2
46.866375240090626,-30.03117990848514,-91.60941539395434,1
47.80370274489244,-30.320167045728752,-91.49262034240492,2
48.75977679979029,-29.92045475411561,-91.44616588442452,2
49.7349723357861,-29.436528456711763,-93.54724460539185,2
50.72967178250182,-30.47704683748924,-84.2515589718399,2
51.74426521815185,-28.894417714021717,-90.1611742249421,2
52.77915052251489,-28.448161988497855,-90.67432635742871,2
53.83473353296519,-28.611237043882642,-93.04147204176505,2
54.911428203624496,-28.791488112603567,-93.03516814845335,2
56.00965676769699,-28.407233760716508,-90.53866378271721,2
57.12984990305093,-28.33309217744674,-92.31178827030746,2
58.27244690111195,-28.065167345924536,-91.72118573063366,2
59.437895839134185,-27.647704992214734,-90.37099043918786,2
60.62665375591687,-28.044429913939563,-90.32345200284851,2
61.83918683103521,-27.614590623972724,-91.21563524427708,2
63.075970567655915,-27.305599784175794,-92.77476371493375,2
64.33748997900904,-27.218049229982753,-93.31645628592115,2
65.62423977858921,-27.231213605581438,-91.08862927572994,2
66.936724574161,-26.843305611074992,-92.64935446205537,2
68.27545906564423,-26.71277220658968,-91.37052596352558,2
69.64096824695712,-26.40460803340552,-91.1802320121064,2
71.03378761189626,-26.441437205745448,-92.4917082371602,2
72.45446336413418,-26.254471450850758,-91.64270951770959,2
73.90355263141687,-25.841952267914166,-90.73993626536527,2
75.38162368404521,-25.76797990851165,-91.4308153588425,2
76.88925615772611,-25.562155785444777,-91.75940072706837,2
78.42704128088063,-25.731491045070626,-91.59193802569489,2
79.99558210649825,-25.323446202509384,-92.4985276055449,2
81.59549374862821,-25.11572244026727,-92.44113504640632,2
83.22740362360078,-25.089767895816756,-92.61763449356184,2
84.8919516960728,-24.810095078396568,-91.49314545489199,2
86.58979072999425,-24.79684277177439,-92.24715395663145,2
88.32158654459414,-24.687992480916847,-92.01869618130846,2
90.08801827548602,-24.52207018584872,-92.31994380472825,1
91.88977864099574,-24.108342393157532,-91.32106814768945,2
93.72757421381566,-24.16940311365362,-92.28470518764378,1
95.60212569809197,-23.61001170724814,-90.79075400563295,1
97.5141682120538,-23.570500639551092,-94.72121647591314,2
99.46445157629488,-23.537168194608682,-91.98284362420704,1
101.45374060782078,-23.366921609193923,-92.37650687747137,1
103.4828154199772,-23.247071893569952,-92.91582512574584,1
105.55247172837674,-23.040700578440845,-92.92114749466339,1
107.66352116294428,-22.943658105671194,-92.95774037362892,1
109.81679158620317,-22.613023644182213,-93.51774373086543,1
112.01312741792724,-22.485956794822933,-92.21937118984675,1
114.25338996628578,-22.22407530045834,-93.23939302974206,1
116.5384577656115,-22.30995471178236,-93.53078891707926,1
118.86922692092372,-21.79103225799401,-92.64740821311591,1
121.2466114593422,-21.79119091358712,-94.16909205778563,1
123.67154368852906,-21.61051252974343,-93.87919757315393,1
126.14497456229964,-21.45586497933907,-92.89111335208014,1
128.66787405354563,-21.352425803580857,-93.04825845982288,1
131.24123153461656,-21.178780441607056,-94.17780725446113,1
133.8660561653089,-20.824548718738182,-94.15141193295372,1
136.54337728861506,-20.862033556224127,-94.27658496848642,1
139.27424483438736,-20.545111627272924,-94.00523627435592,1
142.05972973107512,-20.542097646715632,-94.07655916181761,1
144.90092432569662,-20.276757664396108,-93.2848285544782,1
147.79894281221056,-20.1627918908787,-94.40305364154086,1
150.75492166845476,-19.898100633752236,-93.39652231845466,1
153.77002010182386,-19.628590263088697,-94.42223379927574,1
156.84542050386034,-19.69620797371667,-94.54194308038618,1
159.98232891393755,-19.38285314812348,-94.38125311342253,1
163.1819754922163,-19.293345604516503,-94.26169475930789,1
166.44561500206063,-19.217809144811326,-94.67123113682223,1
169.77452730210186,-18.926223847783444,-94.74453170542796,1
173.17001784814389,-18.660453505615553,-94.84693864279372,1
176.63341820510678,-18.732020362000895,-94.82759948270356,1
180.16608656920891,-18.373721908231257,-94.68328004553422,1
183.76940830059308,-18.23332430382211,-94.8071884483764,1
187.44479646660494,-18.015808567645834,-95.27484462173534,1
191.19369239593703,-17.974664063156126,-94.9578648810309,1
195.01756624385578,-17.694290175760724,-95.86729220434444,1
198.9179175687329,-17.50825119561259,-95.0923092093908,1
202.89627592010754,-17.333509572621498,-95.2182729668876,1
206.9542014385097,-17.249680465715834,-95.75539895946847,1
211.09328546727988,-17.29192683111891,-94.21683646253177,1
215.31515117662548,-16.993842820391293,-95.63428150400719,1
219.62145420015798,-16.64598248205706,-95.75384829361144,1
224.01388328416115,-16.66422952221014,-95.87627004479583,1
228.49416094984437,-16.33741346543338,-96.06542411101124,1
233.06404416884126,-16.2284555831073,-95.9349191884081,1
237.7253250522181,-15.967201474147812,-96.48236191935597,1
242.47983155326247,-15.88120483135993,-96.42781825390279,1
247.32942818432772,-15.702650546115223,-96.7732203604238,1
252.27601674801429,-15.627793276927301,-96.421584550554,1
257.3215370829746,-15.314190026806633,-96.6805698448058,1
262.4679678246341,-15.277889727040051,-97.08978416063434,1
267.7173271811268,-14.99525755947703,-96.91122555436648,1
273.07167372474936,-14.933518664136718,-97.11443180340419,1
278.53310719924434,-14.640804382246777,-97.42831460528403,1
284.10376934322926,-14.537517455348517,-97.34970152386194,1
289.78584473009386,-14.311074087292363,-97.28077928710863,1
295.5815616246957,-14.281968274003752,-97.91930088379505,1
301.4931928571896,-14.027090948140506,-97.58840475587436,1
307.52305671433345,-13.79558954405052,-97.7169065686564,1
313.6735178486201,-13.816694585050247,-98.28062673320721,1
319.9469882055925,-13.506900106118957,-98.03851675879733,1
326.34592796970435,-13.371277710362346,-98.28983491291991,1
332.87284652909847,-13.289428839646513,-98.68523943075377,1
339.53030345968045,-13.000271450305213,-98.23608978786105,1
346.3209095288741,-12.85795971152515,-98.72440280569998,1
353.24732771945156,-12.837375313073982,-98.91941939681953,1
360.3122742738406,-12.522373171147335,-98.95785403112745,1
367.5185197593174,-12.314525590453236,-98.94004836353974,1
374.8688901545038,-12.221686146924005,-99.44696766639913,1
382.3662679575939,-12.148625993868405,-99.86201988895766,1
390.01359331674576,-11.973849259962813,-100.30835294331571,1
397.8138651830807,-11.672289571007912,-99.79546143719246,1
405.7701424867423,-11.552213400202325,-100.24231376354845,1
413.88554533647715,-11.443325675091252,-100.28946086100747,1
422.1632562432067,-11.074576604189254,-101.13975028286717,1
430.60652136807084,-11.146765506932477,-100.7452950649259,1
439.21865179543227,-10.879694114998202,-100.53380917593171,1
448.0030248313409,-10.729989981215898,-101.09816837097333,1
456.96308532796775,-10.512805237897654,-101.34340277593677,1
466.1023470345271,-10.379137238902562,-101.09509125254417,1
475.42439397521764,-10.248972173126665,-101.36901313175458,1
484.932881854722,-10.130271048950448,-101.66974039257433,1
494.63153949181645,-9.963491632909832,-101.81897020633453,1
504.5241702816528,-9.754471539201646,-101.98185459458273,1
514.6146536872859,-9.694976533277485,-102.76186045505949,1
524.9069467610317,-9.384109230430868,-102.34553903674501,1
535.4050856962523,-9.414939025192005,-102.93726149225763,1
546.1131874101774,-9.055534119426103,-102.83223284414267,1
557.035451158381,-9.021565857072243,-103.36308698865088,1
568.1761601815485,-8.786937784901372,-103.38286441385829,1
579.5396833851795,-8.63579986913908,-103.74853741835614,1
591.1304770528831,-8.535055171644709,-104.10564798983863,1
602.9530865939407,-8.325628439575613,-103.84249719538978,1
615.0121483258196,-8.249495843243425,-104.39316459698924,1
627.312391292336,-8.00986435738287,-104.65425313648285,1
639.8586391181827,-7.924974633759372,-104.8810200677275,1
652.6558119005464,-7.687755939102734,-105.03298755101594,1
665.7089281385573,-7.613251943880308,-105.33801412970269,1
679.0231067013285,-7.391698174971347,-105.72759453249486,1
