Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.481519847999493,88.78166927229658,2
40.8,-25.275811703531733,86.82577306946155,2
41.616,-25.183964840541908,87.75279447942481,2
42.44832,-25.07611887807584,87.6064625887345,2
43.297286400000004,-25.0018875610463,87.9782109082733,2
44.163232128000004,-24.83968744086117,87.85687150269821,2
45.046496770560005,-24.561525856407037,87.75343423944788,2
45.9474267059712,-24.203663993885858,86.85867020720437,1
46.866375240090626,-23.996261722263398,87.36331160504272,2
47.80370274489244,-23.854642681673404,88.10586314906988,2
48.75977679979029,-23.65212619723506,86.87896532180366,1
49.7349723357861,-23.76210099288224,87.16154304225012,1
50.72967178250182,-23.304943922157506,87.26602647873165,2
51.74426521815185,-23.36846056036926,87.32864939980566,1
52.77915052251489,-23.109068305177605,87.15248290916242,2
53.83473353296519,-23.124243591304854,87.25832723465608,1
54.911428203624496,-22.792314798556706,88.536605114147,1
56.00965676769699,-22.751842709480133,85.76966897180257,1
57.12984990305093,-22.40874322676791,87.6178645796229,2
58.27244690111195,-22.31892967376935,86.6569681722165,1
59.437895839134185,-22.083911886890814,86.18335700130457,1
60.62665375591687,-21.92966693713817,85.98734783723228,1
61.83918683103521,-21.73105124832808,86.97647700060907,1
63.075970567655915,-21.58485777071758,86.28539182812274,1
64.33748997900904,-21.439131963495424,86.62502227026746,1
65.62423977858921,-21.26845062114072,85.68966945823392,1
66.936724574161,-21.008393175203047,86.15632378714332,1
68.27545906564423,-20.93476715407984,85.99969658484575,1
69.64096824695712,-20.674597623703832,85.7643305036622,1
71.03378761189626,-20.674551379587168,86.05302594854398,1
72.45446336413418,-20.35937795103909,85.33170975024768,1
73.90355263141687,-20.190341437608183,86.0750199432484,1
75.38162368404521,-20.04471999470213,86.08490548393219,1
76.88925615772611,-19.80243261191233,85.32269909563865,1
78.42704128088063,-19.694318051368434,84.85298152660877,1
79.99558210649825,-19.348764690480962,85.31474924146326,1
81.59549374862821,-19.284809584947855,85.11978339026223,1
83.22740362360078,-19.240645294197055,85.32412504126768,1
84.8919516960728,-18.980194736931814,85.2595873978104,1
86.58979072999425,-18.795700471534172,85.04604918832592,1
88.32158654459414,-18.748161812439168,85.39506784682243,1
90.08801827548602,-18.49257725078942,84.99391389053197,1
91.88977864099574,-18.17261334440495,84.69848668997213,1
93.72757421381566,-18.1547514592429,84.70082364916973,1
95.60212569809197,-17.93606769315621,84.39067438072003,1
97.5141682120538,-17.784442740531873,84.64222461822715,1
99.46445157629488,-17.532977262569073,84.59636903480398,1
101.45374060782078,-17.310181783234455,84.17807615524367,1
103.4828154199772,-17.291009199318385,84.35038005692442,1
105.55247172837674,-16.950535729435547,84.31733033554139,1
107.66352116294428,-16.890381646849825,83.49192230010053,1
109.81679158620317,-16.571107858644055,83.52343985471967,1
112.01312741792724,-16.549506567845153,83.06382767762099,1
114.25338996628578,-16.27454900762014,83.26472624211351,1
116.5384577656115,-16.148587275898812,83.10463565366955,1
118.86922692092372,-15.906775504169117,82.97741066921694,1
121.2466114593422,-15.768668440331771,83.20051477710687,1
123.67154368852906,-15.527844252658358,82.65025955763883,1
126.14497456229964,-15.450782870830949,82.54127427913173,1
