Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.885319391079054,88.00334060267713,2
40.8,-25.710808721219397,89.8181834428176,2
41.616,-25.458805905429426,87.66061862410074,2
42.44832,-25.53386559962908,88.93650786731847,2
43.297286400000004,-25.309182672718382,88.1270975568693,2
44.163232128000004,-25.082047221684,87.56557549731389,2
45.046496770560005,-24.9141231348486,86.9176218716417,2
45.9474267059712,-24.70136447381647,89.52510521178208,1
46.866375240090626,-24.538443641578404,89.16533632038158,2
47.80370274489244,-24.42411423497019,87.57643815063115,2
48.75977679979029,-24.376470246113357,88.22438968422085,2
49.7349723357861,-23.97239853597166,87.62264255148307,1
50.72967178250182,-23.69708527970694,87.33602835913115,1
51.74426521815185,-23.68597438577031,87.89253976444415,1
52.77915052251489,-23.19568658532461,88.36842253218538,1
53.83473353296519,-23.580117207355727,88.20503324913474,2
54.911428203624496,-23.146521247741543,89.2391064208664,1
56.00965676769699,-23.15785157491726,87.5608246054475,1
57.12984990305093,-22.722581027856666,87.59302387894633,1
58.27244690111195,-22.68345938766502,86.84154228580256,1
59.437895839134185,-22.77022432309326,87.87456880139288,1
60.62665375591687,-22.373317555079684,88.19948933520563,2
61.83918683103521,-22.273671543994755,88.05417841084272,1
63.075970567655915,-22.229002290814975,86.70694455471187,1
64.33748997900904,-21.873599065329152,88.3140221567626,1
65.62423977858921,-21.767201325268225,86.96813794405833,1
66.936724574161,-21.396130417605747,87.72350026718675,1
68.27545906564423,-21.337522231520236,88.12847150665796,1
69.64096824695712,-20.94366255115592,87.88369470398501,1
71.03378761189626,-21.11423913746322,86.48016963983375,1
72.45446336413418,-20.72569218121277,87.4592013556533,1
73.90355263141687,-20.64326847266223,86.40710853928493,1
75.38162368404521,-20.492617583033486,87.01771627114736,1
76.88925615772611,-20.364240447703317,86.9921972573643,1
78.42704128088063,-20.202950716518178,85.9137152648104,1
79.99558210649825,-19.803051620545936,86.25395192284834,1
81.59549374862821,-19.769767196443148,86.83882416527776,1
83.22740362360078,-19.601560269699533,86.83319466604797,1
84.8919516960728,-19.421273482791502,86.98252860077525,1
86.58979072999425,-19.242780891037224,87.00322317484205,1
88.32158654459414,-19.18061273795436,86.26957700456069,1
90.08801827548602,-18.89369923147973,87.32413593935166,1
91.88977864099574,-18.724267764029378,86.17243248227851,1
93.72757421381566,-18.578847296083246,86.37707965035818,1
95.60212569809197,-18.425890327938415,85.98458864485346,1
97.5141682120538,-18.297486670220557,86.08946578597892,1
99.46445157629488,-18.014308255927038,86.0003671141326,1
101.45374060782078,-17.83050050874968,85.94385935055732,1
103.4828154199772,-17.753876040419602,85.78498960929734,1
105.55247172837674,-17.553958773325437,86.15308702953598,1
107.66352116294428,-17.471307287656728,85.49556472805097,1
109.81679158620317,-17.053985566706718,85.74329080631972,1
112.01312741792724,-17.111250266085946,85.790939493312,1
