Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.356150804352097,88.43431693807615,1
40.8,-25.084317230445482,89.07526030353574,1
41.616,-24.941824028223042,90.82293980924362,1
42.44832,-24.936041603389537,88.82320781391729,1
43.297286400000004,-24.812409703897774,88.2613514584497,1
44.163232128000004,-24.489395815184327,88.13576932347304,1
45.046496770560005,-24.46353648613596,88.89240596817513,1
45.9474267059712,-24.075180746105193,90.24033805143898,1
46.866375240090626,-24.00973537579155,88.4412590779882,1
47.80370274489244,-23.843372353681325,87.69847928342125,1
48.75977679979029,-23.510864044536376,88.65412994816734,1
49.7349723357861,-23.54402469900774,88.8201485586632,1
50.72967178250182,-22.62121674250411,90.32157859380044,1
51.74426521815185,-23.1161903098027,89.61583799669701,1
52.77915052251489,-22.82082699361493,88.49210675019123,1
53.83473353296519,-22.868506108059226,87.87860555887016,1
54.911428203624496,-22.620138322056402,89.28832779532118,1
56.00965676769699,-22.623992474902355,88.49175037587518,1
57.12984990305093,-22.09383139097391,89.3915716616446,1
58.27244690111195,-22.17043976186407,88.51317630153333,1
59.437895839134185,-21.274567682885746,88.59374203236057,1
60.62665375591687,-21.869290399576638,88.82778482948359,1
61.83918683103521,-21.589300927932232,87.51907749210386,1
63.075970567655915,-21.62482219139587,88.31875128337501,1
64.33748997900904,-21.252329621258614,87.26558641587135,1
65.62423977858921,-21.246132926400286,88.18518581605252,1
66.936724574161,-21.002263279942667,88.05987097993608,1
68.27545906564423,-20.95930704852567,88.24200902571229,1
69.64096824695712,-20.632047182862152,87.64887098471786,1
71.03378761189626,-20.60068287604211,87.40741334709249,1
72.45446336413418,-20.29359050053756,88.278041839048,1
73.90355263141687,-20.269139856249527,88.46878072790877,1
75.38162368404521,-19.969109523226656,88.19188842080808,1
76.88925615772611,-19.698549372179322,88.46301393996339,1
78.42704128088063,-19.69813845688408,88.14628869702764,1
79.99558210649825,-19.462203347883378,88.09418555806172,1
81.59549374862821,-19.31222654336834,88.01896210816017,1
83.22740362360078,-19.075487897010493,87.59032414557998,1
84.8919516960728,-18.826486354403144,87.8372654207076,1
86.58979072999425,-18.674589809090786,87.72437526128346,1
88.32158654459414,-18.617251086771084,87.52982921615737,1
90.08801827548602,-18.38475804167918,87.15909867279346,1
91.88977864099574,-18.094750954609605,87.21508844032502,1
93.72757421381566,-18.137646826558296,87.37803705396975,1
95.60212569809197,-18.076029864279977,87.72656169071496,1
97.5141682120538,-17.656082040961618,87.17300898048819,1
99.46445157629488,-17.512476632770312,87.31796337498804,1
101.45374060782078,-17.379247304354116,87.35886009442174,1
103.4828154199772,-17.304894327972708,86.48674903734315,1
105.55247172837674,-17.03685638508321,89.10562271001578,1
107.66352116294428,-17.083410367872535,87.50255194650416,1
109.81679158620317,-16.687145058898842,86.91179291887092,1
112.01312741792724,-16.63981139823328,86.78320160461156,1
114.25338996628578,-16.381648995769876,86.7674631649113,1
116.5384577656115,-16.35371580029008,86.56109705532201,1
118.86922692092372,-16.052460160561385,86.93122941003139,1
121.2466114593422,-15.890825906569916,86.69121818644368,1
123.67154368852906,-15.733100530665128,86.7405500489632,1
126.14497456229964,-15.608563329738693,86.2255551933998,1
128.66787405354563,-15.350110671571137,87.00388187327525,1
131.24123153461656,-15.21926753464226,86.38159808119121,1
133.8660561653089,-14.968857101983208,86.4807798452577,1
136.54337728861506,-14.953975638113857,86.24135054972123,1
139.27424483438736,-14.597940021986087,86.30569078803126,1
142.05972973107512,-14.60375661701175,86.02806919991343,1
144.90092432569662,-14.273800113918933,86.05267526643968,1
147.79894281221056,-14.278694264882354,85.63849737556798,1
150.75492166845476,-14.032976227135814,85.82927745297823,1
153.77002010182386,-13.768968565717111,85.75879394782078,1
156.84542050386034,-13.801884628236952,85.49136587614058,1
159.98232891393755,-13.532920822899673,85.38426119661354,1
163.1819754922163,-13.288623566583647,85.15402505156521,1
166.44561500206063,-13.321599100309099,85.50947807264237,1
169.77452730210186,-12.98127781392497,85.43987248160194,1
173.17001784814389,-12.838388250610821,85.08022666433436,1
176.63341820510678,-12.784330008021739,84.93307790337931,1
180.16608656920891,-12.507849873777085,84.55694329090024,1
183.76940830059308,-12.274545061074999,85.2829739689696,1
187.44479646660494,-12.174989328275872,84.49187072182015,1
191.19369239593703,-12.112530449531537,84.49872812683087,1
195.01756624385578,-11.77488837386986,84.75274923773571,1
198.9179175687329,-11.589275062239668,84.70137382459625,1
202.89627592010754,-11.512166114593539,84.41850589377458,1
206.9542014385097,-11.382154620053429,84.39611796039839,1
211.09328546727988,-11.13190846984657,84.47276971050096,1
215.31515117662548,-11.148417948056442,84.05123730205906,1
219.62145420015798,-10.736466960525131,84.07475615388877,1
224.01388328416115,-10.820868719203014,83.39140083344734,1
228.49416094984437,-10.467230264978381,83.66924573009209,1
233.06404416884126,-10.421718485506936,83.58544189422298,1
237.7253250522181,-10.138219719598457,83.24370940329688,1
242.47983155326247,-10.059996381358811,83.05907157581767,1
247.32942818432772,-9.82231452097044,83.10802647822595,1
252.27601674801429,-9.736767291858547,82.79774683215402,1
257.3215370829746,-9.55004510777244,82.89035340852985,1
262.4679678246341,-9.414026324650688,82.64269393943431,1
267.7173271811268,-9.130279866595695,82.80881432051353,1
273.07167372474936,-9.111615574121291,82.4192907580863,1
278.53310719924434,-8.765810653693732,82.30723491405911,1
284.10376934322926,-8.788587241229733,82.0461704854598,1
289.78584473009386,-8.444472298622216,82.13538287145826,1
295.5815616246957,-8.393974750631804,81.75512142914734,1
301.4931928571896,-8.209365374263742,81.75763745385059,1
307.52305671433345,-7.964664557918305,81.72613892886312,1
313.6735178486201,-7.956847335916736,81.55639810148311,1
319.9469882055925,-7.640515509621864,81.25472290956141,1
326.34592796970435,-7.518543256955606,81.32903799928528,1
332.87284652909847,-7.428254126314893,81.16474924854008,1
339.53030345968045,-7.140065929916554,80.92221506567495,1
346.3209095288741,-6.981338964777629,80.69268053344865,1
353.24732771945156,-6.964378887602535,80.42013828767296,1
360.3122742738406,-6.719368495161509,80.35478937604665,1
367.5185197593174,-6.4641485108408006,80.41543755644255,1
374.8688901545038,-6.409171409849959,80.08854632833523,1
382.3662679575939,-6.286004501595967,79.6806615970686,1
390.01359331674576,-6.056603709881082,79.58387721007047,1
397.8138651830807,-5.810668286542731,79.76521769557371,1
405.7701424867423,-5.687351953387421,79.35872813983593,1
413.88554533647715,-5.597492348860148,79.0142675870604,1
422.1632562432067,-5.488128685346326,78.92205651226828,1
430.60652136807084,-5.262396468362202,78.57434612505486,1
439.21865179543227,-5.063220400140856,78.34925109723572,1
448.0030248313409,-4.8707123012016105,78.49532777737141,1
456.96308532796775,-4.660473517340351,78.2191829037161,1
466.1023470345271,-4.506466566806181,77.94025941317898,1
475.42439397521764,-4.359146096663023,77.93172551563845,1
484.932881854722,-4.218036044428591,77.63878036911973,1
494.63153949181645,-4.040208518813202,77.26935653565846,1
504.5241702816528,-3.9051349009809955,77.26626728712347,1
514.6146536872859,-3.8487944625566426,76.75887382957852,1
524.9069467610317,-3.4485729091852497,77.05122891122869,1
535.4050856962523,-3.5228963053216535,76.15034224750978,1
546.1131874101774,-3.117867382075507,76.6602850146037,1
557.035451158381,-3.045808427104427,76.42733810274433,1
568.1761601815485,-2.8650776791480275,76.13838437060096,1
579.5396833851795,-2.661331623601127,76.23546175329608,1
591.1304770528831,-2.5354987669247375,75.88322911640375,1
602.9530865939407,-2.237462220808271,76.23972777175857,1
615.0121483258196,-2.1522600024798084,75.67038585189543,1
627.312391292336,-1.922708505305119,75.66923208542572,1
639.8586391181827,-1.8102819307676563,75.33134179348289,1
652.6558119005464,-1.6092615713769518,75.14096463644933,1
665.7089281385573,-1.4702241986061662,74.90944433131673,1
679.0231067013285,-1.3345375767162249,74.75519901275995,1
692.6035688353551,-1.127488503521906,74.55128514527208,1
706.4556402120622,-1.0648959659660697,74.13633505525007,1
720.5847530163035,-0.745655039684703,74.0555578783227,1
734.9964480766296,-0.7667300322852098,73.41068193074281,1
749.6963770381622,-0.4502189980839546,73.50928881039042,1
764.6903045789254,-0.35779332291895033,73.16332459806277,1
779.9841106705039,-0.24812661308795636,72.69522866773187,1
795.583792883914,0.04631262753092942,72.8057626467697,1
811.4954687415924,0.08863361577155741,72.21800789137465,1
827.7253781164243,0.28556987893505154,71.96079752715204,1
844.2798856787527,0.5007722953442735,71.85386788690873,1
861.1654833923278,0.5785621316916966,71.36828070493056,1
878.3887930601744,0.719927072083425,71.02622451071876,1
895.9565689213779,0.9533445513733799,71.12295978970153,1
913.8757002998054,1.0896593324172887,70.38551216341403,1
932.1532143058016,1.1747709286318246,69.90914485184072,1
950.7962785919177,1.4002856365735497,69.89279402713947,1
969.8122041637561,1.5994041412540436,69.54353768020542,1
989.2084482470312,1.7329014339232656,69.16707439872931,1
1008.9926172119718,1.8051083339523812,68.80960846096829,1
1029.1724695562114,1.9494243457503861,68.38974367596742,1
1049.7559189473357,2.1303995975969996,68.20571293710142,1
1070.7510373262824,2.34537269120373,67.85114309276764,1
1092.166058072808,2.5095419066950275,67.75536381451582,1
1114.0093792342643,2.6542521803975467,67.09988329477005,1
1136.2895668189497,2.7698948818654068,66.69815829860319,1
1159.0153581553286,2.9075425741696037,66.24758783493678,1
1182.1956653184352,3.047653021893095,65.95626440812416,1
1205.8395786248038,3.2128574507245085,65.41154354179349,1
1229.9563701973,3.3298449657639067,65.20285082460933,1
1254.555497601246,3.4973837379973993,64.78680262810619,1
1279.646607553271,3.646517853963014,64.25685532528058,1
1305.2395397043365,3.7942705120297635,63.751121049361444,1
1331.3443304984232,3.97069677902479,63.51569257785913,1
1357.9712171083918,4.15793144830971,62.99039240260569,1
1385.1306414505596,4.352083684965836,62.771501792973936,1
1412.8332542795708,4.507273114348941,62.36898119945033,1
1441.0899193651624,4.63897556462098,61.788954977730754,1
1469.9117177524656,4.730019084132738,61.28584811390388,1
1499.3099521075148,4.892226401621654,60.801639020179465,1
1529.296151149665,5.078106942415439,60.3043376889149,1
1559.8820741726583,5.265480726992687,59.88116208088576,1
1591.0797156561116,5.380866554748133,59.343409327154795,1
1622.9013099692338,5.516058886668426,58.66974286769721,1
1655.3593361686185,5.714435380754,58.40980690766948,1
1688.466522891991,5.8681583157108905,57.84547632495287,1
1722.235853349831,5.964968586637404,57.12094024275711,1
1756.6805704168275,6.170584893979475,56.773305335458076,1
1791.814181825164,6.297500153822278,55.9842598204919,1
1827.6504654616674,6.4466608491714865,55.43166040476754,1
