Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.916989175880023,-91.65190289691952,2
40.8,-25.67504227420285,-92.28648989255927,2
41.616,-25.580147554223956,-92.84971658874235,2
42.44832,-25.36342727439351,-90.73742115242737,2
43.297286400000004,-25.33014668647086,-91.70487933116428,2
44.163232128000004,-25.036477648639913,-91.01762703972872,2
45.046496770560005,-24.93555692486189,-92.76180314908264,2
45.9474267059712,-24.75209657661569,-93.49250164879993,2
46.866375240090626,-24.596044564239556,-91.24310398972337,2
47.80370274489244,-24.251998861060223,-91.24011368992814,2
48.75977679979029,-24.267490248048897,-91.94551255713748,2
49.7349723357861,-23.985753497027304,-91.94646213836981,1
50.72967178250182,-23.938928148362074,-93.31917376586708,1
51.74426521815185,-23.724771641455913,-92.76571863695989,2
52.77915052251489,-23.48513192067902,-90.57155237277655,1
53.83473353296519,-23.330364222595172,-92.18596876067645,1
54.911428203624496,-22.992318763237552,-91.58705862984542,1
56.00965676769699,-23.096000401183467,-91.7841112492925,2
57.12984990305093,-22.84298784891859,-91.86163147316196,1
58.27244690111195,-22.77333205478452,-92.88530264096332,2
59.437895839134185,-22.429990581379666,-92.505290517797,1
60.62665375591687,-22.346153434964997,-92.80001619933154,1
61.83918683103521,-22.245575211933197,-92.52978086666901,1
63.075970567655915,-21.93394046815826,-92.2484223999146,1
64.33748997900904,-21.738572943349663,-92.24715384013216,1
65.62423977858921,-21.61124169174715,-92.50136108846766,1
66.936724574161,-21.448401322152975,-92.75011971321872,1
68.27545906564423,-21.415012164575273,-93.1209735115108,1
69.64096824695712,-21.067458525422055,-92.68264421592957,1
71.03378761189626,-21.147906862690427,-93.23202923859577,1
72.45446336413418,-20.794111954801775,-93.30502355147499,1
73.90355263141687,-20.54525417250812,-92.5141980042563,1
75.38162368404521,-20.49905865942338,-93.01117490863493,1
76.88925615772611,-20.222294173596328,-93.4659445747942,1
78.42704128088063,-20.173563054209,-93.21789648813176,1
79.99558210649825,-19.861516112302155,-93.2586161582941,1
81.59549374862821,-19.843922547579254,-93.85014346490675,1
83.22740362360078,-19.634374582071814,-93.11069225400902,1
84.8919516960728,-19.390141389464183,-93.38722720379721,1
86.58979072999425,-19.26554170414662,-93.72367683798899,1
88.32158654459414,-19.12775232030184,-93.74680345049975,1
90.08801827548602,-18.90638647901977,-93.59442410882038,1
91.88977864099574,-18.651301640415415,-93.56151724740428,1
93.72757421381566,-18.6909792439331,-94.38370294265117,1
95.60212569809197,-18.531826982530962,-94.47995235268314,1
97.5141682120538,-18.196468198409253,-92.97034445782015,1
99.46445157629488,-17.94571788382296,-93.82662434349311,1
101.45374060782078,-17.77507311453267,-94.03066681070283,1
103.4828154199772,-17.72725199915754,-94.61713874728858,1
105.55247172837674,-17.313249791504173,-94.24908915522857,1
107.66352116294428,-17.5102963764556,-94.80127839036163,1
109.81679158620317,-17.14177270807638,-94.13561655074582,1
112.01312741792724,-17.098179960134818,-94.80546076097806,1
114.25338996628578,-16.78631810240149,-94.55220857082826,1
116.5384577656115,-16.722420629594463,-94.65255194683701,1
118.86922692092372,-16.432961861538015,-94.91244265235882,1
121.2466114593422,-16.380923647762252,-94.99135219239702,1
123.67154368852906,-16.14324478404062,-94.84718616486526,1
126.14497456229964,-16.026378620600816,-94.70279562333424,1
128.66787405354563,-15.813135356994373,-94.95596898337618,1
131.24123153461656,-15.705171429641364,-95.48802959090824,1
133.8660561653089,-15.492927059821696,-95.14500669124112,1
136.54337728861506,-15.361860228612423,-95.46049188590167,1
139.27424483438736,-15.08305189791293,-95.59274584418827,1
142.05972973107512,-15.039126544128095,-95.8686496125523,1
144.90092432569662,-14.705468929302375,-95.63945557567544,1
147.79894281221056,-14.694738543565949,-95.79675074234049,1
150.75492166845476,-14.500213539472886,-96.09576181188902,1
153.77002010182386,-14.21439925732842,-95.98901508477711,1
156.84542050386034,-14.205203392933836,-96.56706151598368,1
159.98232891393755,-13.899602341365592,-95.96168276992455,1
163.1819754922163,-13.725813066529781,-96.67315666650194,1
166.44561500206063,-13.706262303569966,-96.74838224353464,1
169.77452730210186,-13.379410639117099,-96.29786120812383,1
173.17001784814389,-13.225457781126108,-97.03119536894711,1
176.63341820510678,-13.1542532189347,-96.82187932800068,1
180.16608656920891,-12.8672380129679,-96.78407666882713,1
183.76940830059308,-12.660048245082868,-96.90285518562553,1
187.44479646660494,-12.55405841866452,-97.40584560612987,1
191.19369239593703,-12.468226501582649,-97.26696554015757,1
195.01756624385578,-12.290142323829825,-97.69962599055795,1
198.9179175687329,-12.003916857312758,-97.89975889656759,1
202.89627592010754,-11.897069547006094,-97.78275799162438,1
206.9542014385097,-11.789454862651354,-97.99592774125166,1
211.09328546727988,-11.598369162714324,-98.08412748429396,1
215.31515117662548,-11.549378176135017,-98.64584425546774,1
219.62145420015798,-11.127804408539381,-98.11183074561049,1
224.01388328416115,-11.193436136911245,-98.95945156177288,1
228.49416094984437,-10.82455818524596,-98.66393526180343,1
233.06404416884126,-10.802601797129848,-99.18756820369939,1
237.7253250522181,-10.56950618780741,-99.0239881334216,1
242.47983155326247,-10.416348578538521,-99.43992838398185,1
247.32942818432772,-10.201886437862777,-99.42560068143261,1
252.27601674801429,-10.092610686039867,-99.76639332388987,1
257.3215370829746,-9.8655725607713,-99.70221130064337,1
262.4679678246341,-9.758314765838689,-99.93029208070345,1
267.7173271811268,-9.535391228569129,-100.33198387189935,1
273.07167372474936,-9.47170690345325,-100.71081310088591,1
278.53310719924434,-9.142058527663535,-100.49176198362454,1
284.10376934322926,-9.13621856998192,-101.06251283737924,1
289.78584473009386,-8.812872182426814,-100.86354303172546,1
295.5815616246957,-8.785789884753793,-101.4327672996233,1
301.4931928571896,-8.548472153858667,-101.60000054924171,1
307.52305671433345,-8.325350780562422,-101.43587051143093,1
313.6735178486201,-8.275420736730982,-102.08951155286513,1
319.9469882055925,-8.034231219124564,-101.91211561155953,1
326.34592796970435,-7.835791882104141,-102.1809640607346,1
332.87284652909847,-7.782639931304143,-102.8092066773768,1
339.53030345968045,-7.464088403345063,-102.88580782626269,1
346.3209095288741,-7.344935246393769,-103.0390706254686,1
353.24732771945156,-7.289582021713591,-103.33541737128778,1
360.3122742738406,-7.0083018672381865,-103.44276638665927,1
367.5185197593174,-6.795632237217058,-103.66861749460615,1
374.8688901545038,-6.752350993237953,-104.05067139109433,1
382.3662679575939,-6.631451428264218,-104.53883171954558,1
390.01359331674576,-6.400795732160248,-104.39940705293125,1
397.8138651830807,-6.164860356804616,-104.81019129909288,1
405.7701424867423,-6.031908605980432,-105.0791261833105,1
413.88554533647715,-5.89162486397848,-105.55656813962607,1
