Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.77174459875943,86.14861972630094,2
40.8,-31.15543731112049,88.80189108338243,2
41.616,-31.04421577237928,88.14038879899421,2
42.44832,-30.923278120200102,87.65790787239098,2
43.297286400000004,-30.67044551615161,86.67274465782006,2
44.163232128000004,-30.556466874439284,89.76173108391818,2
45.046496770560005,-30.511220768395173,87.46655298886469,2
45.9474267059712,-30.09710098801864,90.88900536393906,2
46.866375240090626,-30.11466270722859,84.67166317157137,2
47.80370274489244,-30.054178133893515,87.68445068181859,2
48.75977679979029,-29.535823975813503,88.29656680770836,2
49.7349723357861,-29.47766638011591,87.31088523239154,2
50.72967178250182,-29.484674701056186,88.7880784435801,2
51.74426521815185,-29.237122488988476,88.47044600840132,2
52.77915052251489,-29.09692504273414,89.1349514105533,2
53.83473353296519,-28.88212133836964,86.39742563611088,2
54.911428203624496,-28.540746690316187,88.54700334087724,2
56.00965676769699,-28.52985148981227,89.78829695384924,2
57.12984990305093,-28.1033252794705,86.49871000313294,2
58.27244690111195,-28.17601088445966,89.38940456756062,2
59.437895839134185,-28.21100508986276,90.08757247780693,2
60.62665375591687,-27.62579354599925,87.97980764496687,2
61.83918683103521,-27.771478920860933,89.40876073785813,2
63.075970567655915,-27.5502944482348,85.02444182204044,2
64.33748997900904,-27.09322396309382,89.12056405408192,2
65.62423977858921,-27.217054297388128,87.03461388399136,2
66.936724574161,-26.957414754650657,85.9706076655217,2
68.27545906564423,-26.76878645912112,86.63211684709819,2
69.64096824695712,-26.519660606467106,87.62750734707458,2
71.03378761189626,-26.712431378465954,87.69008574955221,2
72.45446336413418,-26.331386896133218,87.49934611789541,2
73.90355263141687,-26.297777542503162,85.26668643446581,2
75.38162368404521,-26.00099593132748,87.47314259384878,2
76.88925615772611,-25.633319736230977,87.32673981299183,2
78.42704128088063,-25.657431036154936,85.99535042960154,2
79.99558210649825,-25.38794525682743,86.60529356331419,2
81.59549374862821,-25.457754648718346,86.61050563682306,2
83.22740362360078,-25.408033140924754,86.1454034912213,2
84.8919516960728,-24.947062284169238,86.25766937292667,2
86.58979072999425,-24.64926716398032,86.0175622447457,2
88.32158654459414,-24.650435416615867,86.29765208138656,2
90.08801827548602,-24.378137674522968,86.57835697507045,2
91.88977864099574,-24.051216186660504,85.975342541597,2
93.72757421381566,-24.071246872166537,85.30847557686779,1
95.60212569809197,-23.97950291372459,84.94314981419468,2
97.5141682120538,-23.732865575588672,86.12980636894258,2
99.46445157629488,-23.38191311732882,86.13382894936231,2
101.45374060782078,-23.225494187892462,85.89227405091373,2
103.4828154199772,-23.241175000522883,85.64067445254454,2
105.55247172837674,-22.9554364195897,85.08322437988261,2
107.66352116294428,-22.91842439639978,85.25764331239785,1
109.81679158620317,-22.530538950900755,85.39850416953888,1
112.01312741792724,-22.550853389403812,84.00776266836928,1
114.25338996628578,-22.19349052085203,86.24352086536737,1
116.5384577656115,-22.25828169185546,85.14374682629584,1
118.86922692092372,-22.01113608696884,84.9209045858826,1
121.2466114593422,-21.932320635866525,84.86170017128886,1
123.67154368852906,-21.56025455365041,85.11837220893284,1
126.14497456229964,-21.468720674492083,84.35279603548071,1
128.66787405354563,-21.285609416716035,84.22379542854236,1
131.24123153461656,-21.131242011159408,84.08914727603563,1
133.8660561653089,-20.872876517491008,84.87779628998123,1
136.54337728861506,-20.694043264881913,84.22895645051963,1
139.27424483438736,-20.424940204115163,84.46468176493968,1
142.05972973107512,-20.590632234803856,83.21221157392236,1
144.90092432569662,-20.2849589161529,83.99044072030443,1
147.79894281221056,-20.169911167357178,82.95895610600084,1
150.75492166845476,-19.87519271159579,83.62303274658557,1
153.77002010182386,-19.491915210230736,84.16599046897892,1
156.84542050386034,-19.610966073801258,83.15049950369551,1
159.98232891393755,-19.281569969586467,82.41314489527304,1
163.1819754922163,-19.18974408616135,82.78715615565585,1
166.44561500206063,-19.159843026197347,83.2797259289002,1
169.77452730210186,-18.790578795231355,82.70787013756626,1
173.17001784814389,-18.615914060816856,82.83352317713627,1
176.63341820510678,-18.446771111780247,82.28155711360455,1
180.16608656920891,-18.274689162477692,82.0356704933604,1
183.76940830059308,-18.027530803822188,82.39236492552942,1
187.44479646660494,-17.947491229633787,81.37313431733776,1
191.19369239593703,-17.830209120379227,82.0139397929232,1
195.01756624385578,-17.59752561059393,81.93238665865742,1
198.9179175687329,-17.380975386641595,81.36011561144747,1
202.89627592010754,-17.106179194738235,81.44056282389431,1
206.9542014385097,-17.024549854708695,81.22874585269886,1
211.09328546727988,-16.856696409949695,80.51477681012463,1
215.31515117662548,-16.772262677769742,80.76867540703748,1
219.62145420015798,-16.354446110370795,80.79386991944048,1
224.01388328416115,-16.420370320417646,80.58120814844304,1
228.49416094984437,-16.009853601562774,80.67682239451449,1
233.06404416884126,-16.05689442519058,79.90269586801912,1
237.7253250522181,-15.714916690179365,79.81755095249149,1
242.47983155326247,-15.61731643016005,79.66349336458482,1
247.32942818432772,-15.29959595169667,79.44352270491254,1
252.27601674801429,-15.200453447242602,79.3103208615938,1
257.3215370829746,-14.962761751845157,79.0516702716443,1
262.4679678246341,-14.856963115299042,78.52422918770446,1
267.7173271811268,-14.488260631718518,78.52083933565046,1
273.07167372474936,-14.526413642467512,78.09715965462084,1
278.53310719924434,-14.13821565664815,78.47675884818086,1
284.10376934322926,-14.162043559329838,77.31851978205934,1
289.78584473009386,-13.807601662819756,77.43051179275886,1
295.5815616246957,-13.685729801972727,77.39945811193608,1
301.4931928571896,-13.516281803546832,77.15577413161448,1
307.52305671433345,-13.1998647704004,76.99485042342428,1
313.6735178486201,-13.176748740333851,76.33716818535787,1
319.9469882055925,-12.803794266730872,76.29492715662023,1
326.34592796970435,-12.605116854185715,75.65902488332692,1
332.87284652909847,-12.57669222134348,75.20330622640893,1
339.53030345968045,-12.236337265110878,75.50492005211264,1
