Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.80071639546366,90.74625954975406,2
40.8,-31.66379706423757,90.04936202340491,2
41.616,-31.630809348870343,87.3343522834325,2
42.44832,-31.48227266164269,88.97695707513013,2
43.297286400000004,-31.118034563644848,88.21893531140798,2
44.163232128000004,-31.2620119446296,87.87874734931515,2
45.046496770560005,-30.690805962157754,89.06948715965152,2
45.9474267059712,-30.73179855661207,90.26876460954537,2
46.866375240090626,-30.5914819144377,88.66848020122148,2
47.80370274489244,-30.429068149001573,88.5555133880316,2
48.75977679979029,-29.840015286431612,87.14621327329405,2
49.7349723357861,-30.099276327209683,87.8691326377974,2
50.72967178250182,-30.275877764729373,90.12853412974357,2
51.74426521815185,-29.435912677066003,87.28105757189716,2
52.77915052251489,-29.177913437339424,88.62627118743336,2
53.83473353296519,-29.585087665757204,86.01062796348526,2
54.911428203624496,-28.802862369148933,87.73575854149735,2
56.00965676769699,-29.277655110186434,87.70060659337638,2
57.12984990305093,-28.245638286311518,87.10499711861655,2
58.27244690111195,-28.396339897057516,87.29717819762097,2
59.437895839134185,-28.464870918315782,86.17113999907568,2
60.62665375591687,-28.160383252648312,85.50729160501356,2
61.83918683103521,-27.905352474081845,89.97665002403062,2
63.075970567655915,-27.96264713380825,86.76765383515557,2
64.33748997900904,-27.484282809339906,88.70357968135494,2
65.62423977858921,-27.463772924602733,87.90384478136893,2
66.936724574161,-27.0277432541094,86.61658012876319,2
68.27545906564423,-27.314894900036094,86.9578020650284,2
69.64096824695712,-26.88184367192047,87.14091255774424,2
71.03378761189626,-26.662906557986933,88.31649057156119,2
72.45446336413418,-26.53362964798016,89.31648208090172,2
73.90355263141687,-26.564161585399226,88.35008821222576,2
75.38162368404521,-26.32654316392764,88.64321383309348,2
76.88925615772611,-25.840971740764974,88.36878573919893,2
78.42704128088063,-26.043286783871938,88.03031966753156,2
79.99558210649825,-25.68568622506201,86.94162705773287,2
81.59549374862821,-25.541327818797214,87.24202130509019,2
83.22740362360078,-25.39674744390517,87.21900942234376,2
84.8919516960728,-25.214151530401082,87.1604342088904,2
86.58979072999425,-24.91076062473131,86.66603096496237,2
88.32158654459414,-25.019706604060623,88.90568013265164,2
90.08801827548602,-24.621235805528908,86.85397699178297,2
91.88977864099574,-24.497105367345934,87.51478315385219,1
93.72757421381566,-24.3732455806139,85.873816466006,2
95.60212569809197,-24.216762889316314,87.08218072718155,2
97.5141682120538,-23.91107632507932,86.33270192557791,2
99.46445157629488,-23.74695123575961,87.37851083704675,2
101.45374060782078,-23.754675517643197,86.72427677830592,2
103.4828154199772,-23.51307751042637,86.7888901173984,1
105.55247172837674,-23.17848861307798,85.45532889479415,2
107.66352116294428,-23.297499988468815,86.3528872006745,2
109.81679158620317,-22.894846309496184,87.18694908363858,1
112.01312741792724,-22.760199402036022,87.51516926688444,1
114.25338996628578,-22.57332891719748,86.29265287409766,1
116.5384577656115,-22.595085852964864,84.76097266886205,1
118.86922692092372,-22.313274276374667,86.39385499440047,1
121.2466114593422,-22.1557713887624,86.1794148588193,1
