Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.594389569630685,89.94989106358044,2
40.8,-32.07230094196819,91.48015394751428,2
41.616,-31.276524943846095,88.87421594279675,2
42.44832,-31.237573720636924,87.50802354830414,2
43.297286400000004,-31.079422534910552,87.52385548447036,2
44.163232128000004,-30.714403580007186,89.22787485297654,2
45.046496770560005,-30.91272433525001,88.98195242454973,2
45.9474267059712,-30.560020448560564,86.74905705483059,2
46.866375240090626,-30.010408018395097,88.33742740233617,2
47.80370274489244,-29.88624143467659,87.86223563466089,2
48.75977679979029,-29.799036722494744,89.98715450013799,2
49.7349723357861,-29.73707047085301,86.09396372311996,2
50.72967178250182,-29.476673898309823,87.09308382292471,2
51.74426521815185,-29.22430734604036,90.28870099243342,2
52.77915052251489,-29.407062108329,89.38366353641288,2
53.83473353296519,-29.009657709889638,89.93949240483043,2
54.911428203624496,-28.94264631026982,86.36809740203587,2
56.00965676769699,-29.034510083481724,88.99573742713616,2
57.12984990305093,-28.5485594081515,89.60323352940571,2
58.27244690111195,-28.465034788356437,86.97639122077912,2
59.437895839134185,-28.137406182163666,86.0538324987728,2
60.62665375591687,-28.184976827801915,87.41595672240145,2
61.83918683103521,-27.52628769521214,88.73641133760168,2
63.075970567655915,-27.83348975478807,88.34396274227018,2
64.33748997900904,-27.876665917520885,92.33653954182607,2
65.62423977858921,-27.580338155419295,87.49115650696086,2
66.936724574161,-27.171088307395703,89.37765336509835,2
68.27545906564423,-27.187779927247586,87.40578448198718,2
69.64096824695712,-26.855679756836214,89.1916607379153,2
71.03378761189626,-26.789581257892564,88.36519660065065,2
72.45446336413418,-26.43169278778249,87.76195119939592,2
73.90355263141687,-26.52142044456077,87.77175130287995,2
75.38162368404521,-26.20524627343598,87.77893617661934,2
76.88925615772611,-26.126377527469252,87.3758066414079,2
78.42704128088063,-26.01325855166268,87.80133662104727,2
79.99558210649825,-25.788796896976198,88.33509856733656,2
81.59549374862821,-25.556358736498776,86.94947817972216,2
83.22740362360078,-25.524423451978112,87.38506032747364,2
84.8919516960728,-25.248655300689244,87.80959612187803,2
86.58979072999425,-24.961301417297705,87.17224769005065,2
88.32158654459414,-24.772351776942863,89.56158241129054,2
90.08801827548602,-24.481386533202453,86.50535188187526,1
91.88977864099574,-24.60782348067702,87.83558201548408,2
93.72757421381566,-24.261908741960884,87.53698302075166,1
95.60212569809197,-24.01077901261237,88.00634030197384,2
97.5141682120538,-24.10780276197424,86.33539186769895,1
99.46445157629488,-23.821476013895374,85.93784468166847,2
101.45374060782078,-23.57797696965788,86.32859646913977,1
103.4828154199772,-23.364176210195346,87.87006863217957,1
105.55247172837674,-23.084840575770194,84.84747029109258,1
107.66352116294428,-23.236487750448344,87.28064350879961,1
109.81679158620317,-22.97066588472286,86.75292401329875,1
112.01312741792724,-22.874593002149485,86.75398076369146,1
114.25338996628578,-22.522868563389718,87.52358936378596,1
116.5384577656115,-22.539269715034006,86.124029402617,1
118.86922692092372,-22.269223083201304,86.15079061403486,1
121.2466114593422,-22.06862553683797,85.99454164827465,1
123.67154368852906,-21.91580982728116,86.5616220089313,1
126.14497456229964,-21.683387036738615,86.72604297179579,1
128.66787405354563,-21.49801766872006,87.13799917392757,1
131.24123153461656,-21.430961610290694,85.9455833535556,1
133.8660561653089,-21.34081814988611,86.90907021064226,1
136.54337728861506,-21.08766476077843,86.72097032290357,1
139.27424483438736,-20.826097342065868,86.6553450201229,1
142.05972973107512,-20.938698052214797,86.39229350413522,1
144.90092432569662,-20.484184278011515,86.23253081822577,1
147.79894281221056,-20.387297663095172,85.55056691726867,1
150.75492166845476,-20.23148072695752,85.94729674768618,1
153.77002010182386,-19.918417520894845,85.5419930427604,1
156.84542050386034,-19.968445100866678,85.53690336696826,1
159.98232891393755,-19.69819918258251,84.70217162756876,1
163.1819754922163,-19.5658476165419,85.62418797136343,1
166.44561500206063,-19.387643913666547,84.58003707174393,1
169.77452730210186,-19.21100902015084,85.46339587486551,1
173.17001784814389,-18.946995002955518,84.85669384327235,1
176.63341820510678,-18.873072089418905,85.27499440528368,1
180.16608656920891,-18.62308184010069,84.85829726313214,1
183.76940830059308,-18.42312314454537,84.93954586477565,1
187.44479646660494,-18.34993915569436,85.07038170938375,1
191.19369239593703,-18.243071835604564,84.37472705493376,1
195.01756624385578,-17.87757052405174,84.74188105747862,1
198.9179175687329,-17.70576706176167,83.58612854501762,1
202.89627592010754,-17.68758164225062,84.39008224268684,1
206.9542014385097,-17.49870742427996,83.93151726771299,1
211.09328546727988,-17.581022978705445,84.1406639046912,1
215.31515117662548,-17.296680227141447,83.8234439969471,1
219.62145420015798,-16.837017759085082,84.09216278398316,1
224.01388328416115,-16.90108051061302,83.50902807833398,1
228.49416094984437,-16.629051471766147,83.8325167081037,1
233.06404416884126,-16.56068402673173,83.77029733910882,1
237.7253250522181,-16.303307652492673,83.51482766532769,1
242.47983155326247,-16.19372630355649,83.24236546564481,1
247.32942818432772,-15.968405851974302,83.25634617244202,1
252.27601674801429,-15.773813790137194,82.95801234325239,1
257.3215370829746,-15.594516330948514,83.11061635494033,1
262.4679678246341,-15.50343450345991,82.78138689637021,1
267.7173271811268,-15.191065987939222,82.69115575565968,1
273.07167372474936,-15.295527863730978,81.84880376707818,1
278.53310719924434,-14.855201377159922,82.35622642581873,1
