Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.723539090168845,87.62559975325149,2
40.8,-29.59448349317162,87.59720621816507,2
41.616,-29.603227838853893,87.84762740839939,2
42.44832,-29.25772561462291,89.37735176786981,2
43.297286400000004,-29.049571907174982,88.25711900984669,2
44.163232128000004,-28.917698006123594,87.04562531033594,2
45.046496770560005,-28.75581110611954,90.96912518157676,2
45.9474267059712,-28.872330323400682,88.09117103023047,2
46.866375240090626,-28.74270419901188,88.32502974218636,2
47.80370274489244,-28.09220750344725,88.9724354329603,2
48.75977679979029,-28.12051295745452,88.52209755606162,2
49.7349723357861,-27.897705927968424,87.00715910276338,2
50.72967178250182,-27.434331772516224,89.30233122629522,2
51.74426521815185,-27.642427522489676,89.02279602639233,2
52.77915052251489,-27.11905982036958,91.01557284053877,2
53.83473353296519,-27.23161948323252,88.33302807445159,2
54.911428203624496,-27.011062009353232,87.48085440062513,2
56.00965676769699,-27.162443072475188,87.82724787814134,2
57.12984990305093,-26.647319973749777,87.98073371066039,2
58.27244690111195,-26.576239635882118,88.25263517517662,2
59.437895839134185,-26.340859940052272,88.28092560881741,2
60.62665375591687,-26.258294922441188,89.2635034833828,2
61.83918683103521,-26.154799986354845,87.962769705538,2
63.075970567655915,-25.798098350624297,88.42968459961564,2
64.33748997900904,-25.774451918813966,88.53129813245431,2
65.62423977858921,-25.775096844712444,86.85381847329694,2
66.936724574161,-25.381375186836614,87.46996812586292,2
68.27545906564423,-25.335739400389468,87.45520142998213,2
69.64096824695712,-24.979123577052242,87.01019930936613,2
71.03378761189626,-24.88156197676521,88.43341535158947,2
72.45446336413418,-24.58231002814738,88.68095334024133,2
73.90355263141687,-24.484050149493434,87.61008124242879,2
75.38162368404521,-24.4281005231398,87.1917505353221,2
76.88925615772611,-24.09994449396329,86.4161412653043,1
78.42704128088063,-24.132029494375026,87.76806437174366,2
79.99558210649825,-24.079015537355186,87.01574379778864,2
81.59549374862821,-23.660565507940692,86.95851352685887,2
83.22740362360078,-23.555242945504286,87.56835934128645,1
84.8919516960728,-23.279235977400845,87.85612326687215,1
86.58979072999425,-23.13137140506891,87.32115603691898,2
88.32158654459414,-23.038279120291264,86.79063296311153,2
90.08801827548602,-22.85959030118043,87.15294030452398,2
91.88977864099574,-22.45544978467531,86.99160389267877,1
93.72757421381566,-22.570839728381515,86.37325562190229,1
95.60212569809197,-22.158756185456557,85.89384984725447,1
97.5141682120538,-22.046615824496556,86.88497198102948,1
99.46445157629488,-21.952320458915672,86.4081919564768,1
101.45374060782078,-21.70047917167737,87.09737112125185,1
103.4828154199772,-21.62923778158508,85.65246742026216,1
105.55247172837674,-21.522679785385588,86.96009828231865,1
107.66352116294428,-21.432971995753768,86.28847093385616,1
109.81679158620317,-20.99951919655043,86.54133286424687,1
112.01312741792724,-21.020189070784433,86.18076311247935,1
114.25338996628578,-20.73861461042663,86.08250514915557,1
116.5384577656115,-20.605363261254315,86.8250775972333,1
