Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.614237408654105,89.71757918858984,2
40.8,-29.168966402309323,87.01821213193824,2
41.616,-29.39499036102163,91.03603350264865,2
42.44832,-29.125107808520376,88.1055005356476,2
43.297286400000004,-29.08125111360124,89.18181421366546,2
44.163232128000004,-28.587887417424145,88.94944089178378,2
45.046496770560005,-28.281882042564195,89.33378546299045,2
45.9474267059712,-28.555554921289097,87.39379656728921,2
46.866375240090626,-28.735421259692853,87.8765263454045,2
47.80370274489244,-28.117468582027787,90.55279029849422,2
48.75977679979029,-27.58935548808489,88.64932381061084,2
49.7349723357861,-27.576178759549652,89.9664880430011,2
50.72967178250182,-26.481910746473734,86.32131677848758,2
51.74426521815185,-27.046498373652938,89.44289961869117,2
52.77915052251489,-26.714805487858044,87.90175606057358,2
53.83473353296519,-27.24451826882795,88.15248947741827,2
54.911428203624496,-26.490610290930103,87.10750735494705,2
56.00965676769699,-26.7048329853237,89.50949201981035,2
57.12984990305093,-26.29952572919851,87.8451543471732,2
58.27244690111195,-26.313969993523415,87.53075323086318,2
59.437895839134185,-26.217256151354064,88.58162525658095,2
60.62665375591687,-25.995689657770313,88.45204202038921,2
61.83918683103521,-25.602550489069948,87.76682340752467,2
63.075970567655915,-25.623985579164625,88.87317308243438,2
64.33748997900904,-25.43818004097179,88.25431071970695,2
65.62423977858921,-25.23708233074354,88.09164094202615,2
66.936724574161,-24.958841587159057,88.57905174499422,2
68.27545906564423,-24.983372671812475,86.65694788187082,2
69.64096824695712,-24.54519238863746,88.54274525976751,2
71.03378761189626,-24.539620621260013,90.35080362155378,2
72.45446336413418,-24.332670617781698,89.48219368629964,2
73.90355263141687,-24.07914954521323,87.94865633732866,2
75.38162368404521,-24.196330702942806,88.08361231840126,2
76.88925615772611,-23.690395024906895,86.84947270623792,1
78.42704128088063,-23.891708808084896,88.66938684514307,2
79.99558210649825,-23.47114590776009,88.45244997803348,2
81.59549374862821,-23.3283430660466,88.20994157195116,1
83.22740362360078,-23.27484182334059,87.56781943573213,1
84.8919516960728,-22.787752308579883,87.99882758973098,1
86.58979072999425,-22.608970102070522,87.15140956195938,1
88.32158654459414,-22.591270399098978,88.42677394927452,1
90.08801827548602,-22.488803191491378,87.76837378141127,1
91.88977864099574,-22.236484159241034,87.53084649879486,1
93.72757421381566,-22.23464802266921,87.42972563628427,1
95.60212569809197,-22.052175651477327,88.00912006511302,1
97.5141682120538,-21.717512489047643,88.29180966378203,1
99.46445157629488,-21.625949924237567,87.263333420145,1
101.45374060782078,-21.314199484585455,87.14241624745307,1
103.4828154199772,-21.317796579767037,88.22180444675183,1
105.55247172837674,-21.219587315926244,88.14617920571345,1
107.66352116294428,-21.134374675487436,86.93261478086232,1
109.81679158620317,-20.60081764218335,88.08435236698384,1
112.01312741792724,-20.72237995937204,87.43263498140557,1
114.25338996628578,-20.264245575526413,86.78578690668172,1
116.5384577656115,-20.29567437912038,87.27860479550499,1
118.86922692092372,-19.8784459229212,87.30402704936165,1
121.2466114593422,-20.00354706198703,86.53346800223136,1
123.67154368852906,-19.796348460170243,87.25927587780723,1
126.14497456229964,-19.539369556800835,87.06253959757758,1
128.66787405354563,-19.3921366394223,86.38038592627402,1
131.24123153461656,-19.357843001002518,86.22158039453369,1
133.8660561653089,-18.885086168966442,86.75741465503603,1
136.54337728861506,-18.95514231371056,86.91947113797141,1
139.27424483438736,-18.760906419716253,87.1975087127029,1
142.05972973107512,-18.627655773701257,86.1100725538747,1
144.90092432569662,-18.297664008930877,85.98936502236916,1
147.79894281221056,-18.199717297622307,85.93360707702524,1
150.75492166845476,-17.99953221296784,85.74938516574154,1
153.77002010182386,-17.779686119896027,85.83123695450587,1
156.84542050386034,-17.71299750735398,86.15234861261077,1
159.98232891393755,-17.494449842446834,86.28485989082868,1
163.1819754922163,-17.272583075852427,85.56819537695914,1
166.44561500206063,-17.222226239126897,85.6523584366179,1
169.77452730210186,-16.897512801414,85.18324514281755,1
173.17001784814389,-16.857393571398802,85.75050125343637,1
176.63341820510678,-16.79795534119309,85.21186233424102,1
180.16608656920891,-16.354975823701658,85.80474847530697,1
183.76940830059308,-16.264986208434742,85.18393557620783,1
187.44479646660494,-16.153104721737222,84.95771109263339,1
