Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.194530878559487,-92.66553596024025,2
40.8,-28.87263176839182,-92.60366145159682,2
41.616,-28.939629859428678,-92.88386095310612,2
42.44832,-28.539443121797014,-92.16945619619634,2
43.297286400000004,-28.77857564309924,-91.34355887288847,2
44.163232128000004,-28.294007386959816,-93.13010783257016,2
45.046496770560005,-28.2717701079896,-91.4732366666373,2
45.9474267059712,-28.005761354492996,-90.41453223854442,2
46.866375240090626,-28.099816042548074,-91.11361291325645,2
47.80370274489244,-27.75493318879787,-91.77330831598593,2
48.75977679979029,-27.45954020565499,-92.44466331194494,2
49.7349723357861,-27.10573378084666,-91.5020952308987,2
50.72967178250182,-27.116600763029176,-91.77803962907966,2
51.74426521815185,-26.875606417331337,-93.36445017951917,2
52.77915052251489,-26.47713418886639,-92.07471014501166,2
53.83473353296519,-26.766660338446407,-91.68434163853584,2
54.911428203624496,-26.438161438751656,-94.63684552540016,2
56.00965676769699,-26.51948322229388,-92.8750624748493,2
57.12984990305093,-25.90762603012279,-92.77702708178721,2
58.27244690111195,-26.08600942125631,-93.09411725248462,2
59.437895839134185,-25.726414376764385,-93.11542955349398,2
60.62665375591687,-25.58927804801865,-92.99988939958058,2
61.83918683103521,-25.265915359346238,-92.20889828358362,2
63.075970567655915,-25.144322185960988,-92.67279659013408,2
64.33748997900904,-24.812600646993953,-93.23001361295634,2
65.62423977858921,-24.897761185031644,-92.84464610906213,2
66.936724574161,-24.54208326531675,-92.34004802173406,2
68.27545906564423,-24.553846292302666,-92.73631700935982,2
69.64096824695712,-24.224717459484186,-93.02043861474435,2
71.03378761189626,-24.18892902251623,-91.70860285185984,2
72.45446336413418,-23.820227439479353,-94.04135373372247,1
73.90355263141687,-23.797074400227476,-93.49463166702569,2
75.38162368404521,-23.67781858429602,-93.60832696657536,2
76.88925615772611,-23.296512128293195,-93.63731060351884,1
78.42704128088063,-23.309813697981003,-92.78659818147511,1
79.99558210649825,-22.997326870364827,-93.97918596378648,1
81.59549374862821,-22.85911475537592,-94.57011364413523,1
83.22740362360078,-22.750427334308405,-94.75494179071966,2
84.8919516960728,-22.44824745476872,-93.8352486865065,1
86.58979072999425,-22.288207233311415,-92.986080054975,1
88.32158654459414,-22.2398786431947,-94.96529791394397,1
90.08801827548602,-21.990776262709,-94.667442589958,1
91.88977864099574,-21.849248766189167,-94.32458921149825,1
93.72757421381566,-21.62558428614001,-94.70017666323261,1
95.60212569809197,-21.47760085849266,-94.33567566466348,1
97.5141682120538,-21.35091469795613,-94.110159539805,1
99.46445157629488,-20.97735460330514,-94.8092558117161,1
101.45374060782078,-20.885189768339174,-94.95475119663304,1
103.4828154199772,-20.782786309736576,-94.6459642217857,1
105.55247172837674,-20.458986933863216,-94.65892555347388,1
107.66352116294428,-20.511560389220353,-95.75933298366888,1
109.81679158620317,-20.160099539773793,-94.67207090336134,1
112.01312741792724,-20.09080352142734,-95.15157027784971,1
114.25338996628578,-19.803993738392027,-94.80037687516753,1
116.5384577656115,-19.698482708047024,-95.31769406931262,1
118.86922692092372,-19.420269954543492,-95.85431483677014,1
121.2466114593422,-19.396256826093065,-95.49184541442116,1
123.67154368852906,-19.160173636303224,-95.9833876855814,1
126.14497456229964,-18.929285971746655,-96.08037856927719,1
128.66787405354563,-18.88146138995756,-96.01658601250698,1
131.24123153461656,-18.684561260576224,-96.52159853432715,1
133.8660561653089,-18.292045554384153,-96.11326148143462,1
136.54337728861506,-18.36168463810172,-96.87106825820743,1
139.27424483438736,-18.075221135997104,-95.95815554861866,1
142.05972973107512,-17.985302243700097,-97.07465272679474,1
144.90092432569662,-17.67603375484371,-97.28010524433569,1
147.79894281221056,-17.61958062861774,-97.24321297617874,1
150.75492166845476,-17.38387898515337,-97.25944505158998,1
153.77002010182386,-17.121459619334892,-96.8954934203705,1
156.84542050386034,-17.044785663094896,-97.49227014998147,1
159.98232891393755,-16.79621549744245,-97.91187650050223,1
163.1819754922163,-16.623804010232902,-97.59490284866564,1
166.44561500206063,-16.555117046094637,-98.21146843125005,1
169.77452730210186,-16.29890380735868,-98.25474386687252,1
173.17001784814389,-16.03224547873458,-98.19164502265676,1
176.63341820510678,-15.95070781907772,-99.15475612720448,1
180.16608656920891,-15.64907796186371,-99.2441882070094,1
183.76940830059308,-15.373683844210273,-98.72204338406144,1
187.44479646660494,-15.347079026259449,-99.49838298733869,1
191.19369239593703,-15.17605890373726,-99.35378435141229,1
195.01756624385578,-14.87928950982033,-99.7239666542986,1
198.9179175687329,-14.729596069369137,-99.805872972868,1
202.89627592010754,-14.544926140200838,-99.81886751462615,1
206.9542014385097,-14.336060567756412,-100.27708007936279,1
211.09328546727988,-14.23029179659988,-100.0616886890698,1
215.31515117662548,-14.061205726621116,-101.0699508529544,1
219.62145420015798,-13.640186975226248,-100.28227444748516,1
224.01388328416115,-13.698932459474253,-101.15150278537305,1
228.49416094984437,-13.338589171468277,-100.77958622235616,1
233.06404416884126,-13.290503209670154,-101.93930556304038,1
237.7253250522181,-12.948718321015553,-101.72478139803654,1
242.47983155326247,-12.868488632744759,-102.47122990502692,1
247.32942818432772,-12.588508952162186,-102.46538489545898,1
252.27601674801429,-12.440786127919322,-102.61810706116893,1
257.3215370829746,-12.183676929022418,-102.7755792658624,1
262.4679678246341,-12.006614910460996,-103.32863850014803,1
267.7173271811268,-11.763635258267803,-103.59636401285968,1
273.07167372474936,-11.678295467243775,-103.8939812109204,1
278.53310719924434,-11.275517111380562,-104.33267976121856,1
284.10376934322926,-11.216373855455736,-104.66413319692822,1
289.78584473009386,-10.915182011511048,-104.88105221145335,1
295.5815616246957,-10.803512701399322,-105.33269916476999,1
301.4931928571896,-10.51655242573118,-105.65408123742662,1
307.52305671433345,-10.298780236410357,-106.05411010684509,1
313.6735178486201,-10.187551453061017,-106.34149675292355,1
319.9469882055925,-9.793958307952021,-106.49241073773771,1
326.34592796970435,-9.622201516471826,-107.1136319993859,1
332.87284652909847,-9.489833216662355,-107.91614688486669,1
339.53030345968045,-9.11796124035078,-108.04105191364928,1
346.3209095288741,-8.91932824539149,-108.53633456801161,1
353.24732771945156,-8.805733088631035,-109.04497241348827,1
360.3122742738406,-8.48250894304065,-109.42636864856695,1
367.5185197593174,-8.200603597326353,-109.76441857385512,1
374.8688901545038,-8.005989412993202,-110.66486043096148,1
382.3662679575939,-7.794601397053839,-111.30317199702506,1
390.01359331674576,-7.479443620525841,-111.81176102726636,1
397.8138651830807,-7.188335641414426,-111.98381572198343,1
405.7701424867423,-6.990788922849598,-112.8144331654222,1
413.88554533647715,-6.755456646536623,-113.66752529440711,1
422.1632562432067,-6.520280171069119,-114.40620882428894,1
430.60652136807084,-6.208105740516244,-114.99326146333365,1
439.21865179543227,-5.916251050582411,-115.79585921990929,1
448.0030248313409,-5.632713812087012,-116.39412088074768,1
456.96308532796775,-5.3073862737789685,-117.38818961501384,1
466.1023470345271,-5.033550079141062,-118.2178162625402,1
475.42439397521764,-4.7523428492457755,-119.15396605627333,1
484.932881854722,-4.447158149336277,-120.18601722164561,1
494.63153949181645,-4.163636137713718,-121.38731229205185,1
504.5241702816528,-3.8152693732346243,-122.29518963948345,1
514.6146536872859,-3.60309593865741,-124.03093875638083,1
524.9069467610317,-3.1258061032165783,-124.36920726551973,1
535.4050856962523,-2.954303975690172,-126.52254661932506,1
546.1131874101774,-2.4819629769061846,-127.24797317245918,1
