Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.81381074262524,-90.09819392903005,2
40.8,-29.71568929424692,-89.9944703956167,2
41.616,-29.417024671492648,-91.41885474877039,2
42.44832,-29.275321092321782,-92.4398906625949,2
43.297286400000004,-29.114323316073655,-89.28279492100282,2
44.163232128000004,-28.592101269133902,-92.18346141679785,2
45.046496770560005,-28.484773456395793,-90.84136205908962,2
45.9474267059712,-28.411139136384904,-90.3431366973149,2
46.866375240090626,-28.046057332132193,-90.62045701165096,2
47.80370274489244,-28.123716884071346,-91.82435924226185,2
48.75977679979029,-28.056442549429466,-90.65755992306178,2
49.7349723357861,-27.92743355556128,-90.81391242105308,2
50.72967178250182,-27.724768930316674,-92.59521044001312,2
51.74426521815185,-27.403479422855355,-90.86841994445444,2
52.77915052251489,-27.269433751855793,-91.66320869353521,2
53.83473353296519,-27.3538412829706,-92.49036656755264,2
54.911428203624496,-26.679589253545473,-91.43374348559115,2
56.00965676769699,-26.92901502364496,-92.55574156265453,2
57.12984990305093,-26.39851171451309,-93.58327539157057,2
58.27244690111195,-26.556339937211458,-93.15645618378085,2
59.437895839134185,-26.40320427115557,-91.94081593161974,2
60.62665375591687,-26.157801355152024,-91.16689289744947,2
61.83918683103521,-26.00707540440676,-92.11330033035942,2
63.075970567655915,-25.587072440612594,-91.97202151791927,2
64.33748997900904,-25.609338608850845,-92.60161399929231,2
65.62423977858921,-25.473742829718297,-91.5122546348851,2
66.936724574161,-25.19611671515436,-91.53248166714302,2
68.27545906564423,-25.146615237378363,-93.1185302226625,2
69.64096824695712,-24.88115615612266,-91.49382548349364,2
71.03378761189626,-24.577436766853534,-93.0037573546008,2
72.45446336413418,-24.508328633594,-93.31680402976005,2
73.90355263141687,-24.319939136340995,-90.84977559679653,2
75.38162368404521,-24.288369188949332,-92.80180688171897,2
76.88925615772611,-23.922952287340003,-91.99859003709238,2
78.42704128088063,-24.002728035265218,-92.52886000189642,1
79.99558210649825,-23.550127107893484,-91.79179103720973,1
81.59549374862821,-23.45183582782434,-92.18882616900771,2
83.22740362360078,-23.38735190748003,-93.35143264910496,1
84.8919516960728,-23.054203887659337,-92.39528636584598,2
86.58979072999425,-22.87216832953916,-93.39349002959857,1
88.32158654459414,-22.95744934959615,-92.44359879912486,1
90.08801827548602,-22.56546978099194,-93.05569143080288,1
91.88977864099574,-22.512275364331572,-92.47107322009506,1
93.72757421381566,-22.357227930113147,-92.79616804673283,1
95.60212569809197,-22.264169343937734,-93.09884681217261,1
97.5141682120538,-21.535466709388583,-92.0182269571201,1
99.46445157629488,-21.84918180758015,-92.86943943893226,1
101.45374060782078,-21.524589679091022,-93.5600229192517,1
103.4828154199772,-21.505997830161856,-93.00271238175222,1
105.55247172837674,-21.03664467797475,-93.75824521015579,1
107.66352116294428,-21.290899397221438,-93.12667088939818,1
109.81679158620317,-20.88056555367305,-92.94331630291705,1
112.01312741792724,-20.830582739916107,-93.5225183272376,1
114.25338996628578,-20.561041895513885,-93.13704747848335,1
116.5384577656115,-20.471220122771502,-94.20467453790258,1
118.86922692092372,-20.238043602852503,-93.41155500086724,1
121.2466114593422,-20.087214450859957,-93.50274860570573,1
123.67154368852906,-19.8906481591027,-94.04847776202716,1
126.14497456229964,-19.721842759880257,-93.86359747629284,1
128.66787405354563,-19.43912050587334,-93.54120559212585,1
131.24123153461656,-19.505753517660935,-94.39947349320022,1
133.8660561653089,-19.22428312330417,-94.05597924014484,1
136.54337728861506,-19.110624409366086,-94.48008642989817,1
139.27424483438736,-18.942027591613723,-94.07839843658729,1
142.05972973107512,-18.831140940839628,-95.50755686075865,1
144.90092432569662,-18.488827033675705,-93.9265628552846,1
147.79894281221056,-18.52619667184383,-94.73742883624178,1
150.75492166845476,-18.130985021950973,-94.68700928222077,1
153.77002010182386,-17.999225931159003,-95.05544135029986,1
156.84542050386034,-17.98877571272517,-94.9541393866086,1
159.98232891393755,-17.676998942377324,-94.86128189156446,1
163.1819754922163,-17.447689115574278,-94.67613307575488,1
166.44561500206063,-17.49728990695578,-95.73621562175029,1
169.77452730210186,-17.075405012243497,-94.58028894830794,1
173.17001784814389,-16.95312660779403,-95.39681611215572,1
176.63341820510678,-16.922543684723006,-95.25580058132539,1
180.16608656920891,-16.594158093505328,-95.59387633682155,1
183.76940830059308,-16.46632564949859,-94.98163637942216,1
187.44479646660494,-16.32350373044667,-95.3783708846867,1
191.19369239593703,-16.124103483896914,-96.01241573323335,1
195.01756624385578,-15.99369553176945,-96.1860084277157,1
198.9179175687329,-15.809381248459061,-96.1298033985422,1
202.89627592010754,-15.587647997909043,-96.04227751589146,1
