Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.270048923888922,-93.13129624119443,2
40.8,-28.707501956221304,-91.52804405420507,2
41.616,-28.99262580563205,-90.09283878917755,2
42.44832,-28.616574843962233,-90.61398464679917,2
43.297286400000004,-28.610322801946037,-89.18181209846941,2
44.163232128000004,-28.403586961016963,-89.41475979391771,2
45.046496770560005,-28.453939740147515,-92.09255043113694,2
45.9474267059712,-28.04389565655225,-91.2030581012072,2
46.866375240090626,-28.06835167271099,-92.68142987883705,2
47.80370274489244,-27.921433368971655,-91.02163756475998,2
48.75977679979029,-27.50585414943404,-89.64164338371793,2
49.7349723357861,-27.256064605813567,-91.08806187902314,2
50.72967178250182,-26.91149455542802,-91.62449407075852,2
51.74426521815185,-27.073174353782488,-94.48642857812058,2
52.77915052251489,-26.678833126222088,-91.45395377821339,2
53.83473353296519,-26.757138906597177,-90.42121744533864,2
54.911428203624496,-26.226465305934635,-91.92319672851542,2
56.00965676769699,-26.508298331973005,-90.93999411210996,2
57.12984990305093,-26.06324691163927,-90.9523255162564,2
58.27244690111195,-25.962564914934475,-91.54484037308572,2
59.437895839134185,-25.531813671784597,-91.32035889126215,2
60.62665375591687,-25.578642910469075,-90.79236097439116,1
61.83918683103521,-25.569367370207818,-90.9920820391936,2
63.075970567655915,-25.204521145260323,-91.6780740316748,2
64.33748997900904,-24.93764993316019,-91.88904375046049,2
65.62423977858921,-25.060754413347272,-91.2779095971623,2
66.936724574161,-24.876014584633122,-91.10802101835561,2
68.27545906564423,-24.731103806310795,-91.91357442571879,2
69.64096824695712,-24.32992004367528,-91.96794159393072,1
71.03378761189626,-24.3611620851067,-92.21046073255229,2
72.45446336413418,-24.095518839035673,-91.70647599805523,2
73.90355263141687,-24.052134906514603,-92.1510874944827,1
75.38162368404521,-23.6875498888523,-91.91040918515557,2
76.88925615772611,-23.554751201600027,-92.29767553540307,1
78.42704128088063,-23.464568853255745,-92.31042647856097,1
79.99558210649825,-23.204218153709224,-91.93117542014701,1
81.59549374862821,-23.00324197004295,-92.44046835665438,1
83.22740362360078,-22.89521595587688,-92.10015954005982,1
84.8919516960728,-22.705246049690313,-92.5278912458542,1
86.58979072999425,-22.467278296361435,-91.64094860698711,1
88.32158654459414,-22.45671911758439,-90.69305270629619,1
90.08801827548602,-22.13645278848721,-92.04478807374603,1
91.88977864099574,-21.799579737889726,-92.4086492486684,1
93.72757421381566,-21.973076884867048,-91.65598874030331,1
95.60212569809197,-21.987687699178018,-92.01509968981406,1
97.5141682120538,-21.415928831164514,-91.24663479241613,1
99.46445157629488,-21.27483646051143,-91.2969610654066,1
101.45374060782078,-21.145042897332118,-92.42583314798169,1
103.4828154199772,-21.09967690404835,-91.95510714519139,1
105.55247172837674,-20.362127696733527,-92.67801074873542,1
107.66352116294428,-20.72046551109475,-93.18349336327462,1
109.81679158620317,-20.228116113216085,-92.8655920472363,1
112.01312741792724,-20.43199519257129,-92.7649164067351,1
114.25338996628578,-20.091241029123815,-93.12515893852225,1
116.5384577656115,-20.011944808749508,-92.67401225554924,1
118.86922692092372,-19.798200361923854,-92.62519285873368,1
121.2466114593422,-19.656978003661802,-92.01996801221298,1
123.67154368852906,-19.412975758834563,-92.52426983964835,1
126.14497456229964,-19.354148564994958,-92.85657124302944,1
128.66787405354563,-19.028182148651318,-92.72857512678239,1
131.24123153461656,-18.928399315190592,-93.1914105907656,1
133.8660561653089,-18.643012941664335,-92.79984305599082,1
136.54337728861506,-18.63654357402288,-93.23432309490322,1
139.27424483438736,-18.29675774281892,-92.65224442263793,1
142.05972973107512,-18.367973156428093,-93.69356711660356,1
144.90092432569662,-17.9828091932501,-93.01189533980691,1
147.79894281221056,-17.89523123685234,-93.17129660387602,1
150.75492166845476,-17.77090990332424,-93.0503004527539,1
153.77002010182386,-17.49884214153066,-92.50655516655407,1
156.84542050386034,-17.518390802606316,-92.97137087963223,1
159.98232891393755,-17.173826630221395,-93.15425513949278,1
163.1819754922163,-17.03270352988833,-93.61014084340269,1
166.44561500206063,-17.003991217742332,-93.2894893695987,1
169.77452730210186,-16.747993124500336,-93.69011595858362,1
173.17001784814389,-16.508494779285872,-93.55952037130568,1
176.63341820510678,-16.444156377492575,-93.969923887812,1
180.16608656920891,-16.197245933877614,-94.10340842091878,1
183.76940830059308,-15.979573782204168,-94.22904714876637,1
187.44479646660494,-15.812227175742462,-94.43189227468294,1
191.19369239593703,-15.740651996540388,-94.30744853151026,1
195.01756624385578,-15.360861970550525,-94.80524275471846,1
198.9179175687329,-15.270312435185707,-94.23417157865008,1
202.89627592010754,-15.07346512591604,-94.2399543321964,1
206.9542014385097,-14.986206194085051,-94.91585195332594,1
211.09328546727988,-14.894605254822086,-94.33835065102261,1
215.31515117662548,-14.709758223999549,-94.83981861594768,1
219.62145420015798,-14.373605877326476,-94.8093129252982,1
224.01388328416115,-14.456012653770669,-94.83250005315995,1
228.49416094984437,-14.057873066836589,-95.2900522590386,1
233.06404416884126,-14.011890779658177,-95.294360476434,1
237.7253250522181,-13.770997035173263,-95.14688382385151,1
242.47983155326247,-13.656549986965578,-95.20252768556583,1
247.32942818432772,-13.44499242641443,-95.7386244545777,1
252.27601674801429,-13.298963170800427,-95.81177855577513,1
257.3215370829746,-13.078069459700657,-95.45561994304687,1
262.4679678246341,-13.003693977530425,-96.36554846872355,1
267.7173271811268,-12.73848924795197,-95.84077348513999,1
273.07167372474936,-12.698431538604474,-96.35327823319733,1
278.53310719924434,-12.360429975271677,-95.85539352654914,1
284.10376934322926,-12.386252481279872,-96.37123571165233,1
289.78584473009386,-11.965620461802054,-96.34907214610072,1
295.5815616246957,-12.000599981235233,-96.79131781975633,1
301.4931928571896,-11.786317647028614,-96.90816674288669,1
307.52305671433345,-11.533028787139912,-96.77957396610243,1
313.6735178486201,-11.500839067511306,-97.08747632225125,1
319.9469882055925,-11.199759937067876,-96.85348285148152,1
326.34592796970435,-11.081608171751665,-97.1990021654647,1
332.87284652909847,-10.951291091783972,-97.33936449267387,1
339.53030345968045,-10.691464173245938,-97.67053659789,1
346.3209095288741,-10.523481505511613,-97.63105719978651,1
353.24732771945156,-10.470953413363612,-97.93575198308889,1
360.3122742738406,-10.219282721488172,-98.10350980651583,1
367.5185197593174,-10.00832035091662,-98.2060738618211,1
374.8688901545038,-9.89096391130316,-98.34121852015551,1
382.3662679575939,-9.776829748265897,-98.60653943985494,1
390.01359331674576,-9.538245110829962,-98.79990374771617,1
397.8138651830807,-9.325788036302662,-98.94899639292271,1
405.7701424867423,-9.163492778976543,-99.1567579865756,1
413.88554533647715,-9.068208865011306,-99.33589676910896,1
422.1632562432067,-8.926288286879032,-99.64618580663694,1
430.60652136807084,-8.714780424039384,-99.66735742941069,1
439.21865179543227,-8.50827554715238,-99.83394868726221,1
448.0030248313409,-8.299131111469546,-99.7550182611042,1
456.96308532796775,-8.102014146549434,-100.02052134955464,1
466.1023470345271,-7.944680872359529,-100.22099412894988,1
475.42439397521764,-7.778522988774548,-100.35961206292274,1
484.932881854722,-7.6567716795407215,-100.78461421525782,1
494.63153949181645,-7.460983713088826,-101.00090921935411,1
504.5241702816528,-7.27492528520632,-101.06615113140828,1
514.6146536872859,-7.238774765848445,-101.5583195062058,1
524.9069467610317,-6.831499666550307,-101.40467215021117,1
535.4050856962523,-6.89059007608327,-102.10715816364193,1
546.1131874101774,-6.556936599072972,-101.79080982392631,1
557.035451158381,-6.524817018182186,-102.48138581933961,1
568.1761601815485,-6.305811180737687,-102.50479615594821,1
579.5396833851795,-6.13505952617548,-102.61459428262773,1
591.1304770528831,-5.9948399735149644,-103.21671605230547,1
602.9530865939407,-5.735035593293809,-103.2650592287151,1
615.0121483258196,-5.681730214004568,-103.57965791596666,1
