Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.059866953840846,-93.21007437155487,2
40.8,-23.767319809934268,-94.04940146699364,1
41.616,-23.625572630214908,-94.25705942630509,1
42.44832,-23.51469408102465,-92.94937558464483,1
43.297286400000004,-23.392780504011846,-92.99544877457559,2
44.163232128000004,-23.181237122139873,-93.0200802362084,1
45.046496770560005,-23.073531585853697,-94.17096613577952,1
45.9474267059712,-22.918590426360186,-93.6392597906979,2
46.866375240090626,-22.396217940030922,-93.927324836083,1
47.80370274489244,-22.401998211155618,-94.17147143878114,1
48.75977679979029,-22.14424967172366,-94.17971772161246,1
49.7349723357861,-22.08400012134617,-94.80011700916816,1
50.72967178250182,-21.84788260721323,-93.85063339356564,1
51.74426521815185,-21.59905794388981,-94.64404747715838,1
52.77915052251489,-21.34238438588506,-93.25776335616919,1
53.83473353296519,-21.3910770542873,-95.21039059391697,1
54.911428203624496,-21.11544923046985,-94.29069319895217,1
56.00965676769699,-21.045503268696734,-94.88735614778079,1
57.12984990305093,-20.677528827127908,-93.7634295600659,1
58.27244690111195,-20.753713275806934,-94.68538876700005,1
59.437895839134185,-20.47266123581941,-94.9883809512567,1
60.62665375591687,-20.315174424343077,-94.61644014030117,1
61.83918683103521,-20.120643238861227,-95.41421539721537,1
63.075970567655915,-20.01313078410927,-94.70947070361949,1
64.33748997900904,-19.72632087731413,-94.77962800301812,1
65.62423977858921,-19.688668354584923,-95.309161251065,1
66.936724574161,-19.370180117723084,-95.36614853093754,1
68.27545906564423,-19.237357073166972,-95.89921227512414,1
69.64096824695712,-18.95180695790953,-95.88044736520598,1
71.03378761189626,-18.97877636072109,-96.26083121797063,1
72.45446336413418,-18.642273009376236,-96.11635415664705,1
73.90355263141687,-18.58014760652521,-96.06535241271558,1
75.38162368404521,-18.454250704476213,-96.5697168290393,1
76.88925615772611,-18.03669459323742,-96.15373555631653,1
78.42704128088063,-18.08348821539734,-96.83044544517304,1
79.99558210649825,-17.713114400801416,-96.51769798546556,1
81.59549374862821,-17.59465107571287,-97.01026354593041,1
83.22740362360078,-17.51041214426046,-97.05714855630974,1
84.8919516960728,-17.159300719874572,-97.02254741258407,1
86.58979072999425,-16.979581955382844,-97.42876029598544,1
88.32158654459414,-17.024350916070105,-97.4409535132169,1
90.08801827548602,-16.763616523574957,-97.13687143604643,1
91.88977864099574,-16.497885226342568,-96.8979417184286,1
93.72757421381566,-16.421190480079257,-97.70302901125898,1
95.60212569809197,-16.28269935084819,-97.55796788327245,1
97.5141682120538,-16.00717916817706,-97.78594707894574,1
99.46445157629488,-15.790081011540789,-97.76525569866479,1
101.45374060782078,-15.55734693104,-98.73132558086373,1
103.4828154199772,-15.412157656911859,-98.76310590243133,1
105.55247172837674,-15.157059094479665,-98.2223206828236,1
107.66352116294428,-15.173115809618162,-98.8552178513977,1
109.81679158620317,-14.802249404920673,-98.87537793379187,1
112.01312741792724,-14.861124773702665,-99.47255462145449,1
114.25338996628578,-14.459726962732983,-99.39398876989918,1
116.5384577656115,-14.44209047359425,-99.74726447738138,1
118.86922692092372,-14.069886289517235,-99.45833128593966,1
121.2466114593422,-14.026015899742887,-99.9893174548522,1
123.67154368852906,-13.750640202653095,-100.08720498276526,1
126.14497456229964,-13.642451403037217,-100.90205195125756,1
128.66787405354563,-13.349647516781992,-100.74027199525007,1
131.24123153461656,-13.251924239083202,-100.6172921569268,1
133.8660561653089,-12.916265196607448,-101.08529322942869,1
136.54337728861506,-12.974823206211052,-101.69652954613574,1
139.27424483438736,-12.508694817890532,-101.42561077015417,1
142.05972973107512,-12.541452987382689,-102.03670510653325,1
144.90092432569662,-12.191937022921703,-102.31155537438866,1
147.79894281221056,-11.996869291829547,-102.53880283240241,1
150.75492166845476,-11.842945519954199,-102.49555787708266,1
153.77002010182386,-11.556143812454005,-103.14081094258822,1
156.84542050386034,-11.534899209657826,-103.62646357357738,1
159.98232891393755,-11.243297673396906,-103.82469600000273,1
163.1819754922163,-11.063629750786202,-104.05548197707209,1
166.44561500206063,-10.999353391640867,-104.3557278780891,1
169.77452730210186,-10.670925241946106,-104.57327913495021,1
173.17001784814389,-10.478468635684449,-105.06271112602114,1
176.63341820510678,-10.365783242246732,-105.82405995499064,1
180.16608656920891,-10.11130938792601,-105.78319440212289,1
183.76940830059308,-9.824953401364647,-105.819833782936,1
187.44479646660494,-9.656819433627316,-106.58470810666515,1
191.19369239593703,-9.573994169087978,-107.02847015860124,1
195.01756624385578,-9.285055372578949,-107.33260703161744,1
198.9179175687329,-9.011211541454072,-107.70856724941336,1
202.89627592010754,-8.821962171829083,-108.23612282961646,1
