Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.501864526866076,-91.19944339335073,2
40.8,-24.02070008572022,-91.48222179137613,1
41.616,-24.018449725923098,-90.73389697801673,2
42.44832,-24.02595886883879,-91.28986089866919,2
43.297286400000004,-23.648119213573295,-91.30185015085755,1
44.163232128000004,-23.65727420182772,-92.407225542442,1
45.046496770560005,-23.305745395513227,-90.56039260231454,1
45.9474267059712,-23.161714016244364,-91.84846635668089,1
46.866375240090626,-23.010352633684654,-92.71606449999217,2
47.80370274489244,-22.818904264294556,-93.32279027565491,2
48.75977679979029,-22.574615804832163,-92.8647730664883,1
49.7349723357861,-22.521639784168332,-92.06299966320537,2
50.72967178250182,-22.42239190270865,-92.23833573952814,1
51.74426521815185,-22.304514426993908,-92.24296865313954,2
52.77915052251489,-21.66043374432727,-93.19117853048174,1
53.83473353296519,-21.959220382741297,-93.35590573869109,1
54.911428203624496,-21.557859887348638,-92.17636000307553,1
56.00965676769699,-21.509948693976124,-92.36076775445144,1
57.12984990305093,-21.165677774043584,-92.89132311039069,1
58.27244690111195,-21.25451487390738,-92.1240705494011,1
59.437895839134185,-20.898096588606045,-92.75250650388891,1
60.62665375591687,-20.73049891859598,-93.12410224334502,1
61.83918683103521,-20.40678197827799,-93.20859241519759,1
63.075970567655915,-20.42635693446463,-92.73633231872364,1
64.33748997900904,-20.180062821958668,-92.74404679209323,1
65.62423977858921,-20.218792931343565,-93.41660021399252,1
66.936724574161,-19.84382690221877,-93.11361328870125,1
68.27545906564423,-19.814985678315118,-92.60202611953054,1
69.64096824695712,-19.439022764010915,-92.60578989570806,1
71.03378761189626,-19.460058195133076,-93.41856830686766,1
72.45446336413418,-19.143906323181792,-92.77514239550487,1
73.90355263141687,-19.144257397089394,-93.12298125381221,1
75.38162368404521,-18.941835532871433,-92.7156251797428,1
76.88925615772611,-18.650188083518753,-93.73953046389803,1
78.42704128088063,-18.680279762781026,-93.46512216958504,1
79.99558210649825,-18.249162055072905,-93.29355884548272,1
81.59549374862821,-18.15741847222538,-93.13227845611534,1
83.22740362360078,-18.11007615256361,-93.68635003929865,1
84.8919516960728,-17.824455166626137,-93.52246879151357,1
86.58979072999425,-17.663396442253674,-93.4690049010364,1
88.32158654459414,-17.534106097120585,-93.5962706428144,1
90.08801827548602,-17.339375971834357,-93.66957986980756,1
91.88977864099574,-17.08982273196685,-94.44203440868262,1
93.72757421381566,-17.002588902154706,-94.22153425964763,1
95.60212569809197,-16.922659267321155,-94.22035383005846,1
97.5141682120538,-16.74520409699799,-94.31358439677446,1
99.46445157629488,-16.35076756747855,-94.15718283978039,1
101.45374060782078,-16.22552812966439,-94.6948287092879,1
103.4828154199772,-16.188962347651994,-94.45447262434186,1
105.55247172837674,-15.783664058103495,-94.4396515361659,1
107.66352116294428,-15.879571947857897,-95.11621237291753,1
109.81679158620317,-15.498823832214304,-94.66464270542043,1
112.01312741792724,-15.589199354578616,-95.07331840686606,1
114.25338996628578,-15.232055760319152,-94.63828955093126,1
116.5384577656115,-15.193748256738798,-95.04231176871257,1
118.86922692092372,-14.84966611779254,-94.86676612827215,1
121.2466114593422,-14.843885124133397,-95.36241082442803,1
123.67154368852906,-14.594751451456286,-95.53588327638624,1
126.14497456229964,-14.451514377931211,-95.40978309092485,1
128.66787405354563,-14.159065439771974,-95.7059907538897,1
131.24123153461656,-14.146383293111516,-95.77941807139791,1
133.8660561653089,-13.804418148390234,-95.42567315001533,1
136.54337728861506,-13.829065082254747,-96.39926998731667,1
139.27424483438736,-13.448936280914674,-96.16668537625588,1
142.05972973107512,-13.467841361814976,-96.36132791602046,1
144.90092432569662,-13.11146603813041,-96.14045639213379,1
147.79894281221056,-13.099207941251123,-96.83543799779389,1
150.75492166845476,-12.921615081894656,-96.43127697820935,1
153.77002010182386,-12.61157326586472,-97.0429228828876,1
156.84542050386034,-12.574426224459419,-97.10714381026628,1
159.98232891393755,-12.341999255982424,-97.02061662469784,1
163.1819754922163,-12.205418613698372,-97.0421650367154,1
166.44561500206063,-12.062636357111046,-97.1596792203473,1
169.77452730210186,-11.828170985176218,-97.31743449173823,1
