Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.760236468573044,87.53971605601924,2
40.8,-23.15447718614416,87.00470173131282,2
41.616,-23.333463562687054,86.7258150810574,1
42.44832,-23.043486660772203,87.45857896011543,1
43.297286400000004,-22.951457543504702,87.89014098300201,1
44.163232128000004,-22.763254831757973,87.00498487415847,1
45.046496770560005,-22.41274727411556,86.84988519230946,1
45.9474267059712,-22.318959166183237,86.6614272542428,1
46.866375240090626,-22.056375409442055,86.81458429395542,1
47.80370274489244,-21.947077643574495,86.52758433796319,1
48.75977679979029,-21.804296928718227,85.46964717332833,1
49.7349723357861,-21.500745843701132,85.97211837337723,1
50.72967178250182,-21.454378296395245,85.97747180484384,1
51.74426521815185,-21.205996693507416,85.37941623421864,1
52.77915052251489,-20.941691443613923,85.99206443519665,1
53.83473353296519,-21.025974968782812,85.62423826016413,1
54.911428203624496,-20.5912833169417,86.52395023544486,1
56.00965676769699,-20.58182035266154,86.07084310034631,1
57.12984990305093,-20.359987381365787,85.84405565343451,1
58.27244690111195,-20.265056363174743,85.50347459748237,1
59.437895839134185,-20.0309138902364,85.19513980825424,1
60.62665375591687,-19.93881974277609,85.21860816324461,1
61.83918683103521,-19.63003357221009,85.12583474180354,1
63.075970567655915,-19.475836222480208,85.26325385719743,1
64.33748997900904,-19.252065800028088,85.35014385768798,1
65.62423977858921,-19.237650597763587,84.82544108509327,1
66.936724574161,-18.937251921191056,85.0353242130584,1
68.27545906564423,-18.84463775815644,84.79812391632245,1
69.64096824695712,-18.538730346678772,84.97905136363349,1
71.03378761189626,-18.553141585160066,84.76091032771623,1
72.45446336413418,-18.23025099468333,84.21453858967061,1
73.90355263141687,-18.094447256474577,83.78968222535276,1
75.38162368404521,-17.90849412339185,83.95766471450683,1
76.88925615772611,-17.727883999341085,83.7689600239396,1
78.42704128088063,-17.687629155401943,83.70748195277383,1
79.99558210649825,-17.280944442005897,83.72401379866601,1
81.59549374862821,-17.22944984749119,83.99375260289673,1
83.22740362360078,-17.10215907930478,83.65529004989543,1
84.8919516960728,-16.797201795967183,83.4274760194753,1
86.58979072999425,-16.674167749068896,83.3866863084429,1
88.32158654459414,-16.531416371074172,82.85114202149276,1
90.08801827548602,-16.318770452463728,82.67278888390007,1
91.88977864099574,-16.07342304917367,82.21340040424991,1
93.72757421381566,-16.02874494846287,83.09743479496169,1
95.60212569809197,-15.804978636422652,82.17680269585193,1
97.5141682120538,-15.598522800004728,82.22619012904984,1
99.46445157629488,-15.334400208705691,82.13883627981323,1
101.45374060782078,-15.229657108102197,81.95912302427712,1
103.4828154199772,-15.06744917120277,81.4827363537151,1
105.55247172837674,-14.808500911830041,81.70094734948833,1
107.66352116294428,-14.756754323989322,81.07438136940613,1
109.81679158620317,-14.380481126801811,81.34986603321181,1
112.01312741792724,-14.423121002388042,80.6681475526481,1
114.25338996628578,-14.050165255723167,80.82225491193333,1
116.5384577656115,-14.018729185721018,80.5442110745245,1
118.86922692092372,-13.685786037087798,80.38610088246925,1
121.2466114593422,-13.627294982692796,80.29620929885567,1
123.67154368852906,-13.369338387477036,80.03754376232575,1
126.14497456229964,-13.224698306890366,79.41824115672591,1
128.66787405354563,-13.005359662587624,79.85438070170375,1
131.24123153461656,-12.8572413540877,79.45566248092561,1
133.8660561653089,-12.579516186707455,78.97774590783473,1
136.54337728861506,-12.53007608327243,78.60948326898583,1
139.27424483438736,-12.199718424180196,78.8352101460876,1
142.05972973107512,-12.197681314399912,78.2412845668816,1
144.90092432569662,-11.809449855612225,78.25113603531918,1
147.79894281221056,-11.725225120937052,77.86909834485147,1
150.75492166845476,-11.524752201053447,77.585765095992,1
153.77002010182386,-11.179933784793299,77.39560548832014,1
156.84542050386034,-11.201123734024819,76.95625674340758,1
159.98232891393755,-10.851185672201606,76.56391637008417,1
163.1819754922163,-10.670772751715713,76.24043982800708,1
166.44561500206063,-10.560211780879193,75.9275430717449,1
169.77452730210186,-10.242440356701632,75.86956129653437,1
173.17001784814389,-10.076386510645321,75.65887372766565,1
176.63341820510678,-9.962088960430334,74.85740787393237,1
180.16608656920891,-9.699451417166124,74.8170805230134,1
183.76940830059308,-9.42528357297299,74.68069454064567,1
187.44479646660494,-9.243081230859971,74.0915650102462,1
191.19369239593703,-9.136239116629653,73.22124713422683,1
195.01756624385578,-8.834450820246781,73.33163751900982,1
198.9179175687329,-8.58165715085679,72.8360909018451,1
202.89627592010754,-8.388846076474595,72.47418679079522,1
206.9542014385097,-8.217698000303507,71.87514058362126,1
211.09328546727988,-8.057604719935872,71.33776941445127,1
215.31515117662548,-7.867322112985728,70.67773250887137,1
219.62145420015798,-7.435967328201345,70.73311511018083,1
224.01388328416115,-7.405807831607051,69.52923539890533,1
228.49416094984437,-6.99181678162133,69.67018539343218,1
233.06404416884126,-6.922317426644647,68.63502689009663,1
237.7253250522181,-6.571167737232005,68.5358161598904,1
242.47983155326247,-6.437229884971554,67.74673861419271,1
247.32942818432772,-6.14952411290691,67.11262577838346,1
252.27601674801429,-5.944188264466096,66.47423856173147,1
257.3215370829746,-5.648604723405559,66.01677640460318,1
262.4679678246341,-5.490922567124195,64.738615486751,1
267.7173271811268,-5.150658091269949,64.68453539409302,1
273.07167372474936,-5.0123857672474985,63.318576585442415,1
278.53310719924434,-4.587028258006281,63.09387708155239,1
284.10376934322926,-4.462703787075626,61.586991327091965,1
289.78584473009386,-4.116406336036799,61.597265390284036,1
295.5815616246957,-3.9484732088433954,60.281834040850995,1
301.4931928571896,-3.6469984793845174,59.16818114764552,1
307.52305671433345,-3.3032373656101717,58.65888872987864,1
313.6735178486201,-3.15467199336834,57.18074896488528,1
319.9469882055925,-2.759542960194555,56.46129628876441,1
326.34592796970435,-2.5052137893563393,55.12650308303171,1
332.87284652909847,-2.273327350320712,53.66649002673158,1
339.53030345968045,-1.936491744707426,52.8017318605493,1
346.3209095288741,-1.6174965244453603,51.407220677655346,1
353.24732771945156,-1.3586815822790697,49.37912065431988,1
360.3122742738406,-1.0518407429034973,48.04280507525791,1
367.5185197593174,-0.7155917958837427,46.78583866961998,1
374.8688901545038,-0.4529336236520881,44.547347532549566,1
382.3662679575939,-0.18366740159231168,42.791576384534466,1
390.01359331674576,0.178042195691217,40.897926228848306,1
397.8138651830807,0.4919670094931552,39.07643758631697,1
405.7701424867423,0.7835250615718886,36.650550793791126,1
413.88554533647715,1.0623790111365794,34.14367889637574,1
422.1632562432067,1.3696190425207593,31.496404572002064,1
430.60652136807084,1.6676400780586762,28.983343723197848,1
439.21865179543227,1.9618553576922566,26.018877010804268,1
448.0030248313409,2.2109589823024574,23.194695592715647,1
456.96308532796775,2.4608060507352554,19.874352894360094,1
466.1023470345271,2.6792074340502854,16.497769212396577,1
475.42439397521764,2.8876460291528545,12.962868627186673,1
484.932881854722,3.050115864189622,9.253051163731016,1
494.63153949181645,3.188550708467037,5.438216538688591,1
504.5241702816528,3.3074740456989304,1.4306541398799197,1
514.6146536872859,3.363187343094039,-2.706230509539864,1
524.9069467610317,3.4013441629700045,-6.901153918602134,1
535.4050856962523,3.3878481251397714,-10.70011668395955,1
546.1131874101774,3.353255065175345,-15.125892127098467,1
557.035451158381,3.2591525025854238,-18.942576656467253,1
568.1761601815485,3.146044194100663,-22.992879260395597,1
579.5396833851795,2.962938692356178,-26.772040365729424,1
591.1304770528831,2.761486657327396,-30.49257244670369,1
602.9530865939407,2.5782238657131757,-34.19713618097535,1
615.0121483258196,2.307174895181193,-37.379217039001674,1
627.312391292336,2.0845121991787194,-40.95776721011195,1
639.8586391181827,1.7740447877079264,-43.55600412307151,1
652.6558119005464,1.5141519187951302,-46.877878142104166,1
665.7089281385573,1.2063289136725999,-49.48383892746699,1
679.0231067013285,0.8870272582559214,-51.99277737594268,1
692.6035688353551,0.5984318055797075,-54.62456792530042,1
706.4556402120622,0.20980694513607265,-56.48612289500784,1
720.5847530163035,-0.011920581602007084,-59.2101740269123,1
734.9964480766296,-0.4630598454991153,-60.770403918770384,1
749.6963770381622,-0.6537315239516516,-63.044069216851554,1
764.6903045789254,-1.0280528019212634,-64.77369637372215,1
