Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.087094966466765,87.87396424326266,2
40.8,-23.91373564056679,87.37088061867405,1
41.616,-23.92128205984223,88.53809748152578,1
42.44832,-23.69409375264464,89.00093581382947,1
43.297286400000004,-23.527957400258668,88.53960098198591,2
44.163232128000004,-23.47416496410023,87.25249665256693,1
45.046496770560005,-23.35677789920577,87.60173165308537,1
45.9474267059712,-22.96782925349351,88.21464192312028,1
46.866375240090626,-22.939696918737653,87.46594255236329,2
47.80370274489244,-22.690171781965844,88.59100602738025,1
48.75977679979029,-22.546687944074808,87.2627398312236,1
49.7349723357861,-22.180058901202326,87.95229262990604,1
50.72967178250182,-22.02788337648773,87.62194915431314,1
51.74426521815185,-22.101304673088393,88.22411442728483,1
52.77915052251489,-21.692582583014307,86.99535895127656,1
53.83473353296519,-21.71768002472787,87.16964304163955,1
54.911428203624496,-21.432802743285023,87.479774699154,1
56.00965676769699,-21.511769042000637,87.22095113755267,1
57.12984990305093,-21.08445455391203,87.9086402036628,1
58.27244690111195,-21.10448628776449,87.50733930765111,1
59.437895839134185,-20.785916868015335,87.21171803312191,1
60.62665375591687,-20.726742636967206,86.85050710092737,1
61.83918683103521,-20.361028796812597,87.18869137158265,1
63.075970567655915,-20.2681085565808,87.24525391265159,1
64.33748997900904,-20.0595914150621,87.02524106443636,1
65.62423977858921,-19.94591658035171,86.71604957475469,1
66.936724574161,-19.79697104862668,87.82681867803706,1
68.27545906564423,-19.740732255074402,87.25861400850843,1
69.64096824695712,-19.271849865959158,87.06149766984937,1
71.03378761189626,-19.317973383274627,87.1208104432526,1
72.45446336413418,-18.97360331434975,87.26307843494283,1
73.90355263141687,-18.88903621052781,86.45665820867617,1
75.38162368404521,-18.803164779478458,87.37675578975838,1
76.88925615772611,-18.534149065801905,86.36225456584623,1
78.42704128088063,-18.529725038612554,86.50988508902427,1
79.99558210649825,-18.1084820555279,86.65712838209407,1
81.59549374862821,-18.045310349028856,86.28760669082925,1
83.22740362360078,-17.91049904330173,85.87607858847035,1
84.8919516960728,-17.632047626549205,86.48644027588621,1
86.58979072999425,-17.444783821572468,86.28467861648272,1
88.32158654459414,-17.504238683639116,85.76251620506656,1
90.08801827548602,-17.108494142833433,86.08477660769238,1
91.88977864099574,-16.895093234720573,86.0730520880212,1
93.72757421381566,-16.93464085052212,85.88676723794768,1
95.60212569809197,-16.80334547137141,85.32451415824497,1
97.5141682120538,-16.41156138523653,85.9723281237666,1
99.46445157629488,-16.220591188322732,85.77247322792137,1
101.45374060782078,-16.06493491225526,85.30309942431984,1
103.4828154199772,-16.00909500684743,84.93917934846286,1
105.55247172837674,-15.683511774259967,85.36304031072126,1
107.66352116294428,-15.71511010495393,84.70917104559415,1
109.81679158620317,-15.309396376830943,85.71637896625182,1
112.01312741792724,-15.38204411056335,84.8846389656313,1
114.25338996628578,-15.033881572498698,85.4634214414391,1
116.5384577656115,-15.009819572861124,84.71240048820883,1
118.86922692092372,-14.715303165592951,85.05329268257519,1
121.2466114593422,-14.629467307521713,84.67241614815998,1
123.67154368852906,-14.36554086823301,84.76396752096906,1
126.14497456229964,-14.3343882209677,84.6135216577831,1
128.66787405354563,-14.094237139904923,84.55845586695017,1
131.24123153461656,-13.946514153952705,84.45575548459298,1
133.8660561653089,-13.652870039562686,84.56522030044323,1
136.54337728861506,-13.639915962096078,83.84454532857677,1
139.27424483438736,-13.262424543745109,84.07749387575925,1
142.05972973107512,-13.28492165014082,83.65440165810176,1
144.90092432569662,-13.007068575908662,83.3645037765856,1
147.79894281221056,-12.885393962675662,83.49554646035608,1
150.75492166845476,-12.71592504212042,83.48759687621475,1
