Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.511782422537788,88.92218321088062,1
40.8,-23.410828724925814,89.35734642791772,1
41.616,-23.15016549159914,88.85221718158198,1
42.44832,-23.12546951892378,88.58221184708091,1
43.297286400000004,-22.950481958704636,89.90690895641504,1
44.163232128000004,-22.705072271606305,88.4499042544945,1
45.046496770560005,-22.53120270611014,89.43666130124615,1
45.9474267059712,-22.379960762044924,88.22052036124208,1
46.866375240090626,-22.041888790037508,89.34173085180981,1
47.80370274489244,-21.980869135661845,89.6503207757168,1
48.75977679979029,-21.738100668876303,88.58831141373395,1
49.7349723357861,-21.664382638610014,89.52697576119957,1
50.72967178250182,-21.48786963200358,89.02967610623534,1
51.74426521815185,-21.231231730502014,89.34815335912417,1
52.77915052251489,-21.07000724857231,88.796118778101,1
53.83473353296519,-20.97678804765161,88.89397164093056,1
54.911428203624496,-20.63747229951061,88.55341288572544,1
56.00965676769699,-20.693833557138923,88.85356440853991,1
57.12984990305093,-20.38688149745704,87.93200848390563,1
58.27244690111195,-20.4497812600378,88.85136143817651,1
59.437895839134185,-20.06112405711759,88.48388321521062,1
60.62665375591687,-19.891001799390654,87.95831777830942,1
61.83918683103521,-19.677942066803464,87.78828277254524,1
63.075970567655915,-19.652411923715885,88.90542752775332,1
64.33748997900904,-19.350222644178942,89.0375000682744,1
65.62423977858921,-19.381272668775864,88.55677146274395,1
66.936724574161,-19.05605532935276,88.41783851732737,1
68.27545906564423,-19.00756345160872,87.71677662180355,1
69.64096824695712,-18.566247629503636,87.93951938450982,1
71.03378761189626,-18.683074126395557,88.77749956010217,1
72.45446336413418,-18.27997005707551,88.16484030882833,1
73.90355263141687,-18.250200145790206,87.8848832147712,1
75.38162368404521,-18.067152296913623,88.74520489946434,1
76.88925615772611,-17.74393806167091,87.93549647384805,1
78.42704128088063,-17.714721847957758,88.47424760747579,1
79.99558210649825,-17.496395079675523,87.71130225286845,1
81.59549374862821,-17.28660498725726,87.58026949278928,1
