Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.298069357747032,88.00581824358615,2
40.8,-29.72778234342025,89.81518713647654,2
41.616,-29.72149426647109,90.21278334094248,2
42.44832,-29.598264324438684,90.26739913912434,2
43.297286400000004,-29.783872862601072,88.8097274708486,2
44.163232128000004,-29.300986001373587,89.81196271036521,2
45.046496770560005,-28.995553082146998,86.0250706336589,2
45.9474267059712,-28.63637599221666,90.5504886982465,2
46.866375240090626,-28.20220610381897,89.9220090325386,2
47.80370274489244,-28.439654714550283,89.16112715023891,2
48.75977679979029,-28.108903687702725,88.14046210801655,2
49.7349723357861,-28.16764610188172,89.0891109715804,2
50.72967178250182,-27.46265678525673,87.6082270702774,2
51.74426521815185,-27.93398955360793,87.67860530784287,2
52.77915052251489,-27.123532064902705,88.56702886022379,2
53.83473353296519,-27.650446447784304,89.84784476177455,2
54.911428203624496,-27.17852071820027,88.26718161020379,2
56.00965676769699,-27.214644981174562,89.84707607085403,2
57.12984990305093,-26.54435177055907,87.36386242049991,2
58.27244690111195,-26.731399638741625,88.05776770351274,2
59.437895839134185,-26.573937799021223,88.43584769064842,2
60.62665375591687,-26.20156018224176,87.19962453642334,2
61.83918683103521,-26.052087574110626,88.36365329790061,2
63.075970567655915,-26.057336295112194,88.39350882825845,2
64.33748997900904,-25.87705178476298,88.89289308621514,2
65.62423977858921,-25.56633489499231,87.425910910453,2
66.936724574161,-25.315010601021942,89.35617603057824,2
68.27545906564423,-25.215550208692854,88.53148134391591,2
69.64096824695712,-25.056066045924656,87.88929162263244,2
71.03378761189626,-24.98602304905467,87.70958373278646,2
72.45446336413418,-24.859744508354385,88.18570923882845,2
73.90355263141687,-24.700824744608294,88.79088690540546,2
75.38162368404521,-24.35816608497673,87.68062826402988,2
76.88925615772611,-24.271815501585746,88.28599346583565,2
78.42704128088063,-24.169900126201096,88.39973923735131,2
79.99558210649825,-23.823053733510346,87.76661315573335,1
81.59549374862821,-23.869916334513555,88.23044491092068,2
83.22740362360078,-23.848721486051186,88.30260661772257,1
84.8919516960728,-23.297835385684902,87.89062151849897,2
86.58979072999425,-23.21777358987834,86.7667193501261,1
88.32158654459414,-23.15152439277967,88.35209430524615,1
90.08801827548602,-22.927584617516686,87.51457517709729,1
91.88977864099574,-22.66802839793328,88.20338731102947,1
93.72757421381566,-22.629559694574098,87.70629104135685,1
95.60212569809197,-22.62644420458857,87.151926463025,1
97.5141682120538,-22.301300456453756,87.52345469605558,1
99.46445157629488,-22.01042614689915,88.04427494457956,1
101.45374060782078,-21.801280447473967,87.48090313613125,1
103.4828154199772,-21.811700163059925,87.0646505661282,1
105.55247172837674,-21.146524700731185,87.67006950122806,1
107.66352116294428,-21.441780766792647,87.37979513815712,1
109.81679158620317,-21.043571776624066,87.02669131881323,1
112.01312741792724,-21.118203459639275,87.13992078989688,1
114.25338996628578,-20.75659158803602,87.15319516268272,1
116.5384577656115,-20.763024467589428,86.86091005817461,1
118.86922692092372,-20.51762893371788,86.12399115148067,1
121.2466114593422,-20.306060884531675,86.52345344579203,1
123.67154368852906,-20.153327672802423,87.05718583259778,1
126.14497456229964,-20.057051467932702,86.42103761069582,1
128.66787405354563,-19.683613131428377,86.50943086833044,1
131.24123153461656,-19.68141991359033,86.7536920240747,1
133.8660561653089,-19.41364280011421,85.77581279034985,1
136.54337728861506,-19.46026573068439,86.5095365452711,1
139.27424483438736,-19.00697166842753,86.74458441000868,1
142.05972973107512,-19.01777580611634,85.77548117097186,1
144.90092432569662,-18.637123719593507,86.97000204409414,1
147.79894281221056,-18.72588109528368,86.34746455604778,1
150.75492166845476,-18.377187828671396,86.51124914291972,1
153.77002010182386,-18.13002571494276,86.32572522428234,1
156.84542050386034,-18.143332109052864,85.91924842544101,1
159.98232891393755,-17.816186243095313,85.62929520911747,1
163.1819754922163,-17.75249350732207,85.86474807377863,1
166.44561500206063,-17.655454647611336,85.62409860013348,1
169.77452730210186,-17.34543940672892,86.14949218350215,1
173.17001784814389,-17.19979638953326,85.89104481761052,1
176.63341820510678,-17.106088855342335,85.05185224014086,1
180.16608656920891,-16.76694343752033,86.0352656947082,1
183.76940830059308,-16.594615318276762,85.76255811404206,1
187.44479646660494,-16.49225475236145,85.09689473598071,1
191.19369239593703,-16.338070949617613,85.63606295637985,1
195.01756624385578,-16.36482713007813,85.27022253557152,1
198.9179175687329,-16.001670019869195,84.88133527827172,1
202.89627592010754,-15.878820885246112,85.14598901515001,1
206.9542014385097,-15.628247113358805,84.80017464746406,1
211.09328546727988,-15.586528505479174,84.42006473003619,1
215.31515117662548,-15.458507636658549,84.39776933969532,1
219.62145420015798,-15.038749036276831,84.67067464074913,1
224.01388328416115,-15.033686419051806,84.17060019475244,1
228.49416094984437,-14.730058360195741,83.97214746776717,1
233.06404416884126,-14.726057907931047,83.90487569862056,1
237.7253250522181,-14.369448993060129,84.04177673469223,1
242.47983155326247,-14.383809215388455,83.77239885406512,1
247.32942818432772,-14.138921990776467,83.51236930700958,1
252.27601674801429,-13.920854264431476,83.74186646546109,1
257.3215370829746,-13.79114894469365,83.50530845765363,1
262.4679678246341,-13.62160692660369,83.65618107327732,1
267.7173271811268,-13.347500175699645,83.18672204810719,1
273.07167372474936,-13.309705961150463,83.24551877959195,1
278.53310719924434,-12.988019962282394,83.40023747912655,1
284.10376934322926,-13.003660419610533,82.77296734604704,1
289.78584473009386,-12.628090423950342,82.8652896386618,1
295.5815616246957,-12.561068759224431,82.63604504559356,1
301.4931928571896,-12.390233414782289,82.53800521659356,1
