Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.63567896559907,88.14335054866616,2
40.8,-21.387359686284807,88.05198526043011,1
41.616,-21.434797145096873,87.1603964833195,1
42.44832,-21.28497589346299,87.72619311791543,1
43.297286400000004,-21.046648842726437,87.75305965365817,1
44.163232128000004,-21.146251659053746,88.00918896127419,1
45.046496770560005,-21.151175190163137,88.07026927624227,1
45.9474267059712,-21.03552155638928,88.06853795219125,1
46.866375240090626,-20.76461089466034,86.44235741273235,1
47.80370274489244,-20.639966034164335,87.74329328250234,1
48.75977679979029,-20.408787956586735,87.41411641720322,1
49.7349723357861,-20.170591533393253,87.57140418452559,1
50.72967178250182,-19.968292255270065,87.04039762324612,1
51.74426521815185,-19.87472801350531,87.45459339841064,1
52.77915052251489,-19.654691857973845,87.29009584835461,1
53.83473353296519,-19.674585466795442,86.22729826798376,1
54.911428203624496,-19.234724465301685,87.01032158908663,1
56.00965676769699,-19.360771975512865,86.57699070426405,1
57.12984990305093,-18.92251145871284,86.90867138614391,1
58.27244690111195,-18.95832139631432,86.94064234880025,1
59.437895839134185,-18.68662224560014,86.91727648659179,1
60.62665375591687,-18.563012011666586,86.79201902871435,1
61.83918683103521,-18.170281137343736,87.30923926145664,1
63.075970567655915,-18.173782218154667,86.49008135307338,1
64.33748997900904,-17.832893135234713,86.94202475835652,1
65.62423977858921,-17.85659372511679,86.29207265925653,1
66.936724574161,-17.482441715267118,87.30381259743825,1
68.27545906564423,-17.599935962461423,86.83102687883152,1
69.64096824695712,-17.158113237271063,86.70620557414674,1
71.03378761189626,-17.185901184588698,86.26661416365864,1
72.45446336413418,-16.804891875171077,86.63663364553173,1
73.90355263141687,-16.657240730261275,86.6413792816542,1
75.38162368404521,-16.609059736842546,86.11871253200732,1
76.88925615772611,-16.35814384829804,86.44107487734414,1
78.42704128088063,-16.310437446247,86.04618921328587,1
79.99558210649825,-15.939296989028549,86.18035925259224,1
81.59549374862821,-15.792551530319274,85.96152690878569,1
83.22740362360078,-15.719738888050815,85.47873917516657,1
84.8919516960728,-15.366202976426557,85.87364049898066,1
86.58979072999425,-15.254791268893564,85.63237445177532,1
88.32158654459414,-15.067842325371181,86.26682811968575,1
90.08801827548602,-14.942485068938879,85.78312588408808,1
91.88977864099574,-14.622843927911516,85.44354540144042,1
93.72757421381566,-14.500123440332496,85.42345209477725,1
95.60212569809197,-14.420307578100154,85.97828084326468,1
97.5141682120538,-14.186277243588288,85.49342416077694,1
99.46445157629488,-13.841470852469229,85.18995795555887,1
101.45374060782078,-13.752900653879527,85.22267025690007,1
103.4828154199772,-13.662367963687112,85.35937238130735,1
105.55247172837674,-13.32531981701859,84.8260879520883,1
107.66352116294428,-13.431309291611772,84.6255412529629,1
109.81679158620317,-12.99460049481955,84.71186916897895,1
112.01312741792724,-12.921057166583061,84.65321469428727,1
114.25338996628578,-12.507180238788958,84.73582023300418,1
116.5384577656115,-12.43643425868066,84.44178328862833,1
118.86922692092372,-12.088995394237601,84.47191961250013,1
121.2466114593422,-12.010864685229842,84.23995738014813,1
123.67154368852906,-11.747828939996669,84.1764190898819,1
126.14497456229964,-11.653861341366063,83.8109788816662,1
128.66787405354563,-11.347302425693437,84.12454385525184,1
131.24123153461656,-11.377357042637295,84.13905075172796,1
133.8660561653089,-11.067827416769676,83.67257264129466,1
136.54337728861506,-11.129762436156003,82.87525655467391,1
139.27424483438736,-10.737189033093205,83.54716113781512,1
142.05972973107512,-10.753093432177808,82.96790092686305,1
144.90092432569662,-10.48286365592702,83.32028299176125,1
147.79894281221056,-10.361683808161452,82.66638935066602,1
150.75492166845476,-10.191749440414446,82.66542428265325,1
153.77002010182386,-9.919671249366713,82.54725473360958,1
156.84542050386034,-9.898623708688639,81.9759800026044,1
159.98232891393755,-9.65264733331391,82.36796890507264,1
163.1819754922163,-9.464461361216031,82.03441408521672,1
166.44561500206063,-9.44353091527827,81.83972312223943,1
169.77452730210186,-9.106913928855905,81.66129143982229,1
173.17001784814389,-8.881276049551293,81.46920848256542,1
176.63341820510678,-8.829784035682232,80.87529220334567,1
180.16608656920891,-8.605885646068549,80.83622746949382,1
183.76940830059308,-8.352742440608347,81.07462175701517,1
187.44479646660494,-8.164656304741438,80.77318378317675,1
191.19369239593703,-8.061594241070983,80.00870242418111,1
195.01756624385578,-7.845102009230389,80.28483233740978,1
198.9179175687329,-7.602179797017718,80.38989842130711,1
202.89627592010754,-7.415976825612064,80.0596882376866,1
206.9542014385097,-7.24076709961849,79.63340283667077,1
211.09328546727988,-7.098723113350542,79.33815306494216,1
215.31515117662548,-6.95167806791341,79.03229580290065,1
219.62145420015798,-6.533670048129968,79.22877727472411,1
224.01388328416115,-6.579563328588257,78.38128421044848,1
228.49416094984437,-6.184973724371525,78.6177569696016,1
233.06404416884126,-6.136152049521665,77.81609473893623,1
237.7253250522181,-5.744012382288187,78.0079841141489,1
242.47983155326247,-5.691931100284077,77.66723189316745,1
247.32942818432772,-5.350304102133074,77.70096287194195,1
252.27601674801429,-5.260222627494465,76.97712493327633,1
257.3215370829746,-4.942700941212485,76.90285837477234,1
262.4679678246341,-4.807965999019159,76.50571013135595,1
267.7173271811268,-4.526626491678863,76.68162869292325,1
273.07167372474936,-4.468361660576909,75.75755679137376,1
278.53310719924434,-4.130830471036919,75.58317341981004,1
284.10376934322926,-4.088819519001481,75.20482127766336,1
289.78584473009386,-3.6871788831933063,74.90954417169144,1
295.5815616246957,-3.519509180184899,74.47841548971506,1
301.4931928571896,-3.3885766854836263,74.09057063377325,1
307.52305671433345,-3.032655663571736,74.09802021071039,1
313.6735178486201,-2.9986650329744475,73.21551395778197,1
319.9469882055925,-2.6401170232718925,73.2034315199092,1
326.34592796970435,-2.3860188731552507,72.72841373193046,1
332.87284652909847,-2.2782957966539823,71.96584309136242,1
339.53030345968045,-1.9810899071272126,71.75557412360176,1
346.3209095288741,-1.7103025995704686,71.17075791130094,1
353.24732771945156,-1.587263946717009,70.4958036389165,1
360.3122742738406,-1.322089627951504,70.03767008621091,1
367.5185197593174,-1.0442049181612663,69.74314589573805,1
374.8688901545038,-0.8914969944189781,68.92971205525143,1
382.3662679575939,-0.6762114607154586,68.03402698173812,1
390.01359331674576,-0.39335082287299655,67.55656324425611,1
