Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.944191428927308,88.77749843077198,1
40.8,-21.66393212448382,88.50702957449914,1
41.616,-21.396561871510155,88.69953196163824,1
42.44832,-21.014856807399763,89.14467426104531,1
43.297286400000004,-20.969215182433683,89.02263060199701,1
44.163232128000004,-20.976988840133455,88.81134846420625,1
45.046496770560005,-20.90443499055757,89.0177471881224,1
45.9474267059712,-20.870485142019522,88.73812671235366,1
46.866375240090626,-20.461313534748797,89.91797045276422,1
47.80370274489244,-20.263314148628478,87.98140050493585,1
48.75977679979029,-19.966497796338754,89.43085483308448,1
49.7349723357861,-20.06844372592658,88.10312477987746,1
50.72967178250182,-19.886775667141166,88.44392186770745,1
51.74426521815185,-19.613064609045367,87.89159389195864,1
52.77915052251489,-19.22178058544193,88.74919860948694,1
53.83473353296519,-19.469190729453288,88.42723697284299,1
54.911428203624496,-18.96284288666883,89.13832619752857,1
56.00965676769699,-19.061207855167257,88.32911474140178,1
57.12984990305093,-18.528469665141408,88.94398458920313,1
58.27244690111195,-18.601848964257982,88.27306155224106,1
59.437895839134185,-18.506561333566754,87.92243231612605,1
60.62665375591687,-18.29513032376838,88.4289103017197,1
61.83918683103521,-18.042970597914152,88.73986760245799,1
63.075970567655915,-17.877455117872948,88.18064147132581,1
64.33748997900904,-17.685543301059372,87.30679703759868,1
65.62423977858921,-17.567424456259815,88.02701688024503,1
66.936724574161,-17.25991521269009,88.65271230196322,1
68.27545906564423,-17.29736305995457,88.41642357202466,1
69.64096824695712,-16.878267011033547,88.60007724670146,1
71.03378761189626,-17.02055822257329,88.914976457419,1
72.45446336413418,-16.621217226199775,88.44638046272166,1
73.90355263141687,-16.492258804590755,87.99647115706264,1
75.38162368404521,-16.467404110898663,87.72531563874523,1
76.88925615772611,-16.117728971215076,88.38631974635177,1
78.42704128088063,-16.10845256021572,87.53526814467382,1
79.99558210649825,-15.787772814421276,87.96198944711169,1
81.59549374862821,-15.525225149468904,87.91260914467597,1
83.22740362360078,-15.469517233513336,87.33883216132449,1
84.8919516960728,-15.13388656209875,88.13234075909352,1
86.58979072999425,-14.713771757007542,87.59504088057287,1
88.32158654459414,-14.674533731075352,87.59420937041261,1
90.08801827548602,-14.563328733019576,87.73430837811907,1
91.88977864099574,-14.21143586471123,88.01371543663004,1
93.72757421381566,-14.07719562868616,88.01054805585565,1
95.60212569809197,-13.914390749032986,87.5813266701918,1
97.5141682120538,-13.681978411994992,87.83324955999527,1
99.46445157629488,-13.432919705681577,87.62057316203476,1
101.45374060782078,-13.191894645258603,88.01831060088523,1
103.4828154199772,-13.223727381963403,87.74841142986192,1
105.55247172837674,-12.974536868388117,88.14271827756431,1
107.66352116294428,-13.002861276697303,87.53087650767333,1
109.81679158620317,-12.614407502292275,87.46921175511736,1
112.01312741792724,-12.621380738532054,87.22633554519003,1
114.25338996628578,-12.223311475623188,87.56598164690547,1
116.5384577656115,-12.243642422278986,87.1921537950673,1
118.86922692092372,-11.843995156013515,87.56399881836346,1
121.2466114593422,-11.90885970808043,87.14799052644733,1
123.67154368852906,-11.9644351871545,86.80314004088012,1
126.14497456229964,-11.971182628877232,86.80493517735695,1
128.66787405354563,-11.72097544504388,86.7303221222848,1
131.24123153461656,-11.627532287602588,86.69799184406102,1
133.8660561653089,-11.377330655461849,86.49879223714402,1
136.54337728861506,-11.314399115234796,86.4948739193957,1
139.27424483438736,-10.876989509005254,86.52222355159995,1
142.05972973107512,-10.82620887479026,86.40687475752156,1
144.90092432569662,-10.3936450558302,86.67868477243047,1
147.79894281221056,-10.42190208107903,86.41495234252542,1
150.75492166845476,-10.100705409375937,86.4019172311863,1
153.77002010182386,-9.750501134636309,86.69997529820142,1
156.84542050386034,-9.750696797940599,86.5019026467493,1
159.98232891393755,-9.481594745311302,86.36883466911806,1
163.1819754922163,-9.32980626454785,86.37546491962297,1
166.44561500206063,-9.506855290825785,85.95548495457288,1
169.77452730210186,-9.352596087460629,85.4338368369325,1
173.17001784814389,-9.128203200057373,85.48672852332982,1
176.63341820510678,-8.74279485722038,86.06724861634478,1
180.16608656920891,-8.518713692381102,85.77893481103203,1
183.76940830059308,-8.371521509178148,85.64314444620504,1
187.44479646660494,-8.398812431534111,85.41743939259564,1
191.19369239593703,-8.428734206788002,84.85910073502811,1
195.01756624385578,-8.067310487211536,85.27033389948832,1
198.9179175687329,-7.7198188849174,85.55442097079042,1
202.89627592010754,-7.5272126673880635,85.30046003248742,1
206.9542014385097,-7.449092015891653,85.04289262796576,1
211.09328546727988,-7.411728432135166,84.82312615963463,1
215.31515117662548,-7.261494197226288,84.76668275782114,1
219.62145420015798,-6.87630494073509,85.08073294417116,1
224.01388328416115,-6.946304168546891,84.30287157558985,1
228.49416094984437,-6.601271709117136,84.43050946657917,1
233.06404416884126,-6.657937293418402,84.10851481215104,1
237.7253250522181,-6.4182197848300575,84.17043581236993,1
242.47983155326247,-6.28393416241268,83.91463267750692,1
247.32942818432772,-5.981131468702194,83.87313852182007,1
252.27601674801429,-5.928989655772614,83.67883354888068,1
257.3215370829746,-5.607944885746712,83.87106715539525,1
262.4679678246341,-5.599945662125894,83.56530075861406,1
267.7173271811268,-5.445305060365052,83.32206260329468,1
273.07167372474936,-5.457005900802988,82.79020272309344,1
278.53310719924434,-5.118008751702174,83.11158224613364,1
284.10376934322926,-5.131077014516833,82.6021454592032,1
289.78584473009386,-4.806488716513053,82.75332902153889,1
295.5815616246957,-4.701364813911738,82.7420709554466,1
301.4931928571896,-4.581841601181167,82.28809792907022,1
307.52305671433345,-4.285866680043876,82.46305612923891,1
313.6735178486201,-4.254796254540065,81.86388490938309,1
319.9469882055925,-3.976886083098034,81.93746602881183,1
326.34592796970435,-3.8071657642232597,81.71770986012143,1
332.87284652909847,-3.781753071181729,81.53855896431274,1
339.53030345968045,-3.476082930546437,81.45736934045544,1
346.3209095288741,-3.3053069837188676,81.33490209185334,1
353.24732771945156,-3.3120187540766026,80.8676561007436,1
360.3122742738406,-3.0752407856201573,80.99449950507335,1
367.5185197593174,-2.8313291400984433,80.69148754178053,1
374.8688901545038,-2.6938462673342762,80.75885608896766,1
382.3662679575939,-2.6174716909800346,80.22878284691204,1
390.01359331674576,-2.4351178748473292,80.30737977751734,1
397.8138651830807,-2.1817763562963424,80.28736834022246,1
405.7701424867423,-2.0337701220177506,79.84017877892222,1
413.88554533647715,-1.9395155535655988,79.7044412408418,1
422.1632562432067,-1.8159069246533877,79.43829415289733,1
430.60652136807084,-1.6188643330350554,79.33815507615353,1
439.21865179543227,-1.4245831381110408,79.09020285181559,1
