Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.309313296333098,-95.64788971842745,2
40.4,-25.169670692302695,-94.3167962780397,2
40.804,-25.256260024286224,-94.4729536624597,2
41.21204,-24.852602180051413,-94.39977573881052,2
41.6241604,-24.61107495856449,-96.14566973367785,2
42.040402004,-24.475839633038515,-94.15177605943404,2
42.460806024040004,-24.342960568550325,-95.3719012292205,2
42.885414084280406,-24.185919303490845,-95.31709050230467,2
43.31426822512321,-24.047659035162184,-94.65990080002507,2
43.74741090737444,-23.841491262920254,-94.57733992851469,2
44.184885016448185,-23.14598112618131,-95.15872188399226,2
44.62673386661267,-23.366661102009516,-95.64353061505311,2
45.07300120527879,-23.61207759679513,-95.01459677085384,2
45.52373121733158,-23.32614255330918,-94.05017925066133,2
45.9789685295049,-23.419621844371456,-95.52555870380456,2
46.43875821479995,-23.287200652933663,-95.17043332748756,1
46.903145796947946,-23.15575702460352,-94.83603679793141,2
47.372177254917425,-22.74012989130807,-94.88679413758551,1
47.8458990274666,-22.693210832491335,-95.73383761753433,1
48.32435801774127,-22.56652763308025,-95.93879680050645,1
48.80760159791868,-22.952268169009088,-96.26589148320495,2
49.29567761389787,-22.71523261812191,-95.1667452883893,2
49.788634390036854,-22.659416892130597,-95.29052320695176,1
50.28652073393722,-22.65138038626495,-95.33228882582864,1
50.7893859412766,-22.532804569140687,-95.34582641169082,1
51.29727980068937,-22.539521899903196,-96.08984151977108,2
51.81025259869626,-22.2765668515807,-96.32154358528786,1
52.32835512468322,-21.65495694598824,-96.22550283156447,1
52.851638675930054,-21.528429402915425,-94.78483737243867,1
53.380155062689354,-21.550993774906033,-96.19387090573457,1
53.91395661331625,-21.572078489058278,-96.09648273485988,1
54.45309617944942,-21.459920415501823,-95.56315242034277,1
54.99762714124391,-21.153567178323303,-95.89516695185048,1
55.54760341265635,-21.251211664082017,-96.44480564218293,1
56.103079446782914,-21.3493166126236,-95.9141350258227,1
56.66411024125075,-21.23429165373422,-96.04367918308321,1
57.23075134366326,-21.198214270559685,-97.12739383483651,1
57.80305885709989,-21.220664963492695,-96.0931817422067,1
58.38108944567089,-21.112262859125146,-96.46302222523039,1
58.9649003401276,-20.85714969318758,-96.86723073647042,1
59.554549343528876,-20.806019072637525,-95.69086134762235,1
60.150094836964165,-20.566330825777204,-97.20021548648074,1
60.751595785333805,-20.492266165513936,-97.1819725032912,1
61.35911174318714,-20.29357541420779,-96.83688940881552,1
61.972702860619016,-20.219312193102716,-96.95068227998992,1
62.59242988922521,-20.141257619716132,-96.65285778281866,1
63.21835418811746,-20.046870574345146,-96.39949494502733,1
63.850537729998635,-20.026077301336308,-97.45856364046978,1
64.48904310729863,-19.696105004504602,-97.5916852045462,1
65.13393353837161,-19.77224993502948,-96.79681703835763,1
65.78527287375532,-19.76026354028418,-97.67817370826936,1
66.44312560249287,-19.67185753159196,-97.47549778720503,1
67.1075568585178,-19.343094023369538,-97.59258488276066,1
67.77863242710298,-19.53874921825307,-97.75421663862441,1
68.456418751374,-19.622238849767342,-97.32710566957533,1
69.14098293888775,-19.313447283021784,-97.78106705118547,1
69.83239276827662,-19.087709697402676,-98.14080099137519,1
70.53071669595938,-19.218678132721593,-97.98009996171788,1
71.23602386291898,-19.01243082886852,-97.55327017752666,1
71.94838410154817,-18.98966996573102,-97.87812721334964,1
