Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.217395172029804,-94.40113903253331,2
40.4,-25.075542633062785,-92.72693995801023,2
40.804,-24.867349642245653,-92.32195117031578,2
41.21204,-25.05969432672365,-93.69640342688693,2
41.6241604,-24.592437447149745,-92.64364986841541,2
42.040402004,-24.5674323190745,-92.63066102832951,2
42.460806024040004,-24.99367784897661,-93.38247464111674,2
42.885414084280406,-24.769676261536013,-92.76212169290064,2
43.31426822512321,-24.93920149795826,-92.70043437702628,2
43.74741090737444,-24.605472076467606,-93.37923831842039,2
44.184885016448185,-24.55000534470206,-93.2143686191464,2
44.62673386661267,-24.197958997123223,-94.11889528272562,2
45.07300120527879,-24.295625772549833,-92.78227087736778,2
45.52373121733158,-24.019126176848292,-92.79973821357504,2
45.9789685295049,-24.2346924010776,-92.40980671357056,2
46.43875821479995,-23.854698558937496,-93.3964776116519,2
46.903145796947946,-23.66085235554843,-92.12011891416293,2
47.372177254917425,-23.745932049177167,-92.37637648081447,2
47.8458990274666,-23.489434536999283,-94.03803648568544,1
48.32435801774127,-23.66334412518697,-93.37299320353725,2
48.80760159791868,-23.576359805747845,-94.37143721574941,1
49.29567761389787,-23.19293272789549,-92.64574425122508,2
49.788634390036854,-23.17682686218836,-92.86430597382379,2
50.28652073393722,-23.09856472647439,-93.52545218029695,1
50.7893859412766,-23.173947306588133,-93.95557196256935,2
51.29727980068937,-22.825096885600605,-93.57783015058948,2
51.81025259869626,-22.748526007537045,-93.48134786437167,2
52.32835512468322,-22.743728825076264,-93.3141219066031,1
52.851638675930054,-22.725571548389112,-93.28642795326374,1
53.380155062689354,-22.817859208858394,-94.22243711892912,2
53.91395661331625,-22.625102856669695,-93.51350725147873,1
54.45309617944942,-22.359213761231086,-94.16768648116899,1
54.99762714124391,-22.07098253874361,-93.73515199953415,1
55.54760341265635,-22.085180247831136,-93.4196977693698,1
56.103079446782914,-22.277558447370232,-94.0759234446108,1
56.66411024125075,-22.274981299396302,-94.32706630009937,1
57.23075134366326,-21.779080134689234,-94.05717038985718,1
57.80305885709989,-21.88803158072512,-94.89695731969432,1
58.38108944567089,-22.00816585751924,-94.89481501929865,1
58.9649003401276,-21.772460335932163,-94.25436362554072,1
