Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.25224894283504,-91.68526582658524,1
40.4,-22.469080354673117,-92.22617853713871,1
40.804,-22.570883984474943,-92.41119127544891,1
41.21204,-22.63635046527475,-92.47658644068933,1
41.6241604,-22.620941109453618,-92.80871064780737,1
42.040402004,-22.584094989028934,-92.12417134123473,1
42.460806024040004,-22.46242799780074,-91.50437074156935,1
42.885414084280406,-22.314857518712326,-92.40508284275269,1
43.31426822512321,-22.32406882637842,-92.0705459667985,1
43.74741090737444,-22.031819087639146,-92.55133911155582,1
44.184885016448185,-21.97108309344083,-92.23452319068883,1
44.62673386661267,-21.910385194524885,-92.39272168986133,1
45.07300120527879,-21.880079225731972,-92.20669076511906,1
45.52373121733158,-21.502643986988275,-91.98452161943064,1
45.9789685295049,-21.14760451350511,-94.54061050337009,1
46.43875821479995,-21.540178775034168,-92.87275189646186,1
46.903145796947946,-21.55928784738616,-92.9020276472253,1
47.372177254917425,-21.298298273627402,-92.14814868711119,1
47.8458990274666,-21.382015253806436,-92.1243787316148,1
48.32435801774127,-21.32666891589859,-91.97346972949777,1
48.80760159791868,-20.992086399962822,-92.44302438705233,1
49.29567761389787,-20.93555982777433,-91.63559012300232,1
49.788634390036854,-20.730271894334976,-91.74586165956455,1
50.28652073393722,-20.715279662295966,-92.83054871806718,1
50.7893859412766,-20.73832230562343,-91.83232191779719,1
51.29727980068937,-20.843863545285085,-92.15045811901012,1
51.81025259869626,-20.448720956877175,-92.7503532442841,1
52.32835512468322,-20.219143295814096,-92.90567858345952,1
52.851638675930054,-20.135071215129052,-92.49741939745493,1
53.380155062689354,-20.27426320433823,-92.43382568350145,1
53.91395661331625,-20.196836565765555,-92.22646927179584,1
54.45309617944942,-19.841632829366905,-92.48746654595683,1
54.99762714124391,-19.560130527361054,-91.8446395038306,1
55.54760341265635,-19.70771195892446,-92.5684090355357,1
56.103079446782914,-19.853111673382237,-92.0597207856008,1
56.66411024125075,-19.516670080504667,-92.33184546144184,1
57.23075134366326,-19.36265522263956,-92.55977510444558,1
57.80305885709989,-19.264329243506992,-93.42576167430607,1
58.38108944567089,-19.425661368963556,-93.13787399994315,1
58.9649003401276,-19.417994595689724,-92.7623684741424,1
59.554549343528876,-19.078493590097004,-92.44374253672308,1
60.150094836964165,-19.05469429947435,-92.66333959752447,1
60.751595785333805,-19.129218829393114,-93.07104494837245,1
61.35911174318714,-19.00125544726073,-92.42088815940775,1
61.972702860619016,-18.818295740867146,-92.22496850667594,1
62.59242988922521,-18.582480775249717,-92.62126774896907,1
63.21835418811746,-18.50173456604947,-93.27896428049574,1
63.850537729998635,-18.579237329136227,-92.61193596073458,1
64.48904310729863,-18.476091250473555,-92.94564841961704,1
65.13393353837161,-18.392228070913227,-92.64575764857453,1
65.78527287375532,-18.439316311480987,-93.23267143857777,1
66.44312560249287,-18.398901488271182,-91.78908684329915,1
67.1075568585178,-18.07190781907384,-92.63534573142309,1
67.77863242710298,-17.94972417507595,-92.82983540246342,1
68.456418751374,-17.935261577791398,-93.23009182639149,1
69.14098293888775,-17.38549816881991,-92.70605702891564,1
69.83239276827662,-17.328846242326705,-93.08666265731597,1
70.53071669595938,-17.58487260078668,-93.39146847134816,1
71.23602386291898,-17.566908024054833,-93.21865164140547,1
71.94838410154817,-17.418357881619443,-93.34692307025344,1
72.66786794256366,-17.494974142366516,-93.19492180481842,1
73.39454662198929,-17.48947750400244,-93.91541997882274,1
74.12849208820919,-17.349219824083555,-93.66492608538097,1
74.86977700909128,-17.27781798114215,-93.51538618695378,1
75.6184747791822,-17.37724952120474,-93.5448551225121,1
76.37465952697401,-17.145131531237816,-93.94828827077095,1
77.13840612224375,-16.783512537951292,-93.29905842171877,1
77.90979018346619,-16.80797255154119,-93.9168197891152,1
78.68888808530085,-16.827003969408107,-93.69061550623334,1
79.47577696615386,-16.69498837519044,-93.50740031245165,1
80.2705347358154,-16.63633805369204,-93.69549927641646,1
81.07324008317356,-16.57181225061944,-93.9628334677268,1
81.8839724840053,-16.48068964531845,-93.59496072137685,1
82.70281220884536,-16.436525608883148,-94.03260677512763,1
83.52984033093381,-16.491200033996254,-93.74789248674949,1
84.36513873424315,-16.195559796158992,-93.73819256452127,1
85.20879012158558,-16.24517671901101,-94.03889123806334,1
86.06087802280143,-16.162995531269154,-93.87091309181199,1
86.92148680302945,-15.941406784799401,-93.81669326850718,1
87.79070167105975,-15.99157606539911,-94.43226553557936,1
88.66860868777034,-15.932009770860523,-93.80902568505448,1
89.55529477464805,-15.685348927616772,-94.55874381935418,1
90.45084772239453,-15.64440142966783,-94.37367489279234,1
91.35535619961847,-15.622532504743347,-93.94164370218039,1
92.26890976161465,-15.47929278383421,-94.54874455648655,1
93.1915988592308,-15.430542424814847,-94.13485148749619,1
94.1235148478231,-15.279208934464162,-94.20435777673899,1
