Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.09867627166963,87.15724384272288,2
40.4,-24.964681304720475,86.57048375547492,2
40.804,-25.07054818050601,86.17264323649124,2
41.21204,-24.902546199710603,87.55483695172882,2
41.6241604,-24.701945127261165,86.52034977009733,2
42.040402004,-24.748741026736276,86.71886258555263,2
42.460806024040004,-24.79184188994913,84.89262719970323,2
42.885414084280406,-24.67607778201747,86.60151617459019,2
43.31426822512321,-24.57111829559583,86.57622043011783,2
43.74741090737444,-24.47788512629071,86.41455438841635,2
44.184885016448185,-24.416502182826665,85.28797302762052,2
44.62673386661267,-24.132950545318938,87.09279056731248,2
45.07300120527879,-24.01263465002295,85.81997193048093,2
45.52373121733158,-23.88306684734311,86.91402609943964,1
45.9789685295049,-23.86468029437294,85.00055030172075,2
46.43875821479995,-23.824797399594825,86.3357284573144,2
46.903145796947946,-23.771197972454367,86.33746108029277,2
47.372177254917425,-23.586438908360133,85.58111713800363,1
47.8458990274666,-23.38717957743424,85.98491797289473,2
48.32435801774127,-23.49770744300291,86.86374452305184,2
48.80760159791868,-23.530047328817933,85.46651791388763,2
49.29567761389787,-23.083869440807543,86.66205897084541,1
49.788634390036854,-23.287794716734837,86.30642220736758,2
50.28652073393722,-23.36967165571436,85.75444098687285,1
50.7893859412766,-22.974624158804158,85.49548086070907,1
51.29727980068937,-22.95408390412754,85.97090581104358,1
51.81025259869626,-22.83367483618017,86.11793714169039,1
52.32835512468322,-22.665472443059954,86.31954440504558,2
52.851638675930054,-22.686512931276706,85.6405465887014,1
53.380155062689354,-22.75211377332804,85.3427249510448,1
53.91395661331625,-22.662251700948847,85.49308091022384,1
54.45309617944942,-22.389352436780868,85.26412712786838,1
54.99762714124391,-22.148850867032486,84.28765341454788,1
55.54760341265635,-22.264847630970824,85.6187500193269,1
56.103079446782914,-22.146591909240843,84.49124740627079,1
56.66411024125075,-22.034483999248422,84.38590925494442,1
57.23075134366326,-21.859780374686352,85.69350445543222,1
57.80305885709989,-21.769004123909113,85.06392431811238,1
58.38108944567089,-21.96461578726015,85.59730229817491,1
58.9649003401276,-21.60612662840616,84.47566042720211,1
59.554549343528876,-21.315554042912336,85.61666318922852,1
60.150094836964165,-21.400309030545543,84.51504121040279,1
60.751595785333805,-21.62313875295416,83.30339167371002,1
61.35911174318714,-21.349945230043375,84.2450094032991,1
61.972702860619016,-21.337946718142053,84.53881051304563,1
62.59242988922521,-21.055036977174762,85.32267381946662,1
63.21835418811746,-21.109816180226847,84.56178254961296,1
63.850537729998635,-21.086427543163296,84.45728553593577,1
64.48904310729863,-20.79547400981398,84.56240493847417,1
65.13393353837161,-20.813662065127122,84.283223892059,1
65.78527287375532,-20.902607326981858,83.86887839606585,1
66.44312560249287,-20.565489642923996,84.64464925876237,1
67.1075568585178,-20.5918213648562,83.94055069561216,1
67.77863242710298,-20.538201254249127,83.43369092266433,1
68.456418751374,-20.53768476342314,84.12428050379371,1
69.14098293888775,-20.26458851531192,84.58241918128392,1
69.83239276827662,-20.16168063263289,84.10380029987022,1
70.53071669595938,-20.16140686286439,84.27996898740832,1
71.23602386291898,-20.241313129889498,83.45928912693641,1
71.94838410154817,-19.87190684693641,83.92607861186377,1
72.66786794256366,-19.895492547582247,83.84472063141853,1
73.39454662198929,-19.85037107756632,84.11739073192891,1
74.12849208820919,-19.56722597264567,83.39058778011999,1
74.86977700909128,-19.55573382609829,83.11309313715623,1
75.6184747791822,-19.618520664323754,83.86148697575635,1
76.37465952697401,-19.407059842354084,83.78666032232168,1
77.13840612224375,-19.267134569072287,83.91113164266665,1
77.90979018346619,-19.326045700361412,83.26315852575797,1
78.68888808530085,-19.24760495002886,82.87388146398519,1
79.47577696615386,-19.009568567006394,83.79612498186862,1
80.2705347358154,-19.04464032342467,83.63124211988129,1
81.07324008317356,-18.993140837693012,82.82686427259709,1
81.8839724840053,-18.828556296449616,82.88986502131087,1
82.70281220884536,-18.758942765589236,82.62028739694246,1
83.52984033093381,-18.765893661882977,82.77337884447391,1
84.36513873424315,-18.48715054415582,82.53654929820908,1
85.20879012158558,-18.479178366646828,82.1061786745879,1
86.06087802280143,-18.466137382615585,82.27815498968465,1
86.92148680302945,-18.233003175092737,83.03147392605456,1
87.79070167105975,-18.248186877194026,82.03151347325074,1
88.66860868777034,-18.23073683392494,82.37212149722023,1
89.55529477464805,-17.955444671633213,82.68848981244338,1
90.45084772239453,-17.981134522701094,82.26791952987676,1
91.35535619961847,-17.85885795252416,82.60567623862914,1
92.26890976161465,-17.717140790444898,82.24967535619726,1
93.1915988592308,-17.785261250803224,82.1111277442964,1
94.1235148478231,-17.568658449684204,82.58877824281255,1
95.06474999630133,-17.480746358781552,82.17577161260074,1
96.01539749626434,-17.457658773878887,81.65700861891068,1
96.97555147122699,-17.27226736458659,81.4315880116186,1
97.94530698593927,-17.35326284857339,81.36446083859178,1
98.92476005579866,-17.13731464996627,81.5052458888315,1
99.91400765635665,-17.100965279016386,81.45273935849823,1
100.91314773292021,-17.03479604715496,80.77297841895816,1
101.92227921024941,-16.830003635041358,81.54206029713202,1
102.94150200235191,-16.911740613519434,80.74311788114258,1
103.97091702237543,-16.699420806977628,81.12460817998478,1
105.01062619259919,-16.578100876574744,80.9806411099803,1
106.06073245452518,-16.674438924760743,80.72923097905677,1
107.12133977907044,-16.63402414792195,80.50499217171524,1
108.19255317686114,-16.441760092862825,80.64541205618484,1
109.27447870862976,-16.188255576304023,80.54397844885779,1
110.36722349571606,-16.172547377470547,80.53824433075052,1
111.47089573067322,-16.239810138312947,79.7133269288567,1
112.58560468797995,-16.23102299377337,80.1610549987519,1
113.71146073485976,-15.947461198574938,80.12264097901812,1
114.84857534220835,-15.96240838804705,79.99804661744793,1
115.99706109563043,-15.845970295789417,80.06030733047555,1
117.15703170658674,-15.999802077337986,79.01000861447514,1
118.3286020236526,-15.518764142189388,79.87196157419615,1
119.51188804388913,-15.526861062791774,79.42362511404494,1
120.70700692432803,-15.621116498667025,79.47385777904245,1
121.91407699357131,-15.555868941031216,79.02855794346101,1
123.13321776350703,-15.312257572816764,79.14002060727792,1
124.3645499411421,-15.148451614667637,79.05634425007338,1
125.60819544055353,-15.096677427315901,79.07263343525044,1
126.86427739495906,-15.210929551562753,78.661389184672,1
128.13292016890864,-14.985465421675734,78.62117513866549,1
129.41424937059773,-14.825718243220656,78.8902526508972,1
130.7083918643037,-14.785345105304852,78.02604152867195,1
132.01547578294674,-14.683642589653815,77.92430810973063,1
133.3356305407762,-14.542215436992747,78.89840272940387,1
134.66898684618397,-14.382705525540242,77.91603335497211,1
136.01567671464582,-14.58436888715435,77.78725535455536,1
137.37583348179228,-14.420671824046075,77.418307896482,1
138.7495918166102,-14.062120836955371,78.0970759370603,1
140.13708773477632,-14.049848340495252,77.91609827283311,1
141.5384586121241,-14.132288638740546,77.11315263622659,1
142.95384319824532,-13.802933603996703,77.89911539753889,1
144.38338163022777,-13.672832991849736,77.77139532723692,1
145.82721544653006,-13.74616198299325,77.02124607486338,1
147.28548760099537,-13.658625644265605,76.88777505416516,1
148.75834247700533,-13.382040720574183,77.16497733249172,1
150.2459259017754,-13.354142736357725,76.81765413839933,1
151.74838516079316,-13.346178916635695,76.62262874394715,1
153.26586901240108,-13.168328888644698,76.50772748405768,1
154.7985277025251,-13.116901454472758,76.58453812736605,1
156.34651297955034,-13.094599610075946,75.87227634879045,1
157.90997810934584,-13.012233621747237,75.90339597040526,1
159.4890778904393,-12.793717387700665,75.95986931550541,1
161.08396866934368,-12.858162545826595,75.50138604052299,1
162.6948083560371,-12.689871436309364,75.89125059881349,1
164.32175643959746,-12.603029516374121,75.61167745301248,1
165.96497400399343,-12.672264901559936,75.25177021235616,1
167.62462374403336,-12.467134261426127,75.4492240099223,1
169.30086998147368,-12.335529218506895,75.0955081658904,1
170.9938786812884,-12.317236997394394,74.50110209775838,1
172.7038174681013,-12.245952223473006,74.23046851836034,1
174.43085564278232,-12.133123192724145,74.25362459723578,1
176.17516419921014,-12.130043856501134,74.21654108542069,1
177.93691584120225,-11.879783803279794,74.01633824465915,1
179.7162849996143,-11.782914821853131,73.96585363140323,1
181.51344784961043,-11.83702783598958,73.61435578562859,1
183.32858232810653,-11.629918990914636,73.51263261238756,1
185.1618681513876,-11.646188947763548,73.10280758095185,1
187.0134868329015,-11.560092644670423,73.03367129199943,1
188.8836217012305,-11.421774305025293,73.16564467652225,1
190.77245791824282,-11.358875925187046,72.35911199390107,1
192.68018249742525,-11.229489090953239,72.5173323423569,1
194.6069843223995,-11.148730210081865,72.46292893267349,1
196.5530541656235,-11.07851460562439,71.70956615493142,1
198.51858470727976,-10.9284385196032,71.92351348834583,1
200.50377055435257,-10.883497202386536,71.41903790571348,1
202.50880825989609,-10.723325623736253,71.8901258388463,1
204.53389634249504,-10.696296262124802,71.17384918147235,1
206.57923530591998,-10.52508106211835,71.21015958683304,1
208.6450276589792,-10.395392207673485,71.1496332053505,1
210.731477935569,-10.349954546553024,70.8735987600439,1
212.8387927149247,-10.180534492007036,70.69592105680636,1
214.96718064207394,-10.225818746839474,69.86939032897247,1
217.11685244849468,-10.102764336493188,70.2200724591993,1
219.28802097297964,-9.96860250995876,70.03174673340527,1
221.48090118270943,-9.936385698386662,69.60985223238825,1
223.69571019453653,-10.00237096861638,69.03110124572234,1
225.9326672964819,-9.824972322236853,68.99208017359653,1
228.1919939694467,-9.585390775861073,68.87417374790277,1
230.47391390914117,-9.486986082500458,69.04088096239184,1
232.7786530482326,-9.50623160721934,68.415364911805,1
235.10643957871494,-9.369730961467198,67.7284345264049,1
237.4575039745021,-9.10008498623098,68.1440396277711,1
239.8320790142471,-9.019249239666445,68.26571466990713,1
242.23039980438958,-9.026781514056106,67.34286558525446,1
244.65270380243348,-9.038881134807871,66.97768844705203,1
247.0992308404578,-8.870688350050937,67.0468488715025,1
249.5702231488624,-8.70005908325162,66.9790466808825,1
252.06592538035102,-8.677920236788104,66.19990771509084,1
254.58658463415452,-8.677798759364993,65.83749351032986,1
257.13245048049606,-8.400289150186579,65.78159558256276,1
259.70377498530104,-8.355631850100597,65.54575583873691,1
262.30081273515407,-8.324770051996637,64.90155368697864,1
264.92382086250564,-8.251353950662807,64.4634826776838,1
267.5730590711307,-8.007450174246138,64.98467118181736,1
270.24878966184195,-7.923177461801281,64.5255568908303,1
272.9512775584604,-7.919270585966199,63.7759562721552,1
275.680790334045,-7.834981821563325,63.450229814840995,1
278.4375982373855,-7.629235735572439,63.447872799157125,1
281.2219742197593,-7.571196074775953,63.03488076751673,1
284.03419396195693,-7.559881429640165,62.20240331548926,1
286.8745359015765,-7.2919884876137715,62.26573112262258,1
289.74328126059225,-7.175298843520875,62.325578332580974,1
292.6407140731982,-7.124090322709028,61.299466855964035,1
295.5671212139302,-6.978756822506952,61.176606101911716,1
298.5227924260695,-6.811695706095266,61.36216090714918,1
301.5080203503302,-6.806551607095109,60.39523313141649,1
304.5231005538335,-6.697296922942313,59.87776311575462,1
307.5683315593718,-6.457902869607718,60.029384304130986,1
310.64401487496554,-6.429746381368572,59.47493137714825,1
313.7504550237152,-6.349737914893039,58.771940874236435,1
316.88795957395234,-6.182970053992606,58.83800300429184,1
320.0568391696919,-6.10450939257554,58.19722079400133,1
323.25740756138885,-6.03760687747615,57.62463323145502,1
326.48998163700276,-5.836554805501039,57.52813592839891,1
329.7548814533728,-5.735001419506059,57.18663928878023,1
