Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.488317790069864,87.71551422262444,2
40.4,-26.21852625388129,87.19833379427365,2
40.804,-26.424388744430782,87.28490060099813,2
41.21204,-26.311752920432667,87.32721853979555,2
41.6241604,-27.023269732237793,87.1050109210089,2
42.040402004,-27.55376697614823,88.19656706767104,2
42.460806024040004,-27.21428709833076,86.79535578657173,2
42.885414084280406,-27.116477874583712,87.04130152894606,2
43.31426822512321,-27.471844583571063,86.96410686404764,2
43.74741090737444,-27.085610358359357,88.13287639519288,2
44.184885016448185,-26.971460128319013,87.48136948223642,2
44.62673386661267,-26.79102014295945,87.1965249520494,2
45.07300120527879,-26.83633726148615,87.8204430433679,2
45.52373121733158,-26.34738951524467,89.06160154554874,2
45.9789685295049,-26.648384322264683,87.99908772731257,2
46.43875821479995,-26.407006173583888,87.02442400735936,2
46.903145796947946,-26.15906042524604,87.11752727201639,2
47.372177254917425,-25.97009333574634,87.19091212089667,2
47.8458990274666,-25.86763002783811,89.13435904360806,2
48.32435801774127,-25.752684845052602,85.82144554292114,2
48.80760159791868,-25.287257824258006,85.55723479603847,2
49.29567761389787,-24.996179788416573,87.74804492925253,2
49.788634390036854,-24.700402230903865,87.34314059044817,2
50.28652073393722,-24.847798875454515,86.67983193864951,2
50.7893859412766,-24.5337565642416,87.42520809302444,2
51.29727980068937,-24.553424445385446,87.21873802636287,1
51.81025259869626,-24.404865005744096,85.38572000184183,2
52.32835512468322,-24.22208654640828,86.9472879193462,2
52.851638675930054,-24.29152829037691,86.97215629641693,1
53.380155062689354,-24.137022313286234,86.60049962391629,2
53.91395661331625,-24.1913316217837,86.55292815062472,2
54.45309617944942,-24.047014009515646,87.06678835720825,1
54.99762714124391,-23.860660172747842,86.7588213810287,2
55.54760341265635,-23.794399450577334,87.76351080799733,1
56.103079446782914,-24.00617992389449,86.95384187536358,2
56.66411024125075,-23.750812965413058,86.09954964045173,1
57.23075134366326,-23.4046856956077,86.44989625186611,2
57.80305885709989,-23.378678925275477,87.2760841431674,1
58.38108944567089,-23.520127038394335,86.69718113972792,2
58.9649003401276,-23.456029968979596,86.33170558059275,1
59.554549343528876,-23.08969985122477,86.29995178058718,1
60.150094836964165,-23.123737370386497,86.29930087755228,2
60.751595785333805,-22.818673945828056,85.41352539347167,1
61.35911174318714,-22.92416634430747,86.5945100907284,1
61.972702860619016,-22.82098907305962,86.44891964360795,1
62.59242988922521,-22.822291046987697,86.17981646115226,2
63.21835418811746,-22.708913029741687,86.6425965975841,2
63.850537729998635,-22.87799850864483,85.01836618115345,1
64.48904310729863,-22.49221165402701,85.37212622413635,1
65.13393353837161,-22.479896733867484,85.17976677234903,1
65.78527287375532,-22.399012734647798,86.30821858404698,1
66.44312560249287,-22.332954559816685,86.66441358811932,1
67.1075568585178,-22.21305121441014,86.57997681438542,1
67.77863242710298,-22.17083813505161,85.87847231488065,1
68.456418751374,-22.368865063845515,85.86151905415716,1
69.14098293888775,-22.02751123667357,85.3888250907802,1
69.83239276827662,-21.960951771559564,85.6683151001826,1
70.53071669595938,-21.974695305411522,85.01032015910994,1
71.23602386291898,-21.991106569393224,84.87653009666742,1
71.94838410154817,-21.703660401782106,85.08045238564864,1
72.66786794256366,-21.61191445092323,85.80233995093795,1
73.39454662198929,-21.738154187155462,85.37029710097318,1
74.12849208820919,-21.431631578563877,85.1548397402634,1
74.86977700909128,-21.373869191795027,85.78570862362463,1
75.6184747791822,-21.439230492590546,84.74968265604582,1
76.37465952697401,-21.274356873852124,85.02897992731995,1
77.13840612224375,-21.048094294865006,85.115441410024,1
77.90979018346619,-21.02500478394927,85.76203408639958,1
78.68888808530085,-20.983293026527715,85.2609615628664,1
79.47577696615386,-20.574323246970867,85.35989904695842,1
80.2705347358154,-20.658380799827288,85.43587338834479,1
81.07324008317356,-20.56686143258416,84.55212181154324,1
81.8839724840053,-20.32844497215279,85.05093485693288,1
82.70281220884536,-20.359749660416377,84.79945785917776,1
83.52984033093381,-20.308861762133112,85.31728281327014,1
84.36513873424315,-20.0159457217472,84.82906738028862,1
85.20879012158558,-19.95638608770511,85.2389029582524,1
86.06087802280143,-19.92481679229863,84.65004783765049,1
86.92148680302945,-19.706019976982425,84.86083286958353,1
87.79070167105975,-19.820093220675087,84.9612336455749,1
88.66860868777034,-19.748130024749624,84.27760792694755,1
89.55529477464805,-19.47790762902444,85.1632844576337,1
90.45084772239453,-19.48212924157688,84.96929702331438,1
91.35535619961847,-19.030704731579604,85.4359210623544,1
92.26890976161465,-19.16391521988029,84.5251042376085,1
93.1915988592308,-19.142323822665265,85.23035742292947,1
94.1235148478231,-18.696130554720863,84.81565243955137,1
95.06474999630133,-18.776342533240207,85.23453428643742,1
96.01539749626434,-18.742666303812026,84.55631949344492,1
96.97555147122699,-18.3666384995986,83.93771700394575,1
97.94530698593927,-18.297896610094202,84.52780459692107,1
98.92476005579866,-18.092909328771277,84.8790109766841,1
99.91400765635665,-18.185510049316584,84.64939989633737,1
100.91314773292021,-17.963933754264676,84.3021955306485,1
101.92227921024941,-17.711796043079545,84.21176577717472,1
102.94150200235191,-17.4776192933126,84.38875374027063,1
103.97091702237543,-17.263560496388237,84.32173132488188,1
105.01062619259919,-16.94847741053399,84.53227641913969,1
106.06073245452518,-17.029105150882316,84.4147831024156,1
107.12133977907044,-16.968257463140244,84.49107063324172,1
