Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-26.296276621440146,87.79818322610338,2
40.4,-26.181500736724548,88.34272657458666,2
40.804,-26.186179169100946,87.77185339731435,2
41.21204,-26.13230434944313,88.85083034950027,2
41.6241604,-25.989859003221664,88.0565236338158,2
42.040402004,-25.921186500934272,87.18957346758606,2
42.460806024040004,-25.706460568190153,87.46484349458791,2
42.885414084280406,-25.62416296932862,88.03532060661018,2
43.31426822512321,-25.634740204646157,88.28342211546519,2
43.74741090737444,-25.468232323147728,87.85604057440936,2
44.184885016448185,-25.556551510421844,88.10353804584423,1
44.62673386661267,-25.321958303320706,87.58281276594565,2
45.07300120527879,-25.399532374661483,88.35966056016358,2
45.52373121733158,-25.24094525993678,88.16598018731426,2
45.9789685295049,-25.498342978025924,86.95488570904504,2
46.43875821479995,-25.172098953159303,87.90784219153443,2
46.903145796947946,-25.203848730697384,89.18790586908709,2
47.372177254917425,-24.91654545367392,87.5454883369953,2
47.8458990274666,-25.07625386020792,86.3769596212263,2
48.32435801774127,-24.67449331924705,88.32026819269458,2
48.80760159791868,-24.68239380681145,87.5078823619276,2
49.29567761389787,-24.362496332713445,87.60265203129745,2
49.788634390036854,-24.68693568072309,87.2054294988482,2
50.28652073393722,-24.576991159722212,87.15104323635903,2
50.7893859412766,-24.361310883352722,87.6742373971176,2
51.29727980068937,-24.424643920821595,86.94390852194643,2
51.81025259869626,-24.08956621688946,87.43379894079845,2
52.32835512468322,-23.72747164809425,87.78674085036766,1
52.851638675930054,-24.080430583068953,87.45897327886848,2
53.380155062689354,-23.891055307367417,86.23952588884494,2
53.91395661331625,-23.845584556493836,87.88224017754916,1
54.45309617944942,-23.672167547253064,85.32719701519682,2
54.99762714124391,-23.56912127171529,87.15136060157968,1
55.54760341265635,-23.63360702342535,86.66262583096248,2
56.103079446782914,-23.609315330792846,87.30942157906217,1
56.66411024125075,-23.214464199458575,86.9906530202768,1
57.23075134366326,-23.048864625508124,86.44091466235636,2
57.80305885709989,-23.267891637006905,87.08884198397618,2
58.38108944567089,-23.149754929295433,86.35659172386232,1
58.9649003401276,-22.992801518737558,86.51544898888078,1
59.554549343528876,-22.908792706541977,86.58472511273817,1
60.150094836964165,-22.845655199932338,87.9539306320474,1
60.751595785333805,-22.92794557293714,86.67302307296058,2
61.35911174318714,-22.73670155187088,87.80998720816166,1
61.972702860619016,-22.732317413493398,87.00508210126668,1
62.59242988922521,-22.676439255354637,86.76584751272958,1
63.21835418811746,-22.65934846120499,85.83616272395871,1
63.850537729998635,-22.397001589574547,86.20374174117849,1
64.48904310729863,-22.32200537482049,87.05268620231735,1
65.13393353837161,-22.34012252519064,85.97169994138906,1
65.78527287375532,-22.24160901390872,86.34794870854361,1
66.44312560249287,-22.000243654922155,85.82251652597648,1
67.1075568585178,-21.904609088538784,86.88219439726538,1
67.77863242710298,-22.035248009382226,86.21158355065558,1
68.456418751374,-22.189446701940636,86.34246622186424,1
69.14098293888775,-21.86923766312712,86.11759641792871,1
69.83239276827662,-21.603164408124268,86.93089348008105,1
70.53071669595938,-21.609648532596783,86.72376374367245,1
71.23602386291898,-21.542567209501435,86.37327895343489,1
71.94838410154817,-21.26983035287564,86.10630478957069,1
72.66786794256366,-21.318320103484645,86.30355386741316,1
73.39454662198929,-21.194327663165666,85.19199284461087,1
74.12849208820919,-21.081771384815138,86.12381793204355,1
74.86977700909128,-20.96800204717907,85.94408861291288,1
75.6184747791822,-20.919878047236534,86.0657851059083,1
76.37465952697401,-20.683875597439183,85.92291139774159,1
77.13840612224375,-20.49604128911863,86.27348429057025,1
77.90979018346619,-20.653632005319256,86.33367175061908,1
78.68888808530085,-20.36352632573723,85.99785158432104,1
79.47577696615386,-20.367734837503086,85.91914807541978,1
80.2705347358154,-20.410270265062426,85.5441893077716,1
81.07324008317356,-20.202461543992097,85.90272637712513,1
81.8839724840053,-20.105396597567523,86.01206917499951,1
82.70281220884536,-20.234472599084356,85.30536382661687,1
83.52984033093381,-20.07953097841408,84.9900282446783,1
84.36513873424315,-19.822486020895138,85.6617775500161,1
85.20879012158558,-20.039943662848902,84.97384015863742,1
86.06087802280143,-19.734708277672247,85.27305144801261,1
86.92148680302945,-19.62564429420387,85.99714512555676,1
87.79070167105975,-19.626854860150235,85.18752016972483,1
88.66860868777034,-19.474448832528843,85.17448207572508,1
89.55529477464805,-19.439797075993937,85.35777763373108,1
90.45084772239453,-19.343231452467474,85.45354247087819,1
91.35535619961847,-19.208236629543485,85.00258399463661,1
92.26890976161465,-19.06932930236148,85.02567447044521,1
93.1915988592308,-19.110757863428468,85.1085741738287,1
94.1235148478231,-18.89453188940156,85.03367057938706,1
