Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-32.30452544983453,-91.32374261624614,2
40.4,-32.28685570952808,-93.73739658959755,2
40.804,-32.45645177835945,-95.07918704946411,2
41.21204,-32.39975610130962,-93.54940016995077,2
41.6241604,-32.236886918243286,-95.01559369052875,2
42.040402004,-32.12289195168608,-94.82915779938367,2
42.460806024040004,-31.812937790062623,-96.69595804227458,2
42.885414084280406,-31.713777970807918,-95.8234830400513,2
43.31426822512321,-32.560138968850104,-95.24507103155779,2
43.74741090737444,-32.172481845581615,-94.38750184176143,2
44.184885016448185,-32.421501112034896,-93.81907805683653,2
44.62673386661267,-31.988009943543616,-97.48723354365293,2
45.07300120527879,-31.94678991844084,-92.87306136768302,2
45.52373121733158,-32.113524395670694,-93.79975176260797,2
45.9789685295049,-31.385373838994592,-95.19243406535554,2
46.43875821479995,-31.720430199499912,-94.05513889350912,2
46.903145796947946,-30.983329515426377,-93.10017965791045,2
47.372177254917425,-31.191265673378428,-93.3507962116966,2
47.8458990274666,-31.064143119110753,-92.92962491844582,2
48.32435801774127,-30.042322701550546,-97.18629086181886,2
48.80760159791868,-30.627000533987594,-90.8950205868372,2
49.29567761389787,-30.52782413122917,-91.52146750688354,2
49.788634390036854,-30.397726892688226,-94.87616835896978,2
50.28652073393722,-30.687822772511666,-94.71364357281055,2
50.7893859412766,-29.968528994893898,-96.16130912527021,2
51.29727980068937,-29.904651764402836,-95.13743201393697,2
51.81025259869626,-29.950595330649822,-94.02830886147893,2
52.32835512468322,-29.813275259958758,-92.01251629215588,2
52.851638675930054,-29.733966681256536,-92.87704988187265,2
53.380155062689354,-29.48203828278742,-94.03085836194924,2
53.91395661331625,-29.72775986220527,-96.08103268044766,2
54.45309617944942,-29.540837365817076,-93.88359556096833,2
54.99762714124391,-29.190654182566426,-93.1111505023922,2
55.54760341265635,-29.322972546727886,-94.5966385749224,2
56.103079446782914,-29.38976481303045,-94.88797813267945,2
56.66411024125075,-29.482125416756286,-93.30613072212088,2
57.23075134366326,-29.21723735203369,-95.6651118086152,2
57.80305885709989,-28.94606658295763,-95.02753822351613,2
58.38108944567089,-29.212945671827967,-94.51540994254619,2
58.9649003401276,-28.800027979614082,-93.91390698987476,2
