Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-34.509928170565416,-95.34765744094494,2
40.4,-34.08314398834811,-91.5222744740339,2
40.804,-34.61767143890711,-92.25042759504193,2
41.21204,-34.81290684897302,-91.24860650435085,2
41.6241604,-34.24500429282146,-92.78036423790515,2
42.040402004,-34.405381563434986,-88.45864699887413,2
42.460806024040004,-34.57851491167828,-93.20507214255395,2
42.885414084280406,-33.64101040836683,-96.06108670840467,2
43.31426822512321,-33.450272042233365,-92.97581142174221,2
43.74741090737444,-33.445337921100574,-89.6464994526016,2
44.184885016448185,-33.65725074522848,-93.0078546445302,2
44.62673386661267,-33.97654531854094,-96.92393270708038,2
45.07300120527879,-33.84980563367957,-94.38172607846047,2
45.52373121733158,-33.93236568072128,-88.48469964494275,2
45.9789685295049,-33.35025799359231,-91.13638303486977,2
46.43875821479995,-33.0329102878062,-93.66888615114152,2
46.903145796947946,-33.1831281373226,-92.94247041790601,2
47.372177254917425,-33.15449997671205,-93.01287546351925,2
47.8458990274666,-32.84524183835865,-93.99653613355568,2
48.32435801774127,-33.11045333864681,-96.35399831187351,2
48.80760159791868,-33.27874403418768,-98.7234071224669,2
49.29567761389787,-32.79605232270186,-91.4573035653291,2
49.788634390036854,-32.93277203720175,-94.65124886933128,2
50.28652073393722,-32.978810921669314,-91.71441709247415,2
50.7893859412766,-32.7678798295587,-91.1927967309549,2
51.29727980068937,-32.62893015744801,-90.29222603860154,2
51.81025259869626,-32.46845948329041,-94.56532580899484,2
52.32835512468322,-31.738518441562565,-93.39438879048613,2
52.851638675930054,-32.41899944578589,-91.97917747989251,2
53.380155062689354,-32.56800816311128,-93.01829631378881,2
53.91395661331625,-32.01393040393791,-91.11866977929702,2
54.45309617944942,-31.901107359011505,-94.64625424235618,2
54.99762714124391,-32.26145364614464,-91.52209811648184,2
55.54760341265635,-32.568512024878686,-90.53914044940302,2
56.103079446782914,-32.14805234776689,-93.53480808014143,2
56.66411024125075,-31.64121682187769,-96.83802608677928,2
57.23075134366326,-31.282984882653718,-93.03229898359936,2
57.80305885709989,-31.381843224622656,-93.33286198559418,2
58.38108944567089,-31.266323073698874,-93.33703173475391,2
58.9649003401276,-31.595806491117497,-95.36618309388511,2
59.554549343528876,-31.09329140444089,-94.34990423607974,2
60.150094836964165,-31.247302596716285,-94.02276523091896,2
60.751595785333805,-30.634864582388293,-93.71752648251982,2
61.35911174318714,-31.159507292200146,-93.92124225462078,2
61.972702860619016,-30.84953221397485,-94.24790444872822,2
62.59242988922521,-30.752586285813106,-93.24237312688317,2
63.21835418811746,-31.20644257822556,-93.51976952747165,2
63.850537729998635,-30.63561374157065,-92.19104978044494,2
64.48904310729863,-30.58744432120823,-94.03116544477717,2
65.13393353837161,-30.390323524521605,-93.12345707419121,2
65.78527287375532,-30.30054369389526,-93.7597811016226,2
66.44312560249287,-30.365996041743575,-92.58116944393845,2
67.1075568585178,-29.958347913610034,-94.24474708444188,2
67.77863242710298,-29.992163012223315,-95.14716057094283,2
68.456418751374,-30.363193634417442,-93.40367155898485,2
69.14098293888775,-30.01767154320027,-93.53224684624496,2
69.83239276827662,-29.97770117579746,-94.24599565885336,2
70.53071669595938,-29.798875922116334,-96.05220388169005,2
71.23602386291898,-29.93341966206346,-95.54473885860477,2
71.94838410154817,-29.40368180734273,-92.29134780761251,2
72.66786794256366,-29.493258755099443,-95.11441150884674,2
73.39454662198929,-29.56818470160867,-97.01232405190757,2
74.12849208820919,-29.10381344848907,-93.16613262830901,2
74.86977700909128,-29.16575694453655,-92.88186357505474,2
75.6184747791822,-29.356381686737873,-94.02313326700903,2
76.37465952697401,-28.635172776501985,-94.13523793939675,2
77.13840612224375,-28.61446835045285,-95.8097090402579,2
77.90979018346619,-28.835375580913695,-93.9249662189707,2
78.68888808530085,-28.94924496425223,-96.49176646828397,2
79.47577696615386,-28.210783734166878,-96.0101115559665,2
80.2705347358154,-28.61513551995057,-95.95750771935536,2
81.07324008317356,-28.519285309632316,-95.40437652438283,2
81.8839724840053,-28.213405139595142,-95.26439203780497,2
82.70281220884536,-28.28993701919951,-96.40643735701173,2
83.52984033093381,-28.20438020653257,-97.58257204202931,2
84.36513873424315,-27.995957503735887,-94.88266367717428,2
85.20879012158558,-27.874609877466717,-93.52397773333655,2
86.06087802280143,-27.974690988156354,-96.0138751291995,2
86.92148680302945,-28.079098661853262,-96.3614494800954,2
87.79070167105975,-27.885437555859674,-94.42652669111538,2
88.66860868777034,-27.67139782484644,-96.82442657087924,2
89.55529477464805,-27.502812892156832,-95.73856566482212,2
90.45084772239453,-27.427193994821618,-96.00467636512849,2
91.35535619961847,-27.132162092105396,-96.52592782769824,2
92.26890976161465,-27.01130341293367,-94.14394021750341,2
93.1915988592308,-26.908963522604193,-98.93615342832014,2
94.1235148478231,-27.281923807502718,-95.00064359626379,2
95.06474999630133,-27.0653615502967,-96.18011193913128,2
96.01539749626434,-26.902705250005464,-96.96673043280566,2
96.97555147122699,-26.88665250161624,-96.46709131476761,2
97.94530698593927,-26.815300576865038,-95.92415010681108,2
98.92476005579866,-26.612525260607157,-96.2820234041036,2
99.91400765635665,-26.809770848863085,-95.82404591656461,2
100.91314773292021,-26.654070510447,-96.497118288629,2
101.92227921024941,-26.22020645526023,-95.90252219768631,2
102.94150200235191,-26.436512320127292,-96.89039689222875,2
103.97091702237543,-25.98844069567788,-95.80181520150936,2
105.01062619259919,-26.14890042260044,-96.33711513937064,2
106.06073245452518,-26.105345654787413,-97.53263429038266,2
107.12133977907044,-25.852877825522345,-97.40700354779908,2
108.19255317686114,-25.926458988131632,-97.96937966195001,2
109.27447870862976,-25.756209802622696,-97.25996585258736,2
110.36722349571606,-25.73365164159221,-96.30884129147891,2
111.47089573067322,-25.53869069853145,-96.27064731367977,2
112.58560468797995,-25.795314208756977,-97.18944432343773,2
113.71146073485976,-25.426415777649904,-97.07729740441043,2
114.84857534220835,-25.334749134401854,-97.10036080537121,2
115.99706109563043,-25.388528289666493,-97.79167082671867,2
117.15703170658674,-25.313760445113356,-100.15740336611816,2
118.3286020236526,-25.115654447549876,-97.70848094026967,2
119.51188804388913,-25.01110717062006,-96.1986860652307,2
120.70700692432803,-24.880332224558874,-96.6957260372505,2
121.91407699357131,-24.860777774938192,-97.7747076223161,2
123.13321776350703,-24.827491211967786,-98.38268604690728,2
124.3645499411421,-24.592182096041203,-97.0382451678073,2
125.60819544055353,-24.575698081060352,-97.78231048600507,2
126.86427739495906,-24.54822551771132,-98.72156449291052,2
