Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-28.673949152630307,-91.40596718676545,2
40.4,-28.726789064035792,-93.07488610965291,2
40.804,-28.44070210520528,-93.01319267497443,2
41.21204,-28.456716554130217,-90.65996275979941,2
41.6241604,-28.14885689938955,-93.2634466678766,2
42.040402004,-28.443896541442914,-91.51324486332264,2
42.460806024040004,-28.442267821010624,-92.32025326634141,2
42.885414084280406,-27.94648289348062,-92.12952558479661,2
43.31426822512321,-27.692612641657426,-94.33687100291327,2
43.74741090737444,-27.744598813395857,-93.64018689788638,2
44.184885016448185,-27.90752341710285,-91.14093389138566,2
44.62673386661267,-27.771248773606494,-91.38176835583491,2
45.07300120527879,-27.90707408138471,-91.54267951598196,2
45.52373121733158,-27.80496351319995,-90.06204695971549,2
45.9789685295049,-27.10420680299515,-92.16761537423281,2
46.43875821479995,-27.380850548532884,-94.84938964749671,2
46.903145796947946,-27.482656208832974,-92.98870686916041,2
47.372177254917425,-27.184707100615945,-92.83661610634964,2
47.8458990274666,-27.390678950078648,-92.66932358865287,2
48.32435801774127,-26.932306260117706,-93.15862663237408,2
48.80760159791868,-26.97544598995949,-92.34860048507971,2
49.29567761389787,-26.671934915276836,-91.94199209869497,2
49.788634390036854,-26.71288164560072,-93.10201060767406,2
50.28652073393722,-26.539394377483006,-93.94533630205319,2
50.7893859412766,-26.52569935279671,-91.96735722242984,2
51.29727980068937,-26.39188491566594,-94.40319020200377,2
51.81025259869626,-26.121807186591884,-91.72171123106236,2
52.32835512468322,-26.21047423899068,-92.89034107718099,2
52.851638675930054,-25.973090471899706,-92.06155800575837,2
53.380155062689354,-25.861255853573738,-92.4816683638961,2
53.91395661331625,-25.58468604043352,-92.66736542324358,2
54.45309617944942,-25.696498179339713,-92.93813419172056,2
54.99762714124391,-25.474564599917333,-91.08385352501523,2
55.54760341265635,-25.494943809536682,-91.98365462692902,2
56.103079446782914,-25.806997382859056,-92.12551917321463,2
56.66411024125075,-25.35847802138145,-92.77747927751943,2
57.23075134366326,-25.282370066314968,-91.77862951333637,2
57.80305885709989,-25.150875976403906,-92.3032240950458,2
58.38108944567089,-25.315584789932448,-92.70218017931847,2
58.9649003401276,-25.105154421672935,-93.30992258334248,2
59.554549343528876,-24.808830445220554,-92.21011857751604,2
60.150094836964165,-24.873815495587777,-92.95604200447163,2
60.751595785333805,-24.781155975233737,-92.23931623388944,2
61.35911174318714,-24.92183989054707,-93.31936171994437,2
61.972702860619016,-24.539158113441395,-91.86977693078417,2
62.59242988922521,-24.470671722705568,-91.96781531463168,2
63.21835418811746,-24.554957914879594,-93.2809594852652,2
63.850537729998635,-24.62551294266482,-92.73930911180078,2
64.48904310729863,-24.177024106561642,-93.28752589834352,2
