Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.496399501938086,87.52484279047003,2
40.4,-25.573475318138016,86.6897053021147,2
40.804,-25.335184676622053,88.53923056110426,2
41.21204,-25.355042492827728,86.18884303805461,2
41.6241604,-25.184442397146892,88.56788776491372,2
42.040402004,-25.175294117847677,88.09395553783648,2
42.460806024040004,-25.036118885334485,87.79462384798413,2
42.885414084280406,-25.04446272959509,88.46499008929834,2
43.31426822512321,-24.98988006771034,87.58861052848539,2
43.74741090737444,-24.9226499140933,87.33037825020278,2
44.184885016448185,-24.758684136666368,89.20548513019733,2
44.62673386661267,-24.471539551622875,87.26012093133852,2
45.07300120527879,-24.64423782210832,88.26111265984692,2
45.52373121733158,-24.384659903769453,87.87835940425116,2
45.9789685295049,-24.300273256056276,87.84256149906047,2
46.43875821479995,-24.56826846473153,87.00133965230208,2
46.903145796947946,-24.397061640866053,86.03271702927782,2
47.372177254917425,-24.196314699279974,85.18610389507366,2
47.8458990274666,-24.16361754645055,87.32521770389211,2
48.32435801774127,-24.117536422948476,88.26711370555773,2
48.80760159791868,-24.12580965839349,87.51557947280651,2
49.29567761389787,-23.94369415501501,88.00279325345913,2
49.788634390036854,-23.65084473546952,86.43743687784792,2
50.28652073393722,-23.80902392689729,87.35731918367134,2
50.7893859412766,-23.64018383546501,87.43237661948308,2
51.29727980068937,-23.493971562687207,87.76719040558751,2
51.81025259869626,-23.259251711814162,87.678391743725,2
52.32835512468322,-23.360721306293097,87.1282758020771,2
52.851638675930054,-23.389868848673625,87.00025323725112,2
53.380155062689354,-23.26118937508865,87.28360984580118,2
53.91395661331625,-23.11892662157167,85.43244164715207,2
54.45309617944942,-22.948112492441357,85.73140905716248,2
54.99762714124391,-22.83585886805718,86.61963986074839,2
55.54760341265635,-22.93013944121498,86.43504461218745,2
56.103079446782914,-22.84670044839396,87.25181442640002,2
56.66411024125075,-22.703444295178723,87.9927080567306,2
57.23075134366326,-22.5418176616382,87.20478105430959,1
57.80305885709989,-22.432238577475687,87.14837769082379,2
58.38108944567089,-22.670374516445825,88.04200244170758,2
58.9649003401276,-22.452042140448896,86.26983952735222,2
59.554549343528876,-22.174964661707676,87.34251579581685,2
60.150094836964165,-22.15635300362102,87.09667264427371,2
60.751595785333805,-22.188861093370303,86.74903529313619,2
61.35911174318714,-22.246767287492084,87.00428378744704,2
61.972702860619016,-22.230553541720003,88.09192684787752,2
62.59242988922521,-21.955886590227514,86.58709718211196,2
63.21835418811746,-21.882560117731387,86.16756390281158,2
63.850537729998635,-21.830361965734607,86.68145632078634,1
64.48904310729863,-21.60872047165793,86.62690123872518,1
65.13393353837161,-21.30802720110186,86.21176643290647,1
65.78527287375532,-21.543410003837128,85.79165986519614,1
66.44312560249287,-21.438119710329453,87.03599873576937,1
67.1075568585178,-21.09919497198683,86.93367563074526,1
67.77863242710298,-21.166725868733476,86.57050593122307,2
68.456418751374,-21.305565159697387,86.67531950663076,1
69.14098293888775,-21.167976882122407,85.70986196616165,1
69.83239276827662,-20.911743898238505,86.39731914532743,1
70.53071669595938,-20.774695768457594,85.77524079073034,1
71.23602386291898,-20.848765439018706,86.54698762014607,1
71.94838410154817,-20.41628862257867,85.99317194712421,1
72.66786794256366,-20.424439651863104,86.42537516861273,1
73.39454662198929,-20.445670681336086,86.28885141336562,1
74.12849208820919,-20.36311086854652,86.40866344118342,1
74.86977700909128,-20.175628427032507,86.25747761776069,1
75.6184747791822,-20.013883465897102,85.83335845968398,1
76.37465952697401,-20.011143576086216,86.55525844267433,1
77.13840612224375,-19.733606939030704,86.95822053457016,1
77.90979018346619,-19.854873657505138,85.93805267621363,1
78.68888808530085,-19.7763579927731,86.28390927879086,1
79.47577696615386,-19.69429717554932,85.87545641172105,1
80.2705347358154,-19.515285423947066,86.0644355244351,1
81.07324008317356,-19.444818247335068,85.96421245771121,1
81.8839724840053,-19.384136885549264,85.39311858411293,1
82.70281220884536,-19.457768516192978,86.20072865761652,1
83.52984033093381,-19.428590700946472,84.69818952838665,1
84.36513873424315,-19.15820776985926,85.9952654935438,1
85.20879012158558,-19.18165894339977,85.4196578270362,1
86.06087802280143,-18.967101590075774,85.03458968185546,1
86.92148680302945,-18.794849304728498,85.64102570112601,1
87.79070167105975,-18.879631996585776,84.62247418894013,1
88.66860868777034,-18.762727901427954,84.89394309597468,1
89.55529477464805,-18.640143174623997,84.987876240618,1
90.45084772239453,-18.543923532516523,84.92739388910927,1
91.35535619961847,-18.390081586891572,85.07453057291265,1
92.26890976161465,-18.2664816413254,86.0430215697786,1
93.1915988592308,-18.23758224843477,85.38918719224458,1
94.1235148478231,-18.177689604700745,85.45406605793926,1
95.06474999630133,-18.157064124402254,84.90049078982933,1
96.01539749626434,-17.8969934053601,84.92791854411406,1
96.97555147122699,-17.804954097681186,85.52012510606744,1
97.94530698593927,-17.891972078830776,84.87432956294157,1
98.92476005579866,-17.60416761364995,85.53320871422588,1
99.91400765635665,-17.52365792252626,85.03376750596547,1
100.91314773292021,-17.56268002475592,84.78421705448675,1
101.92227921024941,-17.464484217032858,85.15301263235932,1
102.94150200235191,-17.45037874892386,84.81659286642595,1
103.97091702237543,-17.272233531728315,84.4669591523215,1
105.01062619259919,-17.005832174269955,85.25593944469233,1
106.06073245452518,-17.057262947436126,84.57220979674231,1
107.12133977907044,-17.061177049487377,84.49579263297,1
108.19255317686114,-17.009327159722165,83.78096855736915,1
109.27447870862976,-16.68375309135039,85.01579487399756,1
110.36722349571606,-16.723734155209325,84.97554300066385,1
111.47089573067322,-16.826083790341034,84.16210172332939,1
112.58560468797995,-16.878514349198277,84.0012069161431,1
113.71146073485976,-16.467277294264402,84.78635522331427,1
114.84857534220835,-16.27682803841688,84.4295789718903,1
115.99706109563043,-16.36354547240111,83.85152531416804,1
117.15703170658674,-16.56315670818046,83.86903943073844,1
118.3286020236526,-16.247633861946678,83.83513744179177,1
119.51188804388913,-15.944012707809284,83.83538603119732,1
120.70700692432803,-16.04993770623243,83.541930134827,1
121.91407699357131,-15.9424991486007,83.85129598856363,1
123.13321776350703,-15.9003208372957,83.73211545431977,1
124.3645499411421,-15.669467481096758,83.97993202980433,1
125.60819544055353,-15.64503009379513,83.48021307532557,1
126.86427739495906,-15.610831034906811,83.42018244227347,1
128.13292016890864,-15.517563182246642,83.44746251976787,1
129.41424937059773,-15.281341321686202,83.67222322025022,1
130.7083918643037,-15.262800847018346,83.80144226959483,1
132.01547578294674,-15.07706027504267,82.72655770409068,1
133.3356305407762,-15.103228204775402,83.0007033881817,1
134.66898684618397,-14.891524020307305,83.3907585287015,1
136.01567671464582,-14.979133066746627,83.31185974448526,1
137.37583348179228,-14.885764736715092,83.24661686779697,1
138.7495918166102,-14.593065544890116,83.22926117862305,1
140.13708773477632,-14.498956690613,83.15330759046266,1
141.5384586121241,-14.64823605388102,82.6647651142367,1
142.95384319824532,-14.552777996897985,82.67092629636767,1
144.38338163022777,-14.236783554189001,82.89378116807745,1
145.82721544653006,-14.275940550611933,82.55159237151808,1
147.28548760099537,-14.204529751628371,82.58678772005914,1
148.75834247700533,-14.042456971767974,82.37393970796975,1
150.2459259017754,-13.931281707360991,82.50630079297648,1
151.74838516079316,-14.012355747940532,82.38810512029477,1
153.26586901240108,-13.755488267569815,82.04882298844552,1
154.7985277025251,-13.566983712479018,82.52645784188138,1
156.34651297955034,-13.683998271819327,81.50908191751012,1
157.90997810934584,-13.432804989108329,82.14484180003389,1
159.4890778904393,-13.364661161345712,82.16672396083759,1
161.08396866934368,-13.391442370387022,81.95056922149757,1
162.6948083560371,-13.223750345836248,81.82371707052192,1
