Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-27.15072152433443,87.41759480801464,2
40.4,-26.88446240481815,88.20712016398454,2
40.804,-27.029375897460937,89.12184668763513,2
41.21204,-27.01854273151553,89.83878957217215,2
41.6241604,-26.62471491412887,88.58760592100758,2
42.040402004,-26.74500849713263,88.18221736478418,2
42.460806024040004,-26.7102725029722,87.36868996029347,2
42.885414084280406,-26.415440053518097,88.88374216633872,2
43.31426822512321,-26.651499209074306,87.78199646414139,2
43.74741090737444,-26.1748691604083,88.3336871729299,2
44.184885016448185,-26.084309138829532,88.53637535735044,2
44.62673386661267,-26.204299913654854,87.64253641165743,2
45.07300120527879,-26.070941349883018,88.7307057865512,2
45.52373121733158,-25.875294176685976,87.1379490357385,2
45.9789685295049,-26.10345019960065,88.48682291198455,2
46.43875821479995,-25.773871542790815,88.21748761109217,2
46.903145796947946,-25.5475862696416,88.8890872667078,2
47.372177254917425,-25.71345746105348,87.820119148103,2
47.8458990274666,-25.517435044037587,88.42675446234836,2
48.32435801774127,-25.594806186767375,89.28943663953989,2
48.80760159791868,-25.628628044516194,88.34371366060316,2
49.29567761389787,-25.321109003227953,88.0874234439919,2
49.788634390036854,-25.170102153388786,87.69208427983057,2
50.28652073393722,-25.303500220874977,88.47828026809914,2
50.7893859412766,-25.041832480348734,87.36784867518827,2
51.29727980068937,-25.174117766073962,87.72648333670963,2
51.81025259869626,-24.827612060604075,86.20159040917429,2
52.32835512468322,-24.692517513557235,88.65529401346413,2
52.851638675930054,-24.727911985773,88.68384745420258,2
53.380155062689354,-24.908381616881478,88.53642341988383,2
53.91395661331625,-24.723006305522915,87.02547132267026,2
54.45309617944942,-24.58971256445194,88.39056919938788,2
54.99762714124391,-24.292036494884133,87.96355216952172,2
55.54760341265635,-24.56484565431811,88.17744132062928,2
56.103079446782914,-24.318564215035458,87.66969215053395,1
56.66411024125075,-24.203114890665105,87.19410580193187,2
57.23075134366326,-23.925161993634813,89.56034070076788,2
57.80305885709989,-23.8599618892585,88.28652650948516,1
58.38108944567089,-23.87232948359781,86.82586291469295,2
58.9649003401276,-23.90533636673572,88.56337019324297,2
59.554549343528876,-23.580029227182166,87.25946882572015,2
60.150094836964165,-23.605139059242813,86.77197635890718,2
60.751595785333805,-23.678820362356362,87.90645695304403,1
61.35911174318714,-23.462610829815006,87.90171859800517,2
61.972702860619016,-23.311493173048035,87.40897953106196,2
62.59242988922521,-23.170132859789835,87.12781813431997,1
63.21835418811746,-23.365729462460017,87.58177517305668,1
63.850537729998635,-23.208720457487896,88.14410910536374,1
64.48904310729863,-22.90518662397061,87.78221597500033,1
65.13393353837161,-22.914973569692958,87.32057737306556,1
65.78527287375532,-22.956598110689402,87.9142986437225,1
66.44312560249287,-22.719408409125606,89.6045842662312,1
67.1075568585178,-22.555131859557534,87.73588600348592,1
67.77863242710298,-22.594922975321943,88.5557978296111,1
68.456418751374,-22.81664852056124,86.59054004675859,1
69.14098293888775,-22.553931297165448,87.81465564072205,1
69.83239276827662,-22.141200156461252,87.53258474541661,1
70.53071669595938,-22.23079088490167,87.30404683392203,1
71.23602386291898,-22.20368869404157,86.64482984358816,1
71.94838410154817,-21.92107800995741,87.62528027284338,1
72.66786794256366,-21.893889037734816,86.33572327626345,1
73.39454662198929,-22.105072512949935,86.98521627643727,1
74.12849208820919,-21.72058501374474,87.52615953829599,1
74.86977700909128,-21.63137683669537,88.17507290697729,1
75.6184747791822,-21.70584348525249,86.5432578055561,1
76.37465952697401,-21.60898896231791,87.2620899089467,1
77.13840612224375,-21.464291630230953,87.50079648020471,1
77.90979018346619,-21.435802811039906,86.80102618184155,1
