Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.39039277376261,91.00419955856086,2
40.4,-25.63213264152215,91.32967682858433,2
40.804,-25.608188656613788,88.47472737887335,2
41.21204,-25.29140099799407,89.03002155935243,2
41.6241604,-25.337683847211668,89.7114049958257,2
42.040402004,-25.178083514242488,88.45175384911896,2
42.460806024040004,-25.08908132591208,88.20962741072324,2
42.885414084280406,-24.708900394081958,90.34571835696244,2
43.31426822512321,-24.71136617305268,88.05742553886674,1
43.74741090737444,-24.742815532990956,88.55668865873156,2
44.184885016448185,-24.7171603780816,89.2656860990763,1
44.62673386661267,-24.308666862642333,89.36790755701838,2
45.07300120527879,-24.8277314418456,90.69042106698069,2
45.52373121733158,-24.57509971902759,88.94898262644759,2
45.9789685295049,-24.052684237940866,88.55844536920104,2
46.43875821479995,-24.508129593411304,88.15041762929286,2
46.903145796947946,-24.21630160348474,91.3360550020792,2
47.372177254917425,-24.027761136718055,89.14555505416608,2
47.8458990274666,-23.985919169485925,87.99942570977605,2
48.32435801774127,-24.156493496559907,89.48709939273247,1
48.80760159791868,-23.817125146037387,87.84738464852984,1
49.29567761389787,-23.528480533046313,89.92804556921521,2
49.788634390036854,-23.571907459579283,89.49597337947687,2
50.28652073393722,-23.59088991405547,89.50595458883237,2
50.7893859412766,-23.609326524740467,88.73109495446333,1
51.29727980068937,-23.46648992294633,88.50189575041497,1
51.81025259869626,-23.129702402701525,90.22059785779288,2
52.32835512468322,-23.20245485753027,90.41280542840155,2
52.851638675930054,-22.91991905436914,89.53366208094468,2
53.380155062689354,-22.955616910946897,90.19667545598543,1
53.91395661331625,-23.000557845433228,87.883079955894,2
54.45309617944942,-22.796928535347984,88.66279410098198,1
54.99762714124391,-22.800124908070426,89.86610330407215,1
55.54760341265635,-22.69649041473178,89.70148983995374,1
56.103079446782914,-22.16986658340591,88.77887476702294,2
56.66411024125075,-22.470045261084238,87.0101030857293,1
57.23075134366326,-22.340637839592674,88.72075899522008,1
57.80305885709989,-22.296329328944196,88.86240261353822,2
58.38108944567089,-22.542765078102754,88.51206442305701,1
58.9649003401276,-22.4775736342597,89.12625129931291,2
59.554549343528876,-21.89146871256779,89.46876926906833,1
60.150094836964165,-22.07912205059465,85.34469888230453,1
60.751595785333805,-22.052498794485164,88.31030053510308,1
61.35911174318714,-22.064050432983773,88.98223504355336,1
61.972702860619016,-21.820589333239365,89.59133998505956,1
62.59242988922521,-21.84860461175886,89.14559205446017,1
63.21835418811746,-21.94728170077794,88.08144451053995,1
63.850537729998635,-21.905388619671264,88.26195124467175,1
64.48904310729863,-21.61474753309997,89.37600152381279,1
65.13393353837161,-21.453806795659105,88.9005958154664,1
65.78527287375532,-21.57183862436776,88.07304451537584,1
66.44312560249287,-21.48612096609554,85.49590624521035,1
67.1075568585178,-21.113568332318135,88.104052932978,1
67.77863242710298,-21.106626217957253,88.89531293183165,1
68.456418751374,-21.080343285885387,88.66412951195669,1
69.14098293888775,-20.82157024249214,89.16885101780181,1
69.83239276827662,-20.72733239652337,88.9400171127504,1
70.53071669595938,-20.59294893103348,88.55307254926268,1
71.23602386291898,-20.603999412364004,88.57031659224566,1
71.94838410154817,-20.338222349565058,88.98385498082666,1
72.66786794256366,-20.25661987718258,88.47711237594524,1
73.39454662198929,-20.55182020288814,88.29089262489649,1
74.12849208820919,-20.30672524183447,89.03373478681786,1
74.86977700909128,-20.248174277327948,88.24914208829395,1
75.6184747791822,-20.288094676312877,88.58182217115498,1
76.37465952697401,-20.192954929378363,88.63782741303598,1
77.13840612224375,-19.741447505986194,88.52407198375704,1
77.90979018346619,-20.034832721036885,89.19095997567032,1
78.68888808530085,-19.96509745444539,89.09701781168266,1
79.47577696615386,-19.82279745891484,88.33128227976599,1
80.2705347358154,-19.742108282709218,88.04824354151246,1
81.07324008317356,-19.614613197384326,88.62096264423272,1
81.8839724840053,-19.301020325201705,88.34909990847183,1
82.70281220884536,-19.36861866989443,88.56947348009766,1
83.52984033093381,-19.290653931203916,88.19889579168157,1
84.36513873424315,-19.128363243161168,88.00760008521644,1
85.20879012158558,-19.111194885189203,88.46429579782227,1
86.06087802280143,-19.046098469008264,88.54629107017193,1
86.92148680302945,-18.796338715516278,87.98968148106724,1
87.79070167105975,-18.942738639029525,87.78198358075359,1
88.66860868777034,-18.761927290125072,88.38621147054353,1
89.55529477464805,-18.6181045831344,88.33583624027773,1
90.45084772239453,-18.72031474930727,88.09050716406364,1
91.35535619961847,-18.33967579937079,88.45568541685714,1
92.26890976161465,-18.38573667010543,88.22573120975113,1
93.1915988592308,-18.44588590759146,88.35343877492741,1
94.1235148478231,-18.212489322571248,88.2863996295178,1
95.06474999630133,-18.233163977894783,87.90253009247405,1
96.01539749626434,-18.012108600064856,87.75646531378896,1
96.97555147122699,-17.98142430686681,87.48030823012374,1
97.94530698593927,-17.984797969194563,88.19027475093766,1
98.92476005579866,-17.780137250408018,88.27027481340875,1
99.91400765635665,-17.77430502732668,88.34983739863247,1
100.91314773292021,-17.747593701176893,87.79144334247776,1
101.92227921024941,-17.58132153115088,87.94701591278215,1
102.94150200235191,-17.677026316516116,87.83075466871702,1
103.97091702237543,-17.39101135540524,87.9389384116601,1
105.01062619259919,-17.20593331659082,87.71300019379254,1
106.06073245452518,-17.23844540262164,87.65306779277559,1
107.12133977907044,-17.310452274583167,87.83989539845558,1
108.19255317686114,-17.13417660196883,87.8114191852483,1
109.27447870862976,-16.869886935235687,87.57210301140157,1
110.36722349571606,-16.846679066790188,87.72716541682979,1
111.47089573067322,-16.907707112754228,87.65773490219689,1
112.58560468797995,-16.922087210182607,87.2256668722361,1
113.71146073485976,-16.635627824507917,87.48492687460293,1
114.84857534220835,-16.47681446135208,87.73011312224992,1
115.99706109563043,-16.469992599800886,87.58467635493851,1
117.15703170658674,-16.484284205988708,87.1029407079665,1
118.3286020236526,-16.297649463622665,87.95128565279362,1
119.51188804388913,-16.1782251904169,87.93709681780804,1
120.70700692432803,-16.182467261354322,87.16858239434546,1
121.91407699357131,-16.262892040406925,87.25193058643235,1
123.13321776350703,-15.99991766306217,87.55005763394789,1
124.3645499411421,-15.784193750143933,87.89280767714524,1
125.60819544055353,-15.863093922550128,87.55996130656541,1
126.86427739495906,-15.953614309499477,87.64989277945347,1
128.13292016890864,-15.69464146512441,87.16311674723902,1
129.41424937059773,-15.573965686931212,87.25694124049464,1
130.7083918643037,-15.531227952314978,87.40458288295353,1
132.01547578294674,-15.56138910841539,86.6921044197135,1
133.3356305407762,-15.272684525375377,87.51641906585621,1
134.66898684618397,-15.114587464625753,86.83456684207346,1
136.01567671464582,-15.217599562260077,87.45520356317756,1
137.37583348179228,-15.026798388308597,86.93106912115967,1
138.7495918166102,-14.830646202518935,87.727084679457,1
140.13708773477632,-14.827447079564639,88.04212453273493,1
141.5384586121241,-14.873602092144584,87.04920476924215,1
142.95384319824532,-14.673428520393864,86.91096389882242,1
144.38338163022777,-14.486811374533904,86.90902273600761,1
145.82721544653006,-14.458763964030501,86.85822261642527,1
147.28548760099537,-14.497441286859114,87.03952420862232,1
148.75834247700533,-14.346184989568755,87.39064261643578,1
150.2459259017754,-14.301446529925837,87.04878810092188,1
151.74838516079316,-14.296788168654148,86.995829812421,1
153.26586901240108,-14.103262992450041,87.07419216339298,1
154.7985277025251,-13.88554062395852,86.95339243275026,1
156.34651297955034,-13.997817292736531,86.57356845620578,1
157.90997810934584,-13.854097686701556,86.99789036652273,1
159.4890778904393,-13.645861047004932,86.86126562147106,1
161.08396866934368,-13.666923208684732,86.72615544310327,1
162.6948083560371,-13.67971619203074,87.01239563358206,1
164.32175643959746,-13.435043153569037,86.96907678872878,1
165.96497400399343,-13.47737065650816,86.75904377316192,1
167.62462374403336,-13.320713419608746,86.7635857503283,1
169.30086998147368,-13.183978371881194,86.76662556673426,1
170.9938786812884,-13.310611373241793,86.68646575904887,1
172.7038174681013,-13.106604239665778,86.55415218662296,1
174.43085564278232,-12.985300632319307,86.49737584166735,1
176.17516419921014,-13.078693276335818,86.33367371793065,1
177.93691584120225,-12.839563928837867,86.54018476151816,1
179.7162849996143,-12.714976894875274,86.37190380765462,1
181.51344784961043,-12.745991733496384,86.42306686431797,1
183.32858232810653,-12.48238231887204,86.71927322452149,1
185.1618681513876,-12.359994161178808,86.38483430715758,1
187.0134868329015,-12.369017089284663,86.35895111304532,1
188.8836217012305,-12.201171584373592,86.07711718121686,1
190.77245791824282,-12.27130587711155,86.34275607667028,1
192.68018249742525,-12.129187477372113,86.47781231847893,1
194.6069843223995,-12.13773283205112,87.16935647892922,1
196.5530541656235,-12.016390880624932,85.92357362859184,1
198.51858470727976,-11.803414944240908,86.33438694778448,1
200.50377055435257,-11.846385489061737,86.37313948485692,1
202.50880825989609,-11.644255766904172,86.23486823554435,1
204.53389634249504,-11.601827835382277,86.22267265007093,1
206.57923530591998,-11.560777186384078,85.68002321355553,1
208.6450276589792,-11.449255243044737,85.87177073077639,1
210.731477935569,-11.321428643104905,84.89553563236234,1
212.8387927149247,-11.17913344367338,86.47723024274188,1
214.96718064207394,-11.267201139107383,85.8598598573808,1
217.11685244849468,-11.061720789926117,86.01920390077031,1
219.28802097297964,-10.762371323724947,86.20166914707329,1
221.48090118270943,-10.761730420856138,85.92549740387064,1
223.69571019453653,-10.91175842050211,85.51458673010657,1
225.9326672964819,-10.817814757991835,85.6587992150689,1
228.1919939694467,-10.532162415066784,85.96881476474243,1
230.47391390914117,-10.484097911957017,85.79008464654021,1
232.7786530482326,-10.594080778999345,85.38613369391507,1
235.10643957871494,-10.477062404510912,85.42910728544582,1
237.4575039745021,-10.328405151966477,85.69573050749193,1
239.8320790142471,-10.107156934239997,85.83418727334846,1
242.23039980438958,-10.246173637897824,85.30252194508277,1
244.65270380243348,-10.246562876462527,85.1083881081444,1
247.0992308404578,-9.940487607960018,85.23566905206263,1
249.5702231488624,-9.73388178079507,85.07616240440831,1
252.06592538035102,-9.806814138706388,85.08626041483281,1
254.58658463415452,-9.764144062848004,84.91269867660986,1
257.13245048049606,-9.596862217939021,85.14432423365362,1
259.70377498530104,-9.531365895993202,85.10453573035298,1
262.30081273515407,-9.63621392729111,85.09613515053029,1
264.92382086250564,-9.493187988732284,85.13891137826187,1
267.5730590711307,-9.298423233249009,85.16616636308771,1
270.24878966184195,-9.28370718145149,84.6942836149363,1
