Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.438337313488823,-93.84986873943296,1
40.4,-20.231002288557555,-93.09808796449526,1
40.804,-20.24250900347429,-92.94266079919059,1
41.21204,-20.189562659973955,-93.3228916742235,1
41.6241604,-19.96040043943809,-93.67044665886418,1
42.040402004,-20.05870198907039,-93.64436250027359,1
42.460806024040004,-19.845281993516874,-93.3325132834193,1
42.885414084280406,-19.789471448245294,-93.11282867944865,1
43.31426822512321,-19.8822497566706,-94.431523941188,1
43.74741090737444,-19.661875829476813,-94.08672594152844,1
44.184885016448185,-19.553384545952593,-93.89107941863125,1
44.62673386661267,-19.410218418383074,-93.71079488581015,1
45.07300120527879,-19.388306791399586,-93.86450646334555,1
45.52373121733158,-19.222638856340282,-94.38576743023359,1
45.9789685295049,-19.231019778213433,-92.86896193730729,1
46.43875821479995,-18.9803932827539,-94.67192505739479,1
46.903145796947946,-19.059378462364055,-93.71577941222006,1
47.372177254917425,-18.831314207951888,-93.80420759890933,1
47.8458990274666,-18.907307743635833,-94.38483178257104,1
48.32435801774127,-18.680988597890053,-93.82900971844981,1
48.80760159791868,-18.568843147089204,-94.05010713508089,1
49.29567761389787,-18.561043240040032,-94.55132270847076,1
49.788634390036854,-18.518650249059135,-94.23632387740952,1
50.28652073393722,-18.539648153899453,-93.877486075962,1
50.7893859412766,-18.284416173244125,-94.68871940704847,1
51.29727980068937,-18.30495686220764,-94.69307675423846,1
51.81025259869626,-17.984935953713617,-94.35491897454683,1
52.32835512468322,-17.824907553431707,-94.69698328986966,1
52.851638675930054,-17.7905407781613,-94.23640562336523,1
53.380155062689354,-17.847056591695964,-94.76901481148874,1
53.91395661331625,-17.83089672124683,-95.43923117706422,1
54.45309617944942,-17.649170946608987,-94.13647075001101,1
54.99762714124391,-17.45802046614555,-94.47446615815494,1
55.54760341265635,-17.57022121535981,-95.43572014642143,1
56.103079446782914,-17.570508142665926,-95.32429773899418,1
56.66411024125075,-17.358512148562124,-95.44208327688534,1
57.23075134366326,-17.180846526958533,-94.70854891346218,1
57.80305885709989,-17.11664252816579,-94.8462020208789,1
