Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-21.225024097073135,-91.30886306966858,1
40.4,-20.939820357904313,-92.54779839131058,1
40.804,-20.87628202820689,-91.81798724645293,1
41.21204,-21.006441657653628,-92.18134925977623,1
41.6241604,-20.762234161318165,-91.53978886018614,1
42.040402004,-20.718887597389987,-91.54789579028693,1
42.460806024040004,-20.548284334646368,-91.07981584610548,1
42.885414084280406,-20.77089817538721,-92.02330635697214,1
43.31426822512321,-20.6509667456534,-92.58793091208275,1
43.74741090737444,-20.634559666408986,-91.7926020420824,1
44.184885016448185,-20.594142358058654,-92.08353447970723,1
44.62673386661267,-20.15017670660207,-91.41596799929168,1
45.07300120527879,-20.511707042104383,-92.37861057185822,1
45.52373121733158,-20.194847553320866,-91.74876263680548,1
45.9789685295049,-20.29170640466749,-91.82681202915592,1
46.43875821479995,-20.198000788342636,-91.45720423360719,1
46.903145796947946,-20.14235801466658,-92.2199964328927,1
47.372177254917425,-20.03782636978489,-91.77575640869031,1
47.8458990274666,-19.868978350526405,-92.31823668388625,1
48.32435801774127,-19.66471239710068,-92.29782502366885,1
48.80760159791868,-19.467120786837665,-92.86787349098762,1
49.29567761389787,-19.242838486384745,-91.19538958638137,1
49.788634390036854,-19.253299781829224,-92.11530097502657,1
50.28652073393722,-19.364678204441148,-92.63654623236647,1
50.7893859412766,-19.32195032570475,-91.86533451265791,1
51.29727980068937,-19.308319206344766,-92.46228173833651,1
51.81025259869626,-18.943987949172552,-92.3357170905651,1
52.32835512468322,-18.81063356297816,-92.45463554957304,1
52.851638675930054,-18.674422843715245,-92.28847488679472,1
53.380155062689354,-18.740854482627345,-92.122459901046,1
53.91395661331625,-18.761445087261734,-92.75651943198916,1
54.45309617944942,-18.462890229753267,-92.16163499613086,1
54.99762714124391,-18.451199670232196,-91.33860839279686,1
55.54760341265635,-18.38963392589196,-91.98972162494414,1
56.103079446782914,-18.44043441806719,-92.50658089965287,1
56.66411024125075,-18.354584938596435,-92.4892286962853,1
57.23075134366326,-18.134593728589476,-92.13095991088684,1
57.80305885709989,-18.231880273199174,-92.90400265839125,1
58.38108944567089,-17.95063344330834,-92.36571036169744,1
58.9649003401276,-18.00518804231484,-92.48702821895276,1
59.554549343528876,-17.782172397893373,-92.41707015122508,1
60.150094836964165,-17.811361470795344,-92.7101339057597,1
60.751595785333805,-17.80494883981879,-92.83913298971305,1
61.35911174318714,-17.726926973641262,-92.28708503637972,1
61.972702860619016,-17.500815085916134,-92.1862067301791,1
62.59242988922521,-17.362730758245107,-92.7826556462966,1
63.21835418811746,-17.555490114754846,-92.41011467637628,1
63.850537729998635,-17.38276534438198,-93.00249892872435,1
64.48904310729863,-17.1775735642016,-92.56970383373506,1
65.13393353837161,-17.04478286510935,-93.00481744268319,1
65.78527287375532,-17.147184889858192,-93.01057560032768,1
66.44312560249287,-16.875834769361774,-92.23494386029438,1
67.1075568585178,-16.69514545675824,-93.01065804538266,1
67.77863242710298,-16.763431449079334,-92.91361442869697,1
68.456418751374,-16.787263218599154,-93.57995111330433,1
69.14098293888775,-16.572178492657994,-93.24839401444677,1
69.83239276827662,-16.38241893831318,-92.72232496462479,1
70.53071669595938,-16.471617318442323,-93.2984556602745,1
71.23602386291898,-16.4189897453977,-93.2514116048913,1
71.94838410154817,-16.199072892615654,-92.39776706045959,1
72.66786794256366,-16.115111203705368,-93.26145896053309,1
73.39454662198929,-16.16487566061658,-93.39969299161692,1
74.12849208820919,-15.92453280643687,-92.5329018171467,1
74.86977700909128,-15.752845554010868,-93.13252456732044,1
75.6184747791822,-15.867711944206816,-93.02887079815974,1
76.37465952697401,-15.744367723611836,-93.93597912550149,1
77.13840612224375,-15.51324606744009,-92.62312807540624,1
77.90979018346619,-15.64991999037692,-93.57860304393657,1
78.68888808530085,-15.451271897333635,-93.15527739435288,1
79.47577696615386,-15.282396405123665,-93.16632919115854,1
80.2705347358154,-15.304998898949503,-93.32573078479129,1
81.07324008317356,-15.187578495878027,-93.59826616769959,1
81.8839724840053,-15.03712496934254,-93.53696083866629,1
82.70281220884536,-15.059832813122,-93.3386071977742,1
83.52984033093381,-14.95765517274798,-93.08641430528706,1
84.36513873424315,-14.7983468025716,-93.16143811563023,1
85.20879012158558,-14.78668808739685,-93.22851344318951,1
86.06087802280143,-14.662822102604274,-93.76392664833077,1
86.92148680302945,-14.472183041824353,-93.70827483408453,1
87.79070167105975,-14.518477439961742,-93.592446301177,1
88.66860868777034,-14.422148489181868,-93.74900033794782,1
89.55529477464805,-14.20787464199692,-93.68088427499752,1
90.45084772239453,-14.308204370989662,-93.95511135219601,1
91.35535619961847,-14.086387013492752,-93.84056285908834,1
92.26890976161465,-14.000334514491579,-93.56346594301814,1
93.1915988592308,-13.985724863360558,-93.60225616979662,1
94.1235148478231,-13.770067362023774,-93.56913557644572,1
95.06474999630133,-13.80535014948162,-93.99490568654988,1
96.01539749626434,-13.698029336480811,-93.74535975279184,1
96.97555147122699,-13.498796391180933,-93.83926603574947,1
97.94530698593927,-13.587866361414733,-93.73525896370248,1
98.92476005579866,-13.391932537053655,-94.1505430448041,1
99.91400765635665,-13.369422036669206,-94.08777491683827,1
100.91314773292021,-13.289522359326543,-94.26746271640627,1
101.92227921024941,-13.182010448753914,-93.97912746347626,1
102.94150200235191,-13.1787193515206,-94.46851248125539,1
103.97091702237543,-12.936556358015782,-94.11948073050067,1
105.01062619259919,-12.808619004575062,-94.26010662167134,1
106.06073245452518,-12.852108335396755,-94.44975983917257,1
107.12133977907044,-12.861128023736589,-94.62101952640595,1
108.19255317686114,-12.67571378617601,-94.46475034542433,1
109.27447870862976,-12.484596138474508,-94.57017354246526,1
110.36722349571606,-12.455519540378928,-94.47347695582796,1
111.47089573067322,-12.462010454579476,-94.79605498431005,1
112.58560468797995,-12.4597386128739,-95.04807197088167,1
113.71146073485976,-12.196055294981825,-94.85111592549316,1
114.84857534220835,-12.077085858542617,-94.52812674899079,1
115.99706109563043,-12.10194397970327,-94.6100097159649,1
117.15703170658674,-12.122762720507026,-94.92977226063871,1
118.3286020236526,-11.911728021252607,-94.86860100390493,1
119.51188804388913,-11.701356219039496,-94.89333352302009,1
120.70700692432803,-11.741355895184167,-94.82168901995789,1
121.91407699357131,-11.746660129845962,-95.16946894513563,1
123.13321776350703,-11.599364428757784,-95.33389272785047,1
124.3645499411421,-11.391109599040881,-94.77941625741636,1
125.60819544055353,-11.379764926371898,-95.39783207196682,1
126.86427739495906,-11.378067989321357,-95.33717468796902,1
128.13292016890864,-11.222078105586206,-95.09177824738674,1
129.41424937059773,-10.94662241891684,-95.0221989478523,1
130.7083918643037,-11.00118598191964,-95.54871295408759,1
132.01547578294674,-11.0674660937068,-95.4699192955095,1
133.3356305407762,-10.841977248461331,-95.44143742652884,1
134.66898684618397,-10.69661210857562,-95.23818332624492,1
136.01567671464582,-10.719900761347315,-95.54792954590619,1
137.37583348179228,-10.686345452315136,-95.53039735351967,1
138.7495918166102,-10.39801408735783,-95.38014029108047,1
140.13708773477632,-10.390829719432418,-95.77125362906274,1
141.5384586121241,-10.416451198867588,-95.9130196022395,1
142.95384319824532,-10.237456204435329,-95.62359483992736,1
144.38338163022777,-10.036466064748483,-95.76951521046149,1
145.82721544653006,-10.093105299174738,-95.7362053816043,1
147.28548760099537,-10.047526211752462,-96.41610218094277,1
148.75834247700533,-9.7809785594795,-96.19966272954827,1
150.2459259017754,-9.80002786587728,-96.17495669358777,1
151.74838516079316,-9.759783982107795,-96.36846561151111,1
153.26586901240108,-9.57512504151365,-96.4429790997195,1
154.7985277025251,-9.470122930876018,-96.4378841385265,1
156.34651297955034,-9.542729187380564,-96.36853683363086,1
157.90997810934584,-9.374929113974733,-96.49246092773731,1
159.4890778904393,-9.205441538532494,-96.57072884651792,1
161.08396866934368,-9.31145223888057,-96.43456194540602,1
162.6948083560371,-9.148128010192641,-96.92042977737687,1
164.32175643959746,-8.972577749124394,-96.81708266938143,1
165.96497400399343,-9.034982731200273,-96.67579906978122,1
167.62462374403336,-8.851326059912967,-96.72522974490974,1
169.30086998147368,-8.682847292866434,-96.94115882885694,1
170.9938786812884,-8.751839744604405,-96.98013324774104,1
172.7038174681013,-8.587393375232176,-97.09744203814972,1
174.43085564278232,-8.488692780915738,-96.9059909535428,1
176.17516419921014,-8.504735157413183,-97.44518432799072,1
177.93691584120225,-8.29014735316273,-97.26525230219036,1
179.7162849996143,-8.259611742126395,-97.28606703079905,1
181.51344784961043,-8.217869817835899,-97.41798591214922,1
183.32858232810653,-8.02314698068231,-97.4192994264865,1
185.1618681513876,-8.034535510053894,-97.56317736287737,1
187.0134868329015,-7.92581232111737,-97.74935219360594,1
188.8836217012305,-7.753384427734545,-97.62141000779101,1
190.77245791824282,-7.82255867655042,-97.86843227056477,1
192.68018249742525,-7.642117972688207,-97.90353394778695,1
194.6069843223995,-7.554215100246064,-97.90560214017462,1
196.5530541656235,-7.528031870884734,-97.90392786148114,1
198.51858470727976,-7.29781522355844,-97.90676740451143,1
200.50377055435257,-7.360282705238588,-97.96579250862561,1
202.50880825989609,-7.171359121983366,-98.29948603778622,1
204.53389634249504,-7.125408394950229,-98.19506017822451,1
206.57923530591998,-7.085293580069977,-98.39209309135796,1
