Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.392395817259438,-91.69220015909116,1
40.4,-20.25030479247077,-91.7376565584807,1
40.804,-20.126660992405395,-90.8468046978984,1
41.21204,-20.276706004586647,-90.06403851828148,1
41.6241604,-19.995597444990082,-90.54286481715667,1
42.040402004,-19.96751822716565,-91.4441796199938,1
42.460806024040004,-19.864654264638226,-90.97696461155158,1
42.885414084280406,-19.74906090387827,-90.72019954592265,1
43.31426822512321,-19.766234950811423,-90.99103845373932,1
43.74741090737444,-19.572044254822238,-91.24144902434756,1
44.184885016448185,-19.612513515580932,-90.73688906019254,1
44.62673386661267,-19.361883090158397,-91.06338771394786,1
45.07300120527879,-19.462509427410257,-91.50800114172404,1
45.52373121733158,-19.059265885456604,-92.15662769603026,1
45.9789685295049,-19.186153268716346,-91.38742730087864,1
46.43875821479995,-19.05588983979508,-91.25085083921341,1
46.903145796947946,-19.15175720942516,-91.07104853694474,1
47.372177254917425,-18.814126337120562,-90.49488623234376,1
47.8458990274666,-18.94127013812094,-91.59564768048517,1
48.32435801774127,-18.758303510467687,-91.1340689172223,1
48.80760159791868,-18.671776971148233,-90.92915074135098,1
49.29567761389787,-18.542991975147416,-91.21674421428565,1
49.788634390036854,-18.480190110632538,-90.4336909832711,1
50.28652073393722,-18.547054442558323,-91.3278181776883,1
50.7893859412766,-18.317779852640268,-90.45947067201044,1
51.29727980068937,-18.43705952023546,-91.81890167881454,1
51.81025259869626,-18.06299688846031,-91.3000051424598,1
52.32835512468322,-17.85327942025214,-91.01796307122297,1
52.851638675930054,-17.873129225086657,-90.79119884393319,1
53.380155062689354,-18.015966627608694,-91.62770751262664,1
53.91395661331625,-17.899758507006556,-91.04364227065645,1
54.45309617944942,-17.628954376226705,-91.45864087818164,1
54.99762714124391,-17.498014807608914,-90.92365481803333,1
55.54760341265635,-17.583401669800747,-90.80972036676616,1
56.103079446782914,-17.569896113333016,-91.06492456413304,1
56.66411024125075,-17.354305311591705,-91.68877096025403,1
57.23075134366326,-17.140746567928854,-90.42211288493318,1
57.80305885709989,-17.140901316969277,-91.4022396299268,1
58.38108944567089,-17.142154833287425,-91.41522909720607,1
58.9649003401276,-17.11044473822885,-91.62739691315328,1
59.554549343528876,-16.886043242314248,-91.61179035733,1
60.150094836964165,-16.90829323709387,-92.04330427255519,1
60.751595785333805,-16.767457607513762,-91.47635467172455,1
61.35911174318714,-16.855281637746316,-91.80143483362713,1
61.972702860619016,-16.53962091588528,-91.2258471508042,1
62.59242988922521,-16.420431797487215,-91.18235800595272,1
63.21835418811746,-16.38211109622336,-91.09003144758888,1
63.850537729998635,-16.44682850776838,-91.37877332448411,1
64.48904310729863,-16.275823747116537,-91.33427216952917,1
65.13393353837161,-16.1662158123205,-91.40414792548945,1
65.78527287375532,-16.255694564783518,-91.98472212108618,1
66.44312560249287,-15.980593928642241,-91.71412879021973,1
67.1075568585178,-15.798607894628237,-91.46355130307072,1
67.77863242710298,-15.879452735090117,-91.68155566819496,1
68.456418751374,-15.95203064306901,-91.54855550772301,1
69.14098293888775,-15.726666737481018,-91.35640735919912,1
69.83239276827662,-15.665258925345325,-91.38292263015826,1
70.53071669595938,-15.835877421724577,-92.04321489964053,1
71.23602386291898,-15.970627236165779,-92.06735252548663,1
71.94838410154817,-15.811231761527692,-91.41715350355264,1
72.66786794256366,-15.710170428198794,-91.83319356374187,1
73.39454662198929,-15.62123886799608,-92.06075147852646,1
74.12849208820919,-15.087509917429571,-91.34945162459113,1
74.86977700909128,-15.018328774001867,-91.74110418158634,1
75.6184747791822,-15.073492181670353,-91.83573304199098,1
76.37465952697401,-14.90393204603812,-91.39592040195548,1
