Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.142424453932005,-92.12806762245197,1
40.4,-21.602313991359853,-92.6663359547945,1
40.804,-21.202045903361416,-92.20570756252253,1
41.21204,-21.02460053064041,-91.40348166562612,1
41.6241604,-20.845263474506435,-91.53447111026681,1
42.040402004,-21.10356438721653,-91.92831827775638,1
42.460806024040004,-20.83198736323735,-91.92078367425677,1
42.885414084280406,-20.598199643504408,-91.25329821782447,1
43.31426822512321,-20.560315543642695,-91.67537082502548,1
43.74741090737444,-20.463582169248102,-92.15458383587043,1
44.184885016448185,-20.29808741203488,-92.37927931279751,1
44.62673386661267,-20.100478315030575,-92.11213169271599,1
45.07300120527879,-20.106148238253184,-91.82167997658694,1
45.52373121733158,-20.077220581428506,-92.32745136751541,1
45.9789685295049,-20.42308231474667,-92.6778394227511,1
46.43875821479995,-19.89288917642055,-92.12171093745826,1
46.903145796947946,-19.74905940651811,-92.48045664573837,1
47.372177254917425,-19.653939618523268,-92.2882017972324,1
47.8458990274666,-19.740623541610084,-92.34698321597614,1
48.32435801774127,-19.476782755496735,-91.52078691896946,1
48.80760159791868,-19.474393335403985,-91.11478939083872,1
49.29567761389787,-19.39552683069993,-92.29315033669992,1
49.788634390036854,-19.241850866627605,-91.22153181675344,1
50.28652073393722,-19.291194494270187,-91.88171607552704,1
50.7893859412766,-19.265111967661532,-91.85759689526618,1
51.29727980068937,-19.535879875500505,-92.6123308323842,1
51.81025259869626,-19.22231794020419,-92.50644343444014,1
52.32835512468322,-18.963008295954648,-92.24526065081768,1
52.851638675930054,-18.835152224943954,-91.64667401425424,1
53.380155062689354,-18.82569684274221,-92.21200207836813,1
53.91395661331625,-18.856525588843493,-92.13182683029497,1
54.45309617944942,-18.527918461897336,-92.9500337478502,1
54.99762714124391,-18.392133577793906,-92.52771803326121,1
55.54760341265635,-18.483853872756825,-92.60740942138227,1
56.103079446782914,-18.436821710219025,-92.493938793072,1
56.66411024125075,-18.301960880106343,-91.80246748402993,1
57.23075134366326,-18.103261646910585,-92.682355876835,1
57.80305885709989,-18.35178300885223,-92.77371402570039,1
58.38108944567089,-18.284649287365077,-92.39378484002572,1
58.9649003401276,-18.23110649292686,-92.69340713669328,1
59.554549343528876,-17.943597444240243,-92.45742941067209,1
60.150094836964165,-17.893930201418684,-93.51675049501245,1
60.751595785333805,-18.00565671112348,-93.05584967946493,1
61.35911174318714,-17.82965154049077,-92.44026106971842,1
61.972702860619016,-17.705882445677407,-92.05124051327596,1
62.59242988922521,-17.630813073696665,-92.85850218056902,1
63.21835418811746,-17.631953193977093,-92.10018790579326,1
63.850537729998635,-17.651831199093714,-92.87389202789956,1
64.48904310729863,-17.388451419287822,-92.68423813164488,1
65.13393353837161,-17.35055366908185,-92.1847624688001,1
65.78527287375532,-17.331651772472593,-92.83369931295971,1
66.44312560249287,-17.273164524730298,-94.88176977218444,1
67.1075568585178,-17.042401128426874,-93.2469074293549,1
67.77863242710298,-16.998006829124986,-93.20135134321141,1
68.456418751374,-17.097834383023162,-92.92991799551854,1
69.14098293888775,-16.9069820889427,-93.17082920155373,1
69.83239276827662,-16.61878181742547,-93.00045694827568,1
70.53071669595938,-16.70448886180452,-92.96271477770279,1
71.23602386291898,-16.648408697034483,-93.25854410339662,1
71.94838410154817,-16.40090161221454,-93.23984493558763,1
72.66786794256366,-16.41948078922489,-92.97141090508009,1
73.39454662198929,-16.42813132629876,-94.10249745114659,1
74.12849208820919,-16.172032795544435,-93.59578717150647,1
74.86977700909128,-16.15979287861267,-93.15723585412616,1
75.6184747791822,-16.226164792478464,-93.37917149840388,1
76.37465952697401,-16.16111248879289,-93.21238800842838,1
77.13840612224375,-15.896750080904456,-93.07745694215205,1
77.90979018346619,-15.965551342347315,-93.70364306622994,1
78.68888808530085,-15.917185926367855,-93.49659404652155,1
79.47577696615386,-15.708684597527533,-93.36663255935102,1
80.2705347358154,-15.621901629588898,-93.67158958564954,1
81.07324008317356,-15.57076711312354,-93.856182796665,1
81.8839724840053,-15.395516454326275,-93.92966019289895,1
82.70281220884536,-15.33511300749925,-93.23803572582734,1
83.52984033093381,-15.324886917355492,-93.88225604720685,1
84.36513873424315,-15.212751716955616,-93.76648550074174,1
85.20879012158558,-15.141105734215708,-93.7156286593289,1
86.06087802280143,-15.134979735271223,-93.99963073220545,1
86.92148680302945,-14.814214883992433,-93.60643419260404,1
87.79070167105975,-14.812891746442936,-93.79561696070456,1
88.66860868777034,-14.749932164096514,-93.84907602234804,1
89.55529477464805,-14.48721802977708,-94.09196883409265,1
90.45084772239453,-14.617094069930529,-93.70911474301545,1
91.35535619961847,-14.424512043038716,-93.97528396979874,1
92.26890976161465,-14.285907089196721,-94.22175984859449,1
93.1915988592308,-14.314516721537858,-93.74990064264809,1
94.1235148478231,-14.212771176722397,-94.25216686927706,1
95.06474999630133,-14.144974078674828,-94.01622340535437,1
96.01539749626434,-14.126053767580611,-94.35427742939078,1
96.97555147122699,-14.00108868210971,-94.51348121816616,1
97.94530698593927,-13.96098514906407,-94.50420679313635,1
98.92476005579866,-13.747774594789517,-94.49235247902453,1
99.91400765635665,-13.754638449886608,-94.76075810394047,1
100.91314773292021,-13.762225041581775,-94.3811302729664,1
101.92227921024941,-13.49955447752199,-94.0203427107023,1
102.94150200235191,-13.511960279278851,-94.83743110135838,1
103.97091702237543,-13.306961878267074,-94.5945706100137,1
105.01062619259919,-13.170688353154054,-94.48185721174535,1
106.06073245452518,-13.265138724680082,-94.90822908768504,1
107.12133977907044,-13.254217435584565,-95.13315134938335,1
108.19255317686114,-12.969561070243198,-94.69277928703339,1
109.27447870862976,-12.790095633599071,-94.46883679277306,1
110.36722349571606,-12.68193243792028,-94.75894977134493,1
111.47089573067322,-12.664506143267747,-94.76071465102797,1
112.58560468797995,-12.711635889932799,-94.94672552771846,1
113.71146073485976,-12.383328911341332,-94.87024466889794,1
114.84857534220835,-12.217747108847341,-94.67170436980304,1
115.99706109563043,-12.242596075013557,-94.95099993453631,1
117.15703170658674,-12.221241644912908,-95.1352834739541,1
118.3286020236526,-12.095181994758612,-94.93882724303305,1
119.51188804388913,-11.844654668298462,-94.75392643793109,1
120.70700692432803,-11.766936962247165,-94.82902199070163,1
121.91407699357131,-11.802942195211148,-95.15104527292453,1
123.13321776350703,-11.646370149360129,-95.18469007883408,1
124.3645499411421,-11.369894637839765,-95.06472067555217,1
125.60819544055353,-11.456076384925506,-94.97911232897715,1
126.86427739495906,-11.437249841185233,-95.16445451019126,1
128.13292016890864,-11.244057585486697,-94.9809903751605,1
129.41424937059773,-10.986312449176776,-95.07368352038918,1
130.7083918643037,-11.03766080764948,-95.29629030014274,1
132.01547578294674,-11.03172916163875,-95.18801656128943,1
133.3356305407762,-10.827726330438939,-95.40994455320225,1
134.66898684618397,-10.638973151317437,-95.50812629677364,1
136.01567671464582,-10.775095665065862,-95.53411178339024,1
137.37583348179228,-10.699497923238688,-95.80283652728764,1
138.7495918166102,-10.437723004019622,-95.60716488572848,1
140.13708773477632,-10.432150080178827,-95.60562440589413,1
141.5384586121241,-10.388737790830076,-95.93069110763571,1
142.95384319824532,-10.252419183648522,-95.80223810360668,1
144.38338163022777,-10.123034808166738,-95.9518715452891,1
145.82721544653006,-10.145911222941566,-95.88113570147044,1
147.28548760099537,-10.096801907106814,-96.19417815763954,1
148.75834247700533,-9.809166779972081,-95.80027802209331,1
150.2459259017754,-9.782363291031231,-96.32565912365145,1
151.74838516079316,-9.827350648005792,-96.08542517477161,1
153.26586901240108,-9.614002220590551,-96.12317852274263,1
154.7985277025251,-9.457197907040685,-96.11089815557634,1
156.34651297955034,-9.568395458198857,-96.32712204613057,1
157.90997810934584,-9.360964091041682,-96.28412411849709,1
159.4890778904393,-9.204925462293854,-96.54425903020285,1
161.08396866934368,-9.268668872313368,-97.03061765787072,1
162.6948083560371,-9.07832912975451,-96.7085964022749,1
164.32175643959746,-8.980975944108907,-96.39536224202769,1
165.96497400399343,-8.987666787741436,-96.84596472666175,1
167.62462374403336,-8.869539765824753,-96.82053176725893,1
169.30086998147368,-8.698578640769236,-96.8956733775887,1
170.9938786812884,-8.75319124962864,-96.92464728211371,1
172.7038174681013,-8.594450824516827,-96.9760565266673,1
174.43085564278232,-8.439027761818192,-96.77817397951428,1
176.17516419921014,-8.498025450190038,-97.37713109019245,1
177.93691584120225,-8.316383845878288,-97.23181359125952,1
179.7162849996143,-8.217896387872894,-97.24602818301457,1
181.51344784961043,-8.226576718932485,-97.50454524503533,1
183.32858232810653,-8.091104640146986,-97.48015176863399,1
185.1618681513876,-8.019483916867696,-97.49946672107077,1
187.0134868329015,-7.945917609267075,-97.59138624352305,1
188.8836217012305,-7.768272892003764,-97.30682271128451,1
190.77245791824282,-7.839519416403557,-97.6962929367802,1
192.68018249742525,-7.647962341921796,-97.74545699043543,1
194.6069843223995,-7.550085766139053,-97.56916798267818,1
196.5530541656235,-7.547159748419958,-98.01450609580401,1
198.51858470727976,-7.379448642108896,-97.82198947427113,1
200.50377055435257,-7.428546922590205,-98.23719353006663,1
202.50880825989609,-7.239634581632044,-98.19109719233487,1
204.53389634249504,-7.17205454036926,-98.2389872818998,1
206.57923530591998,-7.145024566171207,-98.47384922138271,1
208.6450276589792,-6.980156495048968,-98.5674417008286,1
210.731477935569,-7.0193469995659035,-98.60040271642322,1
212.8387927149247,-6.828201242911824,-98.80243470652725,1
214.96718064207394,-6.986214450586979,-98.850245149144,1
217.11685244849468,-6.775298141147797,-98.92200719101572,1
219.28802097297964,-6.583137402527106,-99.08640376217399,1
221.48090118270943,-6.587435370854841,-99.27741112692559,1
223.69571019453653,-6.653097590654505,-99.54382575991019,1
225.9326672964819,-6.564433885327782,-99.68239218379745,1
228.1919939694467,-6.333239381874657,-99.5104344386722,1
230.47391390914117,-6.274591039688232,-99.60321951731657,1
232.7786530482326,-6.353656555389996,-100.06402669454309,1
235.10643957871494,-6.304599590895495,-100.17887038217822,1
237.4575039745021,-6.08532176709414,-100.21468539881815,1
239.8320790142471,-5.942217589593413,-100.16251939566266,1
242.23039980438958,-5.99925074638946,-100.68190630856145,1
244.65270380243348,-6.006937380079545,-100.64958431270617,1
247.0992308404578,-5.775886340340973,-100.78331409582267,1
249.5702231488624,-5.645820582845534,-100.4661733208494,1
252.06592538035102,-5.698576032119464,-100.87918691818979,1
254.58658463415452,-5.66363841353501,-101.19797889539531,1
257.13245048049606,-5.443269664300682,-100.90762076205563,1
259.70377498530104,-5.286196599498438,-101.10637731209525,1
262.30081273515407,-5.367175166272962,-101.50584425660202,1
264.92382086250564,-5.340962505852585,-101.49929225259609,1
267.5730590711307,-5.087988492399425,-101.50185422217629,1
270.24878966184195,-5.028069521456116,-101.6928522193657,1
272.9512775584604,-5.07940573859162,-102.00411845856273,1
275.680790334045,-4.948178391693489,-101.99149817124464,1
278.4375982373855,-4.753653556810279,-101.87752782445685,1
281.2219742197593,-4.754474978662397,-102.12740947612838,1
284.03419396195693,-4.788595383740747,-102.64362046864426,1
286.8745359015765,-4.576789121069469,-102.52609042716414,1
289.74328126059225,-4.48118256039839,-102.54707597976163,1
292.6407140731982,-4.525446856987113,-103.11054749762914,1
295.5671212139302,-4.405425255596825,-103.11811405303273,1
298.5227924260695,-4.19169352692886,-102.96920965635405,1
301.5080203503302,-4.222268673036521,-103.3327411867997,1
304.5231005538335,-4.176884463088475,-103.50891989591764,1
307.5683315593718,-3.926732204302751,-103.33914301765769,1
