Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-20.323378220882294,-91.26012901912685,1
40.4,-20.355366751013502,-90.24393641705774,1
40.804,-20.23597214563734,-90.26199994215324,1
41.21204,-20.298356208449103,-90.69493750823115,1
41.6241604,-20.10710278325957,-91.50858646981975,1
42.040402004,-20.0842582010636,-91.15336856717948,1
42.460806024040004,-19.96503380757229,-91.3489206774484,1
42.885414084280406,-20.063178430722893,-91.06394136503162,1
43.31426822512321,-19.878297263867548,-91.43823559583285,1
43.74741090737444,-19.733183070139944,-90.55302220910815,1
44.184885016448185,-19.713273407330185,-90.84317414238097,1
44.62673386661267,-19.41930963086823,-91.31278958232099,1
45.07300120527879,-19.575888797361202,-90.93297532620298,1
45.52373121733158,-19.48091911503235,-91.04975686223119,1
45.9789685295049,-19.193031024724785,-92.75107711785904,1
46.43875821479995,-19.305305695140603,-91.34007260981605,1
46.903145796947946,-19.299799030038393,-90.97323015868133,1
47.372177254917425,-19.143386476747203,-91.07568782323871,1
47.8458990274666,-19.147159377947858,-91.53352726801631,1
48.32435801774127,-19.046286120079564,-91.60351848608036,1
48.80760159791868,-19.050876432538196,-90.87522442629576,1
49.29567761389787,-18.64631183583113,-90.50603097962124,1
49.788634390036854,-18.603963375460133,-91.14775893968731,1
50.28652073393722,-18.663867279351265,-91.9769838438267,1
50.7893859412766,-18.56858208254526,-91.36713137052519,1
51.29727980068937,-18.546206347998428,-90.68771883759479,1
51.81025259869626,-18.206671139274224,-91.82113465488837,1
52.32835512468322,-18.1469209631743,-91.33320823606425,1
52.851638675930054,-18.047451201593756,-90.82956123908608,1
53.380155062689354,-18.195870259608274,-91.00575782665656,1
53.91395661331625,-18.18696453490923,-92.17200027044109,1
54.45309617944942,-17.82789688920503,-91.1801374314267,1
54.99762714124391,-17.745485031017708,-90.98859212235396,1
55.54760341265635,-17.858050721974013,-91.756914190119,1
56.103079446782914,-17.883765488436186,-91.5916158642907,1
56.66411024125075,-17.550610904925424,-90.72294240492289,1
57.23075134366326,-17.333439626488587,-91.58768166536007,1
57.80305885709989,-17.29591109787017,-91.01167524490627,1
58.38108944567089,-17.413097038472667,-91.05051274202066,1
58.9649003401276,-17.28390584343836,-91.61440569824038,1
59.554549343528876,-17.048235968892595,-91.18455327828386,1
60.150094836964165,-16.67241693931523,-90.00730291981917,1
60.751595785333805,-17.01290432628615,-91.0930446981597,1
61.35911174318714,-16.859936488108318,-91.66480000634516,1
61.972702860619016,-16.72743054185279,-91.23693316829788,1
62.59242988922521,-16.575131125405505,-91.41480050358552,1
63.21835418811746,-16.638614889653393,-91.40209587381817,1
63.850537729998635,-16.570978241588563,-91.36033186109796,1
64.48904310729863,-16.339690620826037,-91.28645701856487,1
65.13393353837161,-16.27610977384076,-91.76634565352458,1
65.78527287375532,-16.34991325850423,-91.7836984980081,1
66.44312560249287,-16.11243536975479,-89.97150543661832,1
67.1075568585178,-16.012198379555016,-91.17860694194681,1
67.77863242710298,-16.03122515689776,-91.5604353539534,1
68.456418751374,-16.025339269500385,-91.88874569334854,1
69.14098293888775,-15.786712680506492,-91.19334285355963,1
69.83239276827662,-15.620478349812412,-91.60460374352947,1
70.53071669595938,-15.731965042175833,-91.68708354534897,1
71.23602386291898,-15.646459871406638,-91.1702630448392,1
71.94838410154817,-15.400492722439331,-91.56071836484436,1
72.66786794256366,-15.241744404881535,-91.65461672017716,1
73.39454662198929,-15.30733710567551,-92.38252807847655,1
74.12849208820919,-15.161212334064663,-91.80753651456982,1
74.86977700909128,-15.046262188996396,-91.81510718168906,1
75.6184747791822,-15.138366917584204,-91.93063043762174,1
76.37465952697401,-14.991500312227215,-91.96318928131609,1
77.13840612224375,-14.81088208670622,-91.5860502825042,1
77.90979018346619,-14.818541011245442,-91.82160729939868,1
78.68888808530085,-14.825862087474794,-91.91746964928353,1
79.47577696615386,-14.535894262690945,-91.99455890519648,1
80.2705347358154,-14.560247491532893,-91.57761143925512,1
81.07324008317356,-14.621607625218763,-92.1220909082607,1
81.8839724840053,-14.42902085461251,-91.6371162546996,1
82.70281220884536,-14.393012881362235,-91.9777089153279,1
83.52984033093381,-14.384204794378856,-91.77165295226186,1
84.36513873424315,-14.290472904378515,-92.0306018271828,1
85.20879012158558,-14.05229542154455,-92.04093093450145,1
86.06087802280143,-14.042861940528638,-91.96872567707896,1
86.92148680302945,-13.851691036833188,-92.17194462718135,1
87.79070167105975,-13.85472139577612,-92.35971314053907,1
88.66860868777034,-13.800574443775481,-92.07959945613464,1
89.55529477464805,-13.598471749898517,-92.43654084348628,1
90.45084772239453,-13.62368014423245,-92.44310368950937,1
91.35535619961847,-13.441318087202744,-91.9795946072665,1
92.26890976161465,-13.35092566122064,-92.08382179077675,1
93.1915988592308,-13.33200108855994,-92.09578287915406,1
94.1235148478231,-13.10944240120436,-92.16823066281717,1
95.06474999630133,-13.0635893091863,-92.11985218568088,1
96.01539749626434,-13.10441216867381,-92.15344610650516,1
96.97555147122699,-12.891987430028314,-92.40295886616494,1
97.94530698593927,-12.949271934980903,-92.34955725769437,1
98.92476005579866,-12.724348667045192,-92.48087812467604,1
99.91400765635665,-12.64237098108836,-92.407993003407,1
100.91314773292021,-12.614952156511329,-92.45497905430346,1
101.92227921024941,-12.38680444172502,-92.49157611686377,1
102.94150200235191,-12.423086584821396,-92.44511169415426,1
103.97091702237543,-12.21963866133778,-92.39491831904144,1
105.01062619259919,-12.05218692539127,-92.18607729175397,1
106.06073245452518,-12.106664719216404,-92.4868546706436,1
107.12133977907044,-12.182702557812739,-92.71362601366985,1
108.19255317686114,-11.962286601157622,-92.36279690614307,1
109.27447870862976,-11.762151100387907,-92.62261359521571,1
110.36722349571606,-11.6934376623135,-92.03013077799633,1
111.47089573067322,-11.71228121658185,-92.86294633929401,1
112.58560468797995,-11.674848974399573,-92.65090636139502,1
113.71146073485976,-11.448256327235574,-92.55503232966066,1
114.84857534220835,-11.34561934549615,-92.16965249129724,1
115.99706109563043,-11.360853540232375,-92.94854032766433,1
117.15703170658674,-11.36835248299904,-92.74382711459356,1
118.3286020236526,-11.148523266464988,-92.87827212711608,1
119.51188804388913,-10.966551545075616,-92.57325408311232,1
120.70700692432803,-10.933784270602844,-92.70363773538554,1
121.91407699357131,-10.981051318784719,-92.65703091993498,1
123.13321776350703,-10.844062265783597,-92.90750132595525,1
124.3645499411421,-10.615428200261926,-92.75010425147627,1
125.60819544055353,-10.619034583946462,-92.73730423287618,1
126.86427739495906,-10.633132661976786,-93.049064838617,1
128.13292016890864,-10.433224464338528,-92.99692649662573,1
129.41424937059773,-10.283763990932938,-92.72603726139054,1
130.7083918643037,-10.306800179978444,-92.99720287947827,1
132.01547578294674,-10.317730077199261,-93.01149718635037,1
133.3356305407762,-10.136198179772688,-93.09153895907494,1
134.66898684618397,-9.965915072011416,-93.05442699067655,1
136.01567671464582,-10.003440887896954,-93.15422800595326,1
137.37583348179228,-9.929141647662535,-93.45654313065668,1
138.7495918166102,-9.67142726289276,-93.00608671658719,1
140.13708773477632,-9.64010706411849,-93.07189140253242,1
141.5384586121241,-9.677431062247539,-93.37905280851152,1
142.95384319824532,-9.503854679494271,-93.3272281599535,1
144.38338163022777,-9.331611039293144,-93.1698438066889,1
145.82721544653006,-9.441024115930626,-93.35984633582684,1
147.28548760099537,-9.360229933693676,-93.56125964240404,1
148.75834247700533,-8.873874290906565,-93.55088595348423,1
150.2459259017754,-9.08595522854914,-93.35042719802279,1
151.74838516079316,-9.132876777771868,-93.43039206891001,1
153.26586901240108,-8.821977040006445,-93.58773881306777,1
154.7985277025251,-8.790527291416263,-93.46724970872995,1
156.34651297955034,-8.864914562312737,-93.73953821666545,1
157.90997810934584,-8.747808400055188,-93.66671465746441,1
159.4890778904393,-8.495974186245235,-93.65541890985966,1
161.08396866934368,-8.573429769000873,-93.76469004211566,1
162.6948083560371,-8.36054493143737,-93.70380758305856,1
164.32175643959746,-8.283125540124816,-93.54195041192384,1
165.96497400399343,-8.285782866715003,-93.99173086585375,1
167.62462374403336,-8.197147774303332,-93.93819468489012,1
169.30086998147368,-8.000607413765294,-94.03586670737222,1
170.9938786812884,-8.045859601641576,-93.98782002427737,1
172.7038174681013,-7.913560616824584,-94.14188634992576,1
174.43085564278232,-7.699430209676548,-93.83004464747994,1
176.17516419921014,-7.858821644777899,-94.11950925909524,1
177.93691584120225,-7.618088994143617,-94.24545659768698,1
179.7162849996143,-7.54613141396075,-94.36651964953909,1
181.51344784961043,-7.536580478314229,-94.33694788693742,1
183.32858232810653,-7.3245482893933485,-94.04099461593535,1
185.1618681513876,-7.330582250145182,-94.19338638816303,1
187.0134868329015,-7.186488120301657,-94.30019404732398,1
188.8836217012305,-7.07476222318542,-94.15168894305141,1
190.77245791824282,-7.093888768408806,-94.24405661168305,1
192.68018249742525,-6.940194620051551,-94.35532410555113,1
194.6069843223995,-7.161883159365491,-95.66512325051406,1
196.5530541656235,-6.799756423337295,-94.65795635917931,1
198.51858470727976,-6.600496347756718,-94.44182807943812,1
200.50377055435257,-6.6972909639890466,-94.42802198917207,1
202.50880825989609,-6.510206860807857,-94.84273414722736,1
204.53389634249504,-6.407906549987967,-94.75603715470068,1
206.57923530591998,-6.384300473962348,-94.81375101590714,1
208.6450276589792,-6.192099288891242,-94.73593026326671,1
210.731477935569,-6.011259652532864,-94.92031793878891,1
212.8387927149247,-6.021391311884665,-94.79107034121746,1
214.96718064207394,-6.091606111479917,-95.13925804457226,1
217.11685244849468,-5.8926370576437215,-94.89673396449727,1
219.28802097297964,-5.680944543191858,-94.9293071653897,1
221.48090118270943,-5.667508439732204,-94.94308466474621,1
223.69571019453653,-5.737474402635299,-95.18528432521964,1
225.9326672964819,-5.602509288847659,-95.3168709274845,1
228.1919939694467,-5.355532412482923,-95.17413167328928,1
230.47391390914117,-5.295192249579794,-95.10062019221378,1
232.7786530482326,-5.355806816521539,-95.3767581004787,1
235.10643957871494,-5.320158512333661,-95.50743354492052,1
237.4575039745021,-5.069375084601192,-95.17956315109578,1
239.8320790142471,-4.980079523910963,-95.28141513785481,1
242.23039980438958,-5.001910875974203,-95.53906654423389,1
244.65270380243348,-4.971119344918266,-95.77155873406014,1
247.0992308404578,-4.759999374469084,-95.58722448536173,1
249.5702231488624,-4.610210770853683,-95.62717894109839,1
252.06592538035102,-4.660542798877216,-95.87986952535603,1
254.58658463415452,-4.638194344166935,-95.79767318186923,1
257.13245048049606,-4.42285801211291,-95.65327600894986,1
259.70377498530104,-4.307257048875458,-95.79745232536399,1
262.30081273515407,-4.3481137487835,-95.919537499167,1
264.92382086250564,-4.278784051171305,-96.08000032087193,1
267.5730590711307,-4.019265104833953,-95.9359695557014,1
270.24878966184195,-3.967018560373553,-96.01753700023686,1
272.9512775584604,-4.028927477304862,-96.23258384206551,1
275.680790334045,-3.9010502993392544,-96.31355007191831,1
278.4375982373855,-3.679952036356988,-96.09400731610764,1
281.2219742197593,-3.679239781880356,-96.29431412947116,1
284.03419396195693,-3.672570740151211,-96.52999593508434,1
286.8745359015765,-3.4434069416089077,-96.4548571684023,1
289.74328126059225,-3.325016487743348,-96.34045719162312,1
292.6407140731982,-3.418232538687012,-96.59356705183578,1
295.5671212139302,-3.2704087108239173,-96.64325882431945,1
298.5227924260695,-3.069287858581594,-96.46797776851352,1
301.5080203503302,-3.1122662994670613,-96.68892038817972,1
304.5231005538335,-3.0456285733701858,-96.97408922233944,1
307.5683315593718,-2.8383629088433255,-96.68537772823566,1
310.64401487496554,-2.813827833318848,-96.91679747641747,1
313.7504550237152,-2.815804436780799,-96.98810391427213,1
316.88795957395234,-2.5980987698444595,-96.92275336284013,1
320.0568391696919,-2.542621561864945,-96.94263380516676,1
323.25740756138885,-2.560638223787631,-97.40530134103267,1
326.48998163700276,-2.35076973552682,-97.26988876772577,1
329.7548814533728,-2.286975177548748,-97.29543279599547,1
333.0524302679065,-2.2978861658587246,-97.51269198087553,1
336.3829545705856,-2.110736122018893,-97.46144289112696,1
339.74678411629145,-2.0291221640116306,-97.51974932177465,1
343.14425195745434,-2.042988714881325,-97.73291930883039,1
346.5756944770289,-1.834441712797212,-97.65815805300203,1
350.0414514217992,-1.7921813536312075,-97.86303872092267,1
353.5418659360172,-1.7833455715481883,-97.90823584575344,1
357.07728459537736,-1.5764462829162398,-97.91811883329397,1
360.64805744133116,-1.5903825886465346,-98.04777878615073,1
364.25453801574446,-1.5211154145726635,-98.05635421074345,1
367.8970833959019,-1.319336097566514,-98.09605462573703,1
371.5760542298609,-1.3727215224964235,-98.40403936814795,1
375.2918147721595,-1.2161994063786006,-98.22133651538896,1
379.0447329198811,-1.1032879739502652,-98.27788194258727,1
382.8351802490799,-1.1352514150776674,-98.7091915798955,1
386.6635320515707,-0.9076452115352486,-98.31549768588464,1
390.5301673720864,-0.9197469351493165,-98.66921610054892,1
394.4354690458073,-0.8000441121080071,-98.61283636728412,1
398.37982373626534,-0.6644566764354997,-98.7832990798376,1
402.36362197362797,-0.6891558042961027,-99.0082795094346,1
406.38725819336423,-0.48884274945939216,-98.79044655648374,1
410.4511307752979,-0.513995900432761,-99.11474532972764,1
414.5556420830509,-0.3867538984688529,-99.23702031740328,1
418.7011985038814,-0.29378837153547693,-99.19849467348163,1
422.8882104889202,-0.23516440619379975,-99.31216905350175,1
427.1170925938094,-0.0857932671739139,-99.19262992056635,1
431.3882635197475,-0.10041972434052801,-99.47967631174802,1
435.702146154945,0.08481430070725633,-99.65868117138245,1
440.05916761649445,0.0932530324630809,-99.67949817631433,1
444.4597592926594,0.22415011417102362,-99.85371435934547,1
448.90435688558597,0.30311749471832755,-99.7074715264433,1
453.39340045444186,0.33125458368123434,-99.91591879534502,1
457.9273344589863,0.47607025403165976,-100.10234968897075,1
462.5066078035762,0.5126336262677579,-100.15159885032199,1
467.13167388161196,0.6639949741495014,-100.04977496096332,1
471.8029906204281,0.6662831917980225,-100.31815239534927,1
476.52102052663236,0.8692740807687853,-100.34302319339379,1
481.2862307318987,0.850568740066687,-100.58620329356631,1
486.0990930392177,1.0256069274786463,-100.51781854572891,1
490.96008396960985,0.9857489522203492,-100.77601645799227,1
495.86968480930597,1.1798627684319476,-100.91197016330472,1
500.828381657399,1.1695229556885156,-100.94268673636742,1
505.836665473973,1.3361844398601037,-100.82776148353929,1
510.8950321287128,1.2455108013179863,-101.35683487425433,1
516.00398245,1.396850817687978,-101.3583079665496,1
521.1640222745,1.6471512236922847,-101.11384769092157,1
526.375662497245,1.7235377918758403,-101.31659420009427,1
531.6394191222174,1.6675165788994921,-101.68862902465594,1
536.9558133134396,1.6772140885701254,-101.84683244556038,1
542.3253714465741,1.8942866618719956,-101.6810306425794,1
547.7486251610399,2.0619709566532194,-101.54073851402012,1
553.2261114126503,2.089602100414835,-101.882921623443,1
558.7583725267768,2.0260072374241704,-102.33443277820948,1
564.3459562520446,2.1393648751852057,-102.23663142677157,1
569.9894158145651,2.3833089401882086,-102.03948664302808,1
575.6893099727107,2.463828284960786,-102.24312611286112,1
581.4462030724378,2.3860472292405106,-102.7101961269877,1
587.2606651031622,2.440751869226739,-102.78692491461314,1
593.1332717541939,2.666841478943739,-102.73122917520234,1
599.0646044717358,2.7925502557631154,-102.59263950536169,1
605.0552505164532,2.741561869178131,-102.98640962726819,1
611.1058030216177,2.754302385102108,-103.24213518206727,1
617.2168610518339,2.9513709456886503,-103.08518776160396,1
623.3890296623523,3.095797479198371,-103.12094502789245,1
629.6229199589758,3.0915593991107855,-103.32866705800146,1
635.9191491585656,3.081494630132249,-103.7378543021741,1
642.2783406501512,3.288695529488269,-103.77831804173562,1
648.7011240566527,3.4214229216974275,-103.60347887860084,1
655.1881352972192,3.3703524894449184,-104.10973269237934,1
661.7400166501914,3.4275045790811713,-104.34227782794258,1
668.3574168166933,3.6500549423417614,-103.99650301582685,1
675.0409909848603,3.7188449790588853,-104.05312767646157,1
681.7914008947089,3.681259293629877,-104.64167686393625,1
688.609314903656,3.7835864341459757,-104.60516507585264,1
695.4954080526926,3.997156018166406,-104.47026195853597,1
702.4503621332195,3.9856831982310923,-104.9309520210395,1
709.4748657545517,3.9974009267891537,-105.18781035660936,1
716.5696144120973,4.2018532745783626,-105.06873683993527,1
723.7353105562182,4.302404426834019,-105.02414486443782,1
730.9726636617804,4.247332215562654,-105.55118926772393,1
738.2823902983982,4.361671600015146,-105.69294221384213,1
745.6652142013822,4.579847172965021,-105.46960033222555,1
753.121866343396,4.526527716296087,-105.95599455614672,1
760.65308500683,4.574419035538635,-106.07624250292821,1
768.2596158568983,4.805913458394673,-106.01692669860981,1
775.9422120154674,4.8059797324102975,-106.26766862226094,1
783.701634135622,4.806569698426934,-106.64901413313932,1
791.5386504769783,5.016150047608312,-106.35947281129347,1
799.4540369817481,5.076255071370821,-106.59338550367221,1
807.4485773515656,5.056528025655665,-107.08144687313097,1
815.5230631250813,5.262715901660702,-106.9141919848206,1
823.6782937563321,5.315297282507497,-106.99494161226404,1
831.9150766938955,5.314321476631207,-107.40041721198767,1
840.2342274608344,5.49568329802222,-107.31962262308295,1
848.6365697354428,5.584512961219752,-107.4741097667827,1
857.1229354327972,5.553837368664998,-108.0300132390602,1
865.6941647871253,5.771353031092146,-107.82065794250997,1
874.3511064349965,5.797960953012644,-107.93718434350077,1
883.0946174993464,5.813976271518034,-108.43956600829344,1
891.92556367434,6.001936660439983,-108.0991019025401,1
900.8448193110834,6.020968681055174,-108.6509585633907,1
909.8532675041943,6.043996814527648,-108.70625116124387,1
918.9518001792362,6.279925040414441,-108.66409492400632,1
928.1413181810286,6.240521595917142,-109.25514646182822,1
937.4227313628389,6.349555100753081,-109.1795525259944,1
946.7969586764673,6.4678937385312585,-109.240879393336,1
956.2649282632319,6.451329262887915,-109.70709746093925,1
965.8275775458643,6.648847469640678,-109.56836871700031,1
975.4858533213229,6.636688585517029,-109.95679360729493,1
985.2407118545361,6.744524665907354,-110.07448030905904,1
