Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.78510675340621,88.75927015098156,2
40.4,-24.65271595012995,88.42529768984922,2
40.804,-24.424087881137247,88.18445850174015,2
41.21204,-24.377502567990295,87.8286797178471,2
41.6241604,-24.160759172697578,87.44667518254666,2
42.040402004,-24.20479315345744,88.57049387878052,2
42.460806024040004,-24.262226163559586,88.62207689504093,2
42.885414084280406,-24.17298727198566,88.09486978408728,2
43.31426822512321,-24.141358039594117,88.15280913698554,2
43.74741090737444,-23.764062006830326,87.54082459977764,2
44.184885016448185,-23.787236368866445,87.91798778091741,2
44.62673386661267,-23.56673676144782,87.96702151858727,2
45.07300120527879,-23.8228746764008,87.62151734576615,2
45.52373121733158,-23.684917141058904,87.87314728922861,2
45.9789685295049,-23.57690113340971,88.07459958468714,2
46.43875821479995,-23.3266978944858,88.10402822156084,2
46.903145796947946,-23.359089241388215,88.10732326938432,2
47.372177254917425,-23.262041528157955,87.38649918115537,1
47.8458990274666,-23.24220721718154,88.39139569927305,1
48.32435801774127,-23.123664129511678,87.10009124976091,2
48.80760159791868,-22.93293525769095,87.33893439359542,1
49.29567761389787,-22.77199960639025,87.2692174450975,1
49.788634390036854,-22.752830448064124,87.17558929225585,1
50.28652073393722,-22.75480191126046,87.40850930590923,1
50.7893859412766,-22.67746644298914,87.43605867450219,1
51.29727980068937,-22.69550090798277,86.83917178103474,1
51.81025259869626,-22.576367222791394,86.786523329148,1
52.32835512468322,-22.250190075014093,86.65830202914094,1
52.851638675930054,-22.12408681277502,88.17087279579664,1
53.380155062689354,-22.22941072514175,87.96646827676254,1
53.91395661331625,-22.199291543770507,87.39767388951093,1
54.45309617944942,-22.03055518943729,86.6295583021151,1
54.99762714124391,-21.810073588237447,87.34823346074705,1
55.54760341265635,-21.76991025427455,87.47103988796712,1
56.103079446782914,-21.829949169447474,86.68215003459207,1
56.66411024125075,-21.69623189042563,87.59290814876476,1
57.23075134366326,-21.503274052501226,87.50170267756152,1
57.80305885709989,-21.523591742473283,87.65885351346088,1
58.38108944567089,-21.432182348953013,87.04444516865897,1
58.9649003401276,-21.498523060272962,86.5028033584285,1
