Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.26859306442416,89.52066949543732,2
40.4,-25.449233333343432,89.72068395563683,2
40.804,-24.86637929008826,89.53262908480178,1
41.21204,-24.898409404562425,89.44709207732618,2
41.6241604,-24.720417630988877,88.50360911544679,2
42.040402004,-24.522488661584664,88.49987736210736,2
42.460806024040004,-24.55858508347362,89.25368527653602,2
42.885414084280406,-24.548612320315044,88.92775827731685,2
43.31426822512321,-24.491861667901254,89.67448750170944,2
43.74741090737444,-24.251991577021187,88.9315609389547,2
44.184885016448185,-24.330418167326094,89.94397725587538,1
44.62673386661267,-24.159084465819127,89.06452499230426,2
45.07300120527879,-24.144581318789626,88.85524695725226,2
45.52373121733158,-24.107431133173964,89.54658924924726,2
45.9789685295049,-23.909977188763488,87.52914917210548,1
46.43875821479995,-23.80741067399963,87.98985341888712,1
46.903145796947946,-23.567047696932093,86.10595677496036,1
47.372177254917425,-23.695558753263125,89.09053257515825,1
47.8458990274666,-23.39938382094126,88.52133135053543,1
48.32435801774127,-23.613903760230635,89.14729363094874,2
48.80760159791868,-23.60130997298302,88.48124593966065,1
49.29567761389787,-23.37614162752401,88.97877917618645,1
49.788634390036854,-23.253144398093024,88.42229368353242,1
50.28652073393722,-23.198502160602654,89.69005857332529,1
50.7893859412766,-23.168995384745806,89.45272553245582,1
51.29727980068937,-23.015465626584202,88.756950494591,1
51.81025259869626,-22.758320647162805,89.25212060334638,1
52.32835512468322,-22.5144439441394,89.27715024831929,1
52.851638675930054,-22.516069091830104,87.71211322658371,1
53.380155062689354,-22.6334472845906,88.39420192748543,1
53.91395661331625,-22.7026728114438,88.9641585895238,1
54.45309617944942,-22.36196054228217,88.7817870500765,1
54.99762714124391,-22.12479159294162,88.23739459088404,1
55.54760341265635,-22.27254038910343,88.6492137126264,1
56.103079446782914,-22.399354891021,88.70864250649954,1
56.66411024125075,-22.2239111992163,88.7276843972437,1
57.23075134366326,-21.90103784549831,89.40763556100785,1
57.80305885709989,-21.84139918525869,88.11870590664546,1
58.38108944567089,-21.971176988209102,88.17101803576546,1
58.9649003401276,-21.78031745419024,88.94928637354963,1
59.554549343528876,-21.645819183151403,88.59489749353801,1
60.150094836964165,-21.54195702604048,88.78953383861392,1
60.751595785333805,-21.70619745827142,88.49009751777615,1
61.35911174318714,-21.424861724943344,88.60607450711889,1
61.972702860619016,-21.314677777552014,87.95122272874289,1
62.59242988922521,-21.04904433348492,89.35198773223192,1
63.21835418811746,-21.190779673776873,89.0585780540288,1
63.850537729998635,-21.167072614849598,87.92032525353818,1
64.48904310729863,-20.851437533693634,88.82573711435602,1
65.13393353837161,-20.77896236535518,88.25380809954683,1
65.78527287375532,-20.92980109691875,88.34957321093097,1
66.44312560249287,-20.697003530738133,86.47485027947693,1
67.1075568585178,-20.58362750749033,88.93452480761022,1
67.77863242710298,-20.44677181583171,89.27964190857836,1
68.456418751374,-20.581242771780524,88.27251002708842,1
69.14098293888775,-20.266122291164695,88.84792775789533,1
69.83239276827662,-20.10427443078311,88.41418372651356,1
70.53071669595938,-20.17197936806732,88.73211250196766,1
71.23602386291898,-20.089928752597313,88.39249577647102,1
71.94838410154817,-19.984909609458644,87.89766685196884,1
72.66786794256366,-19.904158867980502,88.00474138660815,1
73.39454662198929,-19.96289371516794,88.03642092464405,1
74.12849208820919,-19.704959890302163,88.32633700238513,1
74.86977700909128,-19.610669523595877,88.43926530692619,1
75.6184747791822,-19.67830057865791,88.04832633151716,1
76.37465952697401,-19.50842363910703,88.66475189691808,1
77.13840612224375,-19.241899737151535,88.47286299308445,1
77.90979018346619,-19.31353484187282,88.80983552324854,1
78.68888808530085,-19.28938296360764,87.83073313462597,1
79.47577696615386,-19.04369358047348,88.07446989301312,1
80.2705347358154,-19.053010205446736,87.74441366690685,1
81.07324008317356,-19.04731174604541,88.34600832221811,1
81.8839724840053,-18.84799754188935,88.35960346755678,1
82.70281220884536,-18.851704703975418,87.82463854524536,1
83.52984033093381,-18.80791910365383,87.57883831074093,1
84.36513873424315,-18.59879976599236,87.97116796689957,1
85.20879012158558,-18.67555804750681,88.32626441812826,1
86.06087802280143,-18.53944995884311,87.70704238654383,1
86.92148680302945,-18.30806274339589,88.01163847272176,1
87.79070167105975,-18.31865235066194,87.75764273492447,1
88.66860868777034,-18.21913998889834,88.1873998221392,1
89.55529477464805,-17.986327374270076,87.85987755286023,1
90.45084772239453,-17.96558701301033,87.71586685578802,1
91.35535619961847,-17.90642935987474,87.89856010136987,1
92.26890976161465,-17.8813184817222,87.34520806134469,1
93.1915988592308,-17.824208205685665,87.50320893416372,1
94.1235148478231,-17.647465978890224,88.02277211891233,1
95.06474999630133,-17.6208655818798,87.82176167683856,1
96.01539749626434,-17.610652997731165,88.15283092682272,1
96.97555147122699,-17.388058183572703,87.55937104509417,1
97.94530698593927,-17.405063178681274,87.51894798312087,1
98.92476005579866,-17.31766126139454,87.39547085583293,1
99.91400765635665,-17.191027265694036,87.24057770680976,1
100.91314773292021,-17.105767871839568,87.99811696764634,1
101.92227921024941,-16.943553060226954,87.7959450412331,1
102.94150200235191,-16.899463257016244,87.4628451536953,1
103.97091702237543,-16.73932047891624,87.67675258314398,1
105.01062619259919,-16.678012514746147,87.81012992961365,1
106.06073245452518,-16.655401154601158,87.71056747343873,1
107.12133977907044,-16.695802553579867,87.42610967329344,1
108.19255317686114,-16.516443763024373,87.61117105126417,1
109.27447870862976,-16.30868619693944,87.38474365317843,1
110.36722349571606,-16.227436529654966,87.27008220113096,1
111.47089573067322,-16.36706169170718,87.22355703715229,1
112.58560468797995,-16.250703435062416,87.11486110010131,1
113.71146073485976,-16.05177056205786,87.28874810615571,1
114.84857534220835,-15.856813937113875,87.11212805247646,1
115.99706109563043,-15.874820149908615,87.41632203222235,1
117.15703170658674,-15.961807613543309,87.14635236935736,1
118.3286020236526,-15.764650272846362,87.33198533825215,1
119.51188804388913,-15.523279620980167,87.57900700218926,1
120.70700692432803,-15.599719735954336,86.92980162183605,1
121.91407699357131,-15.5774048017603,86.76476882054712,1
123.13321776350703,-15.369024680657638,86.88786850367508,1
124.3645499411421,-15.129036499365844,87.09946294925749,1
125.60819544055353,-15.16856415150636,86.948671123714,1
126.86427739495906,-15.204449243348677,86.91209359691518,1
128.13292016890864,-15.093263066461198,87.04850551795168,1
129.41424937059773,-14.857945423260118,87.10479037568527,1
130.7083918643037,-14.864504626867266,87.15249121047547,1
132.01547578294674,-14.925409508038436,86.88799276032694,1
133.3356305407762,-14.711236093163167,86.56786571016113,1
134.66898684618397,-14.578128687645995,87.14077762425649,1
136.01567671464582,-14.571485848337588,86.52302581976309,1
137.37583348179228,-14.475496897086263,86.48837590140135,1
138.7495918166102,-14.308767840236465,86.6293283807159,1
140.13708773477632,-14.131798358867695,86.72422946230823,1
141.5384586121241,-14.267990792803312,86.6202687767414,1
142.95384319824532,-14.108697806189719,86.6799572651044,1
144.38338163022777,-13.882015061023985,86.56990597830213,1
145.82721544653006,-13.97635396508441,86.51821496325876,1
147.28548760099537,-13.83954420125332,86.64316293364932,1
148.75834247700533,-13.675892311947287,86.6032282905303,1
150.2459259017754,-13.626862931532877,86.33025101520322,1
151.74838516079316,-13.632619651107325,86.18216994856411,1
153.26586901240108,-13.446929059863974,86.62288469468479,1
154.7985277025251,-13.369022432846618,86.83421067363173,1
156.34651297955034,-13.343337226823234,86.2789453100816,1
157.90997810934584,-13.214578904801137,86.34968671044885,1
159.4890778904393,-13.043752277174098,86.40905704965647,1
161.08396866934368,-13.114999564400097,86.17124280908133,1
162.6948083560371,-12.964451943484772,85.75638419039623,1
164.32175643959746,-12.75955847010216,86.41533415444144,1
165.96497400399343,-12.833128212706853,86.086912561225,1
167.62462374403336,-12.754729361586266,86.02961638469706,1
169.30086998147368,-12.590243735065007,85.66580219689031,1
170.9938786812884,-12.62103812120607,86.00264460633866,1
172.7038174681013,-12.398323930075934,85.88366968196036,1
174.43085564278232,-12.25009538381119,85.67850015935,1
176.17516419921014,-12.374945665607259,85.83120969635641,1
177.93691584120225,-12.13199917124877,85.6282110233667,1
179.7162849996143,-12.066854528480397,85.51031503489293,1
181.51344784961043,-12.087336224184146,85.644150058835,1
183.32858232810653,-11.816290319328434,85.64790980474697,1
185.1618681513876,-11.87395426606175,85.41198448942662,1
187.0134868329015,-11.76371226973947,85.71026437937508,1
188.8836217012305,-11.597644370653494,85.40540370949952,1
190.77245791824282,-11.669868891699293,85.47284884097819,1
192.68018249742525,-11.45083543470646,85.34873763095675,1
194.6069843223995,-11.17658704559223,85.30851538952459,1
196.5530541656235,-11.388450681789239,85.53191849463308,1
198.51858470727976,-11.146699518198817,85.48914805021974,1
200.50377055435257,-11.182509940638594,85.17688028381892,1
202.50880825989609,-11.02051608361527,85.47374738279268,1
204.53389634249504,-10.97023172005971,85.24187685525419,1
206.57923530591998,-10.93300724111773,85.24266057244623,1
208.6450276589792,-10.711520083884343,85.24840369829727,1
210.731477935569,-10.667306130930038,84.89344578459767,1
212.8387927149247,-10.574277344096958,85.08421997678056,1
214.96718064207394,-10.639729651355713,84.8551556451614,1
217.11685244849468,-10.445712761377294,84.70428023333122,1
219.28802097297964,-10.260853660746367,85.00023626696078,1
221.48090118270943,-10.2284971443994,84.91778766067105,1
223.69571019453653,-10.30842467209606,84.66494794083822,1
225.9326672964819,-10.21600723348638,84.63293474912071,1
228.1919939694467,-9.95038118680378,84.65331890890195,1
230.47391390914117,-9.82152424183497,84.83358223875729,1
232.7786530482326,-9.906182751221642,84.50788356550633,1
235.10643957871494,-9.920299218451497,84.37446604755786,1
237.4575039745021,-9.63356621640133,84.38635250553789,1
239.8320790142471,-9.493242430642995,84.55450638424948,1
242.23039980438958,-9.554145405110543,84.38983701350759,1
244.65270380243348,-9.518524461151886,83.9712602199154,1
247.0992308404578,-9.29654253383745,84.29473680157946,1
249.5702231488624,-9.139600068972747,84.28699577034394,1
252.06592538035102,-9.216020391920418,83.97984359685351,1
254.58658463415452,-9.14265813908524,83.77176561099012,1
257.13245048049606,-8.918053619267184,83.76446726208366,1
259.70377498530104,-8.81801396728877,84.26137864319315,1
262.30081273515407,-8.885534684384826,83.6968679254465,1
264.92382086250564,-8.75506825449883,83.37336377921694,1
267.5730590711307,-8.537870755587807,83.73752366195879,1
270.24878966184195,-8.51222751184394,83.64502935581334,1
272.9512775584604,-8.564868232477393,83.59775412592404,1
275.680790334045,-8.400803984009755,83.6951787518876,1
278.4375982373855,-8.171665936648534,83.31737503220685,1
281.2219742197593,-8.21150142169662,83.1728651278819,1
284.03419396195693,-8.198708427321977,83.26902716090734,1
286.8745359015765,-7.960799376946298,83.32815031180098,1
289.74328126059225,-7.896536722017059,83.27566127963746,1
292.6407140731982,-7.9411955787977,82.99948019745949,1
295.5671212139302,-7.7910958994753114,83.09787179064914,1
298.5227924260695,-7.603833097367528,83.28304580253042,1
301.5080203503302,-7.607392279559686,82.90246215110807,1
304.5231005538335,-7.6087694274582045,82.71568668473603,1
307.5683315593718,-7.358514463612244,82.81025242644967,1
310.64401487496554,-7.351535897517204,82.6079298499032,1
313.7504550237152,-7.3488461963065195,82.5044751486198,1
316.88795957395234,-7.124119369530702,82.61357308978958,1
320.0568391696919,-7.048335461021579,82.40157544079739,1
323.25740756138885,-7.070128269043042,82.25649808276708,1
326.48998163700276,-6.8778167168825926,82.47086764428877,1
329.7548814533728,-6.782603893198956,82.22418054829421,1
333.0524302679065,-6.815145665313252,82.12399052481027,1
336.3829545705856,-6.605258415104251,82.21623407864027,1
339.74678411629145,-6.532857142183375,82.20491501213642,1
343.14425195745434,-6.552802008330383,82.02454473721468,1
346.5756944770289,-6.3302472316500875,81.99471806784572,1
350.0414514217992,-6.289165692649829,81.65092707962845,1
353.5418659360172,-6.260912857428314,81.7651226971445,1
357.07728459537736,-6.041643607963876,81.93102407492006,1
360.64805744133116,-6.063628502048773,81.4687079571748,1
364.25453801574446,-5.964696470179936,81.27357698357004,1
367.8970833959019,-5.7932534244214775,81.77597176540462,1
371.5760542298609,-5.8191123189397915,81.19988701537427,1
375.2918147721595,-5.661395635324969,81.4225194316517,1
379.0447329198811,-5.565901284568892,81.09832189067284,1
382.8351802490799,-5.580652760154758,81.09641565613082,1
386.6635320515707,-5.368683081246957,81.01622735526905,1
390.5301673720864,-5.378683503549198,80.80434863417156,1
394.4354690458073,-5.261874402649904,80.78182167105055,1
398.37982373626534,-5.091322774114736,80.74407456759552,1
402.36362197362797,-5.119057027077525,80.48209100386718,1
406.38725819336423,-4.92878781526551,80.50973505277932,1
410.4511307752979,-4.93756789901782,80.45436145587804,1
414.5556420830509,-4.8122589442137285,80.35983905238615,1
418.7011985038814,-4.7074361462151435,80.30827436558798,1
422.8882104889202,-4.666322597647455,80.03258230778088,1
427.1170925938094,-4.481040491935065,79.97052180337107,1
431.3882635197475,-4.508014392069886,79.92118008492466,1
435.702146154945,-4.316216868566912,79.82342340326822,1
440.05916761649445,-4.308208174996183,79.56929418458613,1
444.4597592926594,-4.166023649661177,79.60875401398908,1
448.90435688558597,-4.118173358102841,79.61781964227526,1
453.39340045444186,-4.025001748119726,79.29439167734193,1
457.9273344589863,-3.8898734005562443,79.26145549700199,1
462.5066078035762,-3.8646959022912513,79.24796212944615,1
467.13167388161196,-3.704467649815637,79.1375672198867,1
471.8029906204281,-3.7212179221695942,78.94884980211492,1
476.52102052663236,-3.526267076740575,79.02149503837106,1
481.2862307318987,-3.542314007749625,78.77434297636731,1
486.0990930392177,-3.339371415206141,78.70521281539152,1
490.96008396960985,-3.3829552684878874,78.31685615351435,1
495.86968480930597,-3.1778416153193993,78.44122216663783,1
500.828381657399,-3.180119787380265,78.11741751156319,1
505.836665473973,-2.989417353006255,78.16732081511401,1
510.8950321287128,-3.0799558844126698,77.71506574153031,1
516.00398245,-2.938669318521284,77.7584522198102,1
521.1640222745,-2.690641237463958,78.07182362775166,1
526.375662497245,-2.6061829579025644,77.61679293886596,1
531.6394191222174,-2.6853095492483607,77.33488980414297,1
536.9558133134396,-2.632599587513093,76.97394820949438,1
542.3253714465741,-2.4445257536862823,77.28736904200044,1
547.7486251610399,-2.226215335987437,77.4048010747656,1
553.2261114126503,-2.2259129408717304,77.02095402839132,1
558.7583725267768,-2.2833292491717416,76.68946892940461,1
564.3459562520446,-2.159387723585696,76.43401254295588,1
569.9894158145651,-1.9250724848804746,76.60047004802789,1
575.6893099727107,-1.8416341982118247,76.67086000388758,1
581.4462030724378,-1.8846360471979984,76.12239680397106,1
587.2606651031622,-1.8356260549603536,75.98375095741329,1
593.1332717541939,-1.6182477310587227,76.21147251039469,1
599.0646044717358,-1.4623255643849515,76.10781851032608,1
605.0552505164532,-1.4931402488061625,75.72583263593816,1
611.1058030216177,-1.475377904100296,75.17014288527889,1
617.2168610518339,-1.270065860751293,75.4820290778427,1
623.3890296623523,-1.1090105145933262,75.71783211038951,1
629.6229199589758,-1.144257471681903,75.06697428175971,1
635.9191491585656,-1.1051098707713518,74.76625073927607,1
642.2783406501512,-0.9019170104902322,74.97582731373144,1
648.7011240566527,-0.7549412335536142,74.98734663003627,1
655.1881352972192,-0.8112850043223652,74.41489943845153,1
661.7400166501914,-0.7334281659966152,74.21511056352557,1
668.3574168166933,-0.5273292386547164,74.43472423688922,1
675.0409909848603,-0.4137142713517677,74.18585004809546,1
681.7914008947089,-0.46103220454105825,73.69710225994896,1
688.609314903656,-0.3454781486978877,73.63634812421763,1
695.4954080526926,-0.14538428586200283,73.81255672904311,1
702.4503621332195,-0.12536441893127817,73.4311517494153,1
709.4748657545517,-0.10823484624390099,72.79052199736459,1
716.5696144120973,0.11237580858590222,73.22669569331629,1
723.7353105562182,0.20760715226889417,72.99825708735682,1
730.9726636617804,0.17126031141543752,72.36284086931416,1
738.2823902983982,0.2872075084200891,72.49919836055855,1
745.6652142013822,0.5005433134819687,72.6481348933963,1
753.121866343396,0.48719724956837795,72.08624248892575,1
760.65308500683,0.5403703187322427,71.81668260577125,1
768.2596158568983,0.786806989666986,71.87203549962067,1
775.9422120154674,0.7890000464288439,71.62120936469736,1
783.701634135622,0.7982926756345511,71.06381807233896,1
791.5386504769783,1.0089016951200258,71.36081110613615,1
799.4540369817481,1.0879090760450738,71.02572462930277,1
807.4485773515656,1.045078823077469,70.63078488436923,1
815.5230631250813,1.2562358656323,70.74864231732772,1
823.6782937563321,1.3490538429270542,70.40719794875844,1
831.9150766938955,1.3677575266447506,69.90501519829695,1
840.2342274608344,1.5239765496916193,70.02376417255634,1
848.6365697354428,1.6248787906504059,69.91066529994444,1
857.1229354327972,1.6254003065198595,69.38268062396651,1
865.6941647871253,1.8378550200342119,69.33284475932146,1
874.3511064349965,1.8844753531678002,69.1047114503256,1
883.0946174993464,1.9166652140729883,68.6677211491595,1
891.92556367434,2.1131248037608676,69.00022097419175,1
900.8448193110834,2.111412804830983,68.3115586964155,1
909.8532675041943,2.2044826436652945,68.18467616243275,1
918.9518001792362,2.392331011738662,68.08750968975005,1
928.1413181810286,2.3652825347133204,67.58814766133429,1
937.4227313628389,2.5257808180117967,67.5476439197723,1
946.7969586764673,2.61642162651317,67.49290337727922,1
956.2649282632319,2.6371118951610186,66.91488399070352,1
965.8275775458643,2.827541778663615,66.86181040444473,1
975.4858533213229,2.8370678394536712,66.5242413125604,1
985.2407118545361,2.9416617842194204,66.31354688643853,1
995.0931189730815,3.082900940616901,66.25880972907689,1
1005.0440501628123,3.0754205918506643,65.73081963556957,1
1015.0944906644404,3.282601775968124,65.73836289795787,1
1025.2454355710847,3.2943303183221517,65.0201079931409,1
1035.4978899267956,3.4232446080720615,65.06940981281328,1
1045.8528688260635,3.5470147898245568,64.78324343690262,1
1056.3113975143242,3.5646189058290405,64.26642201125654,1
1066.8745114894675,3.754789649492893,64.27668148021621,1
1077.543256604362,3.748913026729811,63.71744001730857,1
1088.3186891704058,3.9243409946257715,63.8483604584217,1
1099.20187606211,3.975599932669742,63.37252577646453,1
1110.193894822731,4.084064111332184,63.123505511609224,1
1121.2958337709583,4.209757773907228,62.83775487809169,1
1132.5087921086679,4.251381065086732,62.372261908094345,1
1143.8338800297545,4.405194940002547,62.23648467652417,1
1155.272218830052,4.422553621512703,61.803057665325,1
1166.8249410183525,4.5930592478474415,61.871268068918766,1
1178.493190428536,4.629142495681345,61.109462720176836,1
1190.2781223328213,4.799820481105409,61.0031296551178,1
1202.1809035561496,4.819944713949906,60.61444626431798,1
1214.2027125917111,5.012866118589813,60.37758375898204,1
1226.3447397176283,5.0051506221980535,59.85505868959913,1
1238.6081871148047,5.190093231521086,59.838505047752435,1
1250.9942689859527,5.203023580951487,59.22755587995796,1
1263.5042116758123,5.401354505156102,58.939514154083895,1
1276.1392537925703,5.409310725816242,58.433002100019266,1
