Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.758429630298817,89.58987068398037,1
40.4,-24.349188084926887,84.39030096560015,1
40.804,-24.432360817094207,87.92232194616724,1
41.21204,-24.44599645680067,89.73400947023164,1
41.6241604,-24.568777259168623,90.36296526509489,1
42.040402004,-24.196290850918626,90.20214007431088,1
42.460806024040004,-24.115170949819536,88.27539715279495,1
42.885414084280406,-24.12544618331946,89.23910869885714,1
43.31426822512321,-23.956913622947138,88.89267492052164,1
43.74741090737444,-23.789374800427808,89.65793041382616,1
44.184885016448185,-23.809562057789808,88.83354888024178,1
44.62673386661267,-23.577965474575816,89.704251807927,1
45.07300120527879,-23.892159255607623,88.92829240553078,1
45.52373121733158,-23.682934291340093,89.93376042222059,1
45.9789685295049,-23.620294106872436,88.17645760825897,1
46.43875821479995,-23.446163080661748,88.46071374208007,1
46.903145796947946,-23.228390240626915,91.38845619449387,1
47.372177254917425,-23.16549438235394,88.00110623548397,1
47.8458990274666,-23.240486230299304,87.51046519402723,1
48.32435801774127,-23.099206727887005,89.89670786370563,1
48.80760159791868,-22.823969526034197,89.04662634557991,1
49.29567761389787,-22.69086935451053,89.39376112524171,1
49.788634390036854,-22.553415666998415,88.27974554668441,1
50.28652073393722,-22.73215878189126,90.10880673850139,1
50.7893859412766,-22.771698359576998,88.92639095726884,1
51.29727980068937,-22.762579472973197,85.21205091792685,1
51.81025259869626,-22.356259241695152,89.06074762739297,1
52.32835512468322,-22.276453281504857,88.55173925306491,1
52.851638675930054,-21.992450402673967,90.20678547645446,1
53.380155062689354,-22.17942615592492,89.28219429540333,1
53.91395661331625,-22.21081736911876,90.54010111681751,1
54.45309617944942,-21.907246736358292,89.59823591137044,1
54.99762714124391,-21.610304716744785,88.88398510008676,1
55.54760341265635,-21.750923934682024,89.66154260381255,1
56.103079446782914,-21.89050178806691,88.5534925403356,1
56.66411024125075,-21.79068380555702,89.24936948712794,1
57.23075134366326,-21.478939836267024,89.8913694593789,1
57.80305885709989,-21.474458843726918,89.55431258090931,1
58.38108944567089,-21.600697731813025,89.3829048400283,1
58.9649003401276,-21.393574189796716,89.75573432419867,1
59.554549343528876,-21.103540068817473,89.3137241604163,1
60.150094836964165,-21.139162346743213,89.36179256850563,1
60.751595785333805,-21.27281259528512,89.39103459790259,1
61.35911174318714,-21.05390146352818,89.10207268087848,1
61.972702860619016,-20.906972023239597,88.96969977802217,1
62.59242988922521,-20.75096463575572,88.99519499367773,1
63.21835418811746,-20.733764016488934,88.44068042794063,1
63.850537729998635,-20.742353854692297,88.57533494203376,1
64.48904310729863,-20.54966615003637,88.83371930362279,1
65.13393353837161,-20.400133122397946,89.29813647666487,1
65.78527287375532,-20.338706783541248,88.86877417833057,1
66.44312560249287,-19.91853524666369,86.22645485465587,1
67.1075568585178,-20.0933646575035,89.10671699017291,1
67.77863242710298,-20.16007501412142,88.59913707287313,1
68.456418751374,-20.133643145122726,88.09234261594801,1
69.14098293888775,-19.869084002930283,89.72971800617368,1
69.83239276827662,-19.823810975041415,89.22879306724825,1
70.53071669595938,-19.848979354378095,88.96931576657705,1
71.23602386291898,-19.828208399259207,88.38469444736437,1
71.94838410154817,-19.431775079064938,89.41638643967786,1
72.66786794256366,-19.55243785963681,88.94411368631557,1
73.39454662198929,-19.53398790558456,87.6143268657006,1
74.12849208820919,-19.359203587854516,88.97687164057858,1
74.86977700909128,-19.270659352806717,88.57885306059245,1
75.6184747791822,-19.262210251326266,88.68314539317522,1
76.37465952697401,-19.13927048177047,88.90716112822574,1
77.13840612224375,-18.85603165266926,89.17254896361976,1
77.90979018346619,-18.969993195651593,88.6577658090866,1
78.68888808530085,-18.83817074970962,88.6260903424232,1
