Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.508891822663553,-92.7677603479467,2
40.4,-23.340635265255038,-93.02800019597674,2
40.804,-23.23685159600762,-91.80236039327443,2
41.21204,-23.182416141037816,-91.66725458576688,2
41.6241604,-23.04650726532129,-92.07576361706643,1
42.040402004,-23.17186536006726,-92.68234013183476,1
42.460806024040004,-22.985733009476885,-92.14451007581482,2
42.885414084280406,-22.818191614223476,-92.45937814395006,2
43.31426822512321,-22.866587191093007,-93.09976698827421,1
43.74741090737444,-22.576277407938395,-92.38955139620869,1
44.184885016448185,-22.608806829520102,-93.15601382974774,1
44.62673386661267,-22.42856992283008,-93.11453176545243,2
45.07300120527879,-22.500972742232417,-93.33130188842192,2
45.52373121733158,-22.55266321107828,-92.93543282650339,1
45.9789685295049,-22.22256589255711,-93.35426967544106,1
46.43875821479995,-22.291268544663144,-93.42294316167049,1
46.903145796947946,-22.06542753298124,-92.67849937286519,1
47.372177254917425,-22.009897258819535,-93.16719541749117,1
47.8458990274666,-21.898632361505772,-93.41113640530455,1
48.32435801774127,-21.971230065145,-92.62422366640169,1
48.80760159791868,-21.73860056817357,-92.6493813732661,1
49.29567761389787,-21.615512531406946,-92.90087093522945,1
49.788634390036854,-21.494557286821365,-92.71564986096627,1
50.28652073393722,-21.594366831208216,-92.6660708520347,1
50.7893859412766,-21.39008510982982,-93.28353369662977,1
51.29727980068937,-21.40674093310612,-93.04400923670295,1
51.81025259869626,-21.137554315310783,-92.95708611429022,1
52.32835512468322,-21.096875048097253,-92.6636286552635,1
52.851638675930054,-21.01555385784405,-93.91042955717354,1
53.380155062689354,-21.008273144000572,-93.08551058730745,1
53.91395661331625,-21.006577874583684,-93.2142411063613,1
54.45309617944942,-20.66960727518841,-93.22072064435993,1
54.99762714124391,-20.439546743164932,-93.52486444771341,1
55.54760341265635,-20.671666871344616,-94.19042447567267,1
56.103079446782914,-20.640830355077867,-93.33364296277455,1
56.66411024125075,-20.544625358000573,-92.99310567818628,1
57.23075134366326,-20.32291142946995,-93.12831893695775,1
57.80305885709989,-20.214754202671642,-93.31669528646742,1
58.38108944567089,-20.26126237269394,-93.29073741455876,1
58.9649003401276,-20.22039661585049,-93.75201607856687,1
59.554549343528876,-19.928608553694538,-93.51761411146339,1
60.150094836964165,-19.781208898001303,-93.48324248596899,1
60.751595785333805,-19.91252785363061,-93.52372310032968,1
61.35911174318714,-19.863926133405815,-94.65455048457369,1
61.972702860619016,-19.583636445136698,-93.89698304613788,1
62.59242988922521,-19.49775086412777,-93.51570431290851,1
63.21835418811746,-19.516286351691843,-94.17448562856018,1
63.850537729998635,-19.505846251786245,-93.9487209630565,1
64.48904310729863,-19.19172971746461,-93.7642043053545,1
65.13393353837161,-19.090298505381313,-93.70153296427144,1
65.78527287375532,-19.15095171536859,-94.25930455889431,1
66.44312560249287,-19.10670849780849,-94.36921413153652,1
67.1075568585178,-18.839614551290264,-94.0498347464306,1
67.77863242710298,-18.849090537909547,-94.42481976462344,1
68.456418751374,-18.91880711010074,-94.15314337956306,1
69.14098293888775,-18.674009204196214,-93.39515464831068,1
69.83239276827662,-18.477019085274996,-93.99545258339764,1
70.53071669595938,-18.459868330954386,-94.44501396976028,1
71.23602386291898,-18.482280868914753,-94.09042017233975,1
71.94838410154817,-18.272442123173104,-94.04293448354883,1
72.66786794256366,-18.300618324100544,-94.47710897686208,1
73.39454662198929,-18.232987936385058,-94.23216078809219,1
74.12849208820919,-18.048908766156995,-94.61534317570012,1
74.86977700909128,-17.888273023692054,-94.20627569158127,1
75.6184747791822,-18.07292405867918,-94.02547831311574,1
76.37465952697401,-17.910166401132784,-94.22345120544202,1
77.13840612224375,-17.704639044769504,-94.82055135397066,1
77.90979018346619,-17.748733449969553,-94.55893303827115,1
78.68888808530085,-17.625536497383557,-94.50526897117697,1
79.47577696615386,-17.37657702048162,-94.26264595250899,1
80.2705347358154,-17.40595175295644,-94.77183509010257,1
81.07324008317356,-17.388690341167273,-94.77436111664684,1
81.8839724840053,-17.139857025558836,-94.79975156922855,1
82.70281220884536,-17.070150282033083,-94.7463777104968,1
83.52984033093381,-17.161690126498424,-94.5229065857381,1
84.36513873424315,-16.81458988738759,-95.07555666629911,1
