Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.90656861450338,-90.93901133752104,1
40.4,-23.753170383562342,-91.98789513075815,2
40.804,-23.605921577801322,-91.72672559597723,1
41.21204,-23.796053373224996,-91.81806526640317,2
41.6241604,-23.328955010454667,-91.50868623036176,1
42.040402004,-23.429616836748913,-91.51063543862693,1
42.460806024040004,-23.433735866859518,-92.02086680115485,1
42.885414084280406,-23.20870416765885,-91.18462383376013,1
43.31426822512321,-23.18288265679074,-92.11302363068266,1
43.74741090737444,-22.98863066051498,-92.06391133896662,1
44.184885016448185,-23.041044239423076,-92.03864507594932,1
44.62673386661267,-22.906477318790145,-91.45787601997762,1
45.07300120527879,-22.787118895032194,-92.43995619658526,1
45.52373121733158,-22.69583122449079,-90.76511866594865,1
45.9789685295049,-22.98852085828121,-92.6096338442349,1
46.43875821479995,-22.74772769432366,-91.61035395064846,1
46.903145796947946,-22.637181819819908,-93.36930312147005,1
47.372177254917425,-22.351352596614305,-90.59961684845301,1
47.8458990274666,-22.339548677949015,-91.63537084234704,1
48.32435801774127,-22.34350272972702,-91.55002874091616,1
48.80760159791868,-22.262081014461966,-91.83566078245656,1
49.29567761389787,-22.060239718974437,-90.91893247515503,1
49.788634390036854,-22.043860608118035,-92.53000437558947,1
50.28652073393722,-21.93540382694476,-91.94343253761349,1
50.7893859412766,-21.89396581538243,-92.4075818477982,1
51.29727980068937,-21.95725197615631,-92.67323127428892,1
51.81025259869626,-21.667422466743105,-92.28109490993401,1
52.32835512468322,-21.40126657068823,-92.10056305837176,1
52.851638675930054,-21.440535510752785,-90.85690688262092,1
53.380155062689354,-21.427516531228555,-92.05688435355043,1
53.91395661331625,-21.396679672274335,-92.37778335060972,1
54.45309617944942,-21.26094305368403,-92.27876733030635,1
54.99762714124391,-21.144724819278995,-91.2584903289152,1
55.54760341265635,-21.098278167903533,-92.10939420943481,1
56.103079446782914,-21.08139420980947,-91.73963445329537,1
56.66411024125075,-20.989007213933544,-91.56206774708147,1
57.23075134366326,-20.664712933047326,-92.77890133228692,1
57.80305885709989,-20.6141188334282,-92.09986359889827,1
58.38108944567089,-20.586065099219443,-92.49563231577568,1
58.9649003401276,-20.63990774307651,-91.80536736314134,1
59.554549343528876,-20.39093889043818,-91.87669039611164,1
60.150094836964165,-20.200516786668544,-92.82808054724114,1
60.751595785333805,-20.260715010319736,-92.23938206264296,1
61.35911174318714,-20.110913096312526,-92.5726762153642,1
61.972702860619016,-20.075940249502086,-92.05496510177082,1
62.59242988922521,-19.758406443405182,-92.45896747180527,1
63.21835418811746,-20.041897762399305,-92.54690719940771,1
63.850537729998635,-19.836028972563717,-92.30832319980519,1
64.48904310729863,-19.721247401165904,-92.07294615092825,1
65.13393353837161,-19.59617808838079,-92.65407567889281,1
65.78527287375532,-19.52320494107597,-92.34230299978384,1
66.44312560249287,-19.597672295701447,-93.18904925891661,1
67.1075568585178,-19.297815124904997,-92.42752270891677,1
67.77863242710298,-19.200528658210366,-92.32733262189332,1
68.456418751374,-19.273078164228234,-92.49546938577936,1
69.14098293888775,-19.086448285213113,-92.91435217307624,1
69.83239276827662,-18.885735802579237,-92.87317488759945,1
70.53071669595938,-18.997654111397324,-92.57798232767675,1
71.23602386291898,-18.921042060925668,-92.53862887331661,1
71.94838410154817,-18.717100153982575,-92.29802382489694,1
72.66786794256366,-18.655390088117535,-92.80958052732704,1
73.39454662198929,-18.755623021969086,-92.577273507711,1
