Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.58943974938712,-90.65376642875435,1
40.4,-23.370085491856056,-92.24998574849768,1
40.804,-23.365777936452304,-92.12590774192633,1
41.21204,-23.455128465158225,-92.50557613491787,1
41.6241604,-23.172196713865958,-90.8097312502561,1
42.040402004,-23.06284122177031,-91.11648803623916,1
42.460806024040004,-22.950368820987503,-90.7104225409422,1
42.885414084280406,-22.970673151018836,-93.4037411034992,1
43.31426822512321,-23.057983806658324,-90.91329459658817,1
43.74741090737444,-22.717900088922878,-91.72812124702307,1
44.184885016448185,-22.612645813725933,-92.15017980878451,1
44.62673386661267,-22.486831464433465,-90.80628866336323,1
45.07300120527879,-22.69279612213487,-90.36613919892469,1
45.52373121733158,-22.32189038109429,-90.8870541840067,1
45.9789685295049,-22.370868517736973,-93.012253741655,1
46.43875821479995,-22.016482301848296,-89.97401045545452,1
46.903145796947946,-22.156114209559654,-91.61469986646014,1
47.372177254917425,-21.905402116236726,-91.41292867901633,1
47.8458990274666,-21.969197185002407,-90.8381302547889,1
48.32435801774127,-21.914095601457007,-92.39944602903057,1
48.80760159791868,-21.84832659466616,-90.95663212331942,1
49.29567761389787,-21.728396422765176,-90.85537826654254,1
49.788634390036854,-21.72246838874834,-90.97321216506383,1
50.28652073393722,-21.585384999390087,-91.74953922810687,1
50.7893859412766,-21.518486660728545,-92.09128609119489,1
51.29727980068937,-21.598340763188425,-91.50549211602765,1
51.81025259869626,-21.169816555730893,-91.48015604752597,1
52.32835512468322,-21.177014697953744,-91.24149304988725,1
52.851638675930054,-21.07069836265644,-91.73352765145053,1
53.380155062689354,-21.0285682978404,-90.73859927249572,1
53.91395661331625,-21.082465255790297,-91.71737536372642,1
54.45309617944942,-20.74259328057645,-91.49388345870528,1
54.99762714124391,-20.750391023732917,-91.15105446171556,1
55.54760341265635,-20.690839034167375,-92.11348411854135,1
56.103079446782914,-20.301369663517157,-90.58942542462182,1
56.66411024125075,-20.55201911377481,-92.45815501163116,1
57.23075134366326,-20.441033680828255,-91.00182611270273,1
