Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.47356424924797,-92.63565019112116,2
40.4,-28.89550519520577,-91.98980299079062,2
40.804,-29.064716199621532,-93.10419762197472,2
41.21204,-29.028442597359682,-90.08060549771845,2
41.6241604,-28.77587993139374,-91.32944360467505,2
42.040402004,-28.33009170590422,-93.81356333647375,2
42.460806024040004,-28.60113206292454,-90.350911924093,2
42.885414084280406,-28.24924530640311,-91.73080139340107,2
43.31426822512321,-28.078016821382928,-91.56340068741429,2
43.74741090737444,-28.14018829930942,-92.06648643538934,2
44.184885016448185,-28.089207045708697,-91.06674497821348,2
44.62673386661267,-27.94648358854804,-90.44479365761232,2
45.07300120527879,-28.211492338054818,-92.37082991014242,2
45.52373121733158,-27.72678194953102,-92.21008245410606,2
45.9789685295049,-27.410365819439217,-93.9990690091526,2
46.43875821479995,-27.630488167245872,-89.12101930580148,2
46.903145796947946,-27.70894264284296,-92.52690985835068,2
47.372177254917425,-27.699904898578666,-94.25263290830648,2
47.8458990274666,-27.222862512674343,-92.44471983154747,2
48.32435801774127,-27.378458144699213,-91.79265351843264,2
48.80760159791868,-27.035167718165773,-92.20992712485099,2
49.29567761389787,-27.473031160559533,-91.35388264155488,2
49.788634390036854,-26.870500122818825,-91.55110201153221,2
50.28652073393722,-26.82908916847314,-93.65876748821609,2
50.7893859412766,-26.979214318224987,-94.71926818874661,2
51.29727980068937,-27.137385626169642,-92.561282167797,2
51.81025259869626,-27.118035922493657,-91.36518717723965,2
52.32835512468322,-26.463595502921986,-90.72953211584023,2
52.851638675930054,-26.75916956632097,-93.1715957947176,2
53.380155062689354,-26.441463157235688,-92.50881948924503,2
53.91395661331625,-26.77594589850757,-91.56657571490126,2
54.45309617944942,-26.56025407054765,-93.26221800292942,2
54.99762714124391,-26.325262861284756,-91.85367832067564,2
55.54760341265635,-26.380210603736852,-92.53544124277289,2
56.103079446782914,-26.398119825038577,-94.24995053729208,2
56.66411024125075,-26.325440713650544,-92.87396894421812,2
57.23075134366326,-25.99390197017151,-92.32543534632255,2
57.80305885709989,-25.76675812579325,-92.34474055780025,2
58.38108944567089,-26.109753535677584,-92.77416662425553,2
58.9649003401276,-25.814970769521132,-93.14003983216008,2
59.554549343528876,-25.606435880198415,-92.04617178309636,2
60.150094836964165,-25.557368570168645,-91.67581437824134,2
60.751595785333805,-25.834620642867783,-91.53955892186173,2
61.35911174318714,-25.434249042666526,-92.47086826290496,2
61.972702860619016,-25.286680272838275,-90.90507577134834,2
62.59242988922521,-25.14462282950522,-92.18752449847844,2
63.21835418811746,-25.15617119564077,-92.33985628739725,2
63.850537729998635,-25.17418215036397,-92.90665148134069,2
64.48904310729863,-24.796793246454914,-92.32502445555284,2
65.13393353837161,-24.826286673552577,-92.40579622125566,2
65.78527287375532,-24.708184487929312,-92.70514398756745,1
66.44312560249287,-24.87104340858229,-93.2527385555598,2
67.1075568585178,-24.553921684142647,-93.84332058633612,2
67.77863242710298,-24.536070281860216,-92.38082564566098,2
68.456418751374,-24.603708894719873,-92.63758544042878,2
69.14098293888775,-24.589751773149008,-92.98203577237052,2
69.83239276827662,-24.34773557797363,-92.48552279068637,2
70.53071669595938,-24.327084132814832,-92.13240342870773,2
71.23602386291898,-24.369420672045695,-92.65721380883804,2
71.94838410154817,-24.02460157123979,-92.11005867139009,2
72.66786794256366,-24.155428545221305,-93.17804635602464,2
73.39454662198929,-24.054459035650595,-93.7842938581365,2
74.12849208820919,-23.916288560616334,-93.3041951184578,2
74.86977700909128,-23.657084817802584,-92.0707506263412,2
75.6184747791822,-23.72235950060278,-93.78094497517702,2
76.37465952697401,-23.524487345245685,-93.077123182121,2
