Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.278036032913377,-92.96220747044492,2
40.4,-29.443867747454252,-88.84915933936486,2
40.804,-29.185664575445905,-88.98984959303077,2
41.21204,-28.94262467904143,-91.03349261328117,2
41.6241604,-28.679990026238993,-89.57903599591405,2
42.040402004,-29.16075100285067,-90.557693997089,2
42.460806024040004,-28.941818220671294,-93.32884311337762,2
42.885414084280406,-28.658956358646662,-91.00387131718088,2
43.31426822512321,-28.622405190614458,-90.24533278722967,2
43.74741090737444,-28.39321125222219,-94.77948915298487,2
44.184885016448185,-28.694388415230787,-90.69957208047163,2
44.62673386661267,-28.288540820779858,-90.26028547716214,2
45.07300120527879,-28.173237631850892,-91.05115695575671,2
45.52373121733158,-28.001052663515324,-93.21144161237714,2
45.9789685295049,-28.310287790755467,-93.55015036846567,2
46.43875821479995,-28.04955169690376,-91.67752134476189,2
46.903145796947946,-28.19197573844813,-90.60886858700479,2
47.372177254917425,-27.940014241032227,-91.07330291498602,2
47.8458990274666,-27.858480971385852,-92.36234577687372,2
48.32435801774127,-27.423337700206748,-90.9510095446542,2
48.80760159791868,-27.59955466955242,-92.66914848044891,2
49.29567761389787,-27.305900909109802,-90.99154107833922,2
49.788634390036854,-27.3195823535751,-89.88781059987082,2
50.28652073393722,-27.431619107136143,-91.98667059445762,2
50.7893859412766,-27.062972129049708,-90.56050011855282,2
51.29727980068937,-27.253643319220103,-91.67412494859832,2
51.81025259869626,-26.95184061876068,-92.42153446648803,2
52.32835512468322,-26.948426808085806,-90.49048633856025,2
52.851638675930054,-27.017795358979562,-92.53723724155674,1
53.380155062689354,-26.795636768803224,-92.61503908541722,2
53.91395661331625,-26.974042490250632,-92.42387422934051,2
54.45309617944942,-26.37780493553631,-93.94081263757914,2
54.99762714124391,-26.13259585159569,-90.2345413099385,2
55.54760341265635,-26.628212175661552,-92.90326911334068,2
56.103079446782914,-26.50443331396004,-91.76275994041316,2
56.66411024125075,-26.254686674742956,-91.60552145534774,2
57.23075134366326,-25.852183037214544,-91.72112271731073,2
57.80305885709989,-26.062883726865266,-90.98465244345172,2
58.38108944567089,-25.979493187922817,-92.43912813070968,2
58.9649003401276,-25.992481335013938,-92.08952002384154,2
59.554549343528876,-25.73093990566509,-92.56478536242105,2
60.150094836964165,-25.660844700983066,-91.76477738673081,2
60.751595785333805,-25.750212891334133,-91.93144942737251,2
61.35911174318714,-25.66167677250896,-91.85716482438164,2
61.972702860619016,-25.43591185397466,-91.58762770104455,2
62.59242988922521,-25.34191313568343,-91.98339944402696,2
63.21835418811746,-25.374243852549096,-90.30956555001065,2
63.850537729998635,-25.287160351633627,-92.84242889200495,2
64.48904310729863,-25.006028671821664,-91.2362970045207,2
65.13393353837161,-25.008773188946407,-90.93625424388878,2
65.78527287375532,-25.02464273205837,-91.57747189661319,2
66.44312560249287,-25.382566860029435,-92.00381949133134,2
67.1075568585178,-24.635632886319474,-91.5289915837337,2
67.77863242710298,-24.641740393949686,-92.33108002218995,2
68.456418751374,-24.64852459215183,-92.32388220731463,2
69.14098293888775,-24.527449844164245,-92.85610511452212,2
69.83239276827662,-24.46407392582383,-92.50811892689826,2
70.53071669595938,-24.588953528078935,-91.96468438737224,2
71.23602386291898,-24.350796889165494,-92.1044699195453,2
71.94838410154817,-24.13961852341782,-89.67108105593073,2
72.66786794256366,-24.17828255988812,-92.36722990262975,2
73.39454662198929,-24.074701060481413,-91.47809714014531,1
74.12849208820919,-23.883918707777596,-91.34832358087638,2
74.86977700909128,-23.919851334475272,-91.93795380133389,2
75.6184747791822,-23.956449552117363,-92.31272029512024,2
76.37465952697401,-23.8227014698979,-93.11921552887532,2
77.13840612224375,-23.58779083684332,-91.96983088302417,1
77.90979018346619,-23.52066259104617,-92.22173892489256,2
78.68888808530085,-23.47675353780308,-92.26150241518636,1
79.47577696615386,-23.223854893557693,-91.75600984739799,1
80.2705347358154,-23.220316789145624,-91.44046511907754,2
81.07324008317356,-23.22052514386176,-94.03210314889088,1
81.8839724840053,-23.10850925226455,-91.97166977512565,1
82.70281220884536,-23.07377002986968,-92.02072575203707,1
83.52984033093381,-23.150541028261294,-92.37366687967112,1
84.36513873424315,-23.14316450662622,-90.78016702098927,1
85.20879012158558,-22.86659498893186,-91.7106177746471,1
86.06087802280143,-22.71658825995517,-93.02942589423901,1
86.92148680302945,-22.52503641668902,-92.61757190291353,1
87.79070167105975,-22.625198969014445,-92.39059666754021,1
88.66860868777034,-22.412282387268142,-92.47738420375723,1
89.55529477464805,-22.251248745079895,-92.66453717554859,1
90.45084772239453,-22.24873226998181,-92.54424173690035,1
91.35535619961847,-22.16573194371538,-91.46298896678888,1
92.26890976161465,-21.993272257184667,-93.04280552041565,1
93.1915988592308,-22.13380676209742,-91.48528312498206,1
94.1235148478231,-21.855850242360862,-92.05218118364618,1
95.06474999630133,-21.759623886493554,-92.96016698618672,1
96.01539749626434,-21.74704032158278,-92.34086637029247,1
96.97555147122699,-21.640846434596206,-91.52763457095935,1
97.94530698593927,-21.7013881700481,-92.86674474806422,1
98.92476005579866,-21.361191568015773,-92.69498928546649,1
99.91400765635665,-21.351327471327302,-92.486426752409,1
100.91314773292021,-21.30863739541468,-92.75112848088725,1
101.92227921024941,-21.117567448053492,-92.6924991332499,1
102.94150200235191,-21.14681663116791,-92.36829547381711,1
103.97091702237543,-20.873289980383447,-92.72367835724117,1
105.01062619259919,-20.732392604168645,-92.76528459184765,1
106.06073245452518,-20.88491383502834,-92.91920240358924,1
107.12133977907044,-20.81657623046694,-93.14649152980812,1
108.19255317686114,-20.765359246432016,-93.12692633292767,1
109.27447870862976,-20.578865370290515,-92.40250557950775,1
110.36722349571606,-20.34504177202077,-92.96801792758696,1
111.47089573067322,-20.48133364336944,-93.43693078068605,1
112.58560468797995,-20.343053961554133,-93.20632964110285,1
113.71146073485976,-20.223072094551988,-92.89813368593903,1
114.84857534220835,-20.041940874730162,-92.86455989108941,1
115.99706109563043,-19.975812546040487,-93.53533369063726,1
117.15703170658674,-20.049515412997025,-93.22511392683265,1
118.3286020236526,-19.88593868578833,-92.6162171235864,1
119.51188804388913,-19.714052059966306,-93.40931895905024,1
120.70700692432803,-19.656424277337894,-93.35147108910583,1
121.91407699357131,-19.632459352358776,-93.2609811112435,1
123.13321776350703,-19.57658804983009,-93.27799530727123,1
124.3645499411421,-19.434688839487205,-93.30460072336007,1
125.60819544055353,-19.315919088723405,-93.71541051563713,1
126.86427739495906,-19.479471669925687,-94.18208774230142,1
128.13292016890864,-19.016013972013695,-93.1680568311594,1
129.41424937059773,-18.886475442000243,-93.66781735827453,1
130.7083918643037,-19.082712447164553,-93.63469374208876,1
132.01547578294674,-19.11976133432479,-93.73837100901818,1
133.3356305407762,-18.92631421415293,-93.23931778156033,1
134.66898684618397,-18.82302912055969,-93.83206951586706,1
136.01567671464582,-18.813145919525564,-94.4934447583382,1
137.37583348179228,-18.73959388795305,-93.68122522288252,1
138.7495918166102,-18.439989436673986,-93.97234064137677,1
140.13708773477632,-18.378018349017587,-93.41836020898181,1
141.5384586121241,-18.403499691245372,-93.64791048601893,1
142.95384319824532,-18.252871918102215,-93.94240375260023,1
144.38338163022777,-18.070656638242298,-93.56358720657776,1
145.82721544653006,-18.160737651437202,-93.94106332452766,1
147.28548760099537,-18.08427327195643,-93.66498181470078,1
148.75834247700533,-17.79205147380456,-93.95990900034455,1
150.2459259017754,-17.755964499543364,-93.79231000672948,1
151.74838516079316,-17.845266230009475,-94.06607900474836,1
153.26586901240108,-17.722874376800707,-93.92402146113476,1
154.7985277025251,-17.486667997803462,-93.8567069853763,1
156.34651297955034,-17.554490274356336,-95.01100158098083,1
157.90997810934584,-17.48231614438626,-94.44048926349862,1
159.4890778904393,-17.23982100994349,-94.624170536707,1
161.08396866934368,-17.431238353028018,-94.50451120197158,1
162.6948083560371,-17.216724142967735,-93.9279645126527,1
164.32175643959746,-17.02381363281199,-93.6136338438289,1
165.96497400399343,-17.059371923367333,-94.46575363895423,1
167.62462374403336,-16.91202084873465,-94.87383977189063,1
169.30086998147368,-16.770799369196883,-94.37684388669341,1
170.9938786812884,-16.826269363877735,-94.0812156054065,1
172.7038174681013,-16.595715881263512,-94.42911780316018,1
174.43085564278232,-16.66047595332605,-94.52953555446933,1
176.17516419921014,-16.508734694843046,-94.55566863670812,1
177.93691584120225,-16.317868345860894,-94.39605570250261,1
179.7162849996143,-16.239586503024892,-94.73428735508725,1
181.51344784961043,-16.277322303606166,-95.20935975858845,1
183.32858232810653,-16.067108005635024,-94.41018581547797,1
185.1618681513876,-16.105932022206627,-95.14410097725376,1
187.0134868329015,-16.02120438963186,-94.92808198102284,1
188.8836217012305,-15.831126782091454,-94.90162745679136,1
190.77245791824282,-15.85754352034482,-95.38812631948838,1
192.68018249742525,-15.69750822771833,-94.99285974092355,1
194.6069843223995,-16.06021173252422,-95.03526763883582,1
196.5530541656235,-15.615630211128247,-95.36774575996067,1
198.51858470727976,-15.400543593328935,-95.14244966900839,1
200.50377055435257,-15.470399381491916,-95.37359180350842,1
202.50880825989609,-15.250984945132801,-95.6474035630866,1
204.53389634249504,-15.198948217658755,-95.65626157986124,1
206.57923530591998,-15.170648879706162,-95.44205037491926,1
208.6450276589792,-15.065670362883235,-95.33636918206415,1
210.731477935569,-14.824183438382303,-95.84972434668828,1
212.8387927149247,-14.828816885385043,-95.94682841177601,1
214.96718064207394,-14.942582525481916,-95.99890100654476,1
217.11685244849468,-14.692173799167845,-95.31634506821766,1
219.28802097297964,-14.51250824995635,-96.02130406758235,1
221.48090118270943,-14.52409763579309,-96.01983327732141,1
223.69571019453653,-14.547324896275375,-96.53663468626212,1
225.9326672964819,-14.415585795488942,-96.08625922106489,1
228.1919939694467,-14.16604003440681,-95.95099115362183,1
230.47391390914117,-14.045004845234999,-96.03348019540051,1
232.7786530482326,-14.238038636967268,-96.36976179175214,1
235.10643957871494,-14.123712323436667,-96.16209799426936,1
237.4575039745021,-13.906631109056454,-96.2274228149505,1
239.8320790142471,-13.778009306989128,-96.68328250893344,1
242.23039980438958,-13.826418661427516,-96.6512425313527,1
244.65270380243348,-13.777441658920452,-96.96679645133065,1
247.0992308404578,-13.656031895769116,-96.4966630820093,1
249.5702231488624,-13.42628372549258,-96.49214909621601,1
252.06592538035102,-13.535344294062284,-96.57959063507508,1
254.58658463415452,-13.506695416186293,-96.91374975390805,1
257.13245048049606,-13.325446377015462,-96.94162766602749,1
259.70377498530104,-13.14865913485865,-97.03421332130745,1
262.30081273515407,-13.187620834269234,-97.22074570413884,1
264.92382086250564,-13.126854249811466,-97.180641780305,1
267.5730590711307,-12.864396399243287,-97.04097615923371,1
270.24878966184195,-12.900937956571795,-97.17315661045471,1
272.9512775584604,-12.940872982045798,-97.41158063957596,1
275.680790334045,-12.745908460918434,-97.31571388420275,1
278.4375982373855,-12.60739497675726,-97.37189093410744,1
281.2219742197593,-12.564564046672281,-97.52811530690462,1
284.03419396195693,-12.591224073188865,-97.80133607164868,1
286.8745359015765,-12.350468259404158,-97.42834027672784,1
289.74328126059225,-12.280003216080233,-97.60543381076295,1
292.6407140731982,-12.357658157629515,-97.86657583886567,1
295.5671212139302,-12.174444389239417,-98.24694220469638,1
298.5227924260695,-11.964537119996,-97.47941322654609,1
301.5080203503302,-11.99463285372828,-98.12452164694787,1
304.5231005538335,-11.984430402672682,-98.19819096056676,1
307.5683315593718,-11.744571663606452,-97.92941258376834,1
310.64401487496554,-11.748818787000577,-98.39964881791401,1
313.7504550237152,-11.707407771799074,-98.23430367053368,1
316.88795957395234,-11.5195281597291,-98.43300210813271,1
320.0568391696919,-11.40758884056852,-98.20335058658456,1
323.25740756138885,-11.470339480881565,-98.72597855979967,1
326.48998163700276,-11.242485198196428,-98.49052004872831,1
329.7548814533728,-11.200514686924313,-98.90088725866042,1
333.0524302679065,-11.188419950730369,-99.02458820971019,1
336.3829545705856,-11.01680999897176,-98.87423546460212,1
339.74678411629145,-10.984136644542064,-99.2332585089233,1
343.14425195745434,-10.950335596086985,-99.46444859428357,1
346.5756944770289,-10.738636200792522,-99.09050742808276,1
350.0414514217992,-10.713239168943009,-99.37486353218809,1
353.5418659360172,-10.724291405569135,-99.42883824340649,1
357.07728459537736,-10.498925325208042,-99.69840771697491,1
360.64805744133116,-10.53393843242785,-99.3403788865428,1
364.25453801574446,-10.415898518628461,-99.6403676337244,1
367.8970833959019,-10.23311333689955,-99.91573786819676,1
371.5760542298609,-10.299409327561284,-99.76723026655452,1
375.2918147721595,-10.132981007493235,-100.04413739983876,1
379.0447329198811,-10.018973639825127,-100.12997513525873,1
382.8351802490799,-10.064900067143132,-100.17941888450184,1
386.6635320515707,-9.86544049432885,-100.06466860390073,1
390.5301673720864,-9.889490806706792,-100.28914405086356,1
394.4354690458073,-9.7483367920628,-100.22054861538388,1
398.37982373626534,-9.651236814427087,-100.48039337351887,1
402.36362197362797,-9.647283069502084,-100.65090668373608,1
406.38725819336423,-9.439769871201229,-100.63715621686836,1
410.4511307752979,-9.468925981847695,-100.94634446637676,1
414.5556420830509,-9.32166343186518,-100.8049718104696,1
418.7011985038814,-9.20050275384595,-101.03503939333984,1
422.8882104889202,-9.168815949475428,-101.07020939576313,1
427.1170925938094,-8.994790506028405,-101.0141091177738,1
431.3882635197475,-9.032710763834514,-101.2836477287893,1
435.702146154945,-8.84178848016742,-101.61663151200482,1
440.05916761649445,-8.877637796019638,-101.4819596662096,1
444.4597592926594,-8.738705421109819,-101.5372790193571,1
448.90435688558597,-8.654142358238694,-101.86652861372647,1
453.39340045444186,-8.61578101606899,-102.0065136133698,1
457.9273344589863,-8.524845636809756,-102.02282154271322,1
462.5066078035762,-8.44302975293916,-102.1745638742126,1
467.13167388161196,-8.292197415420885,-102.26992168366561,1
471.8029906204281,-8.265323020058272,-102.6258292283582,1
476.52102052663236,-8.112052800148765,-102.34927736468444,1
481.2862307318987,-8.160695119294857,-102.66006888636468,1
486.0990930392177,-7.978093799234476,-102.7888453933345,1
490.96008396960985,-7.986314090538548,-102.69872612891378,1
495.86968480930597,-7.792236998116283,-102.96511529512932,1
500.828381657399,-7.848737259929129,-103.01505658757236,1
505.836665473973,-7.651455770642101,-103.06705654215173,1
510.8950321287128,-7.738087943246622,-103.76945686875399,1
516.00398245,-7.554200139636529,-103.5143086955203,1
521.1640222745,-7.351584944044295,-103.6751429239694,1
526.375662497245,-7.279103795307394,-103.5628454042048,1
531.6394191222174,-7.347375258948435,-104.02326626596012,1
536.9558133134396,-7.31126517805942,-104.36960380926992,1
542.3253714465741,-7.1392891864138734,-104.26713021714863,1
547.7486251610399,-6.945229470657583,-103.87716763548976,1
553.2261114126503,-6.918429403430569,-104.3084493122434,1
558.7583725267768,-6.974199761060503,-105.04480212363069,1
564.3459562520446,-6.885288494360925,-104.97350191497273,1
569.9894158145651,-6.638082407204369,-104.84064881743572,1
575.6893099727107,-6.55890066884492,-104.66803394921142,1
581.4462030724378,-6.633101052431591,-105.34321575893603,1
587.2606651031622,-6.593528220891011,-105.62817199327309,1
593.1332717541939,-6.34605279865508,-105.4712233695046,1
599.0646044717358,-6.227828362444086,-105.28641985338467,1
605.0552505164532,-6.262408346056228,-105.7079253871031,1
611.1058030216177,-6.222792295376073,-106.22383954016232,1
617.2168610518339,-6.063468196111046,-106.08224454112401,1
623.3890296623523,-5.900256379265941,-105.94741057295636,1
629.6229199589758,-5.934144199032944,-106.3793433916755,1
635.9191491585656,-5.91608700441823,-106.72913554313196,1
642.2783406501512,-5.71842119778419,-106.71716254579846,1
648.7011240566527,-5.573360678286661,-106.65303187372572,1
655.1881352972192,-5.638051548907951,-106.94407705222278,1
661.7400166501914,-5.592163689007538,-107.43771384669057,1
668.3574168166933,-5.325959115202775,-106.99360085848483,1
675.0409909848603,-5.274877738062951,-107.41526226547458,1
681.7914008947089,-5.351125903516146,-107.85692822414944,1
688.609314903656,-5.214243112565468,-107.77168492630551,1
695.4954080526926,-5.002488672269514,-107.85366416573393,1
702.4503621332195,-4.992640176336815,-108.15417285110618,1
709.4748657545517,-5.012606578343419,-108.44175780989647,1
716.5696144120973,-4.825195481869988,-108.38551877707366,1
723.7353105562182,-4.698683935569866,-108.46207677407152,1
730.9726636617804,-4.741780415381666,-108.8729061847828,1
738.2823902983982,-4.611890276114648,-108.92599456688498,1
745.6652142013822,-4.4124231106355705,-108.9005975367249,1
753.121866343396,-4.4773566210642,-109.2476952741527,1
760.65308500683,-4.405852986135489,-109.61276940592913,1
768.2596158568983,-4.224383944854348,-109.43686091046192,1
775.9422120154674,-4.190753418316851,-109.64758461385746,1
783.701634135622,-4.185390262338893,-110.21555643472217,1
791.5386504769783,-3.9692573559803406,-109.87563769816695,1
799.4540369817481,-3.8980513527456075,-110.36997585337332,1
807.4485773515656,-3.934063360814194,-110.6467168585379,1
815.5230631250813,-3.7347302122412573,-110.48482055565242,1
823.6782937563321,-3.688180101408232,-110.88234263979962,1
831.9150766938955,-3.6910883942495385,-111.03705020359257,1
840.2342274608344,-3.520859553899678,-111.12141084898228,1
848.6365697354428,-3.443789334008863,-111.2335571790527,1
857.1229354327972,-3.4551225045487133,-111.75967662298632,1
865.6941647871253,-3.209068655546954,-111.76260153926813,1
874.3511064349965,-3.1932892245961906,-112.0319805400243,1
883.0946174993464,-3.1926027342528176,-112.34343764203109,1
891.92556367434,-2.964253314847699,-112.06294948294158,1
900.8448193110834,-2.988720007563187,-112.72753439042441,1
909.8532675041943,-2.923864057835789,-112.75366785340952,1
918.9518001792362,-2.7485386973476933,-112.64903339718562,1
928.1413181810286,-2.7877579542199777,-113.19010431698871,1
937.4227313628389,-2.6445646907835885,-113.28690767604154,1
946.7969586764673,-2.516897490930066,-113.56642517724697,1
956.2649282632319,-2.5270352055587604,-114.00086854110324,1
965.8275775458643,-2.356134496003203,-113.7296511732321,1
975.4858533213229,-2.338245420154734,-114.25734098299128,1
985.2407118545361,-2.2549444332669455,-114.4332189167347,1
995.0931189730815,-2.140185898799494,-114.5020958294104,1
1005.0440501628123,-2.1339420705262886,-115.08759898433357,1
1015.0944906644404,-1.95265637326532,-114.86654303668045,1
1025.2454355710847,-1.9578818781867857,-115.38367169100249,1
1035.4978899267956,-1.8289009369851381,-115.61225685007851,1
1045.8528688260635,-1.7456325140563873,-115.77568414714045,1
1056.3113975143242,-1.705402650454028,-116.14560047914895,1
1066.8745114894675,-1.5484186842666094,-116.09437899297968,1
1077.543256604362,-1.5565360634702565,-116.72346470169134,1
1088.3186891704058,-1.3889108286269223,-116.6044991321389,1
1099.20187606211,-1.3802535512650758,-117.04588584648263,1
1110.193894822731,-1.259454544273268,-117.18610282612735,1
1121.2958337709583,-1.1841845104310564,-117.19919188286522,1
1132.5087921086679,-1.106539142153727,-117.62511884258583,1
1143.8338800297545,-0.982763392461842,-117.8508069833315,1
1155.272218830052,-0.9715966979642039,-118.2228847451342,1
1166.8249410183525,-0.8042478729146533,-118.19063926294265,1
1178.493190428536,-0.8083995403784537,-118.63652066793408,1
1190.2781223328213,-0.6652487191335579,-118.63368235321397,1
1202.1809035561496,-0.6874712390145846,-119.37935628393456,1
1214.2027125917111,-0.5019266486906652,-119.20641796966514,1
1226.3447397176283,-0.5059647257481155,-119.9221129725033,1
1238.6081871148047,-0.32789401219310554,-119.76475135164232,1
1250.9942689859527,-0.3314722509131002,-120.28017469663513,1
1263.5042116758123,-0.1813205002879031,-120.34892194829834,1
1276.1392537925703,-0.1912578650195886,-120.6397721358145,1
1288.900646330496,-0.01747036028835021,-120.78454046628556,1
1301.789652793801,-0.008000572648939755,-121.3147867927949,1
1314.807549321739,0.15936559724775454,-121.35723553904292,1
1327.9556248149565,0.1717621004172781,-121.88367110591872,1
1341.2351810631062,0.2769796746082399,-122.06816690980742,1
1354.6475328737372,0.3472208807696044,-122.36865291552562,1
1368.1940082024746,0.4319816910159496,-122.61332791926948,1
1381.8759482844994,0.5353113364416431,-122.96551920572684,1
1395.6947077673444,0.5928741232370701,-123.2351079519753,1
1409.651654845018,0.7326835154502223,-123.45078751624851,1
1423.748171393468,0.749573594604202,-123.85211970188857,1
1437.9856531074026,0.8758132366049532,-123.92826636562964,1
1452.3655096384766,0.9397766442005341,-124.41825815682773,1
1466.8891647348614,1.019109835707142,-124.51316461726428,1
1481.55805638221,1.1042334186441327,-124.77650670103255,1
1496.373636946032,1.170808462493547,-125.259799257363,1
1511.3373733154924,1.2938819562487165,-125.56307765188241,1
1526.4507470486474,1.3492846523881876,-125.92412245556022,1
1541.7152545191339,1.39922138227325,-126.3113616545973,1
1557.1324070643252,1.5208287365951392,-126.45332327373916,1
1572.7037311349684,1.5774840698094625,-127.01439630755463,1
1588.430768446318,1.6872683302833922,-127.20613229162399,1
1604.3150761307813,1.7947886465318188,-127.49665141707669,1
1620.358226892089,1.817510296696929,-127.97950889019128,1
1636.56180916101,1.9462577810268595,-128.08579319358145,1
1652.92742725262,2.025272127944176,-128.58406380281608,1
1669.4567015251462,2.0415747970312994,-129.06661653963585,1
1686.1512685403977,2.1719398184922816,-129.32438387313132,1
1703.0127812258017,2.247726659536918,-129.5878390617202,1
1720.0429090380599,2.281128506993164,-130.03057609777517,1
1737.2433381284404,2.4017314623730446,-130.30363674469987,1
1754.615771509725,2.5220921239353467,-130.37592490912434,1
1772.1619292248222,2.556680882216071,-130.95327533215294,1
1789.8835485170705,2.6179338529758867,-131.4165786008366,1
1807.7823840022413,2.7544877273631863,-131.60999670110337,1
1825.8602078422637,2.8489822529651994,-131.95911985872357,1
1844.1188099206863,2.8775575545901337,-132.5455082519676,1
1862.559998019893,2.977534930730796,-132.79529035383422,1
1881.185598000092,3.098730690923644,-133.14403644417953,1
1899.997453980093,3.184122856049185,-133.51436518373444,1
1918.997428519894,3.2147673847583085,-133.93042158271058,1
1938.187402805093,3.3112333590328777,-134.4220354994411,1
1957.569276833144,3.4374326207457933,-134.75246643163717,1
1977.1449696014754,3.5295789526891466,-134.9618307158426,1
1996.9164192974902,3.59908509926764,-135.59013649322108,1
2016.885583490465,3.6718043410187935,-135.9152899110954,1
2037.0544393253697,3.779376925811742,-136.09796208357062,1
2057.4249837186235,3.84083872841797,-137.21651189177345,1
2077.99923355581,3.9353904156789654,-138.28570423623736,1
2098.7792258913682,4.046804973204515,-139.19843046997835,1
2119.7670181502817,4.140310236730606,-139.56861815931785,1
2140.9646883317846,4.222569114228803,-139.465153958666,1
2162.3743352151023,4.324608665752801,-139.20033057716998,1
2183.9980785672533,4.39860221892463,-138.77131686932887,1
2205.838059352926,4.703434637835694,-136.0777721107732,1
2227.8964399464553,4.79931434109291,-136.0156571599446,1
2250.17540434592,4.884178900488692,-136.7761310594876,1
2272.677158389379,4.988574675644197,-137.85875043805228,1
2295.403929973273,5.108991068273998,-138.69369383895747,1
2318.357969273006,5.197702183895716,-139.92610037771894,1
2341.541548965736,5.311429447313583,-140.6711837643886,1
2364.9569644553935,5.413594585734947,-141.0573779575674,1
2388.6065340999476,5.4709830999901765,-141.1825467757692,1
2412.4925994409473,5.580740938000086,-140.78946004503675,1
2436.6175254353566,5.6486625958172825,-140.80512730565596,1
2460.98370068971,5.753362886528705,-140.89380576576056,1
2485.593537696607,5.8441458460043,-141.47932637380782,1
2510.4494730735732,5.929991000451362,-142.67770564486165,1
2535.553967804309,6.038754000627794,-143.79942613890833,1
2560.909507482352,6.159318147559414,-144.95865371281474,1
2586.5186025571757,6.265535892202886,-145.70268849215194,1
2612.3837885827475,6.352182762280373,-146.31063492445114,1
2638.507626468575,6.444052401755178,-146.25118994822174,1
2664.8927027332606,6.516562456112321,-146.20903239188618,1
2691.5416297605934,6.592163795495761,-146.24011942840218,1
2718.4570460581995,6.698482988776879,-146.93165989786357,1
2745.6416165187816,6.801707942985968,-148.05986019357061,1
2773.0980326839694,6.949667127639523,-149.0695001598869,1
2800.8290130108094,7.087241767175742,-150.04022909840631,1
2828.8373031409174,7.181716176093384,-151.05935157453374,1
2857.1256761723266,7.285029931207193,-151.72092753213758,1
2885.69693293405,7.330915245779972,-152.21354694228827,1
2914.5539022633907,7.4170587731546265,-152.48686100080553,1
2943.6994412860245,7.48578813759044,-153.03507663023922,1
2973.1364356988847,7.587940513941943,-154.06651958143328,1
3002.8678000558734,7.688989531689144,-155.51061106897845,1
3032.896478056432,7.858294176106999,-156.18303753232988,1
3063.2254428369965,7.961533583985675,-157.6819524763921,1
3093.8576972653664,8.037330182840567,-158.7610688337092,1
3124.79627423802,8.126133943380076,-159.21044119586134,1
3156.0442369804005,8.229157556953005,-159.57686495751008,1
3187.6046793502046,8.29286872233261,-160.4120868828354,1
3219.4807261437068,8.395074403748092,-161.72882726599042,1
3251.675533405144,8.567696978619242,-162.67505338191557,1
3284.1922887391956,8.656646635610796,-164.4299414004292,1
3317.0342116265874,8.815612999602415,-165.21195152868154,1
3350.2045537428535,8.895748532120528,-166.27626734830886,1
3383.7065992802823,8.962347290448076,-167.41528203085275,1
3417.543665273085,9.058124810602171,-168.5557030507111,1
3451.7191019258157,9.150020721245648,-170.04767759865643,1
3486.2362929450737,9.283206305271293,-171.28291975407217,1
3521.0986558745244,9.426946852465557,-172.06996299273354,1
3556.30964243327,9.56288914456064,-173.12199436571427,1
3591.8727388576026,9.662315135808784,-174.48437092776635,1
3627.7914662461785,9.76534098209105,-175.70743501724075,1
3664.06938090864,9.879402083046356,-177.0588104645746,1
3700.7100747177265,10.012451367477231,-178.13567690092665,1
3737.717175464904,10.13030585979951,-179.25298521240632,1
