Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.511746953353118,-88.39176413176938,2
40.4,-28.982744105306107,-91.90851613023477,2
40.804,-29.230606614888636,-92.90242317536948,2
41.21204,-29.076415781649658,-91.25630619090143,1
41.6241604,-29.056946414958606,-90.4495237856293,2
42.040402004,-29.17113837703718,-90.92590778359788,2
42.460806024040004,-28.983661460835155,-91.07157828972163,2
42.885414084280406,-28.95942798043986,-90.75324286506552,2
43.31426822512321,-28.92996395259262,-92.44613631679309,2
43.74741090737444,-28.73510046308798,-90.88654298004445,2
44.184885016448185,-28.593619737068597,-91.24525112516841,2
44.62673386661267,-28.4998713538813,-89.74049776745376,2
45.07300120527879,-28.456489916433664,-89.02810677445808,2
45.52373121733158,-28.63535319947005,-91.85912800082072,2
45.9789685295049,-27.827372677969453,-94.81534328699945,1
46.43875821479995,-28.18266860947576,-92.34870636168148,2
46.903145796947946,-28.126361217203623,-90.6385317008495,2
47.372177254917425,-28.312947668420982,-90.95939386745509,2
47.8458990274666,-27.699838156188882,-92.17889835968231,2
48.32435801774127,-27.63863724813929,-90.21510345577911,2
48.80760159791868,-27.486538203866512,-90.90198596483017,2
49.29567761389787,-27.404496510687817,-92.09614619377072,2
49.788634390036854,-27.51676943519161,-90.14614690202801,2
50.28652073393722,-27.890653094527583,-90.91844892998063,2
50.7893859412766,-27.405740469712164,-92.4363956845051,2
51.29727980068937,-27.60986550216451,-91.69547022159611,2
51.81025259869626,-27.093874429866254,-91.13473770922766,2
52.32835512468322,-27.281927047638234,-92.27320595262438,2
52.851638675930054,-27.183334850336596,-91.18527185798864,2
53.380155062689354,-26.846284784306935,-89.49026433129283,2
53.91395661331625,-26.88284671216848,-90.55016842330122,2
54.45309617944942,-26.728441481386998,-92.22764950297571,2
54.99762714124391,-26.65887238448726,-91.59892561120273,2
55.54760341265635,-26.682523841687054,-90.98582768325751,2
56.103079446782914,-26.871316489674022,-91.34480647112008,2
56.66411024125075,-26.72110939480926,-92.2602020602381,2
57.23075134366326,-26.072790977859977,-89.87337811455163,1
57.80305885709989,-26.149114580111764,-90.40621733351264,2
58.38108944567089,-26.360648898346568,-92.01831211690397,2
58.9649003401276,-25.96349987861686,-91.55041907274874,2
59.554549343528876,-25.847789637549177,-91.18820782947077,2
60.150094836964165,-26.202917845877383,-92.0102759059334,2
60.751595785333805,-26.02195908779445,-92.27221328790182,2
61.35911174318714,-25.76169176158715,-92.41614304680093,2
61.972702860619016,-25.555297276511958,-92.26178409618464,2
62.59242988922521,-25.552352694061014,-91.88536359474324,2
63.21835418811746,-25.65031422743111,-92.53100892482384,2
63.850537729998635,-25.39349480701795,-91.5522142359133,2
64.48904310729863,-25.33610082232242,-91.59761199326529,2
65.13393353837161,-25.222487272396453,-91.88974684320084,2
65.78527287375532,-24.96142189513252,-91.95384135746303,1
66.44312560249287,-25.03781087518116,-89.84904404810152,1
67.1075568585178,-24.764807315088536,-91.96708169659587,2
67.77863242710298,-24.83131823090557,-91.90613017946127,2
68.456418751374,-24.97869525302483,-91.79892925959983,2
69.14098293888775,-24.645517074946575,-92.19066873157763,2
69.83239276827662,-24.583937990723538,-91.13669694700596,2
70.53071669595938,-24.567300166228062,-91.82385066507027,2
71.23602386291898,-24.483302148639336,-91.2859031534739,1
71.94838410154817,-24.20703172405546,-91.7016834260951,2
72.66786794256366,-24.217120959333993,-91.30017928240844,1
73.39454662198929,-24.383182476640602,-91.59162433350818,2
74.12849208820919,-24.12916382363448,-91.36169974428502,2
74.86977700909128,-23.91621326081138,-91.4683793628885,1
75.6184747791822,-24.049963074082356,-91.99567851823957,1
76.37465952697401,-23.802551017049062,-91.52459550753292,2
77.13840612224375,-23.73919791555459,-93.51764863038996,1
77.90979018346619,-23.747778899031076,-91.9558355085406,1
78.68888808530085,-23.783828622801355,-92.06362524628463,1
79.47577696615386,-23.313654253475583,-92.88772938866245,1
80.2705347358154,-23.59084290721895,-91.84469906847659,1
81.07324008317356,-23.320124385876074,-93.08495489259087,1
81.8839724840053,-23.04378890612802,-92.36747208985707,1
82.70281220884536,-23.004903441992397,-92.51437722719308,1
83.52984033093381,-23.081296812170603,-91.95088130827911,1
84.36513873424315,-22.611298476316588,-90.36561914171038,1
85.20879012158558,-22.910428139709122,-91.91243568016165,1
86.06087802280143,-22.76548299468312,-92.9048441999376,1
86.92148680302945,-22.60462345346641,-92.64786415438942,1
87.79070167105975,-22.740180252441462,-92.04700148804106,1
88.66860868777034,-22.54359508480244,-93.35714837968344,1
89.55529477464805,-22.457190687096347,-92.85248863826544,1
90.45084772239453,-22.3871666533224,-92.38010096521327,1
91.35535619961847,-22.12141247619694,-92.31526657324383,1
92.26890976161465,-22.17120374724935,-91.93389237921481,1
93.1915988592308,-22.380053382308915,-91.96549429210665,1
94.1235148478231,-21.940864530799196,-92.33462777115517,1
95.06474999630133,-21.951134607168292,-91.89434159725295,1
96.01539749626434,-21.632956200275803,-92.27493199929927,1
96.97555147122699,-21.713257337163302,-92.86194959124543,1
97.94530698593927,-21.85223110534508,-92.56250417139469,1
98.92476005579866,-21.661961578680874,-92.81876231452489,1
99.91400765635665,-21.62034855614824,-93.59392638763865,1
100.91314773292021,-21.427460283315416,-92.49263720448539,1
101.92227921024941,-21.143784840001793,-93.60657240922905,1
102.94150200235191,-21.355709061176476,-91.9878364402343,1
103.97091702237543,-21.14553223486285,-93.38153485136456,1
105.01062619259919,-20.90689964605011,-91.87625841751101,1
106.06073245452518,-20.912468551755822,-93.54321634961053,1
107.12133977907044,-20.89541525379605,-92.80843390241895,1
108.19255317686114,-20.78885420615051,-93.25726505525955,1
109.27447870862976,-20.539259308319252,-93.19874357861319,1
110.36722349571606,-20.641511799420318,-92.01903503151992,1
111.47089573067322,-20.58690776171424,-93.40355794447464,1
112.58560468797995,-20.5146869623595,-92.73894976490499,1
