Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.129572348015795,88.9124970946052,2
40.4,-29.578078060628656,86.83413344097849,2
40.804,-29.293288288281754,90.71772557820435,2
41.21204,-29.7707498591864,89.04892081603171,2
41.6241604,-29.598582936107825,89.32922602185509,2
42.040402004,-29.549569236172,87.64864453781908,2
42.460806024040004,-29.292332017832294,87.48006366616885,2
42.885414084280406,-28.99076264607074,87.75718472067166,2
43.31426822512321,-29.03548781072622,87.84982932095389,2
43.74741090737444,-28.763334484114,86.3677336913974,2
44.184885016448185,-28.836757290004172,87.42501018296963,2
44.62673386661267,-28.619206765732834,89.92252017894361,2
45.07300120527879,-28.639363917793794,88.01103894891249,2
45.52373121733158,-27.83819138604275,87.98369837938668,2
45.9789685295049,-28.40623553374765,87.35276099444538,2
46.43875821479995,-28.136955738955074,87.65703262204306,2
46.903145796947946,-27.881373994741352,86.43305085047666,2
47.372177254917425,-27.812639914090962,88.42683839918826,2
47.8458990274666,-27.915008241242187,87.51653675266743,2
48.32435801774127,-27.93252860821579,90.63711690924171,2
48.80760159791868,-27.950021117883608,90.25941048479058,2
49.29567761389787,-27.719293837320084,87.17434974394175,2
49.788634390036854,-27.574498957104346,87.80702056280855,2
50.28652073393722,-27.303572519564074,87.70448624234673,2
50.7893859412766,-27.415422147777353,88.45244861745346,2
51.29727980068937,-27.63142152008942,88.58586293721055,2
51.81025259869626,-27.09891272886108,86.2991132753869,2
52.32835512468322,-26.921183987777,88.6287985486033,2
52.851638675930054,-27.04712698129385,87.40351720702546,2
53.380155062689354,-27.392447102203498,87.06137402856234,2
53.91395661331625,-27.09989824312293,89.20043387706362,2
54.45309617944942,-26.899350536439265,88.21518526463905,2
54.99762714124391,-26.762059118936364,87.12850681208582,2
55.54760341265635,-26.778927932753582,87.00017289251042,2
56.103079446782914,-26.916445781853575,88.09813040593133,2
56.66411024125075,-26.136490957204803,86.79143211206934,2
57.23075134366326,-26.040580173653737,87.4580011825002,2
57.80305885709989,-26.12630985828687,88.54735913556033,2
58.38108944567089,-26.182134112450072,87.41192005748519,2
58.9649003401276,-26.06815416386467,85.07779114539747,2
59.554549343528876,-25.814495366042877,89.08770442963583,2
60.150094836964165,-25.698016935065684,87.81502836945684,2
60.751595785333805,-26.02357098356172,87.15794983314609,2
61.35911174318714,-25.82562362355213,88.534545549236,2
61.972702860619016,-25.582331032261678,87.4951384372427,2
62.59242988922521,-25.442394902392564,88.09578723808715,2
