Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.766246052097166,89.57342568678109,2
40.4,-30.169695183472264,86.84430606325958,2
40.804,-29.754387882524057,89.53605734798282,2
41.21204,-29.76874524854708,88.88658527361473,2
41.6241604,-29.785106627726872,89.58042970478193,2
42.040402004,-29.733705235331655,88.4669275451561,2
42.460806024040004,-29.67807706331764,87.77177022841163,2
42.885414084280406,-29.066810660927032,87.56045850592989,2
43.31426822512321,-29.35981586898203,89.15084424570105,2
43.74741090737444,-29.30029727407724,89.0684511751248,2
44.184885016448185,-29.14257836171003,88.62361759522415,2
44.62673386661267,-28.699198081316744,88.60651254509219,2
45.07300120527879,-29.149215852800744,88.85185963636017,2
45.52373121733158,-28.82837377763998,86.43521653202217,2
45.9789685295049,-29.307662708545088,89.46808320821252,2
46.43875821479995,-28.573507532531444,86.47979702411111,2
46.903145796947946,-28.903703477088488,88.34051889278402,2
47.372177254917425,-28.540364115513103,90.76000573884761,2
47.8458990274666,-28.42696964997545,85.76559122056345,2
48.32435801774127,-28.32656038026925,90.16289791236447,2
48.80760159791868,-28.536034637368306,88.52458489761682,2
49.29567761389787,-27.96866227536073,90.22349658830876,2
49.788634390036854,-28.199341501808632,89.02930794206131,2
50.28652073393722,-28.289005339573,89.6279801645929,2
50.7893859412766,-27.78941905754784,89.20547039483563,2
51.29727980068937,-27.98093722074803,87.84530210876628,2
51.81025259869626,-27.87149965637775,88.08689749994357,2
52.32835512468322,-27.596201026202444,87.6665375312117,2
52.851638675930054,-27.576283988177305,89.74316280503734,2
53.380155062689354,-27.571851815432453,88.93359661595848,2
53.91395661331625,-27.77757036255637,85.79327273049552,2
54.45309617944942,-27.323846296514564,89.16443367022731,2
54.99762714124391,-27.234972739338993,87.12106444026666,2
55.54760341265635,-27.009015288091714,88.83805239388239,2
56.103079446782914,-27.396408037785807,88.24196915392264,2
56.66411024125075,-27.18641347823504,86.2833963529634,2
57.23075134366326,-26.632910280895366,88.01029706099723,2
57.80305885709989,-27.060221717532617,87.96655264036963,2
58.38108944567089,-26.978931132145764,87.98193046386005,2
58.9649003401276,-26.838547232035857,87.71235471733739,2
59.554549343528876,-26.378389593347073,87.97828812265135,2
60.150094836964165,-26.434165916693885,88.9013286378215,2
60.751595785333805,-26.517186705887635,87.41365454666958,2
61.35911174318714,-26.257518728762978,88.55102164083019,2
61.972702860619016,-26.370194121354725,88.8154050043081,2
62.59242988922521,-25.875903351648233,88.15596085810029,2
63.21835418811746,-26.103690150850838,87.97258784826401,2
63.850537729998635,-25.979526153944896,89.53684659727203,2
64.48904310729863,-25.846531321180052,87.34811098780034,2
65.13393353837161,-25.916733670757527,87.03796538281605,2
65.78527287375532,-25.838421308079607,88.30094677188565,2
66.44312560249287,-25.866411160752914,88.88697061997408,2
67.1075568585178,-25.34185973933498,88.55240300672858,2
67.77863242710298,-25.515553686955094,87.68739588759655,2
68.456418751374,-25.333355098241974,87.54287898002667,2
69.14098293888775,-25.21005753709348,87.22616164133171,2
69.83239276827662,-24.87270664257533,88.58196982268615,2
70.53071669595938,-25.37898433525788,88.00484053518872,2
71.23602386291898,-25.143451921274913,86.95091556910313,2
71.94838410154817,-24.833982480908695,87.00031797093504,2
