Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.484126848514585,88.45802333487865,2
40.4,-30.571052796906944,88.2427023846347,2
40.804,-29.5140620635411,90.1593640472197,2
41.21204,-29.243052926239457,88.33357087091836,2
41.6241604,-29.261772217984916,88.79766902169622,2
42.040402004,-29.3206579047371,89.49210201784784,1
42.460806024040004,-29.14477856249282,89.54273159901537,1
42.885414084280406,-28.837698671000858,87.92917281853238,1
43.31426822512321,-28.93362945916492,88.6999502785915,2
43.74741090737444,-28.970631510162473,88.50329352895686,2
44.184885016448185,-29.5763830967754,86.72298430170748,2
44.62673386661267,-29.234237872184213,89.13428750938766,2
45.07300120527879,-29.36940381740256,86.101364313314,2
45.52373121733158,-29.550014771717077,88.5306479404568,2
45.9789685295049,-30.316431825827696,86.19557807905726,2
46.43875821479995,-30.16241156612243,84.62976888381408,2
46.903145796947946,-30.173523241970674,87.10720120230735,2
47.372177254917425,-29.93806569344343,85.99316282184317,2
47.8458990274666,-29.924607444401044,86.2456243104045,2
48.32435801774127,-29.551407182289825,91.82474015561466,2
48.80760159791868,-29.16357201335673,87.93500205462095,2
49.29567761389787,-29.617558529316515,90.79721662885315,2
49.788634390036854,-29.649227765533837,89.08194041902688,2
50.28652073393722,-29.573585079648804,89.71285183935464,2
50.7893859412766,-29.35050111671689,86.22560160757115,2
51.29727980068937,-29.14579474623017,88.68812398474446,2
51.81025259869626,-28.455712680659367,88.33356603009935,2
52.32835512468322,-28.66301490744953,87.36311172920745,2
52.851638675930054,-28.556940643866486,88.36310754872329,2
53.380155062689354,-28.340416458539934,87.72285590027906,2
53.91395661331625,-28.066923517666343,88.98812336486928,2
54.45309617944942,-27.60745148418245,89.69952757405693,2
54.99762714124391,-27.589811693989684,87.24832227978217,2
55.54760341265635,-28.052443930433924,87.58815551440826,2
56.103079446782914,-28.198561269237477,88.59709602974962,2
56.66411024125075,-27.361450397095304,88.5122679151859,2
57.23075134366326,-26.80636730201184,87.49768971822436,2
57.80305885709989,-26.895916409584746,87.62826436147611,2
58.38108944567089,-27.252542072813323,88.02956529161645,2
58.9649003401276,-26.918916666205728,88.15413443900381,2
59.554549343528876,-26.626307970151224,88.31430889809563,2
60.150094836964165,-26.604544957787958,90.24170155069216,2
60.751595785333805,-26.795275523220532,88.71893805545301,2
61.35911174318714,-27.40995397638912,88.72121104558121,2
61.972702860619016,-27.232992869369408,87.17855668059775,2
62.59242988922521,-27.173267240964087,85.98456538911347,2
63.21835418811746,-27.300564395051612,87.77389034950725,2
63.850537729998635,-27.30544196057738,87.76003272654393,2
64.48904310729863,-27.162717088308835,87.41238669361023,2
65.13393353837161,-27.014261570712343,87.16618040130342,2
65.78527287375532,-27.227371305815552,87.90286932239266,2
66.44312560249287,-26.967136018551763,89.26767639584796,2
67.1075568585178,-26.606371974694987,87.37616041771713,2
67.77863242710298,-26.77043026440925,86.28220977390401,2
68.456418751374,-26.508821951957525,86.77874566105915,2
69.14098293888775,-26.357452755154302,86.72590681459627,2
69.83239276827662,-26.133185205187168,88.09595708331443,2
70.53071669595938,-26.461419256341756,87.54626060147788,2
71.23602386291898,-26.234074771637502,88.49588041918142,2
71.94838410154817,-26.158115187905423,88.19362577181687,2
72.66786794256366,-26.076154672998197,86.88963381832605,2
73.39454662198929,-26.191819180428062,87.11219221963675,2
74.12849208820919,-25.91034053435611,86.7912292918791,2
74.86977700909128,-25.707082905819412,86.92149255426054,2
75.6184747791822,-25.690164641151537,86.72358252475203,2
76.37465952697401,-25.901385723825054,86.63357265007694,2
77.13840612224375,-25.57856788593042,87.7618667971874,2
77.90979018346619,-25.584893584551864,86.83353320815692,2
78.68888808530085,-25.427318612623342,87.17757329817994,2
79.47577696615386,-25.54355778379492,87.93745801700976,2
80.2705347358154,-25.42784460068005,86.31135028074216,2
81.07324008317356,-25.433512768248818,86.55525572365401,2
81.8839724840053,-25.009918334166592,86.3251729306989,2
82.70281220884536,-24.857574243543006,87.9980600753243,2
83.52984033093381,-24.900094620155155,86.7190431250744,2
84.36513873424315,-24.646148558743327,86.0505031806984,2
85.20879012158558,-24.79665667866098,85.56021845536748,2
86.06087802280143,-24.668009781884084,86.98166976043956,2
86.92148680302945,-24.322502394617324,86.41968911172376,1
87.79070167105975,-24.57571584268795,86.58197367078037,2
88.66860868777034,-24.39337194328063,85.29781513147205,2
89.55529477464805,-24.164941156624568,86.01292349256767,2
90.45084772239453,-24.305766537113886,86.9294743173335,2
91.35535619961847,-23.969873436227694,86.95415679104931,2
92.26890976161465,-23.917110589926295,85.9133450764864,2
93.1915988592308,-23.853875296989244,86.94763684191972,2
94.1235148478231,-23.722062248653597,85.37315553530351,1
95.06474999630133,-23.571057649371824,85.93932339693976,2
96.01539749626434,-23.90819871213424,86.25701720656434,2
96.97555147122699,-23.31391455400144,86.64677109305717,1
97.94530698593927,-23.614330949119832,86.11249742722117,2
98.92476005579866,-23.345981105547242,86.23720012440617,2
99.91400765635665,-23.360705383678948,86.11588904093709,1
100.91314773292021,-23.467623223118427,86.2570950745725,1
101.92227921024941,-23.060641311809803,86.50154344118351,2
102.94150200235191,-23.200289541446097,85.54004216123768,2
103.97091702237543,-22.831655937143932,86.46155885996528,1
105.01062619259919,-22.70005711175187,85.403132635519,1
106.06073245452518,-22.922880153295328,86.42437536191036,1
107.12133977907044,-22.85154169804755,86.17710849517118,1
108.19255317686114,-22.615498928296585,85.84733971399481,1
