Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.063308786169873,88.34820397898075,2
40.4,-22.770099136117672,88.22200763230578,2
40.804,-22.609086092782434,88.73008772327478,2
41.21204,-22.86582342411505,87.62485419556836,2
41.6241604,-22.62998402514333,89.1981716363751,2
42.040402004,-22.52432344132936,88.9144979519823,2
42.460806024040004,-22.534740211570575,88.29055435717925,2
42.885414084280406,-22.36934927663692,88.04434587794185,2
43.31426822512321,-22.317927064141095,88.88900403299422,2
43.74741090737444,-22.120568897784093,88.43016736488059,1
44.184885016448185,-22.10291166101137,88.05969254277753,2
44.62673386661267,-21.886230644882172,87.37098649005753,1
45.07300120527879,-22.02186324137511,87.03247655488113,2
45.52373121733158,-21.97766692076817,87.89441766195465,2
45.9789685295049,-21.890616437984182,85.85813855184063,2
46.43875821479995,-22.02451441342165,88.08824494995002,2
46.903145796947946,-21.854910697896997,89.00317408624386,1
47.372177254917425,-21.74719738254109,87.34151413692672,2
47.8458990274666,-21.505113025475158,88.45156099274128,1
48.32435801774127,-21.403317749169094,88.08176356123907,1
48.80760159791868,-21.327816399124988,88.85646253592188,1
49.29567761389787,-21.382169848134286,87.08522475705837,1
49.788634390036854,-21.22803682578883,88.98177559190799,2
50.28652073393722,-21.18206159300415,87.9552346980232,1
50.7893859412766,-21.02283350808006,87.09285003685359,1
51.29727980068937,-21.03685126143452,87.83464428796776,1
51.81025259869626,-20.764683724527366,88.13756501957505,1
52.32835512468322,-20.50757933049846,87.38273176923599,1
52.851638675930054,-20.521730871672204,88.1981404210585,1
53.380155062689354,-20.751388179219937,86.8851270851788,1
53.91395661331625,-20.562299374084464,87.34464600967385,1
54.45309617944942,-20.35697420191799,86.7392760488408,1
54.99762714124391,-20.287564119550034,86.58740265833302,1
55.54760341265635,-20.366890067635516,86.925827056098,1
56.103079446782914,-20.203477061878953,87.17670396451246,1
56.66411024125075,-20.168372934873464,87.87296059962507,1
57.23075134366326,-19.783967163225974,88.47009561268669,1
57.80305885709989,-19.869443081913776,87.40647545681263,1
58.38108944567089,-19.953978284222114,87.90398706771441,1
58.9649003401276,-19.75489179923135,87.69192881290914,1
59.554549343528876,-19.601365869334906,87.37908909570234,1
60.150094836964165,-19.593365997827334,88.0307706706379,1
60.751595785333805,-19.547425369053656,87.47343130005001,1
61.35911174318714,-19.35056500583656,87.18488427215648,1
61.972702860619016,-19.21405226664558,87.471709033855,1
62.59242988922521,-19.136655865715667,87.2223896153572,1
63.21835418811746,-19.26845104849006,87.42292111258621,1
63.850537729998635,-19.100142943779062,86.91119883655055,1
64.48904310729863,-18.932610263397017,86.47166921800878,1
65.13393353837161,-18.71262773967658,87.09232623233908,1
65.78527287375532,-18.67597432542628,87.33653291833582,1
66.44312560249287,-18.52225505896816,87.54371597620465,1
67.1075568585178,-18.432814239341305,87.7608236874683,1
67.77863242710298,-18.434817114776237,87.53883228111971,1
68.456418751374,-18.45429255253584,87.45670096630099,1
69.14098293888775,-18.357117003505124,87.36044300823437,1
69.83239276827662,-18.245672279963767,86.91514602125841,1
70.53071669595938,-18.20905704053127,86.64946142455449,1
71.23602386291898,-18.082043216657357,86.8122994581371,1
71.94838410154817,-17.874983518200793,87.2730243746563,1
72.66786794256366,-17.870762982062434,87.05308559596078,1
73.39454662198929,-17.824989216188428,86.35712053344608,1
74.12849208820919,-17.6849787325294,86.8300185731315,1
74.86977700909128,-17.63482601936614,87.09198223678199,1
75.6184747791822,-17.512436081283994,86.7893603334936,1
76.37465952697401,-17.466570150135023,86.01455765632208,1
77.13840612224375,-17.34579896536902,86.287678697763,1
77.90979018346619,-17.46737449905118,86.75293712061851,1
78.68888808530085,-17.320989839389426,86.5044476743338,1
79.47577696615386,-16.955188611602495,87.10822056592912,1
80.2705347358154,-17.05584049025383,86.49993596734632,1
81.07324008317356,-16.963066718585754,86.77989602379354,1
81.8839724840053,-16.74557134701703,86.9861793264397,1
82.70281220884536,-16.691429117131555,86.84184500212179,1
83.52984033093381,-16.679684155965433,86.67393943166657,1
84.36513873424315,-16.452450468496544,86.7332937372654,1
85.20879012158558,-16.487223913663737,86.50974427464092,1
86.06087802280143,-16.50595866744524,86.28303757883073,1
86.92148680302945,-16.184895766022294,85.98902189580326,1
87.79070167105975,-16.241366834862628,86.21644914320363,1
88.66860868777034,-16.171303866788467,86.04801807216909,1
89.55529477464805,-15.941243188402249,85.86273087839601,1
90.45084772239453,-15.97358035949559,86.08892877328674,1
91.35535619961847,-15.856815811921951,86.12330243551173,1
92.26890976161465,-15.721637634258723,85.58489661716254,1
93.1915988592308,-15.72535422849994,86.24998365559787,1
94.1235148478231,-15.542953487509338,86.44928567701614,1
95.06474999630133,-15.486647027398941,86.28557963881784,1
96.01539749626434,-15.493461168335799,86.25996723771877,1
96.97555147122699,-15.278744261536417,86.25577732584082,1
97.94530698593927,-15.346201209247063,85.74456932394102,1
98.92476005579866,-15.176918190513586,85.7829169022277,1
99.91400765635665,-15.09576884391898,85.82547434923399,1
100.91314773292021,-15.113638487345334,85.74890071945445,1
101.92227921024941,-14.748584124361196,85.3950101436904,1
102.94150200235191,-14.79768335204922,85.43750612204511,1
103.97091702237543,-14.54210147170101,85.54006235189203,1
105.01062619259919,-14.549460619599467,86.34675202701567,1
106.06073245452518,-14.555422389457778,85.58061700889085,1
107.12133977907044,-14.596279987540994,85.47664821906402,1
108.19255317686114,-14.329497754807216,85.15093148634539,1
109.27447870862976,-14.058107400744431,85.83034418739244,1
110.36722349571606,-14.072139570462033,85.6583978092927,1
111.47089573067322,-14.135885447372544,85.0999334281604,1
112.58560468797995,-14.085351458911902,85.31341835625685,1
113.71146073485976,-13.776803461150472,85.70076279417037,1
114.84857534220835,-13.69329854822675,85.4722751611003,1
115.99706109563043,-13.687589522102536,85.07260908023645,1
117.15703170658674,-13.71967125136193,85.20437612632054,1
118.3286020236526,-13.523606341931458,84.60211411089905,1
119.51188804388913,-13.404733348919503,84.90164752000635,1
120.70700692432803,-13.307857922346065,84.71355366586047,1
121.91407699357131,-13.375250793924064,84.96265126906704,1
123.13321776350703,-13.151708933735733,84.83330367285805,1
124.3645499411421,-12.991176808296318,85.18197497698554,1
125.60819544055353,-12.988757886133204,84.65157222764402,1
126.86427739495906,-12.98625609084424,84.93274566776995,1
128.13292016890864,-12.794473173274513,84.3487508304732,1
129.41424937059773,-12.621259561655693,84.52500422184056,1
130.7083918643037,-12.64378853912578,84.61504512579367,1
132.01547578294674,-12.628375152595645,84.64985249481254,1
133.3356305407762,-12.44182311101801,84.90988621144396,1
134.66898684618397,-12.172160953607676,84.74559927148255,1
136.01567671464582,-12.305564355087009,84.03016866329526,1
137.37583348179228,-12.260890237047722,84.35455544831858,1
138.7495918166102,-12.011591293717595,84.18300690713131,1
140.13708773477632,-11.972149018083085,84.11169147012964,1
141.5384586121241,-12.01364206754852,83.87048811098836,1
142.95384319824532,-11.829548637828355,83.67035572251211,1
144.38338163022777,-11.691150277854138,84.06122838530314,1
145.82721544653006,-11.777127290845488,83.92498147463778,1
147.28548760099537,-11.655507500419324,83.60319028149598,1
148.75834247700533,-11.43902715285044,83.95146446296089,1
