Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.700194700041205,88.02833958363814,2
40.4,-25.720722821533858,88.73710241905736,2
40.804,-25.51203978093042,88.9831142373672,2
41.21204,-25.59857813937976,88.6773697153614,2
41.6241604,-25.31388856994569,88.85181733704513,2
42.040402004,-25.460698434371693,88.22719562430595,2
42.460806024040004,-25.229799733206377,88.28334276905423,2
42.885414084280406,-25.303612661457798,88.45809757460108,2
43.31426822512321,-25.152373060811225,87.49721551770816,2
43.74741090737444,-25.14634180071813,86.83718558623744,2
44.184885016448185,-24.819104145422003,88.40610069102539,2
44.62673386661267,-24.808874166644088,87.92754637933672,2
45.07300120527879,-25.07170993524615,89.09883642503813,2
45.52373121733158,-24.74067359247591,89.50640319176577,2
45.9789685295049,-24.80462200526691,88.70973933256786,2
46.43875821479995,-24.623556673751082,86.6637626702865,2
46.903145796947946,-24.27264089876838,88.45145607433983,2
47.372177254917425,-24.36414069823648,86.71790248024314,2
47.8458990274666,-24.41693938306894,88.1279795107028,2
48.32435801774127,-24.31610488396557,87.11657037751871,2
48.80760159791868,-23.960643094580853,86.68417724640267,2
49.29567761389787,-24.002843590568627,86.84540240998982,2
49.788634390036854,-23.986622359258593,88.70911978186206,1
50.28652073393722,-23.644724657640626,87.55376499504537,2
50.7893859412766,-23.96644028224082,88.50346342202312,2
51.29727980068937,-23.720478849054793,87.4093621817645,1
51.81025259869626,-23.416957905207852,88.24816119142042,2
52.32835512468322,-23.300857072352095,88.07149676598215,1
52.851638675930054,-23.403304658098243,87.56986573152585,2
53.380155062689354,-23.559588697137404,87.22160179399108,1
53.91395661331625,-23.30886955761738,87.97452378439237,1
54.45309617944942,-23.163894980227667,87.47131580193516,1
54.99762714124391,-22.923255243167716,86.46108110780347,1
55.54760341265635,-22.82175400799548,86.88009617185423,1
56.103079446782914,-23.00943794694097,86.85798378837485,1
56.66411024125075,-23.027045696545837,85.77851688303802,1
57.23075134366326,-22.742879141908173,87.71397416592447,1
57.80305885709989,-22.662995039043338,87.02588277497318,1
58.38108944567089,-22.771163269973194,87.49056171770052,1
58.9649003401276,-22.551653911486085,87.00295339379119,1
59.554549343528876,-22.342288279451527,87.39259975976819,1
60.150094836964165,-22.349304356458628,87.0799017312082,1
60.751595785333805,-22.377526431101785,87.11685202716865,1
61.35911174318714,-22.2974036398108,87.60108572095574,1
61.972702860619016,-21.95469527047248,87.80556589263193,1
62.59242988922521,-21.88736773505977,87.17634380196063,1
63.21835418811746,-22.02938000101641,87.10698296375216,1
63.850537729998635,-21.990714941000558,87.47371158851902,1
64.48904310729863,-21.72794154640836,87.79261062213597,1
65.13393353837161,-21.468682967200472,87.28471166413895,1
65.78527287375532,-21.70329983688802,87.54971673550905,1
66.44312560249287,-21.429743718242907,87.07056698191211,1
67.1075568585178,-21.174007589664107,87.2041968016319,1
67.77863242710298,-21.268257894190416,87.3195440771284,1
68.456418751374,-21.295098353483727,87.25250696150317,1
