Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-23.680081579605844,89.88779448710333,1
40.4,-23.711797418497568,88.86965410564244,1
40.804,-23.521644639374074,89.81295414603079,1
41.21204,-23.44035689819213,90.0312532568935,1
41.6241604,-23.162634282132565,88.80710088392776,1
42.040402004,-23.374080796949883,90.26504384670812,1
42.460806024040004,-23.06362035844019,88.96133508437958,1
42.885414084280406,-22.795203861987638,89.70604759647824,1
43.31426822512321,-22.886684971001912,88.43806086825782,1
43.74741090737444,-22.696661167197142,89.97598183718986,1
44.184885016448185,-22.69361394520629,87.82727065624651,1
44.62673386661267,-22.493469804768647,88.20795770841437,1
45.07300120527879,-22.48660029611275,89.5901211353923,1
45.52373121733158,-22.34495642732433,89.59416768729544,1
45.9789685295049,-22.401375309339542,90.69128250675233,1
46.43875821479995,-22.24883776672908,89.62872744043396,1
46.903145796947946,-22.21323263719837,89.98479065033939,1
47.372177254917425,-22.040604144085865,90.15253458649364,1
47.8458990274666,-21.83227490105188,89.69756869722426,1
48.32435801774127,-21.983612904737345,90.10706487162928,1
48.80760159791868,-21.773479292257875,90.66411350004688,1
49.29567761389787,-21.718489870044525,88.85026310929814,1
49.788634390036854,-21.592026345164538,90.62796103884824,1
50.28652073393722,-21.54959089881032,88.46868133972178,1
50.7893859412766,-21.32548713212894,88.63892958333562,1
51.29727980068937,-21.489845822653464,91.02707989397598,1
51.81025259869626,-21.262349451288696,90.18841471821071,1
52.32835512468322,-21.1288376659343,89.60952827450109,1
52.851638675930054,-20.928807258900243,89.4500120675632,1
53.380155062689354,-21.04323816422687,88.39051424571429,1
53.91395661331625,-21.021704063729587,88.24879059904606,1
54.45309617944942,-20.79312331294573,90.16987538682866,1
54.99762714124391,-20.547405508413057,89.73821725881808,1
55.54760341265635,-20.82518989996939,88.6521162736088,1
56.103079446782914,-20.728939257137394,90.22341480271413,1
56.66411024125075,-20.663552413670615,89.03233029721858,1
57.23075134366326,-20.284827426508294,88.42544524538835,1
57.80305885709989,-20.335978189462256,88.36404292451772,1
58.38108944567089,-20.28608496263663,89.20592546544378,1
58.9649003401276,-20.3264445613936,87.97455498025076,1
59.554549343528876,-20.001863783554697,89.37195572668848,1
60.150094836964165,-20.30334717198208,89.98057358093008,1
60.751595785333805,-19.86053606148487,88.6636400321673,1
61.35911174318714,-19.76050346641447,89.02087915687659,1
61.972702860619016,-19.521703086167676,89.75477108784844,1
62.59242988922521,-19.498011262160286,90.1255788997218,1
63.21835418811746,-19.51955718703367,89.14395654899585,1
63.850537729998635,-19.482010719609466,88.63117857242787,1
64.48904310729863,-19.258933289644794,88.89139349764781,1
65.13393353837161,-19.14455635062157,88.33618348364288,1
65.78527287375532,-19.124489047883866,88.75446785028907,1
66.44312560249287,-18.851054362500232,90.41582628833001,1
67.1075568585178,-18.769784906730994,88.42158093434449,1
67.77863242710298,-18.892086621990938,89.15331804137455,1
68.456418751374,-18.890024757876194,89.12662716620525,1
69.14098293888775,-18.848579818255644,88.49038513815827,1
69.83239276827662,-18.48411548579829,89.00548585477878,1
70.53071669595938,-18.68666931977952,88.58152356096168,1
71.23602386291898,-18.650126916660845,89.12532714486933,1
71.94838410154817,-18.313165769327536,88.55314014812745,1
72.66786794256366,-18.32225537453974,89.01584292995938,1
73.39454662198929,-18.329746961375537,88.71343567665767,1
74.12849208820919,-18.027982913381155,88.68376477095129,1
74.86977700909128,-17.95306212521617,88.54962054270172,1
75.6184747791822,-18.061430472940906,88.44351292074482,1
76.37465952697401,-17.95133441514298,88.6331309920323,1
77.13840612224375,-17.854777153825864,88.79046133924055,1
77.90979018346619,-17.765198838915193,89.03156668736993,1
78.68888808530085,-17.69458600037906,89.01722191715253,1
79.47577696615386,-17.477011812779278,88.89407851769994,1
80.2705347358154,-17.484576243205726,89.3671307357902,1
81.07324008317356,-17.43747149441022,88.33932149017011,1
81.8839724840053,-17.22845440046561,89.23815098045031,1
82.70281220884536,-17.144043924813495,89.09845571489927,1
83.52984033093381,-17.127070884885356,87.91163244218922,1
84.36513873424315,-17.03607249215066,87.56443418209383,1
85.20879012158558,-16.93374976321832,88.91695290326929,1
86.06087802280143,-17.013909573026897,88.4639148804623,1
86.92148680302945,-16.70108912546513,88.95496755688612,1
