Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-24.67259269128821,-92.51743113591118,2
40.4,-24.675549603628607,-92.75185933593019,2
40.804,-24.538243317462452,-92.01680415505678,2
41.21204,-24.732170978623316,-93.21822602467219,2
41.6241604,-24.63734353661604,-92.3262557992698,2
42.040402004,-24.572337126426195,-92.92541275918191,2
42.460806024040004,-24.321106799740644,-92.04555226544369,2
42.885414084280406,-24.22370239115616,-92.74818675490917,2
43.31426822512321,-24.515901538047526,-91.91289061077572,2
43.74741090737444,-24.06965374267892,-92.86807423847907,2
44.184885016448185,-23.938901040672327,-92.73963452151241,1
44.62673386661267,-23.89475361360691,-92.79225024141977,2
45.07300120527879,-23.811659725073664,-93.9319691880469,1
45.52373121733158,-23.63012121396111,-92.28837294341773,2
45.9789685295049,-23.504094986496323,-92.80309958736609,2
46.43875821479995,-23.382365838443203,-93.46612416000255,1
46.903145796947946,-23.605278658663902,-92.8384118994587,2
47.372177254917425,-23.512039152353246,-93.55883109072192,2
47.8458990274666,-23.303006407252674,-93.42302079527704,2
48.32435801774127,-23.35572673288431,-92.9833431789026,1
48.80760159791868,-23.196365997947037,-93.43786332184692,2
49.29567761389787,-23.04032218003565,-91.89623021435062,1
49.788634390036854,-22.962868181917784,-92.69579225331853,2
50.28652073393722,-22.852947882905134,-93.55815872418583,2
50.7893859412766,-22.824451203627735,-93.934814228365,1
51.29727980068937,-22.898896944091042,-93.58698829016527,1
51.81025259869626,-22.686685134389794,-92.76188271522325,2
52.32835512468322,-22.546843340113554,-92.84028659722185,2
52.851638675930054,-22.320632495480574,-92.66937085614529,1
53.380155062689354,-22.427780401241602,-92.71785044161116,1
53.91395661331625,-22.211725108495745,-92.18766120949286,1
54.45309617944942,-22.091900657173476,-93.17210921667079,1
54.99762714124391,-22.016650716513638,-93.2892513966396,1
55.54760341265635,-21.896780189481497,-93.08094511126177,1
56.103079446782914,-22.02468715862146,-93.91855826769194,1
56.66411024125075,-21.98979488840966,-92.84920520660785,1
57.23075134366326,-21.69208888100103,-92.77246686632694,1
57.80305885709989,-21.5406678051786,-93.4111786684119,1
58.38108944567089,-21.67452751011924,-94.05259814114483,1
58.9649003401276,-21.65365360412505,-94.39915032385223,1
59.554549343528876,-21.208856936071623,-93.1669618104804,1
60.150094836964165,-21.13484119770354,-94.04402835450196,1
60.751595785333805,-21.236675558932127,-93.85037918602342,1
61.35911174318714,-21.157639075909234,-93.94114316394314,1
61.972702860619016,-20.97552266220028,-93.63300979939032,1
62.59242988922521,-20.96735690635434,-93.04339593380716,1
63.21835418811746,-20.9136642951834,-93.32752777543762,1
63.850537729998635,-20.957823557341523,-93.75935488954127,1
64.48904310729863,-20.51330019799455,-94.1498697376503,1
65.13393353837161,-20.459393366259086,-93.85555282083054,1
65.78527287375532,-20.646977337604824,-93.77563704669728,1
66.44312560249287,-20.53016794573489,-94.07699496735052,1
67.1075568585178,-20.320415811631435,-93.62987770964034,1
67.77863242710298,-20.21314885786031,-94.09571713178649,1
68.456418751374,-20.26021183599805,-94.4660012937405,1
69.14098293888775,-20.07022501771587,-94.6253179575601,1
69.83239276827662,-19.94128629104296,-94.24029802047895,1
70.53071669595938,-19.96426788602206,-94.40833427089598,1
71.23602386291898,-19.867042694437107,-94.37348678842966,1
71.94838410154817,-19.632621152152915,-94.48245932578568,1
72.66786794256366,-19.56642629760736,-93.95544242025859,1
73.39454662198929,-19.59308989743499,-94.75310716312828,1
74.12849208820919,-19.45793871254096,-94.32199822386096,1
74.86977700909128,-19.285494730915023,-94.71642088695006,1
75.6184747791822,-19.396261613375096,-94.58442003912438,1
76.37465952697401,-19.33519622287653,-93.72641077727428,1
77.13840612224375,-19.01260962913742,-94.08935458416684,1
77.90979018346619,-19.026568870516442,-94.25350539438081,1
78.68888808530085,-18.98277225974287,-94.4223844782957,1
79.47577696615386,-18.746255536920184,-94.43653079486444,1
