Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.318683073307895,-92.56346718565436,2
40.4,-25.199128247003397,-92.21222657384675,1
40.804,-24.935403105142907,-91.13580526840902,2
41.21204,-25.277526416313265,-90.90274222816035,2
41.6241604,-24.90420372852243,-91.30738713782497,2
42.040402004,-24.878838895777218,-92.21532917488258,2
42.460806024040004,-24.70127729139942,-93.36630827404525,2
42.885414084280406,-24.64419887041815,-91.36682058481813,2
43.31426822512321,-24.514070891629423,-92.55932602659337,2
43.74741090737444,-24.544022705836948,-92.26879323850741,2
44.184885016448185,-24.438121025108003,-93.47979387871021,2
44.62673386661267,-24.23078289705226,-92.05138455761477,2
45.07300120527879,-24.21132708813524,-92.16035649507866,1
45.52373121733158,-24.12173857321329,-92.77874163535944,2
45.9789685295049,-23.94436502630567,-90.4208488435595,2
46.43875821479995,-23.74036822383276,-90.84902109816778,2
46.903145796947946,-23.771788788549262,-92.86532128807768,2
47.372177254917425,-23.79010955466825,-92.07242804940313,2
47.8458990274666,-23.678888561359035,-91.45353448499628,2
48.32435801774127,-23.666367585908038,-92.29018577453024,1
48.80760159791868,-23.679196757701956,-92.3266900432033,1
49.29567761389787,-23.572399364515228,-91.38521116248494,2
49.788634390036854,-23.270788615661424,-92.48000647062759,2
50.28652073393722,-23.240047656143815,-91.72368411948946,1
50.7893859412766,-23.347519984799256,-91.83722343341658,1
51.29727980068937,-23.15030391365458,-92.13653751251786,1
51.81025259869626,-22.86772784167835,-92.12965604302826,1
52.32835512468322,-22.882204816422835,-91.81854007704561,1
52.851638675930054,-23.11373254034012,-92.08451553461423,1
53.380155062689354,-22.774690401306156,-92.01871655235131,1
53.91395661331625,-22.892065252775286,-92.88578805736493,1
54.45309617944942,-22.599432155992165,-91.95004280787133,1
54.99762714124391,-22.418145505184228,-92.64637312482628,1
55.54760341265635,-22.42569052253142,-92.07159812286625,2
56.103079446782914,-22.467812191156376,-92.41140324992432,1
56.66411024125075,-22.241874143433144,-92.09994246103963,1
57.23075134366326,-22.12185735075579,-91.73770344527391,1
57.80305885709989,-21.96190949573186,-92.8197111149304,1
58.38108944567089,-22.11964395076081,-92.93174722561128,1
58.9649003401276,-21.916463604959343,-92.80934621721345,1
59.554549343528876,-21.719812037709023,-92.73718240323835,1
60.150094836964165,-21.639394178262744,-91.81582977846308,1
60.751595785333805,-21.749566913073654,-92.12668951750015,1
61.35911174318714,-21.59946026919723,-92.49533396216145,1
61.972702860619016,-21.530763121412726,-92.26655404107417,1
62.59242988922521,-21.2785826325906,-92.64179426334341,1
63.21835418811746,-21.345074735401344,-94.04243690187066,1
63.850537729998635,-21.189441487661853,-92.21317336063507,1
64.48904310729863,-21.194966386405977,-93.83423020729714,1
65.13393353837161,-21.024236080546533,-92.04695111621209,1
65.78527287375532,-20.978102966331374,-93.34912212171412,1
66.44312560249287,-20.897533915033396,-93.14170542302577,1
67.1075568585178,-20.61754496506966,-91.93852708590202,1
67.77863242710298,-20.610971747988195,-92.34454742581863,1
68.456418751374,-20.690778804240686,-93.48598250877438,1
69.14098293888775,-20.592066928908526,-92.90766768404342,1
69.83239276827662,-20.266128739197956,-92.9613215359588,1
70.53071669595938,-20.433130871285915,-93.25860850480802,1
71.23602386291898,-20.396574400745273,-93.54710407163452,1
71.94838410154817,-20.025199421012363,-92.92421032777963,1
72.66786794256366,-20.088290611471116,-92.82212032169863,1
73.39454662198929,-20.138558312603013,-93.57296651982739,1
74.12849208820919,-19.857119609768397,-92.88788560529721,1
74.86977700909128,-19.736973596773222,-92.31987558169597,1
75.6184747791822,-19.799018999166808,-93.17531883080233,1
76.37465952697401,-19.724548096159243,-92.98422921947565,1
77.13840612224375,-19.58768043929562,-93.16771345456615,1
77.90979018346619,-19.56523172435361,-93.29219791559365,1
78.68888808530085,-19.517679937042107,-93.07863320122611,1
79.47577696615386,-19.243011250597103,-92.74700381122913,1
80.2705347358154,-19.25400809985984,-93.14495721770385,1
81.07324008317356,-19.190124176233212,-93.32082121418819,1
81.8839724840053,-19.048477962414477,-93.05636711620741,1
82.70281220884536,-19.010133973820224,-93.83776478022278,1
83.52984033093381,-19.008926951230524,-92.86307513892953,1
84.36513873424315,-18.705341359662953,-93.36107246612826,1
85.20879012158558,-18.7007735333562,-93.32716174291589,1
86.06087802280143,-18.70116757513277,-92.66611872930082,1
86.92148680302945,-18.518046042743176,-93.43216680170764,1
87.79070167105975,-18.470567392720774,-93.30308603377637,1
88.66860868777034,-18.47231554405604,-93.99182950593712,1
89.55529477464805,-18.240694545533362,-93.76208755410714,1
90.45084772239453,-18.182723225124644,-94.00621509902095,1
91.35535619961847,-18.142274975687357,-93.8574116435239,1
92.26890976161465,-17.976390704231818,-93.6855545471123,1
93.1915988592308,-18.03850640588409,-93.60713594826746,1
94.1235148478231,-17.786548908283528,-93.13969162587692,1
95.06474999630133,-17.731456196214317,-93.71009769516758,1
96.01539749626434,-17.76493320827876,-93.27346055111849,1
96.97555147122699,-17.501188489097515,-93.35199982486327,1
97.94530698593927,-17.563361151479786,-94.01516931668641,1
98.92476005579866,-17.421207918205464,-93.79665907670734,1
99.91400765635665,-17.354624572608834,-93.97678319928042,1
100.91314773292021,-17.33023635366508,-93.72731739415167,1
101.92227921024941,-17.16532180278208,-94.17073208825383,1
102.94150200235191,-17.114964466753978,-93.57822566350505,1
103.97091702237543,-16.934820047554528,-94.35184718278282,1
