Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.884673998002892,-92.57768367459306,1
40.4,-22.87814610095254,-91.15829297257092,1
40.804,-22.650499378896527,-92.1053907418922,1
41.21204,-22.716287785333193,-91.87022742019904,1
41.6241604,-22.62030636212182,-91.27134334620902,1
42.040402004,-22.6298221537492,-91.14697528553468,1
42.460806024040004,-22.26881460495581,-92.0080190306021,1
42.885414084280406,-22.20849130729927,-89.84471760456545,1
43.31426822512321,-22.127851310764154,-91.3919183156575,1
43.74741090737444,-22.002712993208696,-91.4043048358369,1
44.184885016448185,-21.96038870912994,-91.80594192144878,1
44.62673386661267,-21.828189829887595,-91.80912112950125,1
45.07300120527879,-21.90783343773338,-91.6821108896498,1
45.52373121733158,-21.741163407483388,-91.80402178645365,1
45.9789685295049,-21.787323165877098,-92.08016623051282,1
46.43875821479995,-21.424024333080126,-91.79033874436476,1
46.903145796947946,-21.453249587939403,-90.6226684394833,1
47.372177254917425,-21.2638219912858,-91.09594112144386,1
47.8458990274666,-21.266093577072407,-91.09845490599264,1
48.32435801774127,-21.303091739558752,-92.03616691911259,1
48.80760159791868,-21.092937779841062,-92.22810144297257,1
49.29567761389787,-20.923142345085967,-92.63636734896741,1
49.788634390036854,-20.963508082873155,-92.00488973525516,1
50.28652073393722,-20.900096917285385,-91.77547242165372,1
50.7893859412766,-20.7760948633677,-91.44510571104564,1
51.29727980068937,-20.770619141244225,-92.412027892038,1
51.81025259869626,-20.56502999077464,-92.56661541230113,1
52.32835512468322,-20.38610931646493,-90.87361436236341,1
52.851638675930054,-20.436841680347452,-91.52533277270301,1
53.380155062689354,-20.501493496995007,-91.85125672936579,1
53.91395661331625,-20.455963904400583,-92.45677780578792,1
54.45309617944942,-20.0847448087269,-91.87700679186779,1
54.99762714124391,-19.909155310777653,-91.648575557794,1
55.54760341265635,-20.079123876438306,-91.70888404643154,1
56.103079446782914,-20.068430626203586,-91.7885083996672,1
56.66411024125075,-19.925189888811975,-92.51046819820374,1
57.23075134366326,-19.648796863713496,-91.91745500194477,1
57.80305885709989,-19.73351292129757,-91.80393016431344,1
58.38108944567089,-19.66068005022924,-92.30603863975196,1
58.9649003401276,-19.709190718937656,-91.95096750786436,1
59.554549343528876,-19.36061457253707,-92.27414937938468,1
60.150094836964165,-19.115702544525792,-91.70018998679085,1
60.751595785333805,-19.382372035430276,-92.62757769307319,1
61.35911174318714,-19.23889131104625,-92.49381974414405,1
61.972702860619016,-19.075541032962256,-91.952759511517,1
62.59242988922521,-18.865906212613744,-92.88539351820701,1
63.21835418811746,-18.954175131240138,-92.16711211720983,1
63.850537729998635,-18.960146108810445,-92.21573908331892,1
64.48904310729863,-18.667113702250933,-92.20543328029368,1
65.13393353837161,-18.5756536848368,-91.9330298832327,1
65.78527287375532,-18.608695905802875,-92.84354914226725,1
66.44312560249287,-18.536503755011456,-91.62348179803149,1
67.1075568585178,-18.243205473858144,-92.51024867756176,1
67.77863242710298,-18.311885268058358,-92.36608642901314,1
68.456418751374,-18.28580002389326,-92.08050813034833,1
69.14098293888775,-18.211460501970183,-92.21349884097681,1
69.83239276827662,-17.980052530184373,-91.9599641700224,1
70.53071669595938,-18.07955373754767,-92.48081812120779,1
71.23602386291898,-17.953507327059523,-92.81053015888062,1
71.94838410154817,-17.704011529190804,-92.37653907310317,1
72.66786794256366,-17.672387790527615,-92.57056062074727,1
73.39454662198929,-17.734966279017446,-92.98560128440064,1
74.12849208820919,-17.513068680345153,-92.78393213543973,1
74.86977700909128,-17.39805439995685,-92.31163019676387,1
75.6184747791822,-17.401040518631852,-93.24616680402471,1
76.37465952697401,-17.28547223389297,-92.43353331022274,1
77.13840612224375,-17.115719387654917,-92.87687599712557,1
77.90979018346619,-17.14073721909101,-93.333310868708,1
78.68888808530085,-17.074910559033746,-93.39227658147317,1
79.47577696615386,-16.80703207796757,-92.67705595396708,1
80.2705347358154,-16.902516675554047,-92.96265827533819,1
