Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-22.248347027079298,-90.56783319762997,1
40.4,-22.132004478696825,-90.66528454002624,1
40.804,-22.056544114831777,-91.37552469727372,1
41.21204,-22.046808477969385,-91.62440740568431,1
41.6241604,-21.970449155508103,-90.39235290342106,1
42.040402004,-21.8774465866374,-91.61316596908193,1
42.460806024040004,-21.61625022352992,-91.0378389332219,1
42.885414084280406,-21.588278394903895,-93.72607850994004,1
43.31426822512321,-21.614776167257634,-90.742152960597,1
43.74741090737444,-21.437293260707282,-89.79005118655101,1
44.184885016448185,-21.46619290929919,-91.14700077447486,1
44.62673386661267,-21.237141830646713,-90.72596257813265,1
45.07300120527879,-21.345759498734335,-90.93356343447624,1
45.52373121733158,-21.011094265699665,-90.99873353265299,1
45.9789685295049,-20.9294717263096,-91.57020007994083,1
46.43875821479995,-20.904361095056174,-91.1087982022024,1
46.903145796947946,-20.717452634431012,-91.37379072538798,1
47.372177254917425,-20.68152531553033,-90.45584011830888,1
47.8458990274666,-20.65411045954747,-91.36998644510243,1
48.32435801774127,-20.64072278470978,-91.78980181192611,1
48.80760159791868,-20.481385171994113,-92.50098015891938,1
49.29567761389787,-20.41064780321329,-91.5445138412312,1
49.788634390036854,-20.266693756891044,-91.50960057996843,1
50.28652073393722,-20.296434397159363,-91.3768563931581,1
50.7893859412766,-20.094240244755987,-91.4602122246167,1
51.29727980068937,-20.12961588827938,-91.88143120826834,1
51.81025259869626,-19.830140954843067,-89.95486044615265,1
52.32835512468322,-19.70724054645921,-91.0925547407754,1
52.851638675930054,-19.74533263510491,-91.24981961970973,1
53.380155062689354,-19.960902942835656,-92.69887154004873,1
53.91395661331625,-19.802428671511333,-91.68527116849084,1
54.45309617944942,-19.458426477338797,-91.08593225833278,1
54.99762714124391,-19.42361478615182,-90.84521703517564,1
55.54760341265635,-19.428001457374293,-90.84582277441172,1
56.103079446782914,-19.171071660428158,-90.26067436651272,1
56.66411024125075,-19.410961001931266,-93.13428056073133,1
57.23075134366326,-19.08122625649552,-90.77549509968648,1
57.80305885709989,-18.995522108360323,-91.39401726477737,1
58.38108944567089,-19.02740155508892,-90.98231522897055,1
58.9649003401276,-18.93413410219027,-91.50804358862322,1
59.554549343528876,-18.681483051616713,-91.5031405212303,1
60.150094836964165,-18.44554714784482,-93.67775690657422,1
60.751595785333805,-18.65673673832347,-91.22473227169496,1
61.35911174318714,-18.471419081546923,-92.03557630354857,1
61.972702860619016,-18.371193673169174,-91.08515720476343,1
62.59242988922521,-18.314774559131237,-91.39076319885076,1
63.21835418811746,-18.1866840810955,-92.43497331338142,1
63.850537729998635,-18.234669732418638,-91.56851594676779,1
64.48904310729863,-18.059754477167647,-90.6944151601798,1
65.13393353837161,-17.875482038282193,-90.78720564498296,1
65.78527287375532,-18.069224614323144,-91.88280868978677,1
66.44312560249287,-17.647645220338887,-91.64576826066343,1
67.1075568585178,-17.625966120365483,-91.10579044379419,1
67.77863242710298,-17.68414093491707,-91.25103593857934,1
68.456418751374,-17.68429507929049,-91.62464145492211,1
69.14098293888775,-17.46324824389579,-91.53168678443001,1
69.83239276827662,-17.254908088425736,-92.12829604632736,1
70.53071669595938,-17.381254131061755,-91.93657112562983,1
71.23602386291898,-17.31455732839982,-91.46840009685326,1
71.94838410154817,-17.095887993384046,-91.6444850116262,1
72.66786794256366,-17.037549584919212,-91.45797451571966,1
73.39454662198929,-17.052563947702076,-91.53282774517308,1
74.12849208820919,-16.8573794007506,-91.61655050815797,1
74.86977700909128,-16.795629426209228,-91.34667457960535,1
75.6184747791822,-16.846531679640048,-91.88388514966141,1
76.37465952697401,-16.732138751026486,-91.80746681959039,1
77.13840612224375,-16.501907619001773,-91.89752847084186,1
77.90979018346619,-16.57101151919041,-91.99700966616393,1
78.68888808530085,-16.36444050858652,-91.77910905096873,1
79.47577696615386,-16.188599778683294,-91.58288285345617,1
80.2705347358154,-16.257366595420812,-92.19823590012459,1
81.07324008317356,-16.18566019272567,-91.47855278454722,1
81.8839724840053,-16.00574230095295,-91.81151662221262,1
82.70281220884536,-15.989658436005799,-91.97241536663846,1
83.52984033093381,-15.929307193864783,-91.96810370902425,1
84.36513873424315,-15.758187069950798,-92.3712405725826,1
85.20879012158558,-15.74617099090417,-91.79881667780137,1
86.06087802280143,-15.675448334965408,-91.53167381063241,1
86.92148680302945,-15.436023389291469,-91.57351163006994,1
87.79070167105975,-15.40888470208879,-91.81914538212403,1
88.66860868777034,-15.320300945696316,-92.09808457310513,1
89.55529477464805,-15.203458070561942,-91.96340292860737,1
90.45084772239453,-15.281545231787995,-92.65501151193388,1
91.35535619961847,-15.007276009273852,-92.55558320336961,1
92.26890976161465,-14.936436617644212,-92.18149971470717,1
93.1915988592308,-14.893393540379595,-92.3125038877439,1
94.1235148478231,-14.739328386773328,-92.3693246801554,1
95.06474999630133,-14.79180440934303,-92.47159937721057,1
96.01539749626434,-14.677979342470175,-91.72793927165725,1
96.97555147122699,-14.429107342447374,-92.22334821925925,1
97.94530698593927,-14.48342593086838,-92.33818185738458,1
98.92476005579866,-14.30928486214411,-92.06590196557647,1
99.91400765635665,-14.331569226678862,-92.12813637836621,1
100.91314773292021,-14.257242738315059,-92.00125663141421,1
101.92227921024941,-14.068126490403326,-92.37693698736304,1
102.94150200235191,-14.088543708114306,-92.30998091594182,1
103.97091702237543,-13.873634119879709,-92.35228182585817,1
105.01062619259919,-13.69892741897202,-92.79189008943663,1
106.06073245452518,-13.819371441992194,-92.29647493830565,1
107.12133977907044,-13.816375554064939,-92.45220054686307,1
108.19255317686114,-13.676979228387976,-92.47201658461178,1
109.27447870862976,-13.41644561373198,-92.11722873458419,1
110.36722349571606,-13.369100162784475,-92.59197082137995,1
111.47089573067322,-13.420327102916726,-92.87165661804505,1
112.58560468797995,-13.33653944583928,-92.72852312713655,1
113.71146073485976,-13.106961922175392,-92.35819646304581,1
114.84857534220835,-12.918404271982032,-91.93320035188995,1
115.99706109563043,-13.006677341019707,-92.70539737719874,1
117.15703170658674,-13.040219822392018,-92.66006214192556,1
118.3286020236526,-12.829802666479537,-92.63952508873668,1
119.51188804388913,-12.639627045150048,-92.3853805269536,1
120.70700692432803,-12.670570773013605,-92.82909887734894,1
121.91407699357131,-12.712556575914702,-92.81414634748569,1
123.13321776350703,-12.536475287155424,-92.73156056373688,1
124.3645499411421,-12.284779153265536,-92.59365072940179,1
125.60819544055353,-12.328817510039078,-92.80862535808009,1
126.86427739495906,-12.313749398092092,-93.03866911689624,1
128.13292016890864,-12.11201217337848,-92.60874754300673,1
129.41424937059773,-12.005621497571509,-92.83205586501562,1
130.7083918643037,-11.960915324902452,-93.23831418596745,1
132.01547578294674,-11.995476122663028,-92.97234322841018,1
133.3356305407762,-11.789005142616103,-92.46684104557215,1
134.66898684618397,-11.632710369686196,-92.9634653424909,1
136.01567671464582,-11.66330342244354,-93.14190779432371,1
137.37583348179228,-11.616756054267503,-92.82532693173385,1
138.7495918166102,-11.397483263729681,-92.81855333115165,1
140.13708773477632,-11.33196325381843,-92.98639450152466,1
141.5384586121241,-11.391856583923172,-93.54497750485393,1
142.95384319824532,-11.164963399835074,-93.36962899618048,1
144.38338163022777,-10.984426677827326,-92.9488968905248,1
145.82721544653006,-11.063173912926446,-93.56114811903593,1
147.28548760099537,-11.05591010239564,-93.12339619460774,1
148.75834247700533,-10.696608204829086,-93.51980373905837,1
150.2459259017754,-10.76421957986137,-93.4412015404611,1
