Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-31.746369517937794,-92.60250381334129,2
40.4,-30.994523299171767,-92.49676079088691,2
40.804,-31.00177058750138,-92.3560597129264,2
41.21204,-31.239846153484756,-91.7070728619376,2
41.6241604,-31.309904736077055,-92.22392634328659,2
42.040402004,-30.74092679351778,-91.70848060691117,2
42.460806024040004,-30.8641169117686,-91.89129212488734,2
42.885414084280406,-30.797021992194654,-94.3214362287037,2
43.31426822512321,-30.98980876203825,-94.11241269159137,2
43.74741090737444,-30.9662752783433,-94.7922271317323,2
44.184885016448185,-30.97149530399452,-96.44060539115594,2
44.62673386661267,-30.575795668082765,-92.99378791308257,2
45.07300120527879,-30.531269691486738,-94.85895383228119,2
45.52373121733158,-30.44028961469771,-90.87844605590689,2
45.9789685295049,-30.254275976428776,-95.50161011044133,2
46.43875821479995,-30.157039520191145,-96.93024433952081,2
46.903145796947946,-29.74939319315969,-95.49953291195777,2
47.372177254917425,-30.14854963451504,-94.78321381233815,2
47.8458990274666,-30.144522534682757,-94.156320889445,2
48.32435801774127,-29.7941478241586,-95.70950623311103,2
48.80760159791868,-29.461088250016754,-94.48104436692574,2
49.29567761389787,-29.442115328711502,-93.91201382718143,2
49.788634390036854,-29.492069794855304,-93.39696292513838,2
50.28652073393722,-29.508097492925224,-93.50883899337583,2
50.7893859412766,-29.468229910765785,-94.1196307327434,2
51.29727980068937,-29.603525184218224,-92.94823360812597,2
51.81025259869626,-28.96702045907591,-91.8533618341759,2
52.32835512468322,-28.773960344586392,-93.89845396172672,2
52.851638675930054,-29.581976817210222,-95.73249658276984,2
53.380155062689354,-29.23518400347486,-91.65519856363143,2
53.91395661331625,-29.204291473999028,-92.46400430168536,2
54.45309617944942,-28.62163837984239,-93.50533243229238,2
54.99762714124391,-28.672221929352467,-95.7125564392864,2
55.54760341265635,-28.754090338143264,-93.66987025912215,2
56.103079446782914,-28.610494207432875,-94.43614141147043,2
56.66411024125075,-28.70389330448985,-94.89894504428435,2
57.23075134366326,-28.5385439404514,-93.49734134788008,2
57.80305885709989,-28.14836587292696,-92.46576564006331,2
58.38108944567089,-28.247109064460055,-92.72596520550596,2
58.9649003401276,-28.492047277871556,-94.98705263257798,2
59.554549343528876,-28.284608016598856,-93.49740501474285,2
60.150094836964165,-27.89119982307242,-93.68906468744916,2
60.751595785333805,-28.135524541882074,-93.69494485746168,2
61.35911174318714,-27.660495778919323,-93.63769388087468,2
61.972702860619016,-27.563732150951182,-94.58500662776734,2
62.59242988922521,-27.447880036575988,-94.55871836730103,2
63.21835418811746,-27.603337835424753,-95.09504620604372,2
63.850537729998635,-27.456744063759913,-93.78588202009226,2
64.48904310729863,-27.460268278437955,-93.42205061467834,2
65.13393353837161,-27.06256302843077,-94.54680189881198,2
65.78527287375532,-27.243713762610238,-93.15404469568051,2
66.44312560249287,-27.395074242981575,-94.45446664856917,2
67.1075568585178,-26.879900342903024,-93.03027415612546,2
67.77863242710298,-27.151124786099246,-94.56296317297287,2
68.456418751374,-26.865415356409642,-94.21975483576065,2
69.14098293888775,-26.69128920482633,-94.57461294920542,2
69.83239276827662,-26.738468701829404,-93.65388538359014,2
70.53071669595938,-26.358577221917223,-94.18849405725359,2
71.23602386291898,-26.456857541895253,-95.9618241484543,2
71.94838410154817,-26.433527677660702,-95.54939008671428,2
72.66786794256366,-26.439052359838644,-94.32068454754473,2
73.39454662198929,-26.289833540302624,-95.54698621070862,2
74.12849208820919,-25.95124555251738,-95.55606364589102,2
74.86977700909128,-26.121200168047306,-95.18927833716486,2
75.6184747791822,-25.93370939445141,-95.67708558338359,2
76.37465952697401,-26.12817984859864,-95.80349649862694,2
77.13840612224375,-25.66738946627572,-95.1487892632411,2
77.90979018346619,-25.79663185990314,-95.16725320797698,2
78.68888808530085,-25.640129718816368,-95.0448108549809,2
79.47577696615386,-25.378526654837405,-93.99164079308619,2
80.2705347358154,-25.54260891076776,-94.23602353138631,2
81.07324008317356,-25.29391817383888,-95.9507923208813,2
81.8839724840053,-25.16448796779263,-95.76138441062866,2
82.70281220884536,-25.256258980332046,-94.45967785925805,2
83.52984033093381,-25.25463296096589,-95.56047537951768,2
84.36513873424315,-25.053244717665443,-95.37260550775153,2
85.20879012158558,-25.096141804303738,-94.90032445004977,2
86.06087802280143,-24.829726429471194,-96.43541389254784,2
86.92148680302945,-24.966889973510437,-96.00077813161398,2
87.79070167105975,-24.885502445649745,-95.30597289449425,2
88.66860868777034,-24.70128459452841,-96.70900595533247,2
89.55529477464805,-24.4304579000851,-95.70841922239563,2
90.45084772239453,-24.568332979206964,-96.3986164079592,2
91.35535619961847,-24.305534237871367,-96.16968014887992,2
92.26890976161465,-24.463203706229198,-95.79606107163116,2
93.1915988592308,-24.11916196027053,-95.15041810519284,2
94.1235148478231,-24.221111888046586,-95.91628916387994,2
95.06474999630133,-24.245423244270214,-96.77477838381014,2
96.01539749626434,-23.878285803767117,-96.05269914226301,2
96.97555147122699,-23.844155099959913,-96.3216559989845,2
97.94530698593927,-23.852748669598615,-95.8895096485196,2
98.92476005579866,-23.648263586659027,-96.21112731310959,2
99.91400765635665,-23.63281568602489,-96.33379475922618,2
100.91314773292021,-23.65112567904185,-95.81403939200413,2
101.92227921024941,-23.48112743538437,-97.4881586012578,2
102.94150200235191,-23.339131588430956,-96.95801532336667,2
103.97091702237543,-23.2342480564332,-97.05682886141335,1
105.01062619259919,-23.084384758936686,-96.96926704353788,2
106.06073245452518,-23.13921582424303,-96.31233611642966,2
107.12133977907044,-23.103420906859196,-98.20891781728409,2
108.19255317686114,-22.996855335749732,-96.92187207924528,2
109.27447870862976,-22.895850316776254,-97.28125707191494,1
110.36722349571606,-22.727013757425983,-96.96853468424939,2
111.47089573067322,-22.715912190945094,-96.9625019112633,2
112.58560468797995,-22.741998237030987,-97.60245039685157,2
113.71146073485976,-22.11980619669086,-97.44766145973486,1
114.84857534220835,-22.314457503155698,-98.34388185114403,1
115.99706109563043,-22.33071035951804,-97.03139113715159,1
117.15703170658674,-22.293973168423175,-98.56020834273143,1
118.3286020236526,-22.093136203431616,-98.20369871231695,1
119.51188804388913,-21.864461559249452,-97.97033900319539,1
120.70700692432803,-21.869713562445334,-98.94331565995168,1
121.91407699357131,-22.009615446408105,-97.67072866273918,1
123.13321776350703,-21.710153548597532,-98.09973165951783,1
124.3645499411421,-21.67460424072195,-97.68881495345482,1
125.60819544055353,-21.57856748370757,-97.72970796734394,1
126.86427739495906,-21.691995114283767,-99.41092370084192,1
128.13292016890864,-21.429294604207175,-98.45400407659525,1
129.41424937059773,-21.214563223989824,-98.79130400961469,1
130.7083918643037,-21.282662089546154,-99.01660892283735,1
132.01547578294674,-21.248726639491654,-98.34999960380014,1
133.3356305407762,-20.95819539352095,-98.78572626259493,1
134.66898684618397,-21.007695287526154,-99.05567806013327,1
136.01567671464582,-20.86913509097187,-98.43547445505588,1
137.37583348179228,-20.799260196946275,-99.2644558531727,1
138.7495918166102,-20.756455899749398,-99.53335449032281,1
140.13708773477632,-20.581448842818794,-99.29887758466667,1
