Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-30.285218051009544,-89.04506488260205,2
40.4,-29.979155816803004,-94.1968306030173,2
40.804,-30.108343125575765,-92.58434527549453,2
41.21204,-29.771577650394033,-93.30276727059739,2
41.6241604,-29.706189185269864,-91.79846478115846,2
42.040402004,-29.363861829946693,-92.69862645632696,2
42.460806024040004,-29.71875608404533,-90.46686572305032,2
42.885414084280406,-29.553280398537826,-92.04099068888489,2
43.31426822512321,-29.396248669218885,-92.99782777221972,2
43.74741090737444,-29.48050157114983,-92.31661907098243,2
44.184885016448185,-29.098241076525735,-91.08589108682969,2
44.62673386661267,-29.068047114507767,-93.3296408480542,2
45.07300120527879,-29.37884142004828,-91.92584275259117,2
45.52373121733158,-28.993792255912854,-93.04236393333724,2
45.9789685295049,-28.535670120501198,-92.05646434794261,2
46.43875821479995,-28.543086374485387,-91.88090260310801,2
46.903145796947946,-28.79596798596356,-92.03737063412689,2
47.372177254917425,-28.84961891727146,-92.04342998927282,2
47.8458990274666,-28.766816485809596,-91.47888475869627,2
48.32435801774127,-28.79260574758116,-90.79217031303278,2
48.80760159791868,-28.240720686213372,-94.77943393436931,2
49.29567761389787,-28.358515193318333,-93.43222328021592,2
49.788634390036854,-28.1591184998674,-92.60844339343551,2
50.28652073393722,-28.12303406880828,-92.67424867400655,2
50.7893859412766,-27.791064037570617,-92.47777827451054,2
51.29727980068937,-28.1439739123277,-93.26808271150333,2
51.81025259869626,-27.16201641156774,-92.3470884593554,2
52.32835512468322,-27.22371804543137,-91.79523557504518,2
52.851638675930054,-26.922040911642974,-89.96321749326026,2
53.380155062689354,-27.1065641053685,-92.73604821466108,2
53.91395661331625,-27.170946757868734,-92.55846772876872,2
54.45309617944942,-27.15076018441273,-93.05997828350317,2
54.99762714124391,-26.881662562565175,-91.73278450924623,2
55.54760341265635,-26.760590725471864,-91.2363874991064,2
56.103079446782914,-27.377916621089522,-92.76296321921353,2
56.66411024125075,-26.715626088262603,-92.30352765631483,2
57.23075134366326,-26.68362051543514,-92.26614025395486,2
57.80305885709989,-26.65094102877893,-92.18923440438735,2
58.38108944567089,-26.46553561567509,-93.7677319537664,2
58.9649003401276,-26.75924499447234,-93.39152018450176,2
59.554549343528876,-26.370561991023767,-90.98820060067521,2
60.150094836964165,-26.05705113644636,-92.16601290877908,2
60.751595785333805,-26.1730787817011,-93.06346215129071,2
61.35911174318714,-26.094392184423278,-92.88580172316858,2
61.972702860619016,-25.94551534092585,-93.12316484091102,2
62.59242988922521,-25.888603850739344,-91.96203957003434,2
63.21835418811746,-25.802323482754122,-91.79722350489206,2
63.850537729998635,-25.892135922384576,-93.7541904662127,2
64.48904310729863,-25.42721433319223,-92.8183284822671,2
65.13393353837161,-25.552113885391687,-92.97569115400913,2
65.78527287375532,-25.638443500657047,-92.0801273189793,2
66.44312560249287,-25.126577187941464,-92.36565438278892,2
67.1075568585178,-24.955750792437005,-93.65414169107393,2
67.77863242710298,-25.308052529553077,-93.22017166913368,2
68.456418751374,-25.178780994997975,-93.17730899814597,2
69.14098293888775,-24.944412116399754,-92.67190082768995,2
69.83239276827662,-24.692978127833083,-91.94457709077945,2
70.53071669595938,-24.8536534721717,-93.77454072735617,2
71.23602386291898,-24.606712694095936,-93.73960029623748,2
71.94838410154817,-24.486698672425856,-92.99253719675633,2
72.66786794256366,-24.475956860192966,-94.2394395818539,1
73.39454662198929,-24.501175626630843,-92.45558633927672,2
74.12849208820919,-24.25666890257729,-91.49801580133376,2
74.86977700909128,-24.401344024347182,-92.7518668988037,2
75.6184747791822,-24.63953359825135,-92.6969564836212,2
76.37465952697401,-24.45021370044994,-92.83210815647413,2
77.13840612224375,-24.356118923217203,-92.29893730165988,2
77.90979018346619,-24.15501576238137,-92.79801369430305,2
78.68888808530085,-24.39711101165867,-93.72879116140969,2
79.47577696615386,-24.057812721064483,-92.92793915557124,2
80.2705347358154,-24.019033146241746,-92.79698737142661,2
81.07324008317356,-23.76649006666457,-93.88594513773734,2
81.8839724840053,-23.836187800399333,-93.47295538143698,1
82.70281220884536,-23.940440680470346,-93.11737887984768,2
83.52984033093381,-23.7702941160128,-92.95337119282043,2
84.36513873424315,-23.46800459387207,-93.0437729593271,1
85.20879012158558,-23.53992559938649,-93.61932021808968,1
86.06087802280143,-23.417237351865758,-93.73206950878296,1
86.92148680302945,-23.285722969298057,-93.50068476420367,1
87.79070167105975,-23.233190515069204,-93.6933047668628,2
88.66860868777034,-23.073750827876747,-93.2100047390447,1
89.55529477464805,-23.021381202331153,-92.94964675246159,2
90.45084772239453,-23.090806844283204,-93.48906113430724,1
91.35535619961847,-22.902571589406744,-94.19764754446757,1
92.26890976161465,-22.814129527492128,-93.283548423978,2
93.1915988592308,-22.76885943856604,-93.13270567082509,1
94.1235148478231,-22.543497449603155,-93.32104894290978,1
95.06474999630133,-22.640871317810575,-92.55232527792754,1
96.01539749626434,-22.553718676188225,-92.79516632200676,1
96.97555147122699,-22.137708611937803,-94.37724085080819,1
97.94530698593927,-22.49027940530987,-93.58054051178576,1
98.92476005579866,-22.019519537757258,-94.05905052257167,1
99.91400765635665,-22.14212381871661,-94.87194128668312,1
100.91314773292021,-21.91534314916706,-93.62762324331231,1
101.92227921024941,-21.7427374104947,-93.88979788910035,1
102.94150200235191,-21.843798859931574,-94.82180183670368,1
103.97091702237543,-21.5979199398186,-94.23070366179485,1
105.01062619259919,-21.355268384293957,-93.77522910248443,1
106.06073245452518,-21.599452396921738,-93.4560515212001,1
107.12133977907044,-21.434088148181452,-94.15863756882855,1
108.19255317686114,-21.351124284826685,-93.612851007231,1
109.27447870862976,-21.004840718430888,-94.09489232764096,1
110.36722349571606,-21.071554940610298,-93.77967324896505,1
111.47089573067322,-21.333090213553053,-94.56066401137912,1
112.58560468797995,-21.186837057186594,-94.93347036397188,1
113.71146073485976,-20.92071716085997,-94.27873733467726,1
114.84857534220835,-20.845283824549806,-94.49884411456637,1
115.99706109563043,-20.717301369450112,-94.86993405467375,1
117.15703170658674,-20.650573729312654,-94.2282822811083,1
118.3286020236526,-20.430978098223733,-94.36055411141392,1
119.51188804388913,-20.145633835296064,-94.19963658168739,1
120.70700692432803,-20.12992559211772,-94.29562715409867,1
121.91407699357131,-20.16517646818734,-95.18736420694438,1
123.13321776350703,-19.943139340045846,-95.40973536011472,1
124.3645499411421,-19.6021708574046,-94.34112457873178,1
125.60819544055353,-19.638374827480597,-94.740492006287,1
126.86427739495906,-19.768935670695406,-95.37560682974473,1
128.13292016890864,-19.480903906228193,-94.89343267115625,1
129.41424937059773,-19.268222719727927,-94.73557891170307,1
130.7083918643037,-19.396894859685357,-94.67466029107072,1
132.01547578294674,-19.379109431874124,-94.36920783298092,1
133.3356305407762,-19.33955608104954,-95.25889510545265,1
134.66898684618397,-19.09168659847702,-95.19215682455071,1
136.01567671464582,-19.018638537524645,-94.54157737232785,1
137.37583348179228,-19.00682786467251,-95.41132731937606,1
138.7495918166102,-18.783069462654158,-94.9783275399036,1
140.13708773477632,-18.685646469097637,-94.64478736549947,1
141.5384586121241,-18.734683775200665,-95.3681052669088,1
142.95384319824532,-18.5316570428415,-94.90294028500733,1
144.38338163022777,-18.367096811496108,-95.42481998907944,1
145.82721544653006,-18.444972188660913,-95.23964327193569,1
147.28548760099537,-18.48037030832065,-94.87728218662313,1
148.75834247700533,-18.09274782401838,-94.97173774733105,1
150.2459259017754,-18.080981492927236,-95.58562822691567,1
151.74838516079316,-18.029181734817485,-94.98402814745657,1
153.26586901240108,-17.800536020303852,-95.34351598346555,1
154.7985277025251,-17.591010466588113,-94.85343110986393,1
156.34651297955034,-17.670693440262884,-95.8933799484073,1
157.90997810934584,-17.436250850049053,-95.10240587832422,1
159.4890778904393,-17.32587769773949,-95.39439993241878,1
161.08396866934368,-17.458066713574848,-95.62260678608988,1
162.6948083560371,-17.337097789750327,-95.58938859398177,1
164.32175643959746,-17.20761025085995,-95.37265392987925,1
165.96497400399343,-17.35124974972749,-96.61494461530327,1
167.62462374403336,-17.285696743115288,-96.27560771496202,1
169.30086998147368,-17.10312256070613,-96.18126882621473,1
170.9938786812884,-17.136105584986772,-95.80824280257195,1
172.7038174681013,-17.019618433465144,-96.06888500242204,1
174.43085564278232,-16.927070268679724,-96.36924330617227,1
176.17516419921014,-16.830227245597236,-96.15847606973779,1
177.93691584120225,-16.62688972848664,-96.0360961997735,1
179.7162849996143,-16.581055840798722,-96.50480939261072,1
181.51344784961043,-16.53955882878455,-95.94491622336778,1
183.32858232810653,-16.405584645046073,-96.44376019310133,1
185.1618681513876,-16.39461656422584,-96.82806578962695,1
187.0134868329015,-16.254058503251255,-96.97880166120011,1
188.8836217012305,-16.207397347138986,-96.53622036433669,1
190.77245791824282,-16.249467882498006,-97.1407837969117,1
192.68018249742525,-16.0618108228052,-97.3511034995255,1
194.6069843223995,-15.973222053483996,-97.08605947452531,1
196.5530541656235,-15.933972495572663,-96.57747834061587,1
198.51858470727976,-15.742872452622308,-96.31312878342197,1
200.50377055435257,-15.669871144334028,-97.05053863564581,1
202.50880825989609,-15.578878109890287,-97.08100871092513,1
204.53389634249504,-15.385201461630864,-96.82121056570088,1
206.57923530591998,-15.432733154464955,-97.27530468880968,1
208.6450276589792,-15.21179872690709,-96.93210917388296,1
210.731477935569,-15.46467794664684,-97.95124031245979,1
212.8387927149247,-15.13198689209814,-97.21102965849327,1
214.96718064207394,-15.26390993893275,-97.98692562858584,1
217.11685244849468,-15.041817780460997,-97.59344422086934,1
219.28802097297964,-14.894356505463573,-97.73054977149283,1
221.48090118270943,-14.861788621204006,-98.02081390436624,1
223.69571019453653,-14.864677681033767,-98.1165648172639,1
225.9326672964819,-14.73988031350286,-97.89479264923318,1
228.1919939694467,-14.427639604672228,-98.00717117461588,1
230.47391390914117,-14.35273458155747,-97.60878507568657,1
232.7786530482326,-14.380526772331178,-97.8247593562289,1
235.10643957871494,-14.285427316902464,-98.11165955627685,1
237.4575039745021,-14.071083657499495,-97.7580061093744,1
239.8320790142471,-13.858007934193244,-97.69939338033394,1
242.23039980438958,-13.95369325244909,-98.33259681799791,1
244.65270380243348,-13.947137155041109,-99.09272809604806,1
247.0992308404578,-13.709708809994114,-97.91684963783143,1
249.5702231488624,-13.566980449715581,-98.73397390994785,1
252.06592538035102,-13.673045094057644,-98.83873192508837,1
254.58658463415452,-13.563536033702887,-98.52681118886676,1
257.13245048049606,-13.342313673228137,-98.42231356311493,1
259.70377498530104,-13.19542863959563,-98.73271666299512,1
262.30081273515407,-13.315143563281648,-98.83622443996006,1
264.92382086250564,-13.263295966000094,-98.84502019925117,1
267.5730590711307,-13.001487666788071,-98.82726643993766,1
270.24878966184195,-12.99866603025343,-98.75678369624725,1
272.9512775584604,-13.003742456038395,-99.02260369175083,1
275.680790334045,-12.780657979467241,-99.037003980665,1
278.4375982373855,-12.558859738055034,-98.72155270135119,1
281.2219742197593,-12.624020012912128,-99.21440785187326,1
284.03419396195693,-12.546910736453295,-99.34712628904254,1
286.8745359015765,-12.370105406416961,-99.41721442325968,1
289.74328126059225,-12.289991411683474,-99.32665154640091,1
292.6407140731982,-12.428049244865845,-99.9389442052301,1
295.5671212139302,-12.241283004706437,-99.43647244808174,1
298.5227924260695,-12.074572580518954,-99.53584957293828,1
301.5080203503302,-12.182879534115132,-100.28042082797515,1
304.5231005538335,-12.087363398963237,-100.19985379052031,1
307.5683315593718,-11.859413562564212,-100.22039946437413,1
310.64401487496554,-11.886595121363216,-100.43499524093119,1
313.7504550237152,-11.868591009114864,-100.80421545917841,1
316.88795957395234,-11.598966958043857,-100.1267264101653,1
320.0568391696919,-11.620321915417412,-100.28497789080087,1
323.25740756138885,-11.614074885498846,-101.06353405413523,1
326.48998163700276,-11.411311844526688,-100.79001565443274,1
329.7548814533728,-11.347867672480277,-100.94470449963008,1
333.0524302679065,-11.364408691578364,-101.05335301052051,1
336.3829545705856,-11.110998763848302,-100.70830671550124,1
339.74678411629145,-11.0911981415388,-101.26710293302824,1
343.14425195745434,-11.114387808288603,-101.34316653378943,1
346.5756944770289,-10.849777399224736,-101.28210937300142,1
350.0414514217992,-10.84086171252001,-101.53521843997059,1
353.5418659360172,-10.822451568395167,-101.58291663050109,1
357.07728459537736,-10.649588624532713,-101.78180212180797,1
360.64805744133116,-10.632716010264723,-101.7958815963085,1
364.25453801574446,-10.536465831206222,-101.68134435456648,1
367.8970833959019,-10.394718465466118,-102.34147034404516,1
371.5760542298609,-10.439566651304009,-102.22940680944552,1
375.2918147721595,-10.314589133171758,-102.25190401163823,1
379.0447329198811,-10.2143540171927,-102.56369465357417,1
