Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-32.50892352310548,-94.88168526391974,2
40.4,-32.226947929979225,-93.0342487862431,2
40.804,-32.419116428403285,-90.44274525329104,2
41.21204,-32.135443509649676,-90.33848223973332,2
41.6241604,-31.979841115969144,-92.59573904099733,2
42.040402004,-32.292796123897205,-91.81759236347256,2
42.460806024040004,-31.63958487883594,-94.45324224275157,2
42.885414084280406,-31.758407242375277,-91.50467774748505,2
43.31426822512321,-31.447951532207863,-90.78751023075395,2
43.74741090737444,-31.432004224251287,-91.33801830446481,2
44.184885016448185,-31.3846922724199,-92.14977240378596,2
44.62673386661267,-31.348823876539807,-92.0843505045278,2
45.07300120527879,-30.95064542681684,-92.72058922134318,2
45.52373121733158,-31.29625324575433,-92.46670913093476,2
45.9789685295049,-30.93298308163171,-94.2821025105498,2
46.43875821479995,-30.857439625473695,-94.46501415391886,2
46.903145796947946,-30.536795339866917,-93.1136883855385,2
47.372177254917425,-30.64680093448575,-95.07589551860573,2
47.8458990274666,-30.84390366971058,-91.62866739678566,2
48.32435801774127,-30.53923332021718,-92.59325776589128,2
48.80760159791868,-30.662774406745086,-90.82444627485341,2
49.29567761389787,-30.569935978052857,-94.29899451650634,2
49.788634390036854,-30.78831492563614,-93.73378582565742,2
50.28652073393722,-30.415044219984082,-89.72851227742296,2
50.7893859412766,-30.16539899518513,-92.80731433990422,2
51.29727980068937,-30.58332027576771,-92.86691057741245,2
51.81025259869626,-30.12228997309465,-93.53423973469476,2
52.32835512468322,-29.84333756377825,-92.2074207341518,2
52.851638675930054,-29.946469210342528,-93.42764548620084,2
53.380155062689354,-29.69138887300057,-91.93096287880488,2
53.91395661331625,-29.944262611855017,-93.21222618963318,2
54.45309617944942,-29.759070207098553,-92.41493709459425,2
54.99762714124391,-29.87524459493774,-92.38366782938613,2
55.54760341265635,-29.896583602969503,-93.49704942176425,2
56.103079446782914,-29.884136765717244,-90.80433310325162,2
56.66411024125075,-29.502496317256842,-92.89853973525362,2
57.23075134366326,-29.16685336067073,-93.35985130375346,2
57.80305885709989,-29.16883767879029,-92.15934987838155,2
58.38108944567089,-29.563787143486326,-94.00761769047277,2
58.9649003401276,-29.21417156117008,-90.8761010648451,2
59.554549343528876,-28.86291084376924,-93.02659588493044,2
60.150094836964165,-29.05278944380219,-94.07719736719704,2
60.751595785333805,-28.691726316107076,-92.68287203288077,2
61.35911174318714,-28.72785293917403,-92.02998692549795,2
61.972702860619016,-28.71591526508362,-94.42327375388028,2
62.59242988922521,-28.343056179978067,-93.01486900931876,2
63.21835418811746,-28.263020821620145,-93.39562785633895,2
63.850537729998635,-28.323908924172887,-93.19074548233947,2
64.48904310729863,-28.23197847544652,-94.48423464496668,2
65.13393353837161,-28.049869859543634,-92.8079276529684,2
65.78527287375532,-28.1588459292099,-95.1790973236146,2
66.44312560249287,-27.911405815539776,-93.80817561983986,2
67.1075568585178,-27.982107635007768,-96.0326678798829,2
67.77863242710298,-27.59937270246975,-94.40837375030672,2
68.456418751374,-27.79426446845824,-93.49337661903564,2
69.14098293888775,-27.89316065443814,-92.93765057519211,2
69.83239276827662,-27.48787260490652,-94.71195910681712,2
70.53071669595938,-27.371915674959748,-94.23574602575201,2
71.23602386291898,-27.53249585035003,-93.82636663222956,2
71.94838410154817,-26.953252620067428,-93.52847727613428,2
72.66786794256366,-27.31934643762828,-93.65564804102696,2
73.39454662198929,-27.212417048705245,-95.89559971094467,2
74.12849208820919,-26.978029229093618,-93.43403181268152,2
74.86977700909128,-26.895994053670922,-94.15442026260268,2
75.6184747791822,-26.925126199434114,-93.87225851942844,2
76.37465952697401,-26.566710873623794,-94.71360529536372,2
77.13840612224375,-26.5326956120398,-94.96848519030053,2
77.90979018346619,-26.715196707711122,-94.6907213117566,2
78.68888808530085,-26.34801679614211,-94.45115742550028,2
79.47577696615386,-26.144857826598532,-94.56014376410295,2
80.2705347358154,-26.246335168487292,-93.81404931608853,2
81.07324008317356,-26.434640755761254,-94.2092799458851,2
81.8839724840053,-26.22929724825972,-94.0750439909748,2
82.70281220884536,-25.981543955316376,-94.44612187867577,2
83.52984033093381,-26.20539586827092,-94.78376485575676,2
84.36513873424315,-26.06372970812298,-95.28175854861533,2
85.20879012158558,-25.846031339154337,-94.97220241359878,2
86.06087802280143,-25.689275908516297,-93.5827203984017,2
86.92148680302945,-25.59312670618608,-94.54729726676018,2
87.79070167105975,-25.479515478197712,-95.28734502108037,2
88.66860868777034,-25.56831927268252,-95.05877184486715,2
89.55529477464805,-25.29611259879761,-93.60359721984584,2
90.45084772239453,-25.22242549785456,-96.04086885887875,2
91.35535619961847,-25.034897996611452,-94.92254775983827,2
92.26890976161465,-25.17642114584801,-96.19439580284525,2
93.1915988592308,-24.92085147829912,-93.79444906625547,2
94.1235148478231,-24.825730568827375,-96.08476529643782,2
95.06474999630133,-24.878388244082345,-94.41842126912968,2
96.01539749626434,-24.795610775770275,-95.17156202460598,2
96.97555147122699,-24.63792177038689,-94.77458271113615,2
97.94530698593927,-24.639137123044346,-93.7252217712439,2
98.92476005579866,-24.493066408932386,-94.74804040336777,2
99.91400765635665,-24.49743460762643,-96.19895905310182,2
100.91314773292021,-24.499349074570553,-95.57670309579555,2
101.92227921024941,-24.175866781436614,-96.71352787392192,2
102.94150200235191,-24.274805338115534,-95.98696401533998,2
103.97091702237543,-24.13465711512614,-96.01521526091523,2
105.01062619259919,-23.790863469834644,-94.5618360364954,2
106.06073245452518,-23.88717602708142,-95.55432189010986,1
107.12133977907044,-23.922212258711223,-96.28064238872298,2
108.19255317686114,-23.865110750907938,-96.76755562268076,2
109.27447870862976,-23.588521429241837,-95.47173205867469,2
110.36722349571606,-23.52839644068161,-96.07998954646105,1
111.47089573067322,-23.36585207620179,-96.6564902297788,2
112.58560468797995,-23.51217996978612,-95.9469774962206,1
113.71146073485976,-23.099009166893087,-96.04565588346922,2
114.84857534220835,-23.067889913539346,-96.6621304107791,1
115.99706109563043,-23.17451975123431,-96.56981438083751,2
117.15703170658674,-23.205578587073404,-96.58820743001152,2
118.3286020236526,-23.042760222369346,-97.0557318569269,1
119.51188804388913,-22.71160499952007,-96.595150757986,1
120.70700692432803,-22.791227322316406,-96.78526434543954,1
121.91407699357131,-22.79081726068755,-96.94050385329149,1
123.13321776350703,-22.6815242801658,-96.00983378942016,1
124.3645499411421,-22.453856111649422,-96.50173741226422,1
125.60819544055353,-22.459672979899313,-97.0287718695396,2
126.86427739495906,-22.36475067326315,-96.58693800545068,1
128.13292016890864,-22.160798499998144,-96.60530982867792,1
129.41424937059773,-22.037281431738602,-97.33939492282764,1
130.7083918643037,-22.14235057429153,-97.16003189786738,1
132.01547578294674,-21.999836288699232,-97.1767866356721,1
133.3356305407762,-21.905539790064918,-97.17667735858194,1
134.66898684618397,-21.636317056341362,-97.4277522066294,1
136.01567671464582,-21.819245116174148,-97.32279713341472,1
137.37583348179228,-21.69505924100061,-97.7686171302692,1
138.7495918166102,-21.487300627760746,-97.51216811947532,1
140.13708773477632,-21.429202821510735,-97.48222191291352,1
141.5384586121241,-21.3341836779958,-97.68549745084147,1
142.95384319824532,-21.226256543469994,-97.39370140540154,1
144.38338163022777,-21.11604172043213,-96.93970855945587,1
145.82721544653006,-21.09564639271037,-97.25232795249956,1
147.28548760099537,-21.174888913574197,-98.10104250963744,1
148.75834247700533,-20.913853011997844,-97.31118675666042,1
150.2459259017754,-20.840501960163383,-97.84191659259153,1
151.74838516079316,-20.856051985722715,-97.95247790718395,1
153.26586901240108,-20.49206996402718,-97.92571971642707,1
154.7985277025251,-20.69978050536264,-98.2766027906867,1
156.34651297955034,-20.49533284234743,-97.78444307179282,1
157.90997810934584,-20.478913720772056,-97.72466188062074,1
159.4890778904393,-20.14515020167921,-98.00314498822291,1
161.08396866934368,-20.29149320914987,-98.34169509462754,1
162.6948083560371,-20.131151123692554,-98.83903253371841,1
164.32175643959746,-19.980736189544935,-98.18316528324848,1
165.96497400399343,-20.09227607560359,-98.66948357250915,1
167.62462374403336,-19.93784797119706,-98.10137719280398,1
169.30086998147368,-19.790509142285813,-97.97170628205299,1
170.9938786812884,-19.683182173415037,-99.72472540618077,1
172.7038174681013,-19.610821038047284,-98.45395488187147,1
174.43085564278232,-19.512695695003767,-99.14904363481138,1
176.17516419921014,-19.640172638991015,-98.4169279638628,1
177.93691584120225,-19.311982857719997,-98.8972719909799,1
179.7162849996143,-19.378753492655733,-99.61396035095021,1
181.51344784961043,-19.239005500610784,-99.73022902967449,1
183.32858232810653,-19.129571263827128,-99.30449168348446,1
185.1618681513876,-19.058831682463065,-99.64923222328957,1
187.0134868329015,-19.01139662696756,-99.71769219944372,1
188.8836217012305,-18.785070977922516,-99.6997734947667,1
190.77245791824282,-18.87399353083896,-99.77252152827111,1
192.68018249742525,-18.757068591999356,-100.10707282050241,1
194.6069843223995,-18.684874269220735,-100.35014664425859,1
196.5530541656235,-18.534594640648443,-99.88720057142662,1
198.51858470727976,-18.399590764083783,-100.24376965189711,1
200.50377055435257,-18.41105614369413,-100.05483232201016,1
202.50880825989609,-18.219446178668058,-100.30490064763279,1
204.53389634249504,-18.200766634361567,-100.80265698618689,1
206.57923530591998,-18.20878186842841,-101.01391545461559,1
208.6450276589792,-18.028851199364702,-100.7019679312699,1
210.731477935569,-18.073222221389457,-101.33807270242852,1
212.8387927149247,-17.84453890067942,-101.42022980364365,1
214.96718064207394,-17.945105692005317,-101.11919045024719,1
217.11685244849468,-17.66915536260846,-100.7549405293657,1
219.28802097297964,-17.520944032970224,-101.29870536893677,1
221.48090118270943,-17.580341315776927,-101.68029663783517,1
223.69571019453653,-17.55611460115444,-101.63852514352641,1
225.9326672964819,-17.479201194113074,-101.30799038457815,1
228.1919939694467,-17.173635452821756,-101.52996945958088,1
230.47391390914117,-17.21222390168001,-101.22556527373612,1
232.7786530482326,-17.298135935484225,-102.14951721496364,1
235.10643957871494,-17.123427043191395,-102.19076585420464,1
237.4575039745021,-16.935274280247754,-101.49145984675948,1
239.8320790142471,-16.808617732660416,-101.79984756960015,1
242.23039980438958,-16.837107646226645,-102.73173351595034,1
244.65270380243348,-16.76484613820783,-102.60226748826506,1
247.0992308404578,-16.603214748776633,-102.12040945976321,1
249.5702231488624,-16.437385792104653,-102.83690255710148,1
252.06592538035102,-16.472008484820428,-102.70201431646501,1
254.58658463415452,-16.428903325274256,-102.97804771160754,1
257.13245048049606,-16.30107103939731,-103.04178187614728,1
259.70377498530104,-16.106765355559258,-103.19055934149031,1
262.30081273515407,-16.044059309120065,-103.65863183122673,1
264.92382086250564,-16.08124847428515,-103.60885037578112,1
267.5730590711307,-15.754995750346275,-103.47668113794543,1
270.24878966184195,-15.720962332460417,-103.41902150045311,1
272.9512775584604,-15.758104742905564,-104.21721934207406,1
275.680790334045,-15.648004171115916,-103.99855402364949,1
278.4375982373855,-15.497605633121996,-103.7722900075217,1
281.2219742197593,-15.466335733883504,-104.17217609134121,1
284.03419396195693,-15.503977637803796,-104.54858094445098,1
286.8745359015765,-15.293590316406487,-104.032243142165,1
289.74328126059225,-15.128162202140544,-104.24727873927364,1
292.6407140731982,-15.15814222308452,-104.44167601817456,1
295.5671212139302,-15.071519047985237,-104.1683647398861,1
298.5227924260695,-14.923768743297181,-104.75424311872297,1
301.5080203503302,-14.970468250921648,-105.5077489021611,1
304.5231005538335,-14.883986013916724,-105.43420614494241,1
307.5683315593718,-14.70649729767467,-105.12607510361602,1
310.64401487496554,-14.626889868235768,-105.86860021054403,1
313.7504550237152,-14.619808681867575,-105.60535572819117,1
316.88795957395234,-14.453474320354044,-105.98302568273701,1
320.0568391696919,-14.355856815800411,-106.01668727876698,1
323.25740756138885,-14.390014370552704,-106.37397848072587,1
326.48998163700276,-14.191597560980558,-106.38937871086955,1
329.7548814533728,-14.10114484496132,-106.32474729459395,1
333.0524302679065,-14.132823969163491,-106.6830999073311,1
336.3829545705856,-13.982451038482553,-106.57646180964281,1
339.74678411629145,-13.844079013559668,-106.93193460655245,1
343.14425195745434,-13.895220172361473,-107.38169356934381,1
346.5756944770289,-13.69280994480429,-107.27838476931342,1
350.0414514217992,-13.60052577162849,-107.34233671437482,1
353.5418659360172,-13.577684766501777,-107.4723616736416,1
357.07728459537736,-13.458141595380274,-107.34005659395012,1
360.64805744133116,-13.449878207780548,-107.7851918987646,1
364.25453801574446,-13.30223620438082,-107.89192650435109,1
367.8970833959019,-13.189374175731102,-107.9888393244812,1
371.5760542298609,-13.247281911269166,-108.29501590058975,1
375.2918147721595,-13.065565281804584,-108.49171129238701,1
379.0447329198811,-12.946581097787321,-108.16767616464091,1
382.8351802490799,-12.9248616667013,-108.81692989268555,1
386.6635320515707,-12.734467056361813,-109.01766217189449,1
390.5301673720864,-12.78841999031541,-108.85773833405946,1
394.4354690458073,-12.651941921092028,-109.12798573060068,1
398.37982373626534,-12.533574403282515,-109.3230355441982,1
402.36362197362797,-12.565346656057697,-109.52201169299906,1
406.38725819336423,-12.3173740100292,-109.73311880663084,1
410.4511307752979,-12.339229111776259,-109.97989110373236,1
414.5556420830509,-12.248214873259784,-109.96567400242583,1
418.7011985038814,-12.17634654390026,-110.19533056516502,1
422.8882104889202,-12.112759538718269,-110.41897695768077,1
427.1170925938094,-11.880762175184017,-110.59026283377368,1
431.3882635197475,-11.99212683810125,-110.89418016634443,1
435.702146154945,-11.824768007255843,-110.75808262651199,1
440.05916761649445,-11.815127643792017,-111.291442457399,1
444.4597592926594,-11.673663961652519,-110.81868663984793,1
448.90435688558597,-11.597882185830667,-111.67776890110312,1
453.39340045444186,-11.534863433700412,-111.74067575538668,1
457.9273344589863,-11.403134779730784,-111.87108087814238,1
462.5066078035762,-11.376889300702402,-112.06521003454006,1
467.13167388161196,-11.261746267972892,-111.8720166748609,1
471.8029906204281,-11.215983524279965,-112.40147309355021,1
476.52102052663236,-11.068240724119837,-112.69673288534455,1
481.2862307318987,-11.121231678998809,-112.84705942470279,1
486.0990930392177,-10.918372162521981,-112.55798186015596,1
490.96008396960985,-10.959896104286562,-112.90477166983703,1
495.86968480930597,-10.791988455263539,-113.16192887907533,1
500.828381657399,-10.786006277273687,-113.87468322926568,1
505.836665473973,-10.641601809358477,-113.73086607812917,1
510.8950321287128,-10.707710467255696,-114.6189874403679,1
516.00398245,-10.54155053038264,-114.44025557925926,1
521.1640222745,-10.326941748447442,-113.90688646361725,1
526.375662497245,-10.271211291395359,-114.01775309559376,1
531.6394191222174,-10.325944234408913,-114.9515111584644,1
536.9558133134396,-10.288999445871006,-115.47662494812937,1
542.3253714465741,-10.123085234563476,-115.22852826253512,1
547.7486251610399,-9.950676525243306,-114.95234145108995,1
553.2261114126503,-9.927897941500595,-115.26754004272377,1
558.7583725267768,-9.962163978115058,-115.98275260564142,1
564.3459562520446,-9.840643335997871,-116.01809722947323,1
569.9894158145651,-9.664853675642618,-115.94273576746282,1
575.6893099727107,-9.552830381125993,-115.99808103802292,1
581.4462030724378,-9.620441426406567,-116.92119433190538,1
587.2606651031622,-9.55728829964302,-116.90663707796702,1
593.1332717541939,-9.37274026489766,-116.79717246985399,1
599.0646044717358,-9.219039917455339,-116.79489014624127,1
605.0552505164532,-9.285386986742777,-117.44746520637014,1
611.1058030216177,-9.212387807422905,-117.98758422763109,1
617.2168610518339,-9.042668845749416,-117.94284881060338,1
623.3890296623523,-8.91362545625328,-117.68668236004099,1
629.6229199589758,-8.955671385708655,-118.29421410722333,1
635.9191491585656,-8.894455270616387,-118.72748983885378,1
642.2783406501512,-8.71761806707879,-118.56266576862372,1
648.7011240566527,-8.624204344586099,-118.8947852479349,1
655.1881352972192,-8.645665195370535,-119.50734497922099,1
661.7400166501914,-8.572971926680827,-119.79080371313219,1
668.3574168166933,-8.385738168551944,-119.54971067900186,1
675.0409909848603,-8.308916355430936,-119.48708045445198,1
681.7914008947089,-8.345118881131565,-120.37194849724034,1
688.609314903656,-8.217883346507506,-120.49917351532227,1
695.4954080526926,-8.06240830799611,-120.02502835546484,1
702.4503621332195,-8.048890874459474,-120.61907488171136,1
709.4748657545517,-8.03195553529977,-121.14722565890287,1
716.5696144120973,-7.863976902131514,-120.99718253069918,1
723.7353105562182,-7.768558411255515,-121.21381993831382,1
730.9726636617804,-7.807956802902705,-121.95915579354315,1
738.2823902983982,-7.699288696093229,-121.85040990248044,1
745.6652142013822,-7.517467852691723,-121.72092360465095,1
753.121866343396,-7.54407940393805,-122.45009191668728,1
760.65308500683,-7.4757738399887845,-122.75440038004061,1
768.2596158568983,-7.309748235921127,-122.57806488265061,1
775.9422120154674,-7.306831600408328,-123.04885114112435,1
783.701634135622,-7.290831579592123,-123.54955138861223,1
791.5386504769783,-7.090674726052446,-123.2812446430516,1
799.4540369817481,-7.079361060504473,-123.72660632102657,1
807.4485773515656,-7.003251325558416,-124.2807019498247,1
815.5230631250813,-6.846645702218935,-124.15833950771939,1
823.6782937563321,-6.778927702361483,-124.30020217185688,1
831.9150766938955,-6.750030566353586,-124.91985815149359,1
840.2342274608344,-6.625218316089808,-124.91590723435046,1
848.6365697354428,-6.5405384188365865,-125.09910319558958,1
857.1229354327972,-6.49908563610338,-125.30410820454526,1
865.6941647871253,-6.372585322238219,-125.38447965879935,1
874.3511064349965,-6.325533292342596,-126.05055687435515,1
883.0946174993464,-6.2666402162993435,-126.05448169892739,1
891.92556367434,-6.117547633068258,-126.00481573910162,1
900.8448193110834,-6.0767557604058515,-126.48344343430676,1
909.8532675041943,-6.066795056542918,-127.10472035784966,1
918.9518001792362,-5.873976623098824,-126.55742440886101,1
928.1413181810286,-5.894410356793547,-127.4325734218537,1
937.4227313628389,-5.7516722742484685,-127.39820704926876,1
946.7969586764673,-5.686359691150335,-127.74573766423617,1
956.2649282632319,-5.6604754637000205,-128.2922195050833,1
965.8275775458643,-5.507218405963849,-128.0009780112892,1
975.4858533213229,-5.507861830886454,-128.58852417737376,1
985.2407118545361,-5.407669012054546,-128.9540529125477,1
995.0931189730815,-5.343782519298425,-128.79228144033652,1
1005.0440501628123,-5.317007086124948,-129.50283527747212,1
1015.0944906644404,-5.126975653781706,-129.17625825854114,1
1025.2454355710847,-5.125393414530512,-129.87120852799194,1
1035.4978899267956,-5.004041623711784,-130.0226049038638,1
1045.8528688260635,-4.9162812845378765,-130.2491422050388,1
1056.3113975143242,-4.872641201291235,-130.7260626254054,1
1066.8745114894675,-4.743198201160163,-130.4973564158108,1
1077.543256604362,-4.7524198787706,-131.3162110854023,1
1088.3186891704058,-4.579580773790907,-131.0638790436059,1
1099.20187606211,-4.5998599017482045,-131.72725454017433,1
1110.193894822731,-4.453735030706819,-131.8015298867026,1
